diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2308,11500,1214,0,4351,4351,40,0,0,0,False,6979293061931500549,False,False,False,0,MS4wLjABAAAAHkeazKmTABHzTUJwiFQaW1gchRQaFhX6FOgcgpzGV7LOt6I491sbG6iu1iJ4OWLK,False,0,False,as_01410,False,1692089830,1692090616
2,1474,0,0,2650,2650,1,0,0,0,False,7267150876207580165,False,False,False,0,MS4wLjABAAAA16BYhBSNlonJEi7XkvAO-7QroZCeW4NYvXKbYvNSSvaHOC_Ce-fJQLzOi9aRpAMq,False,0,False,mirella.samoa,False,1692089830,1692090616
1787,5818,2,0,13700,13700,89,0,0,0,False,7094033747604653102,False,False,False,0,MS4wLjABAAAA98qp1amgLL2-Xz0XDExSlFmcd8xqv1FJ1HNtqgd7kI2NJg-RhGlj7luNWSQgZKqz,False,0,False,kingmoo_21,False,1692089830,1692090616
16800,28000,16,0,4309,4309,135,0,0,0,False,6613286949955026949,False,True,False,0,MS4wLjABAAAAWMDD2vj_OWSBnwvslosYIbjiEcd5WLIUdwBeIk0V8LfdDESu3cFRMtOK_gLU4FQK,False,0,False,afaq.6t7,False,1692089830,1692090616
35200,13200,123,0,43900,43900,101,0,3,0,False,6616037858761932805,False,False,False,0,MS4wLjABAAAA7z5M9YPbhurd_a_SFTKTSYeyDYNJpp5Cve6q7dUa-wdTsunsu2ao8VHB7_PdDsm6,False,0,False,rajvirbatth96,False,1692089830,1692090616
354,4646,93,0,35900,35900,33,0,0,0,False,7202544313296978945,False,False,False,0,MS4wLjABAAAAo3XGu9BM8BfzWbeHen5aCRuCkQ-LNywcl0VOO_73qxDaZkQ68PC4sHCYiVqLabOp,False,0,False,moch_shanie_assaro,False,1692089830,1692090616
1,770,11,0,12200,12200,4,0,0,0,False,7265478226244338734,False,False,False,0,MS4wLjABAAAAOwAmaLmV81oT34RTstxjDpq0t9R2-d8N_CTpmzG3SKOaJ_EC5MnR1tsQwdVGbXjM,False,0,False,gracievolso,False,1692089830,1692090616
97,6941,2093,0,237,237,2,0,0,0,False,7187209969551606830,False,False,False,0,MS4wLjABAAAAjhUV_IqCq3puhcpIMFY3PSPUcv7RAGvB2FKVgKeEqUH541WyprvKW7sNt0cNk4wQ,False,0,False,glossyshocker7,False,1692089830,1692090616
851,3372,315,0,501,501,46,0,3,0,False,6736999158965961733,False,False,False,0,MS4wLjABAAAAlAbLB_-IkERqrF8rFXh9Dxk-kafYqufvP-nxRwsapaQJO1hxwxRQmJS89Ys9lDgK,False,0,False,smotrjaha,False,1692089830,1692090616
61,1881,33,0,4,4,0,1,3,3,False,7261371045449614344,False,False,False,0,MS4wLjABAAAAkm0RslSMcZ9gRXU5FrP9IiYMKA_ooE-BpB8es5KCVvBQBV564jkAe-9FgR2lz21D,False,3,False,a_m7.o,False,1692089830,1692090616
5435,6007,228,0,4858,4858,70,0,0,0,False,7167891791577302062,False,False,False,0,MS4wLjABAAAA5gHRfvWKBxDV38r82ZYlR8ihg-2wloe1RLUHHWrfEU1lZFoP7MrE61a7cEvOVR5x,False,0,False,nakieplantlady,False,1692089830,1692090616
9,1291,4,0,5,5,1,0,0,0,False,6592110821705285637,False,False,False,0,MS4wLjABAAAAJ-UUAg3raU46kR5fshchZ7bAgVQMGOcEqSMHISujgg1OC8i8THehemaM4W05QhUs,False,0,False,realestatelk,False,1692089830,1692090616
3256,2125,253,0,2042,2042,41,0,3,0,False,6888475028309591045,False,True,False,0,MS4wLjABAAAAnR49_K_bCkU4cAgKCeF0XU8h1DNSTa0T-BeivZreN6pnBvSPerH4x4RLgUDfrD85,False,0,False,beautyplusbrains89,False,1692089830,1692090616
