diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
48,2581,2,0,0,0,0,0,0,0,False,7260678068817445893,False,False,False,0,MS4wLjABAAAA3rEqFToiExCg6YHewCq7FQCCUq54Bs3wFYFq1R1ozC-GHQr0LJ8Vpw9Js8hCrSt6,False,0,False,sizoystarlin,False,1693437139,1693438539
60,23700,6,0,13000,13000,19,0,0,0,False,7219739688762967046,False,False,False,0,MS4wLjABAAAAHZLvm9l6DOmwdMx571kXjhOY_KZKg_Gltki_aygXMRo92FRC7qV0oxh1XPfjgJKM,False,0,False,mijlad,False,1693437139,1693438539
2360,1201,590,0,100,100,56,0,0,0,False,6817400203382129666,False,False,False,0,MS4wLjABAAAAYiax-IgluoANxVZbi6FJUu4iygWVojHMMjAC4jh5AM0Zw-9r9InrOd0wuNbzOYmu,False,0,False,jejen3cmommy,False,1693437139,1693438539
580,3153,3,0,144,144,2,0,0,0,False,7175561294707213318,False,False,False,0,MS4wLjABAAAAyw7zDKKd0xcHco9kdGW2WJxkRR2AW64nBAN-ejdWHJKsIviawc3xivarRTF3jh7e,False,0,False,hussein.awada12,False,1693437139,1693438539
53700,1166,162,0,0,0,0,0,3,3,False,7165444832918422534,False,False,True,0,MS4wLjABAAAAA4Gjh9HV44_l114MzhHyc9NvOH2HgX60I8JNIZ_PSA-CTyrsK97MimZYyPuKNDLs,True,3,False,letriss.99,False,1693437139,1693438539
5228,10800,1079,0,7138,7138,64,0,0,0,False,6801221969758274565,False,False,False,0,MS4wLjABAAAAmAJSjsWrh62DFCKrKNkhayOAzAumY3XoSkp2u9tG7WoP_I73pjqtpKSCO0Wkq-1A,False,0,False,youssef.jm4,False,1693437139,1693438539
791,1432,612,0,749,749,12,0,0,0,False,6886673081915606017,False,False,False,0,MS4wLjABAAAAeSFcLFjYOb3PlhBzje7iIfBWQ0W3Nk3b7XIJJ8tLR_bhC4ZK6MpyeZ1ziVuJjoHs,False,0,False,vickytamim,False,1693437139,1693438539
5,29000,1,0,135,135,3,0,0,0,False,7182356096266716165,False,False,False,0,MS4wLjABAAAAUMHY6OAuz-0J4KF7pOD6747x12DgKJfZH9oHxFlrTdBg9EvfRDb6E8UKRSWzMVTV,False,0,False,27mstfa,False,1693437139,1693438539
80,1214,71,0,421,421,31,0,0,0,False,7077825932932973610,False,False,False,0,MS4wLjABAAAALNjYay3lQQCKTJehaKsUJYMsg5aPpsQPGiz2AYT039lZCE8pMuzV61OmUB1_rQdS,False,0,False,mr..breastification,False,1693437139,1693438539
1,2326,2,0,9202,9202,15,0,0,0,False,7267885505982448646,False,False,False,0,MS4wLjABAAAAPcJsA9jYvo4o81LODmnIcaASw-CmUSbJ9VcmnzYo7rllwiJGket-qLvwa4fHxi4I,False,0,False,almarayaqatar,False,1693437139,1693438539
5,16700,1,0,31,31,3,0,0,0,False,7263581006984233990,False,False,False,0,MS4wLjABAAAAgfVdJ_MtCGJXHu2ozf5uNm43dd5E35M1mGezrm0LF6BXB82KldXo3-FP2_EzL9R-,False,0,False,curtistilburyceo,False,1693437139,1693438539
1232,10200,2673,0,27000,27000,263,0,0,0,False,6639350402767978502,False,False,False,0,MS4wLjABAAAAc3gRfoCL9v6CQeaKbAaAOV20TCMKDxWLejA4sLfZe_LWNOMqT_fJEcL22dPL-Ran,False,0,False,yosricherni,False,1693437139,1693438539
30,319300,1108,0,294600,294600,1,0,3,0,False,7115586585681757189,False,False,False,0,MS4wLjABAAAA0OOsKsa070LZl4OHy0gRYnRBW9KHuePdZPmJ6LPy_OzIck9xd9iSVio1SCM0gqRJ,False,0,False,aburashed990,False,1693437139,1693438539
102,2085,1179,0,424,424,17,0,0,0,False,7269086457478218758,False,False,False,0,MS4wLjABAAAApMsjeBI7M_t-t459S4X2i-TuLXRmDSYnhWiShQRkfC1I3ylrSffKUcLYVqTaglj4,False,0,False,randycorreave,False,1693437139,1693438539
1299,509,0,0,4,4,0,0,0,0,False,6808842541203751941,False,False,False,0,MS4wLjABAAAAT0SsuDDK8aKoDJgXGQJGGXHnExQ5evpqV2PRDhknovA9vmIzeus9QWXe4hqGK3rG,False,0,False,sweets_smart,False,1693437139,1693438539
93500,571700,134,0,70000,70000,0,0,3,0,False,6895852282161382406,False,False,False,0,MS4wLjABAAAAjyO7xAJ8RuURv7bfac37VxUNwdvqJQ4Md6jn6Q-1T1xs8IkJETZBQ1KLVNQPY7Fg,False,0,False,m9.i9,False,1693437139,1693438539
1262,2384,315,0,3014,3014,11,0,0,0,False,6981924272869344261,False,False,False,0,MS4wLjABAAAAABb9w7MAU7WWwdbUA4IuJ-0wnjsqm63v6G1pl2uQb7nicEG1oa_QmAthgJrw53Xl,False,0,False,pg.mryash,False,1693437139,1693438539
285,10500,666,0,2571,2571,12,0,0,0,False,6721151669620589574,False,False,False,0,MS4wLjABAAAAwXCzW2RRHoufrG8J_jOpYQ5ZEUWNNgRptey5etK7hkZupvnYUHEtGPAttLRzUZIH,False,0,False,mrbrendanbrown,False,1693437139,1693438539
178,170000,110,0,1100000,1100000,876,0,0,0,False,6776954453989671942,False,False,False,0,MS4wLjABAAAAKOFyFLIPrrs3ag26ZPIT_K2uGEOnepfmY1n3jkgzEikwVSqWLf3277n_JYxhByfB,False,0,False,shi_view,False,1693437139,1693438539
21700,52500,5039,0,47900,47900,364,0,0,0,False,6874325306254132230,False,True,False,0,MS4wLjABAAAA17oBSz1YKrOzqvcbr53UbGpKFd8ohX_msyvgLg9xMCb8tlHLMwuui9N9aqrk1jBp,False,0,False,smartboyfun,False,1693437139,1693438539
4019,8100000,290,0,12800000,12800000,137,0,0,0,False,6676052045554402310,False,False,False,0,MS4wLjABAAAAyhAfe-cayE7nJSH0oTYdrB1XTxt3BeHosIept01UVeK4cFYy6bbDnFF5Y9tCnPAN,False,0,False,gageslife,True,1693437139,1693438539
0,968,0,0,5054,5054,11,0,0,0,False,7268542446664614945,False,False,False,0,MS4wLjABAAAAnaydjLCdOtJztqcG3z6no3fyvdggaMJVdpE_H01-KCUII-K4pEbmr_llNScYkVaA,False,0,False,leoalignment,False,1693437139,1693438539
0,1303,0,0,0,0,0,0,0,0,False,7208186634692707333,False,False,False,0,MS4wLjABAAAAR1yUU4L_X1TpUAEh-8ZlS4y_p6ph23PQx7pPGStIxZsgZzFZWf_2hsG-BeA-kYpF,False,0,False,cixsupreme,False,1693437139,1693438539
