diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
5087,1023,1493,0,133,133,1,0,3,1,False,7022303970921186310,False,False,False,0,MS4wLjABAAAAyKz6gebjoW2lYOLgNua6CR_6aEl1iFbYNd9O9yoBV8VDAYOgy_iXDDqRfZPEAtPq,False,1,False,abdullahhbader,False,1691986866,1691987345
6790,3961,150,0,342300,342300,74,0,3,3,False,6923456115691078657,False,False,False,0,MS4wLjABAAAAwzlyPClrF2Ztiri4VJzRojgF-Gzfs5xdPbNdYMpjqM_2LWpZvDo8OxzotAnNkbyo,False,3,False,kembangpepaya,False,1691986866,1691987345
261,2570,331,0,0,0,0,0,0,0,False,7265775245767754785,False,False,False,0,MS4wLjABAAAA73euCuvrZRJA-LWDct6cWIZEGhFL8DwjiEvNWwZW7KYSAbJQJXdk9mRou8UyedA5,False,0,False,blijeikarel07backup,False,1691986866,1691987345
397,2496,303,0,243,243,26,0,0,0,False,7240810757436081157,False,False,False,0,MS4wLjABAAAA_JjuYRO9Q5Lj627seXJ0K3fKKHFd99geQVPB-Z-XaT0Umm2tbgwLubCtcQW24X1U,False,0,False,dealdeviltrade,False,1691986866,1691987345
9,2732,310,0,1084,1084,6,0,0,0,False,6985469201700766721,False,False,False,0,MS4wLjABAAAA0gdAAtWycIUtKsOwyt85-A17UEXS7rW39vbJGB8p6ZTbMqIeXMxkw2CBvbRtNu2O,False,0,True,storesafeeya,False,1691986866,1691987345
273,2850,26,0,1153,1153,49,0,0,0,False,6806665628012954625,False,False,False,0,MS4wLjABAAAAkAff0T8_rUHj-8_BRXH8PCSUEq6W5iHqBRbQgkrtDMPkpoZrl3vThO4jpXoqnmOj,False,0,True,devipermatasari369,False,1691986866,1691987345
14600,2831,314,0,4226,4226,5,0,0,0,False,6881690159353742338,False,False,False,0,MS4wLjABAAAA2UkJSaBNS41GI2NyWZ3XF30e8olFgRy1Qjs-FNlHFjzODrj5t8d87u7TrdDaxFl-,False,0,False,zani__jutt,False,1691986866,1691987345
853,468,145,0,98,98,13,0,0,0,False,7129663450548061185,False,False,False,0,MS4wLjABAAAAUfxE9k7ylM8C-lL11gSFWy-17swcKHw2JbHKn0Q9eC0h-VxjnW8cH9AXnS7GcYHf,False,0,False,ajudanpribadi697,False,1691986866,1691987345
32700,10400,590,0,245100,245100,90,0,3,0,False,7192932348270478341,False,False,False,0,MS4wLjABAAAAd60vZYIIARyKoufBkjzlv2FD2cRkBIHLnxoUr_m9-iKY-dj9cihMo4HJFJKM9_Oe,False,0,False,wasifkhanii10,False,1691986866,1691987345
1507,1467,407,0,2799,2799,116,0,0,0,False,7086950133880030214,False,True,False,0,MS4wLjABAAAAjyqtDoAro0NM2yl2kTKkqH03p-UmlOD3R_iYhdz1nN5oJWC91Xe5pfdPvgukVFay,False,0,False,hajiaqueen_bamboss,False,1691986866,1691987345
14100,36500,3141,0,370200,370200,112,0,0,0,False,7095528979033572379,False,False,False,0,MS4wLjABAAAAdCiVaUMF1mPR7qDA9dhbDBgMkiQyPAXGPVII5BXTXo5rQMEm6_xulxFm6G28Pk3S,False,0,False,dearboy310,False,1691986866,1691987345
3518,2567,162,0,2077,2077,40,1,3,0,False,7265776234670703618,False,False,False,0,MS4wLjABAAAAhJd1jna5UVnIQFgicen5IRa8p-SJgWcp94sHjuu-xYCUHwLSKLijW6Xw93aCa1Ec,False,0,False,lol...156,False,1691986866,1691987345
105,24100,76,0,2030,2030,48,0,0,0,False,7236723763044238382,False,False,False,0,MS4wLjABAAAAAHGfF4OOeU0-7CX5gsgzd2pPO6j-E9UR6mN_rbQfLkGy3h1_d9lQdUZ-gWqcAniA,False,0,False,geewander,False,1691986866,1691987345
312,2045,50,0,659,659,50,0,0,0,False,7114405259955356698,False,False,False,0,MS4wLjABAAAAkDGh3BobDa7cvAGk6NZDae4wajEeNxgDp13vYmA5jjXY1fggilbgd2ADfDzqArzE,False,0,False,itisme.valln,False,1691986866,1691987345
1,1691,5,0,214,214,11,0,0,0,False,7264129155289465858,False,False,False,0,MS4wLjABAAAAMxh1uUIvUFZAdSKWb75BdZAsNKGMNp1tCUQ6Co97hFlL6moPzXi1RMCu-rcbGHsb,False,0,False,elsweetie.sydney,False,1691986866,1691987345
1145,1960,307,0,252,252,52,0,0,0,False,7067364559489467398,False,False,False,0,MS4wLjABAAAAZrRLW3U4BPcn6qKiTUJ3m2c3p0VeUd0yfBZH-dTj_Ce_pv_hT-p8z_HA3nQaB-5_,False,0,False,gab0_cleaning,False,1691986866,1691987345
377,406,502,0,18,18,1,0,0,0,False,7086164309474624517,False,False,False,0,MS4wLjABAAAAZATPrGReYy8QhX16Mcaa2JK5TOaJGfZcjHXH4svm2tDuID_8J9fFxL9Zn8aLt2m0,False,0,False,hamzaberberos,False,1691986866,1691987345
51,3173,3,0,5806,5806,3,0,0,0,False,7265655118049215490,False,False,False,0,MS4wLjABAAAAIGx_qzI0Id6ExC5E7t1e0udB6vl0y9wmm40lOI_VZSfUxuEpzNxdSQ3iezagYURH,False,0,False,deen__e,False,1691986866,1691987345
25300,686,999,0,1054,1054,44,0,0,0,False,6869336695247766534,False,False,False,0,MS4wLjABAAAADD6_h-syhlJlRN-VbxIq_NtocUX-ALYMB3TTr8Htc3lXhWdu9pehj7MZMBNE8NpC,False,0,False,nadeemsial59,False,1691986866,1691987345
59,12100,1,0,27900,27900,10,0,0,0,False,7265560474316588065,False,False,False,0,MS4wLjABAAAAxR7CP1VONfVecXVLRw-wXsQpuC7_Pg6Zd3hbrwbYTc4T4JG6tvxpVmmmOBGMmoTo,False,0,False,le__koda,False,1691986866,1691987345
174500,10800,1036,0,254300,254300,422,0,0,0,False,6659741462860808198,False,False,False,0,MS4wLjABAAAAzqMf7p0cweZknKXAinMACjo4I7qRCZSft6-q1CP8ObR8-vYr_k9d4x_yqlbY4KEj,False,0,False,bezxus,False,1691986866,1691987345
45,1940,163,0,65,65,7,0,0,0,False,6959609839656797190,False,False,False,0,MS4wLjABAAAAtSKEeCpiRth3117POFeL7HN9yK3HTIfvSrT0TzPVEOWCNxn2P4z7GeUTTqvKNdmf,False,0,False,all_112002,False,1691986866,1691987345
0,1757,6,0,0,0,0,0,0,0,False,7208119433054897157,False,False,False,0,MS4wLjABAAAAf3i8aBaG2UfDi0em4HrQblSjm75vArdqzDaXiwd_i5DP4q75TSZvVrXBSh-B2SRQ,False,0,False,pubooksgen,False,1691986866,1691987345
