diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2325,11100,38,0,13800,13800,34,1,3,3,False,6840148988353135622,False,False,True,0,MS4wLjABAAAAoo1ZrLZ_Lk7ULwOLCY_uClZq5VwOmKxFL_eeSQOYtCatavbm06iR_HnyTyO-J0dG,True,3,False,no_na563,False,1690345524,1690346442
127,53800,168,0,4251,4251,7,0,0,0,False,7212089854657774597,False,False,False,0,MS4wLjABAAAAaN9aIEKnYR0maiWbqJSXqo6kkDV9V3SS7h1E9UptUjHzUFoCZTv1V8vJnGiM63N0,False,0,False,muslimnight0,False,1690345524,1690346442
0,1976,1,0,3,3,0,0,0,0,False,7073695741487940614,False,False,False,0,MS4wLjABAAAAlu3mGtNEZgnJRjZnWa8KfH1AH99lOBvibfJUtFT97mb-UHystfTIGp8NEJ8JzESE,False,0,False,user8719489433285,False,1690345524,1690346442
10700,963,217,0,671,671,5,0,3,0,False,6777108586398630917,False,False,False,0,MS4wLjABAAAAFc7Ke6k_6Hd99o9duaJth3BMfzIVU0-trjWqazpHMxKU0tIfmkppkLFzTeRDKoRM,False,0,False,andreiadantas419,False,1690345524,1690346442
44,615,148,0,1117,1117,2,0,0,0,False,7146727823020606466,False,False,False,0,MS4wLjABAAAAhEYUJAL5NWWplFWZ8YSK7c-COQFJH-5E4dYF_sTOVNbcl5vqqfj6nA41usdpbGEK,False,0,False,7qxz8,False,1690345524,1690346442
73000,396,83,0,2716,2716,35,0,3,1,False,6522339831358701570,False,False,False,0,MS4wLjABAAAAsWx9dDTjqthe8aIJbKD5NUJK8FtMoS904jAsauLCXnYhX-cmVRRcnjnRnzvi-dI7,False,1,False,ivyy_thevillain,False,1690345524,1690346442
0,723,0,0,0,0,0,0,0,0,False,7258737033542698010,False,False,False,0,MS4wLjABAAAAB077-10QOKmB0tmAblb0qLabzIi4t_l1a0IlH9DL4K2I14myNE5MXTeCRmEDFPO2,False,0,False,user71781101871350,False,1690345524,1690346442
120,11900,639,0,888,888,1,0,0,0,False,7155746901319566337,False,False,False,0,MS4wLjABAAAAHeqc9VUshY6vYW_s5CFQBoMRrb5nyUigMIQPefqLM9Z_J-friIgzj7_M-fn5ro19,False,0,False,charltonsbackup,False,1690345524,1690346442
6392,1993,23,0,681,681,32,0,0,0,False,7107630354160927749,False,True,False,0,MS4wLjABAAAA0hFCgmH-g_n4GPNYFEDKPabVo-AQhmUGHrVPKuEei8TGeilLpQHOO6vCdpgxa2Bw,False,0,False,jahuzzeofficial,False,1690345524,1690346442
12200,10500,2190,0,23900,23900,182,0,0,0,False,7117793494123398146,False,False,False,0,MS4wLjABAAAAgU9lyHztQluEisu7d_uG1_acOJtQ5-8ztIsBnWAgRr2hewOieY9gjf_C4ZUeNMOt,False,0,False,kings_slk,False,1690345524,1690346442
