diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2322,11300,89,0,19500,19500,0,0,0,0,False,7165714733667009562,False,False,False,0,MS4wLjABAAAABB7ph4vcNWpD96fkgRDEmsuGYNE-d6qVCLRHvnT8l37HyVRKr0Cb07otd3snRQIl,False,0,False,nurazieyanothman,False,1692232910,1695210374
548,11200,441,0,7963,7963,137,0,0,0,False,6771196150563767301,False,False,False,0,MS4wLjABAAAAtUkXfcRqNba4l1WvkQfMyTu3rCUN6-6foOMoRD8GHKGkFVMJmuJX2tdV6x4pKGXx,False,0,False,thegreatdancerah,False,1692232910,1695210374
1628,13800,258,0,3817,3817,131,0,0,0,False,6999481307962475526,False,False,False,0,MS4wLjABAAAAHFFyyXdZJXIudsqptSIQ5DrRSk7pNxx9wKaoc-jFa_La_rJYDlJ8DSATE_tyyHK_,False,0,False,ogonurse,False,1692232910,1695210374
0,106,0,0,12,12,8,0,0,0,False,7261674017852802054,False,False,False,0,MS4wLjABAAAAH8iHIJ9KNI34xAJSbafedYUR6sQlGkpmg5iuwmEXfpqerR7F3VIBJMRvFCpTJQ6a,False,0,False,mark.wahlberg84,False,1692232910,1695210374
18,924,3,0,7,7,3,0,0,0,False,7257914939411989550,False,False,False,0,MS4wLjABAAAAJzXnQ3DmyAKxxtTk7U19DU0pBwbGtROGtEkU-1vakqV_fa69qoh_jcd7sOAUTf_K,False,0,False,dealalert.one,False,1692232910,1695210374
6,1038,8,0,1529,1529,4,0,0,0,False,7087265953088979969,False,False,False,0,MS4wLjABAAAAMACoBOkz4-pYFIPzlZw_DnTVMsZtpit965MVndV715mvUM8VKD7l-8_24yDU6Zj1,False,0,False,bayu_victory888,False,1692232910,1695210374
254,523,43,0,370,370,12,0,0,0,False,6834480057651758081,False,False,False,0,MS4wLjABAAAAE_q1Rej6YcX3ASKps5uhCsdAgZDKI5kRCwRdhvPi5I3x0Uk8jH8pr8UJZaC8bH7v,False,0,True,piwpiw429,False,1692232910,1695210374
45,160,5,0,0,0,0,0,3,3,False,6933462873419138049,False,False,False,0,MS4wLjABAAAADNKLzzFXHKGTAEE4OsyaY2_vdI2F4c4JElxONgJVp2r-YILiByub87_4e1m0oSHY,False,3,False,aintrav,False,1692232910,1695210374
148,1251,614,0,1163,1163,13,0,0,0,False,1690238127022113,False,True,False,0,MS4wLjABAAAAheQthejIzDqtWJYtqvdHld3Rb5LIw-LO_qCbU7o1RPo1sO0QPzzMa1uAfWFTkz8d,False,0,False,ferry_110289,False,1692232910,1695210374
19,304,1,0,0,0,0,0,0,0,False,7266463266695513093,False,False,False,0,MS4wLjABAAAA5yPAYnGImvJoRYuo9uqFaeC4n94FKB1pkcjN0oIAePmAg56qXMGrev3ykNfSz5MQ,False,0,True,favgurllxxj,False,1692232910,1695210374
49,16800,0,0,21200,21200,3,3,0,0,False,6887904627431343106,False,False,False,0,MS4wLjABAAAA8I0jjn_tazoFGjlb--IP8Gcj0OMeKz2CQ6xuYNJxqEB3aKjPpPIWiUamGT79IV2_,False,0,False,wzo81,False,1692232910,1695210374
29,1480,18,0,122,122,5,0,0,0,False,7155758920656815109,False,False,False,0,MS4wLjABAAAAzE4qk3vkQTYpiOmNSOUNvJ2k8_v1bjHlEY2vNNp8jkWORfuPEK2Wxfo-xzLk4xRH,False,0,False,javi1.x,False,1692232910,1695210374
439,4261,238,0,7180,7180,59,3,0,3,False,7260231703791731718,False,False,False,0,MS4wLjABAAAA1FTjWTjGcWBQAaByPDSBm2uFjZ6EH-XmqDL2VDKzCSDNxAnwv9f-Fi9hSj8Rddmv,False,0,False,nouirisalma,False,1692232910,1695210374
216,9993,0,0,348,348,20,0,0,0,False,156455021885313024,False,False,False,0,MS4wLjABAAAAYs9DOI-4BDnIOBitITGYp7O8rVWCZgGxnnpJXl-aFs2LYeuZ-FihAz-55MOy30go,False,0,False,amillionaireslifestyle,False,1692232910,1695210374
92,3401,115,0,12600,12600,25,0,0,0,False,6919449565767287809,False,False,False,0,MS4wLjABAAAAWukNMcBdfySlje0iVrKcHUDGNWwP0Mw9aYVjo2emldskReNITIOKVyuU73iduVQT,False,0,False,__kelam__,False,1692232910,1695210374
8277,1047,557,0,10400,10400,113,0,0,0,False,7155069722223608834,False,False,False,0,MS4wLjABAAAAivv-NKxqvbjH6sI0_lZpVPIAvLnb4un23-umoFB0z9r28rkUeNk4ICGkMAY7m0zh,False,0,False,aytug_ayhan44,False,1692232910,1695210374
214,1543,564,0,1463,1463,173,0,3,0,False,6816697230147339270,False,False,False,0,MS4wLjABAAAAk333LzJuyC85W-ENr-HQ0kJa1-jD5or6jD46725_dZMYI9E5c1i1Oi5cEOu32bk9,False,0,False,phaelsoueu,False,1692232910,1695210374
293,1118,35,0,1538,1538,135,0,0,0,False,6823217634155529218,False,False,False,0,MS4wLjABAAAA8FvXL68bWmEsppUlwnbA45A1hT7r3hu-a_S2cVwftlSCqhrMEjnFKu0cqFFV15fd,False,0,False,realsitorus,False,1692232910,1695210374
22800,2072,901,0,305,305,8,0,0,0,False,6799818874596279301,False,False,False,0,MS4wLjABAAAAUua-yC4QSHudRr90JYe3oT7sNhXJHzcbQKDw9UxqiiInvJI5oMX7_RiLVvPCQ267,False,0,False,kingggangelooo,False,1692232910,1695210374
3207,16000,629,0,21200,21200,53,0,0,0,False,6968122058211476481,False,False,False,0,MS4wLjABAAAAROp6U67ZMhuYKvoh47JIzUs5eT6vFIB2_A8pvfAiH64Huz4-aSc967NAU-kPGDFC,False,0,True,nona_aquarius11,False,1692232910,1695210374
13,4461,24,0,2685,2685,24,0,0,0,False,7119666707623363589,False,False,False,0,MS4wLjABAAAAXNrV9sY9piM-lxMuq9HlQIA3mL9vksQGVBZaygyqJyRHNwlZWkEss7wI57xBFaod,False,0,False,caixa.inmobiliaria,False,1692232910,1695210374
788,1639,156,0,9451,9451,336,0,0,0,False,6834007327847842818,False,False,False,0,MS4wLjABAAAAXHbtCwJZNrTKexJWReXGU-qvhxTcghucF9ApQBRw6dyrYc_zTRO528xUO5GWHa1T,False,0,False,enjoytripbromo,False,1692232910,1695210374
23,1038,6,0,331,331,26,0,0,0,False,7222277667209888769,False,False,False,0,MS4wLjABAAAABwENt2rasNlje8rCT4nB754ztRi3tsHyd3T34_iD4Czf1BzDV3Jon0T55K1RBax0,False,0,True,hambah.._..allah,False,1692232910,1695210374
1953,1756,17,0,2,2,2,0,3,3,False,7002120397265748997,False,False,True,0,MS4wLjABAAAAR_FvAr4Z7kAWgMQZ1wyIf730efonG4dxEe_azAkBJ3uYxi1SUdeTYUnN742zBPWO,True,3,False,dr2000r,False,1692232910,1695210374
1119,0,562,0,4972,4972,31,0,0,0,False,7051349923699229701,False,False,False,0,MS4wLjABAAAADWU8N9XlSjaXImSutOm8TiORqHxrvtws1UDnKPtV3QGZvD455RL8hNt62sO5I-oJ,False,0,False,1234yaser12,False,1692232910,1695210374
0,2123,25,0,1104,1104,31,0,0,0,False,7050377548170544129,False,False,False,0,MS4wLjABAAAAZP-DvncQMSkNSd1ubipTwYbuGn0Tx8fFlvJVBf3JrKOpTkki2KD53LPbiIBwO3-7,False,0,False,mikrostartextile,False,1692232910,1695210374
128,1701,13,0,2890,2890,193,0,0,0,False,7257924633121326086,False,False,False,0,MS4wLjABAAAAj7fH4D-XDf4U32r7G0ZxjwXoP1bfAwYtSWmodXn0BiqmChWViidNxOvzO5vfI1GO,False,0,False,sellputr.id,False,1692232910,1695210374
880,1019,557,0,152,152,5,0,0,0,False,7240555253832352773,False,False,False,0,MS4wLjABAAAAot-CJPoueE8TXrfpNY3Eja04vhr1MTHhzzloKHXHIzXD3deV-f4W-ANaf1oGSJ2y,False,0,False,enminutosoficial,False,1692232910,1695210374
1059,6020,3823,0,4744,4744,39,0,0,0,False,6952087110577816581,False,False,False,0,MS4wLjABAAAAYRgaz2EHlKGQ4LcK5QQOKc6NKJ759Wbg681ZZolnJuEuJCimaJJI6c5oxCQJgt5E,False,0,False,mohammedjnah66,False,1692232910,1695210374
87,629,88,0,23,23,13,0,0,0,False,7267064039258588165,False,False,False,0,MS4wLjABAAAAWqs4bjQrw2YRv7a29A_Micdp30HG4bNeQ8mzQYpSUOu9euki5dWkz3J5brWkJbFQ,False,0,True,fashion.laluna11,False,1679731646,1692232762
0,3808,0,0,20,20,1,0,0,0,False,7253221139460506670,False,False,False,0,MS4wLjABAAAAKQqZ3XaZ0kAEvANsJCnz4ujRDZdpTNCr8NUnoRbLiFxvzJ7MoXffoqLH_DcdeqNN,False,0,False,symposia.live.game,False,1679731646,1692232762
310,1039,120,0,249,249,48,0,0,0,False,7159055318387147802,False,False,False,0,MS4wLjABAAAAdlzrjiipVw9asAJ7rbmXQPK0kc4tk129fTWWCRLr_5ufJLaD_Yyx4ejduQmPzstX,False,0,True,vanilakejuy,False,1679731646,1692232762
11800,2328,208,0,13800,13800,1037,0,0,0,False,6797955185810523138,False,False,False,0,MS4wLjABAAAAow86C-o9bZ21Fqear-6-SqXY_w_uTpJC9vgzH50Q5VMS8OjZ5SiAsYKSYdIeUtKy,False,0,False,kekeeiicntk,False,1679731646,1692232762
20500,11300,9999,0,13800,13800,45,0,0,0,False,7044290622101947397,False,True,False,0,MS4wLjABAAAA7zwy0xqWxyhibqIm6PvMJR_7jyAswqyy18gIOTEkctDV6X2tFjP1_RmSQoy5Qh0Q,False,0,False,joshuaanloza_n2,False,1679731646,1692232762
11,1884,5,0,1334,1334,0,0,0,0,False,7267369634373436421,False,False,False,0,MS4wLjABAAAAr27O6xcIv0eaRpV9ch29Jl3BBEPPjRVSP5qu3bnW6zj6eH8FDve-S3MJr1gH22lu,False,0,False,maria.julia6731,False,1679731646,1692232762
63,777,4,0,1955,1955,19,0,0,0,False,7266885098326017066,False,False,False,0,MS4wLjABAAAAGlCFsVuzjYIqkb3an5IY3Y3JYH_QpXaIesbIwwdLrPhNmyMhWEULGAMJQ1dkKv2D,False,0,False,bella.hrndzz,False,1679731646,1692232762
3382,960,306,0,1415,1415,100,0,0,0,False,7044918593310278682,False,False,False,0,MS4wLjABAAAAZmaKIA1XAJgcVtkS3mkJPIHC-qUSgTCcyckv0h_t9olINxLZvG8caY48qvuKOBKG,False,0,False,putra_vixred,False,1679731646,1692232762
257,1182,109,0,158,158,30,0,0,0,False,7139436821473854465,False,False,False,0,MS4wLjABAAAA2zLLSM1iQ-whEAFxPbAcjDNAB4B8lLg8ZfAJCxq8Kcj71l91aQ1c5YZhLd9YMuZM,False,0,False,isyammaysi,False,1679731646,1692232762
1360,372,141,0,2897,2897,19,0,3,1,False,6843091094352774146,False,False,False,0,MS4wLjABAAAAWgqjDm9QTEj_wKBO4d1RuH4iyDV2xoVI0_rBc_50jf8zhOqNMjfHS1vuKCxMXuzN,False,1,False,mhmdrisky13,False,1679731646,1692232762
9570,16900,1522,0,50600,50600,727,0,0,0,False,6806804576672760837,False,False,False,0,MS4wLjABAAAAePV-LZbeg4lY9w4sNmuLSkCzKAMbbUZBzm5uBEIo4sxDiuT1Fp0Zv6TnAGIxLCIt,False,0,False,kristindeville,False,1679731646,1692232762
6,8071,13,0,466,466,29,0,0,0,False,6812570994239194117,False,False,False,0,MS4wLjABAAAAG4Nx2BWdvMELH0QuUyqxE4Qw6-exP7ByMoAjdMyZdQO7ITiUBvlfQjJ0YjMi86_F,False,0,False,mysoulmagic,False,1679731646,1692232762
1148,14000,86,0,34100,34100,108,0,0,0,False,7110935223366583302,False,False,False,0,MS4wLjABAAAAiz5r9qWddYD3C1sz_CLi04X1HlZtglOUXNmeSsuH0v6yTAX_ngHL7KUVBug7Z6SH,False,0,False,nostigma_enigma,False,1679731646,1692232762
0,5208,0,0,2356,2356,20,0,0,0,False,7211613196902384686,False,False,False,0,MS4wLjABAAAA4SLs-QnofDHC56yrnGqb7kZ-W16JvgLrXMwlxT_5lBSv3TwYTM-9d4egIr2SE1cA,False,0,False,nutrifaye_aesthetics,False,1679731646,1692232762
5927,16800000,163,0,443400000,443400000,1661,0,0,0,False,6574905696412008453,False,False,False,0,MS4wLjABAAAAemwkxsqVTMGkCz9tE2IWnkE0AY0dmkeyaDQqV5bGp2F3Wv6FX-3xumuhJ6CT8ASb,False,0,False,iimeeto,True,1679731646,1692232762
1274,1602,334,0,1772,1772,167,0,0,0,False,7145908774384534533,False,False,False,0,MS4wLjABAAAAubpHYvcGg4_Tm-NfLW7uEPakUOGzdlHFZovf6Wbvrc5iluxup8vPeYHXS1JyJ2N6,False,0,False,lovemilliemoxie,False,1679731646,1692232762
36600,100700,47,0,1100000,1100000,2148,0,0,0,False,6879520284074247173,False,False,False,0,MS4wLjABAAAA60dZNu8BcOnKOqqTi3QIKew45DPh0jmM1vwJHysyDek87venVUYC_D2_zaceVNEb,False,0,False,rajatheking95,False,1679731646,1692232762
68,1242,76,0,214,214,35,0,0,0,False,7036648542651696130,False,False,False,0,MS4wLjABAAAAzqlUQhHmlo-2hXqUJ1mNFn1ACOivxOsuQtqjz5sQ-Zp67zE1IfYZCEmxLrluuZsQ,False,0,False,dsunflex,False,1679731646,1692232762
32,1232,18,0,1534,1534,10,0,0,0,False,7089999110300927019,False,False,False,0,MS4wLjABAAAAOza5MWRPxhYN4ea6VvMvQIaAZYOKTIW_Zdy4CY_lyjo8OkdpiU9VOlRKdZzUJqNU,False,0,False,dariusmylik,False,1679731646,1692232762
7050,1533,1542,0,5309,5309,216,0,0,3,False,6801530659762291714,False,False,False,0,MS4wLjABAAAAJgiqGIAR4gE46nUvNqOInLbv6oYhK2ly2N_Sm6c6ZCr3Uw_TPzNCdez00Au2c8h0,False,3,False,dinoallstar_sell_2,False,1679731646,1692232762
867,15000,236,0,221100,221100,36,0,0,3,False,7169290764308382766,False,False,False,0,MS4wLjABAAAABRXYKouOoO9_BDBkr7JCyoDpMdAbHsUss6vEBKEgOCuq21IkXPx6A2uYV62CBmJv,False,3,False,truthseekers_1,False,1679731646,1692232762
2520,1111,54,0,135,135,8,0,0,0,False,7186959301817566235,False,False,False,0,MS4wLjABAAAAVEZwhUPOkttieD_a5WNlQrPf4Y2Ql08OcsMJwjOxInrSV6poPOEXa0SI20cvDcia,False,0,False,senxgaming,False,1679731646,1692232762
8772,448,455,0,323,323,4,0,0,0,False,6860563421802628101,False,False,False,0,MS4wLjABAAAACM5_q0rYVNnbDuIxqk5d6YRZBwJkCQQzObMhVdtZ092nSKWgAPr7GGDQo1O55FSy,False,0,False,marya__u,False,1679731646,1692232762
391,305,159,0,0,0,0,0,0,0,False,7043345734582404101,False,False,False,0,MS4wLjABAAAAv8CvPzdxKToL7waZm6GPZoUJYcbl7OHpOt18wb506L85Q5q0wk2QSCGWe8rach1O,False,0,False,amberjanneke,False,1679731646,1692232762
0,929,2,0,175,175,7,0,0,0,False,7206647823726674949,False,False,False,0,MS4wLjABAAAA0qnaSWkTiLcOPIH1Uxt2zpa41wsiWTJiGWWnt0sbMYxjrQ8EJw9JjzVqJVOzwFIG,False,0,False,pumpedprogramscoaching,False,1679731646,1692232762
159,10400,515,0,38900,38900,189,0,0,0,False,7197311182296876033,False,False,False,0,MS4wLjABAAAAYMgdRpo0RnZk_4n3qh0f8T4s5fgrIzhUpfULT50r-LY25UGylD9twiRXFlpog_H_,False,0,False,zoha_163,False,1679731646,1692232762
7772,4115,8463,0,2970,2970,232,0,0,0,False,6811109715293717510,False,False,False,0,MS4wLjABAAAAr28mr5uJu6jJyrwXUWkTtrBePyYyxdI-LapqWojblH_2QWAKgcGm94hPRZcRySby,False,0,False,happyinvestormethod212,False,1679731646,1692232762
16100,891,338,0,15600,15600,41,0,3,0,False,6776924962210808833,False,False,False,0,MS4wLjABAAAAgkDIBzCwkZ0msMmpWB-kckJTcEvUZSIMgxqjsfXjh1a64UvLFpZTOSRyLz6xu2hB,False,0,False,lnr_fa1th,False,1679731646,1692232762
463,4230,259,0,14800,14800,64,0,0,0,False,7072731159150789638,False,False,False,0,MS4wLjABAAAANNCPcwHH1lcyZZiF6idGzMzPiB9Iqre_lH-uVIPz_aTXOtj5qE8FPUk-7K0O0oTZ,False,0,False,anastasia.shashkova.sw,False,1679731646,1692232762
