diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
19800,79,108,0,277,277,3,0,3,1,False,7129895508978549762,False,False,False,0,MS4wLjABAAAAdxY8rgR8PXRqeKbv8HMK2ugQeswB8_z6pnDkPgcVSJB0GXtlbjzXJK2Uuj6yCBJE,False,1,False,ai_00.1,False,1692181344,1693382721
2960,1052,213,0,861,861,71,0,0,0,False,6774225343160222721,False,True,False,0,MS4wLjABAAAAOzumqlbJFcRPtHuOEZqARBzPkeo7eTq5m-s3gynKaMvtmT9swTetBBEbw7HR_r-9,False,0,True,anwarchemica,False,1692181344,1693382721
16600,153000,1185,0,368300,368300,769,0,0,0,False,6557231634943317007,False,True,False,0,MS4wLjABAAAAniOSL84GqK9uLsYupEDwOO_LqxfWHPThu2k0uY4x-9FmU2Cra7ipgnE_V2XTb66N,False,0,False,boucheracasawiyamaroc,False,1692181344,1693382721
4,4582,0,0,41,41,4,0,0,0,False,7220939616521864194,False,False,False,0,MS4wLjABAAAAMTVnwd_enSyiDZyXCKes7LcBzB0l5K32OztyERcmnia84Pj4dgxBjr0dU7dDmuEu,False,0,False,by.hl_,False,1692181344,1693382721
1928,17700,36,0,26800,26800,48,0,0,0,False,6730110820523967493,False,False,False,0,MS4wLjABAAAAX9upwRhHFmD_C43D2CY6dIIlbPhqswEJXnIglwk88iKwQ7pBPM2-Dl19rGFdc8S4,False,0,False,parker.boon,False,1692181344,1693382721
6418,2978,433,0,4916,4916,82,1,3,0,False,6889267468960482309,False,False,False,0,MS4wLjABAAAAcXsI88xK0DKGc3PCA9YH8PLXQRKfOJt-n1RgG3wTgumnvHxqL57irBt6colJWkPW,False,0,False,pnieto04,False,1692181344,1693382721
4072,10700,1025,0,20500,20500,453,0,0,0,False,6523888834614820866,False,False,False,0,MS4wLjABAAAAY8qrKkaEtGYMxNwLsrE3ZtQWwEpq8_IeMiKs8j5CCPXEQCgTUSo3xCLxq7ranl0P,False,0,True,wulandrose115,False,1692181344,1693382721
157,5489,49,0,7032,7032,58,0,0,0,False,7164763881603122181,False,False,False,0,MS4wLjABAAAAZToc6NGMPN4btvBU_Ph2GjkdPSQuBB51UNVgD3UCuoEXN58grgyU8e1cPaGYuSHo,False,0,False,neuro_sparks,False,1692181344,1693382721
20900,35800,1301,0,178400,178400,605,0,0,0,False,6733578398783931397,False,False,False,0,MS4wLjABAAAAd8bPw_WGUszw4ajkeSfOGJizR_E2SP9mCl6pDbuhQS6K_JuCcutXVj1irMyYrNac,False,0,False,learnwithmyra,False,1692181344,1693382721
854,125500,2,0,1463,1463,3,0,0,0,False,6630920938258186241,False,False,False,0,MS4wLjABAAAAy88-6i5qlS9od-WyYkwXfJxcQTqaQqxJNj-8EV9VhsN9kmo3ViJedpvaVoATR08g,False,0,False,tasdidalqurud,False,1692181344,1693382721
64000,12200,190,0,10900,10900,7,0,3,3,False,6783418103499785222,False,False,False,0,MS4wLjABAAAApB37uazz8bFXGOXs_VbEYz9fpHeycc8p64QtypQqJXlN3rTHseUV1LjArWNAFVAu,False,3,False,vq.j3sus,False,1692181344,1693382721
281,3551,32,0,47500,47500,68,0,0,0,False,6922507964226634758,False,False,False,0,MS4wLjABAAAAX4UfRTe1brU0o2OBzsnnEoxng450zAL1E8fu8170uXW0398K4dYaGp-mHe87k_S_,False,0,False,rba_skincare,False,1692181344,1693382721
133500,1656,2559,0,85,85,1,0,0,0,False,6634550126008500229,False,False,False,0,MS4wLjABAAAArlLGN3NXxSRaMJzKcZZpitTVejze7g9-qxN53LZoTiwMHhPaa_B3nu9q5hkC0iQF,False,0,False,s1ksat,False,1692181344,1693382721
188,20900,71,0,13700,13700,11,0,0,0,False,7264546222642824193,False,False,False,0,MS4wLjABAAAAU9eFd-lWk7JyaSSk8J8UNCERchQDvVrhNVTYsUa-al7rb-dToqnlpz7zfig5rPHa,False,0,False,j___060,False,1692181344,1693382721
121,1726,1,0,25,25,2,0,0,0,False,7264616090537100290,False,False,False,0,MS4wLjABAAAAnqYcmuGAsMd4HeeeOhc4ZrXYqkSwb6aavucpOYTzg2OYKpTsf9HtmsUCukBhdcoK,False,0,False,cyb3rluv_store,False,1692181344,1693382721
