diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
25100,13000,1124,0,195,195,8,0,3,0,False,6625322653580656646,False,False,False,0,MS4wLjABAAAAaAEqVB2B9KAPHmEW0Wby1pgFJnZHSH4NR2vB0lzaE3fQklBDUseb1WPSql5ClHFB,False,0,False,gsas_2,False,1692171048,1692171636
638,694,34,0,388,388,13,0,0,0,False,7088504274510136346,False,False,False,0,MS4wLjABAAAAooFaZAaHmHzx6rXVmyawkr93X-WemQEfMDhzfbOAjXgNnBwFtmLG-xknqjr18y3r,False,0,False,rfmhtta,False,1692171048,1692171636
1,890,1,0,0,0,0,0,0,0,False,7236318313339749382,False,False,False,0,MS4wLjABAAAAWdx7Zg1ef8VwMvd9GQiM_KOkF6_98W2VQKuGT-PkUMvf-tjHiPL7Iu_wxSNjyOf5,False,0,False,eyang24d,False,1692171048,1692171636
107,1527,57,0,92,92,4,0,0,0,False,7223017281034224646,False,False,False,0,MS4wLjABAAAAGFxuYo-sABLuJoLQw8sW-rz3LyyB65ICKCPTW76MF752bhqYaL84CESmJnZM8P1C,False,0,False,liliu7817,False,1692171048,1692171636
168,1311,154,0,238,238,10,0,0,0,False,7048212021020247042,False,False,False,0,MS4wLjABAAAAxpXVr1VLPm5GL3Ar9In7NBR8w5myp5KMK4y4IffYynEDGjGXAC_4Cv3uo9fvnESh,False,0,False,oliverkhattar12,False,1692171048,1692171636
2408,2404,1091,0,351,351,62,0,0,3,False,7263151163964261419,False,False,False,0,MS4wLjABAAAAfYwlR_SRvju8LBXOLnaWbVJc0lG-olOpPDch8bI7iTH_V2OnfztlVlDh08uhJOtD,False,3,False,amanda.digitalmarketing,False,1692171048,1692171636
21,58700,6,0,15000,15000,1,0,0,0,False,7230146021300159489,False,False,False,0,MS4wLjABAAAAn-TuNErYe7YrwQBj748Hz6Rd6_8M8qsdoEyYW-a1jZZRCostALBZB67_aV8ADOTQ,False,0,False,matan.malka19,False,1692171048,1692171636
1,14300,5,0,2771,2771,38,0,0,0,False,26564459,False,False,False,0,MS4wLjABAAAAMIDuA7sa79byzvv0yGClIlbaInqeo1i_GqjbYHDfrOY,False,0,False,emilywolffofficial,False,1692171048,1692171636
558,1308,90,0,1846,1846,60,0,0,0,False,7031327549234119682,False,True,False,0,MS4wLjABAAAA_EfOUkJGCbN9gVc7C8foYyLsQh5D0m4zgswem4SmVE1b4HAEda6jJpw9cLKmRYBx,False,0,False,epritatriyasari6,False,1692171048,1692171636
2,990,0,0,0,0,0,0,0,0,False,7213633279763907590,False,False,False,0,MS4wLjABAAAAH9HALj8VWIPonhey3R04qZdguP0dEuxlZs2eFCGuJ06CluOe6iurwc0OMIXDkSGb,False,0,False,thestorefrontt,False,1692171048,1692171636
156,61900,28,0,316800,316800,394,0,0,0,False,7190816187516142594,False,False,False,0,MS4wLjABAAAA2r1BUD_8Ni7Uy4t9HMzM-EBJcn6x_5KGjwcfoAbznrrX_JiLxMghiTydfz0M2enz,False,0,False,albasil_2001,False,1692171048,1692171636
6325,2190,95,0,614,614,12,0,0,0,False,6830769080657576962,False,False,False,0,MS4wLjABAAAAj7yKNhD_TNDyKHSqRnu6V68yu1SFA1thwnzGzbGOM0Qf3x70ccekOkmVZDwkktXi,False,0,False,putrasimalungn,False,1692171048,1692171636
8668,1913,1459,0,3502,3502,24,0,3,3,False,7073008377669256198,False,False,False,0,MS4wLjABAAAAoSPGDPaaY5hs0n-OlQqsSpbcx2fHqAgd_K_PZlYcMETWmozOjsBHc9ytrEQj3ZRY,False,3,False,biagio_m81,False,1692171048,1692171636
18,864,6,0,9,9,4,0,0,0,False,7233026729215476762,False,False,False,0,MS4wLjABAAAAcw-mrouoAlIt6VBik5NsVJK9Hfjj5IYGnyeeviw9ZOKDAAlLlQKPx3gf0qdqEeF1,False,0,True,outletbelanja,False,1692171048,1692171636
431,2874,1930,0,601,601,8,0,0,0,False,7262761029343101960,False,False,False,0,MS4wLjABAAAAlqqrV0p_qoUg0Ym2yOeWBXr2W9xvNBnd9J4xymNUhz7x_E0x9NetjWkyDYSWU32w,False,0,False,nwayiochaomalichadarling,False,1692171048,1692171636
40,14100,6,0,962,962,40,0,0,0,False,7019377364997129222,False,False,False,0,MS4wLjABAAAAhLcZ1G8HWdVuIx91qlTsprbj2590elF7prsmz_FnwXTECzC2ydNf6-yZA3a0K0-o,False,0,False,boomerangfx,False,1692171048,1692171636
87,6997,124,0,4148,4148,50,0,0,0,False,7071419097045255173,False,False,False,0,MS4wLjABAAAAeO5xoO2fRflVUkZsMKx7ZLaN3j1sx0-YvjGai1vRdSu5kMqOWp3aRyoWpcfy3sRT,False,0,False,ai_md_official,False,1692171048,1692171636
87600,2254,36,0,20300,20300,1,0,3,3,False,6877965902286226433,False,False,False,0,MS4wLjABAAAA120SuIStglo1K1Rw4aEq8XIoAGsrtxFCYdOZ30ayhNlnyALav76a_y_ZM-omDfbG,False,3,False,10dh,False,1692171048,1692171636
343,5702,24,0,669,669,0,0,0,0,False,7155961423131132974,False,False,False,0,MS4wLjABAAAAQiU4RfC6r0Q-5zPF1Z_VIhTbeq79QgYUd1VRH9pY_0QgoG9FNjI8bDFp9FyK1mcQ,False,0,False,gainfulknowledge,False,1692171048,1692171636
601,1072,276,0,1733,1733,24,0,3,3,False,6637200646376685573,False,True,False,0,MS4wLjABAAAAIfzcZ8pWHk_h2So9fLSN0Shr8N_lDhJCFo3uD5wblFwHwvPbxWztE7KpAmZ3xJir,False,3,False,simobadid,False,1692171048,1692171636
7186,2118,270,0,6201,6201,237,0,0,0,False,6815832768020726790,False,False,False,0,MS4wLjABAAAANo1Mk4Tu3uohWW6ELJZtTKOa26pAyNoAWNoE7aboknK5VWHiIyWAGwsPFtYiSABo,False,0,False,franciscors52,False,1692171048,1692171636
60,1315,1,0,107,107,11,0,0,3,False,7264678380665865221,False,False,False,0,MS4wLjABAAAAM8-kLL9923dkDccohbYOFXo-1zNRDuY-I6e_L5vVpfjC0OVMMha4XwZAGPqzbXNf,False,0,False,rossyfashions,False,1692171048,1692171636
3273,42800,1570,0,8094,8094,77,0,0,0,False,7144530920342258731,False,False,False,0,MS4wLjABAAAAR14NUopAJ12H2o6brZ8JqsG73btkk653tPz4dcjMe_7xaNi9819kGKDxnRn1d11H,False,0,True,karibiese_bydanielle,False,1692171048,1692171636
33,549,22,0,71,71,26,0,3,3,False,6754220358901187586,False,True,False,0,MS4wLjABAAAAzuj3OufifcJ885FlX6RWS7xyoqXCuSpl76UsVYBLTPizBBko6X4ZWIJ9mtP9Dt6K,False,3,False,kailasherly25,False,1692171048,1692171636
638,1258,282,0,5541,5541,74,0,0,0,False,6808276379101398021,False,False,False,0,MS4wLjABAAAASw5HeW6Pgc-EOlco0KrWbRgcFWMkF7UK-M54w9_DiiOwqNjyRYvxXn6D9Hk4tQxC,False,0,False,beshoo5055,False,1692171048,1692171636
4995,906,762,0,969,969,36,0,0,0,False,7255030402690925573,False,False,False,0,MS4wLjABAAAAakhsgm1ahAD-fmiBZwgzBzXjAni1SETTKnbdBgKTxayXFOEkkPydYlDD5w5Qz5-u,False,0,False,ice.dolar,False,1692171048,1692171636
131,570,23,0,206,206,8,0,0,0,False,7161324653515588635,False,False,False,0,MS4wLjABAAAA5ES5vETZIrRn_fhPQzK_T7bUK-hzSvftWyL6Wl3McBu8DyVdUf0r3TghsnJ26t2O,False,0,False,innadona,False,1692171048,1692171636
