diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
3936,927,43,0,3055,3055,201,0,0,0,False,6952048901777114113,False,False,False,0,MS4wLjABAAAA67PD3ms_oCPMYz4-rg_TguF0I4Qc9lUpt7CUqgY6ewT5hrqShO2OrCzYsHaTPJgS,False,0,False,huongvy1982,False,1692254805,1694368340
4115,1137,1067,0,4838,4838,111,0,0,0,False,7109306615568548865,False,False,False,0,MS4wLjABAAAAjL_uOCxEmzo76LzAVv5hMLzZV5uZz8yLre_jMphObKVvxsFJ9JaovAIoGwKvsvpp,False,0,False,95trang57,False,1692254805,1694368340
2109,6099,585,0,73500,73500,330,0,0,0,False,7261795320068064261,False,False,False,0,MS4wLjABAAAAy0OrQqZ5YqNLoRfHKEpVb4EMaan23B3L5I7D1DzIbHlx25hz3ogkICicn3aNEMHB,False,0,False,kangescortsubang,False,1692254805,1694368340
1749,287,37,0,231,231,7,0,3,3,False,6838961070745781250,False,False,False,0,MS4wLjABAAAAe9DgcoocSgWTM4me_wzHRy9JzKAEaALKCWQV5KVVrtl-8dLGPnNCShoc1Q8U-i9W,False,0,False,yaudadeh,False,1692254805,1694368340
426,6584,30,0,2590,2590,72,0,0,0,False,7117029098180707374,False,False,False,0,MS4wLjABAAAAwlaIc2m7P7_NeT-maHb5g-e0juw-4ZTcdnpy-4dHMGx__auunKouTUU1ldtBYM2K,False,0,False,shubbcapos,False,1692254805,1694368340
806,6666,189,0,4333,4333,29,0,0,0,False,7062373820294726703,False,False,False,0,MS4wLjABAAAAwC6HJtgVE1RJ34J_FgOprWggtmJcpDRz2nkqG4XeykWjNdb_xDk6rrcaUXfkBKWJ,False,0,False,melanieg847,False,1692254805,1694368340
1895,48500,677,0,981800,981800,580,0,3,0,False,6785660866904146950,False,False,False,0,MS4wLjABAAAALKXFSpGBck2nlZpIbPd7LBW3F7FRI7lSyWLIeT42XqWPX6E69-G1iaWVTT-f2Oys,False,0,False,lucindapikkat,False,1692254805,1694368340
33,1138,29,0,480,480,52,0,0,0,False,7263087245354075141,False,False,False,0,MS4wLjABAAAAFhDrwJnhoKWGIfAXC6EBXzqvr6q97N8wG429ldonXN7Z2kNL5-si3CFIJKrW55W9,False,0,False,dreamtheduck1,False,1692254805,1694368340
3724,1627,111,0,11800,11800,74,0,0,0,False,6959232128883246085,False,False,False,0,MS4wLjABAAAAKx72-lm0-kNesmmEsoQHNpit9J2_G0wHxSpVCdDO3xWVWySd_QBbN3FOtD-ilCHz,False,0,False,perr1c,False,1692254805,1694368340
35,884,103,0,0,0,1,3,3,0,False,7264207875328492550,False,False,False,0,MS4wLjABAAAA0mkQr5jBbUO-zZflPX_m6Q8lLYL0Cco9bu9Tv5q0Z0QuMPbsPQ56kD56xrgsbXUr,False,0,False,offenokay__69,False,1692254805,1694368340
880,1785,314,0,930,930,12,0,0,0,False,7265889917996844037,False,False,False,0,MS4wLjABAAAA72p25kARxnIiPGwDs50hdlGfl6U2RYkJ10Ejj7YGki0WucbNZ6hUG67ek4nIrhYl,False,0,False,user_sonic.6.7,False,1692254805,1694368340
2444,1134,12,0,0,0,0,0,0,0,False,6975170490160464901,False,False,False,0,MS4wLjABAAAAA-FPeBkVXeQtVaQvKOoklF6Sm0WfYWMybX8OwlAqpqmr82KlIM07S4QI66Ar1xEY,False,0,False,softmajic,False,1692254805,1694368340
6,1038,8,0,1529,1529,4,0,0,0,False,7087265953088979969,False,False,False,0,MS4wLjABAAAAMACoBOkz4-pYFIPzlZw_DnTVMsZtpit965MVndV715mvUM8VKD7l-8_24yDU6Zj1,False,0,False,bayu_victory888,False,1692254805,1694368340
229,3158,247,0,7011,7011,120,0,0,0,False,7013347100554183686,False,False,False,0,MS4wLjABAAAASN5GettrIc2mhThUG_nW2QdFOvgRUE0aSb_UNIoloY5UL97iAYkjeW-18gcsJ9-r,False,0,False,mompreneurhayley,False,1692254805,1694368340
126,1031,15,0,33,33,12,0,0,0,False,7266432801372259346,False,False,False,0,MS4wLjABAAAAR_75P0bnw-dXFbStEhCKqMPzvbuJUBisjjHRgrfqzV0osOZQ4UCmAYFA5JHma13B,False,0,True,melukismimpi0,False,1692254805,1694368340
433,826,95,0,8050,8050,9,0,0,0,False,7234676706245641221,False,False,False,0,MS4wLjABAAAAlp9rWC5XjA-SCAJAgIPTzC3s8rMP9r9JRoXgu0A07ITrAyEjhunqhvLdgNq1jd7W,False,0,False,h25_2h,False,1692254805,1694368340
67,408,10,0,68,68,6,0,0,0,False,7017445263803761665,False,False,False,0,MS4wLjABAAAA1sTFqk2IKn7WjEyQAi-jMDxxtzG8cYtttoFM5KvecNdZ_fzLX1l-Mg7QKTeT4TBp,False,0,False,beecibo.idn,False,1692254805,1694368340
4,1392,1,0,6376,6376,1,0,0,0,False,7267331224858625029,False,False,False,0,MS4wLjABAAAAaJRiXO7q9b_DJ18yMYdPjhSr3Nqhk1BNSD4CaujvA4Tq94_lAQ4q5BtNF3xHkEMj,False,0,False,jamile.suzana,False,1692254805,1694368340
3515,1245,222,0,6623,6623,63,0,0,0,False,6671170275633790978,False,False,False,0,MS4wLjABAAAAdaysNbAuKk7eO0GnlLE9kPVMjvaqq8UbH8qFljeCtQDoJdycC6GwYdrYiVAdW9zP,False,0,False,.piaaayats,False,1692254805,1694368340
2672,1959,77,0,12700,12700,1,0,0,0,False,7160028864486884379,False,False,False,0,MS4wLjABAAAAob9iPf55MWbbX3AgM0gXL0g3lEGSxIRcO0F9VwUTBuyn9AdnX5l_7nnOBfeYPyOj,False,0,False,fvck485,False,1692254805,1694368340
373,1036,531,0,314,314,7,0,3,3,False,6589303581366321157,False,False,False,0,MS4wLjABAAAA2F-xcK1B2t3Js29vghs3p25rEqQaFMpK1RVJ-9s0X5o2CxgMbRQbPV6vnN-uldLk,False,3,False,ratherstupidthanb,False,1692254805,1694368340
2,20000,0,0,72,72,24,0,3,0,False,7259175314865472513,False,False,False,0,MS4wLjABAAAA-EjCQuhEkHq21kmeuiaXURM8ZVBX9vhPujhmVeO_hpXB3kEJPNhjKtbHD4o975Xz,False,0,False,pfholdingco,False,1692254805,1694368340
456,1140,104,0,1,1,1,0,0,0,False,7002463146627613702,False,False,False,0,MS4wLjABAAAA_-fmq84oT96HdJOAHN-07DIlZ0lx-MKSOtl5RHkHXS8Wm0BseNCVTOI0A79NcciR,False,0,False,troylandon_music,False,1692254805,1694368340
0,12200,3,0,4036,4036,22,0,0,0,False,7213820881188160514,False,False,False,0,MS4wLjABAAAAs4OQvkImD9TwX941kt1S8gioBFSC9lzSKM2szDkXXuJpAfYx7HLGOohPDwzpzC0S,False,0,False,judyandme1,False,1692254805,1694368340
219,11700,5,0,11500,11500,37,0,0,0,False,7093973512469349382,False,False,False,0,MS4wLjABAAAAYsBJkk3R9fej2dkkLDMRFMf2RB6xfSoDvikUyiGlFgQIWTYZgQ7ii_2aoiHF6sUH,False,0,False,z.shop4,False,1692254805,1694368340
67,1611,96,0,103,103,12,0,0,0,False,7266725266683560978,False,False,False,0,MS4wLjABAAAAmTjHgkRLD-zhyLZ8yeXE6etwC8KGkD95wf3q-7XMXdp6FjGNbR3IunvwXaSSTBaz,False,0,False,menikmati88,False,1692254805,1694368340
25700,1420,1050,0,5532,5532,102,0,0,3,False,6928156472418124801,False,True,False,0,MS4wLjABAAAAMquQ1by_S5GO80gIG1u0ENctXtXHZJKW2PDwLMXR5up5B7DEMyxbzvkZ0gWmrIkO,False,0,False,raflydr03,False,1692254805,1694368340
218,816,99,0,4248,4248,55,0,0,0,False,7166318492101837830,False,False,False,0,MS4wLjABAAAAXHI8YuT0EFb_am17tlbskgTxVzuGHrW-WUZs8nqTwgiYfkDKJBLLIdW4ViOyihbk,False,0,False,anaamuallah5,False,1692254805,1694368340
1656,24700,54,0,8342,8342,10,0,0,0,False,6922214706392384518,False,False,False,0,MS4wLjABAAAAzcNdNgKtjEH_ssdKN2va94fX6ra9nBAHHwUdbbvy3jzcbLrBoQphGR92oxUseC6B,False,0,False,zenetobsb,False,1692254805,1694368340
164,1819,46,0,1890,1890,60,0,0,0,False,7224181713725883397,False,False,False,0,MS4wLjABAAAAjAPD3MWxrbrb4Pilys37TusOUnt-nzZyN2qMX6lJc6WL7Vve5Jx1rZKZrpJvu0au,False,0,False,pandaclinicaesthetics,False,1692254805,1694368340
