diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,3808,0,0,20,20,1,0,0,0,False,7253221139460506670,False,False,False,0,MS4wLjABAAAAKQqZ3XaZ0kAEvANsJCnz4ujRDZdpTNCr8NUnoRbLiFxvzJ7MoXffoqLH_DcdeqNN,False,0,False,symposia.live.game,False,1689461578,1689463029
1590,34400,2535,0,10800,10800,25,0,0,1,False,7196020474404750382,False,False,False,0,MS4wLjABAAAA-KN6rvY9lqSkdpsJHS10VZMMJ3tXtycqn--iwlZCMGYMHtNUhlsC6PDaN0K4kiNa,False,0,False,1bulletproof1,False,1689461578,1689463029
25400,88300,564,0,485700,485700,36,0,0,0,False,6961010263756702721,False,False,False,0,MS4wLjABAAAAiHaOqQxd0_l8mxBANK4fhUWXpIyT-eIs3yIejWase6fRSwmPyev5iQDZRPZlVb6S,False,0,False,calvinanugrah18__,False,1689461578,1689463029
200,1126,116,0,374,374,36,0,0,0,False,7157493572796498990,False,False,False,0,MS4wLjABAAAAfaMrbeONlEFjDMVrHzRT0R9DuVemkKy04UqoNNuHo9scV81JXQUC0-2akTMvYtMI,False,0,False,hakob9696,False,1689461578,1689463029
16300,1191,246,0,4299,4299,62,0,3,0,False,6605599078657998854,False,False,False,0,MS4wLjABAAAAzetMuc_ERmSvSVIv2f4MfQmZm2nhi5BESnemYmTvIyOcXIw4XLknButVjeUxCug7,False,3,False,harun_can565,False,1689461578,1689463029
340,14500,15,0,7548,7548,8,0,3,1,False,6923042491051754502,False,False,False,0,MS4wLjABAAAAr9FzoxHWw4jS8FwY2iEXX0PLapkaheW5b0uEpPNOAFpjbPeLFqvkziCHobuXpBmh,False,3,False,eeeezzoooo,False,1689461578,1689463029
10500,7309,191,0,3896,3896,12,0,0,0,False,6798844862675321862,False,False,False,0,MS4wLjABAAAA8gMnKknGCwunvMuYWzhc-OzsTbxrefTVuS_I7I2Ab-NoRB3uaKFScQ8unFlUQIWK,False,0,False,al3nzi_87,False,1689461578,1689463029
345,1085,11,0,255,255,0,0,0,0,False,7127259933742154757,False,False,False,0,MS4wLjABAAAAhMNTRWo75nz-UWoS6CK2YuIIYXzfRYCy_L2MiZlCCrX9moWzD1wV3nJ40gdootT4,False,0,False,musclefactorytalks,False,1689461578,1689463029
7312,2499,764,0,8678,8678,21,0,0,0,False,7255246190748468225,False,False,False,0,MS4wLjABAAAAc7lRFWqRsIS1FjmS7bJCX8ItPOLaogzABOTkK4suGhclaAb-YrSw-rvQZc_RgnbL,False,0,False,fn5777,False,1689461578,1689463029
17500,16500,415,0,31700,31700,14,0,0,0,False,7118420897163117614,False,False,False,0,MS4wLjABAAAAQGuPN7xxNrDJ4vXBldvsU1DJrwSy3G8VAb_gnd0x1zcl3E2OOF9vXueBXSBJ1hce,False,0,False,hailsmariek,False,1689461578,1689463029
0,1145,0,0,0,0,0,0,0,0,False,7256138917592843291,False,False,False,0,MS4wLjABAAAAr63Ee1ZVCj9fhGeuB4-C-nyCmD1090fyKeyR43y-8AakNp0ioGYmDYi5Yrxeg_D2,False,0,False,id2b40ez2r,False,1689461578,1689463029
3035,1797,170,0,7408,7408,11,0,3,1,False,151892761779175424,False,False,False,0,MS4wLjABAAAAWn81q7CA8nVhqNH6fHrnOaFX1jRrkRNtEjZEtnRCubTmNLQ1R5KaAb7oJVuZkazi,False,1,False,chinookvdk,False,1689461578,1689463029
1,1114,7,0,0,0,0,0,0,0,False,7256136520875164674,False,False,False,0,MS4wLjABAAAA6JwSyGlw-pjPBI7wMRsRqIIxRTGmSYHPcAxbCkgzXmhzxMxJgaOfRUjCeUhT8tq7,False,0,False,nhs320,False,1689461578,1689463029
