diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
69,10800,5,0,4247,4247,107,0,0,0,False,7038594130466030594,False,False,False,0,MS4wLjABAAAA8DWv5s2f35Ac6iN7F6oDkSSuT1JVNX90uZr2nXE02sSEgtQ7DoF7Ok5-IW6t9hFZ,False,0,False,boh_266,False,1696235645,1696236498
11900,5452,254,0,1245,1245,3,3,3,3,False,6545784027645952006,False,True,False,0,7285818614702852872,MS4wLjABAAAAqtIb8IDMWGUVCKCia9mfQVocNDq8ieZ024qHqbMC65yKgs0ZIgd2prDOrEbnvkAB,False,0,False,aquacintu,False,1696235645,1696236498
8070,11400,173,0,7537,7537,24,0,3,0,False,7145469263016559621,False,False,False,0,MS4wLjABAAAAPuUj1FSGcZ5yN0MOfV-q-C4iYUnq4_TuvHAvOTZfS_RzgXf39ujuQpUiNM5AeAYN,False,0,False,elainevm2,False,1696235645,1696236498
1728,7429,4135,0,1706,1706,9,0,0,0,False,7265525794737996806,False,False,False,0,MS4wLjABAAAAlu7rMsKJTBNmkSMDvDgP5a0ImZiVxhK-Fa8R1Q11uGKUrNjCLiyNP9yDZ8bg8CXq,False,0,False,khedr.jalelah,False,1696235645,1696236498
0,5243,0,0,1201,1201,3,0,0,0,False,7284290461715006472,False,False,False,0,MS4wLjABAAAAqDb6ZMj54UhogT047PHA2ybFHDQwL_7--wF4kWgPC37-p6jdf6zcMQTsmaiXkMj0,False,0,False,wahdabaya,False,1696235645,1696236498
1,5320,1,0,3,3,4,1,3,3,False,7279781200440607750,False,False,False,0,MS4wLjABAAAArRiln4fwP-SkJRWdpjDrUfIa2OMlzpbGsFvDak_492c1RDPoLOw1emr5aFFZ0a5G,False,3,False,bizzyaskitv,False,1696235645,1696236498
2455,10300,70,0,3431,3431,129,0,3,3,False,6793721436969747462,False,False,False,0,MS4wLjABAAAAxtWznLaYZuCBkyCWoC-ICs4fLmGZQrExfJHbImNTsJ5H9igKc1q9fRCT7OVGGkvQ,False,3,False,wsw055,False,1696235645,1696236498
0,11200,41,0,9752,9752,20,0,0,0,False,7246026204612019206,False,False,False,0,MS4wLjABAAAA5Lz4Uow7cBbJzTWdFavAPzBDVKupG8Wklx7q3sCHkRIyr332d4SG5hEDcBRUvy4X,False,0,False,cewetiktok69,False,1696235645,1696236498
26900,6319,367,0,2463,2463,38,0,3,3,False,6828220984874927109,False,False,False,0,MS4wLjABAAAArOyGaZlWwQS-YOnc5eJELQ9Cjp1oFb9L5CeOjy3CbbyaIQyvQyYGrtMykOrcCo9d,False,3,False,xbnt7rbb,False,1696235645,1696236498
291,3203,110,0,0,0,0,0,3,3,False,7265278792363836448,False,False,True,0,MS4wLjABAAAA_5xhHFmh2V-G6jZM0jOsyuypMb4qYNk68gp2Q1PRrVIqDW5eMrW8WUs_xGY3uKc-,True,3,False,ryan.kong10x,False,1696235645,1696236498
0,6419,0,0,1611,1611,7,0,0,0,False,7282871879567983649,False,False,False,0,MS4wLjABAAAAG4MmsagQbok17adKLSX9XPX0PpedbkonHH3NoPY29wnktQF7dI4o24W6z2i_xyCA,False,0,False,histoire.dun.film,False,1696235645,1696236498
634,11800,11,0,36500,36500,30,0,0,0,False,7247345830335087658,False,False,False,0,MS4wLjABAAAABr1ujhiD_1LZEegcrVorMrStBWsnGuE1HAzPxkvJnZz7kovCn7YgMRvxdSmU-LTZ,False,0,False,true.crime.news0,False,1696235645,1696236498
5,4498,3,0,3418,3418,14,0,0,0,False,7281520769259308075,False,False,False,0,MS4wLjABAAAAz-s9RzayB9LU7i1WoxpR-a0Yz7GbQld9JtegfSJCr75pgVUuMU_ru1GTfHXML7H5,False,0,False,lightningmcdrift,False,1696235645,1696236498
707,168500,1907,0,117500,117500,282,0,0,0,False,7113573876432978946,False,True,False,0,MS4wLjABAAAAY9Z6NwCRST1meJq2GA78QFoJnCjWXVNfoEq96qsnD--Snp4I0yuEdxZ4RJZwn1By,False,0,False,areejalqaisi23,False,1696235645,1696236498
13,6673,13,0,0,0,0,0,0,0,False,6880891594431759362,False,False,False,0,MS4wLjABAAAAjh0R9GcnYW7KXiEcTZ0EXF74uON7Cb8iO4hNmDN7PZHxXkLiZDQgG1gtqIWpk0Hu,False,0,False,herbertrsim,False,1696235645,1696236498
2359,25700,137,0,47500,47500,106,0,3,3,False,6553562236483277839,False,False,False,0,MS4wLjABAAAAD4G3Mu0HyCnR3rkZQ8KUcDqeX_6__zua2bhjjLGCHZNh8TurB6gAagh845NRKdM9,False,3,False,ie_314,False,1696235645,1696236498
0,117100,8,0,70300,70300,5,0,0,0,False,7225727513774785541,False,False,False,0,MS4wLjABAAAALWGeTSzVNgZkO7DXPRxmBpWjn5IDQOtMlv7ZNNhEMMstYI7FjmYH9MBcLZpPZTyi,False,0,False,anonymousjetguy,False,1696235645,1696236498
1,6084,0,0,544,544,54,0,0,0,False,7281693810336662558,False,False,False,0,MS4wLjABAAAAtpTBJiZdxm2sXgrSJSEjapOqxoAh-7S8qc1VQjVdVqAaBwtxZMGQedeeyOwc5WiG,False,0,False,tiktoknew7683,False,1696235645,1696236498
17,10800,0,0,51000,51000,119,0,0,0,False,7270352030429479982,False,False,False,0,MS4wLjABAAAAm83bjQJRdVV2HiEJ9BrjgXqKDIFlrVv_dyotCKYNX5H3zUZSCLHhsDLgS94B1wPl,False,0,False,policewatchofficer,False,1696235645,1696236498
11000,6302,860,0,32700,32700,81,0,0,3,False,6913776845432767489,False,False,False,0,MS4wLjABAAAACc3YqYkP6ay6_WpDAZzp98BcaRzDRXA38NsX8Dv0UpSQ3Q5fQX2HxCanUymQrtj-,False,3,False,wrrl6,False,1696235645,1696236498
1549,1120,85,0,74,74,23,0,0,0,False,6608878112209092609,False,False,False,0,MS4wLjABAAAAFiBtejDmPFPiDshWXvEOKRzMY1qoCQstZRNxxyvnt-8C0eSTAg1xtzSpGbfqXOKF,False,0,False,17_ica_,False,1696235645,1696236498
963,2215,20,0,458,458,8,0,0,0,False,6696918013612491781,False,False,False,0,MS4wLjABAAAActN-i-QWmX9kY8gqdqNAFsb-OWXNeoU0fultoLyzt12OXWd80poMEcHHeF_2jkkE,False,0,False,ptq.98,False,1696235645,1696236498
228,8128,1,0,459,459,3,0,0,0,False,6814438482037310470,False,False,False,0,MS4wLjABAAAAVdHHNFg-qw2dTTCDcaiAebhdSVqKTWLBIz7DTmDd1RNDl59PR5TeY7R7WA1saOk0,False,0,False,refozi2,False,1696235645,1696236498
12200,38400,311,0,181600,181600,156,0,0,3,False,6657181659630993413,False,False,False,0,MS4wLjABAAAANA_Hvt-Iwrzs1RLHmrrMtFQA8t351pF0AsesQ9jSrnrygqoykr2smru82bRpUR98,False,0,False,vip.ahmadjebreeni,False,1696235645,1696236498
21,67300,69,0,176200,176200,67,0,0,0,False,7262910111907595269,False,False,False,0,MS4wLjABAAAAwistgybsaM5CI0G_D_RpTNpT3xyVq7Sj99HpLjWKl2HSgg_v8_Gp2_QnPuo42DJE,False,0,False,mykenzzy,False,1696235645,1696236498
39,4446,187,0,578,578,49,0,0,0,False,6874072936157742082,False,False,False,0,MS4wLjABAAAAjdR7jcVUuRK2NrM0m_myBUPv54qV63s2m5XqzxjteML8ICk8LC68chw2Ak46v2jE,False,0,False,diarywithmyboo,False,1696235645,1696236498
2573,6595,429,0,4003,4003,25,0,0,0,False,6531846368288309249,False,False,False,0,MS4wLjABAAAA0AQwERkv2a188vCiTUAB61Ku8J31JAwKo-OSgN-F7LHXcydOogFqwY419lcmOvQl,False,0,False,33khk,False,1696235645,1696236498
18,23400,0,0,28,28,24,0,0,0,False,7275413242612073515,False,False,False,0,MS4wLjABAAAA1_GWQGfriizfMQshpRWwiD2YYXQSqQW-3-98O7p4U53JExCW8OpgeaSQ6-oPrhWe,False,0,False,lllluvcats,False,1696235645,1696236498
57,5552,93,0,3298,3298,6,0,0,0,False,7206575187243222018,False,False,False,0,MS4wLjABAAAAc-YsWIQh5Z3VdxU5XCyuGAUie75yu99L7nrv6dkG-kER4DW-MCDOERWzZ-DpbIWq,False,0,False,moha.tec,False,1696235645,1696236498
4,2577,30,0,3356,3356,38,0,0,0,False,7275893465907872775,False,False,False,0,MS4wLjABAAAA85QPo6eJaxfkL_FSRF7Qs99sCp3hCMGl4TDJD5uTRKwOfcMN9nusTQr581rgqH6e,False,0,False,l8_3i1,False,1696235645,1696236498
315,3452,98,0,22600,22600,21,0,0,0,False,6735793907772916741,False,True,False,0,MS4wLjABAAAA-AALHFUoRRbdVQqoqZ96d-Fh2XLWJa7TMac8DvG3CzsG_3vSVJpnF_cjZGCq-c19,False,0,False,.saleh97,False,1696234859,1696235630
52600,2398,9754,0,5005,5005,28,0,3,0,False,6866186976996541446,False,False,False,0,MS4wLjABAAAAIkAW5NSmzLhNLj5XewkB_SRjGQJsqcIefJPneg-pCEzHC5ZUqNCtJ5AoF2pZpbcL,False,0,False,oscarandino29,False,1696234859,1696235630
5,7254,1,0,0,0,0,0,0,0,False,7280172552973419521,False,False,False,0,MS4wLjABAAAAzaH80V1jcxOr5m7oVYvuEjhtGCGg2IJGAGz99s4G1zNMyqk9eIbRq2ypzVpzoYg_,False,0,False,lwt_losses_recovery,False,1696234859,1696235630
27900,15200,510,0,57600,57600,1596,0,0,0,False,6677169936232793094,False,False,False,0,MS4wLjABAAAAazFq6LgzUk0dWKjOP31yQ9SNklU87ZDUGqUKy88FNPCWKx4MmeiEeKxJAvysPqek,False,0,False,alnajlaagh,False,1696234859,1696235630
16400,42700,91,0,449700,449700,299,0,0,0,False,6960097336492524545,False,False,False,0,MS4wLjABAAAAgNJAypeIk0KSpEuzKp-wnV_iOhCryq2LmpZ3PYJ38YmlZ4Cl37iyh3vvpS_Zu0dj,False,0,False,blogger_ii,False,1696234859,1696235630
3618,283600,574,0,3200000,3200000,7,0,0,0,False,6701413960447689734,False,False,False,0,MS4wLjABAAAAKtv7DjF4hWmcc5mA7qnJNVVTACPU6jlm0155q_DN0u31CwBKrEwgSr2h3lNdl6wj,False,0,False,lybachin,False,1696234859,1696235630
1,6511,0,0,142,142,8,0,0,0,False,7269059543563486254,False,False,False,0,MS4wLjABAAAA2Dj4AOJinlhSJJA304pxhRTDNmv3Yw3JooV4l9vm0oguo_uLRpNXORRiYn5KRQJC,False,0,False,vroomvibeshow,False,1696234859,1696235630
174,10400,83,0,197000,197000,30,0,0,0,False,6881347158446195718,False,False,False,0,MS4wLjABAAAAmyeoQ4B5Hb8SYwsrBjQCTHlOO72oSG1HieiXUN46eP4XEtKWW2fLmQ2GTuOqCB_U,False,0,False,7_figure_ash,False,1696234859,1696235630
319,6386,69,0,858,858,81,0,3,0,False,6609313899312267269,False,True,False,0,MS4wLjABAAAAEVIAtEdo8Rx2pyz_E4RuvS0gwvZ207Oolr214Voy9ogSG4KiNK_ppf6hx-f2rGWm,False,0,False,user608758001,False,1696234859,1696235630
1,7367,6,0,274,274,22,0,0,0,False,7267503387616314414,False,True,False,0,MS4wLjABAAAAdZ3dYFeZ-6iw0H_n5lYLCUMVFw17txHsYmpV3D004maQqBHwK3gvfeDKsS3j6b4f,False,0,False,israrktk555,False,1696234859,1696235630
10500,5358,92,0,139900,139900,181,3,0,0,False,6913519843971089409,False,False,False,0,MS4wLjABAAAAggVsO73OzWgTDwBJL28V2pYvC6KIweDuEmer31piyEtnmK8glha3fFyi0ekDif4v,False,0,False,maherofficial15,False,1696234859,1696235630
0,2089,0,0,0,0,0,0,0,0,False,7282820059931935752,False,False,False,0,MS4wLjABAAAAzuEQjuuW4aRvRDOt_3eSZT6SNImlVsfv1LXCotbzYb1nZdcLHvxtHsh9TFdkRmmI,False,0,False,zxu_assetto,False,1696234859,1696235630
1379,7877,201,0,6815,6815,5,0,0,0,False,7126701032650769414,False,False,False,0,MS4wLjABAAAACRUdyR7v-Wc0QoN_Nk8OeoCoV90Veko5hLtUwsZ7Xd_QR3sJGnGdan-07_pDsTMZ,False,0,False,x.m855,False,1696234859,1696235630
15200,10100,1140,0,94500,94500,512,1,3,3,False,6711132886155740166,False,False,False,0,MS4wLjABAAAAKXUgGf4gl60chWWkqpv_k7CFg2O3w4mE44p-sq6aBDmZRfZmUsKDfZym-NQiFz7O,False,3,False,rincon278,False,1696234859,1696235630
28000,12400,1126,0,52100,52100,14,1,3,3,False,6737705015052698630,False,False,False,0,MS4wLjABAAAAMvU1coVfuy7IJDgH3sHYgtVm_Is17Bel2nihMgLYytMzoT_S9zs4n_PqtEg82Ekw,False,3,False,cesoironpleure,False,1696234859,1696235630
277,1621,24,0,702,702,7,0,0,0,False,7254867338482549786,False,False,False,0,MS4wLjABAAAAozyruGb8fkYs4SfrmNXtiQ6-TlXPai44M-1PLSh6gYOXeXH-G46PGnPojMBc7vjJ,False,0,False,marco_piras_photographer,False,1696234859,1696235630
0,13100,0,0,5386,5386,8,0,0,0,False,7284168332613157906,False,False,False,0,MS4wLjABAAAALL3nk1Opy2h9v9VsYF1MTtsA0vs95UyeRk7mLPb0M_HUGTW5ez0npUI1Tq3tXMpK,False,0,False,mhm_indonesia,False,1696234859,1696235630
337,2379,133,0,0,0,0,0,0,0,False,7110350859103765510,False,False,False,0,MS4wLjABAAAA5t1CkxYSFWNU_JuAcKSOYm50BBTe_ktrfveAE4zfjR3xrWTuXGIhRqmX3Qx3jO32,False,0,False,www.huda14,False,1696234859,1696235630
423,1127,131,0,1040,1040,68,0,0,0,False,6760198259040404485,False,False,False,0,MS4wLjABAAAASc8MZBHtX5uMJBzKoueHC8H9dDQMFK0Uzg2X4sNmThahhnPQj6vi0E3kg3tNNQnG,False,0,False,50tomm_official,False,1696234859,1696235630
554,179000,11,0,935300,935300,54,0,0,0,False,7221916372250084357,False,False,False,0,MS4wLjABAAAAzd6oUnZX8aV3XBQqgWDijw0LP_KjCH4L6RLUQFSztXBuZ5uz0LxQFLqzISWo63ma,False,0,False,amyyyjadee,False,1696234859,1696235630
0,13100,0,0,27100,27100,33,0,0,0,False,7280028318331323438,False,False,False,0,MS4wLjABAAAAABHsjkCBAaMAuLFN4mRTYh8G2XgUGhaiBf2PI9YPX-keTZ68jv9a3DzB_GKn7oqm,False,0,False,stephaniemckeeknar,False,1696234859,1696235630
285,1171,74,0,416,416,10,0,0,0,False,7276070801455072258,False,False,False,0,MS4wLjABAAAA5nQAd2vyubMRdkxQKTqBXXgv51UxkDTGT9BgiyX6l-CuIv52LFsOkQ5P6xQstvEq,False,0,False,llioe22,False,1696234859,1696235630
19,3194,45,0,1237,1237,33,0,0,0,False,7239899831429284869,False,False,False,0,MS4wLjABAAAAz1-SPysX6fSN_K7wWvOENwleYhGzoC_pkzUj5H8V2FKaisMG-pjyn0Z7dIJ8hyiM,False,0,False,pugachevgeny,False,1696234859,1696235630
13100,11000,842,0,3796,3796,47,0,0,0,False,6729196461063881733,False,False,False,0,MS4wLjABAAAA8CbTLWc4OQAiXLuW77MWzqFqZHaBTnYZmZp1G-RAkxq7ilmxTBi8GveH3a7FIMuK,False,0,False,aboturket,False,1696234859,1696235630
1,10100,0,0,8735,8735,12,0,0,0,False,7244552697755026478,False,False,False,0,MS4wLjABAAAAq1d5lGc4luk7BqXjMqCsQPkwgRStD9WXPmgnq8J1V_9kMAZNOWaU62wwV61WLCeX,False,0,False,karen.kevin.usa,False,1696234859,1696235630
286,6392,48,0,275,275,7,0,0,0,False,6819165948450702342,False,False,False,0,MS4wLjABAAAASv6tI3utZC7KKfkyuY3n4SppcAtxTitROvSn_sQ9pzUuK_BH-8mxcgtTe2DzZ9jO,False,0,False,gerberbabyjohn,False,1696234859,1696235630
5,4311,128,0,57,57,13,0,0,0,False,7274141723838710790,False,False,False,0,MS4wLjABAAAA9XqOwM1o0mMuTk56kB5YS1WwT1-mpBZAmcl6d6nMHfKRTBxJDnfUqfZDOqXowimV,False,0,False,bizzyaski_pinklip_magic,False,1696234859,1696235630
0,9775,0,0,38100,38100,41,0,0,0,False,7274476105527378949,False,False,False,0,MS4wLjABAAAADDD1_cgblDa1PqvbDiIe39MBBeBtiTgtKYCLGQVGQcFs9tOD7sw3CvXr0YbZ9pgk,False,0,False,qnlyq1,False,1696234859,1696235630
0,11100,0,0,3387,3387,10,0,0,0,False,7284119069777806379,False,False,False,0,MS4wLjABAAAAOEncSS52Rm_0L2VF1R-DJWFfv52d6xmWSGSwpWG9pikMxBnm82q6pc4eFzJHZl5f,False,0,False,brittanykellyecsjioyb,False,1696234859,1696235630
355,2410,90,0,5585,5585,16,0,0,0,False,6809104283771847686,False,False,False,0,MS4wLjABAAAAo1YMrprYXLRG9JXy4Pe7kS5711maU163cyddmt1EGE__L-soiSVW-imvYCjfRVc4,False,0,False,solyabdelaal,False,1696234859,1696235630
19,1801,68,0,37,37,7,1,0,1,False,6674338593832993797,False,False,False,0,MS4wLjABAAAAuY4o5wXY_F-9u6F09ct2hdysrl6TtWeax5cBVbYwmKHw8tgh0big8IFcGo8TTd6h,False,0,False,m.alahmad.215,False,1696234093,1696234846
31900,26700,4099,0,21800,21800,6,0,0,0,False,7047543127699833858,False,False,False,0,MS4wLjABAAAAjxyqTRsqTg2H6FvFObHzJT9kdTjK7YXGNkgcNQYDEwqPKyOMXne69GU-2X0NKxlK,False,0,False,9ai9,False,1696234093,1696234846
933,8279,1317,0,3609,3609,197,0,0,0,False,6996251062429713410,False,False,False,0,MS4wLjABAAAAHffZXWZDfuDMXHRrBtCqkT-1scuXBB_Y1Cw_udFfVb5RAZSNM6smeEtudOG3o-ni,False,0,True,moogyandmommy,False,1696234093,1696234846
434,8576,1070,0,2690,2690,27,0,0,0,False,7220980711328629806,False,False,False,0,MS4wLjABAAAAC7iouxcCXAutA6fyAH_MHGu4b8gJ4sexX0J7_vty9_CKQ7r1Bu09fqPrVfeRN4N5,False,0,False,mrceasefire,False,1696234093,1696234846
653,4262,545,0,28,28,9,0,0,0,False,7104186725291901957,False,True,False,0,MS4wLjABAAAAqTzstcLQGYx4qP7yzWXn2DJCbAO-j31gZpCMDeRzmDqX6rvRdc2Czj0ffzsejrPo,False,0,False,mikeben457,False,1696234093,1696234846
13,6629,156,0,138,138,52,0,0,0,False,7276269144956863496,False,False,False,0,MS4wLjABAAAAUtTzfJSjidjRJE8jLT3zDgscZKAIkZ4F--YgYDDMpwpbGVr7DV4eV9n1tDcJUXIG,False,0,False,abumottd60s,False,1696234093,1696234846
10,1053,4,0,19,19,5,0,0,0,False,7264391981551158314,False,False,False,0,MS4wLjABAAAAFhM4NozWC076A6zOJ-Wp1Pnj9r5mnZGi21uJMZ_P8Fp4SKh2NTOtSb9gN3sbqodf,False,0,False,pureenergymusic83,False,1696234093,1696234846
7436,900,3269,0,0,0,0,0,0,0,False,6650868134075236358,False,False,False,0,MS4wLjABAAAAI22bdvXupu9PiqCo5D0hpO9KqkgG2mjizgqfp41gJHmJ54pEUie2EmTO15eg-pov,False,0,False,ahmadaboaboalhija,False,1696234093,1696234846
9331,10900,136,0,1126,1126,31,0,0,0,False,7142364430612644866,False,False,False,0,MS4wLjABAAAArctZwXM4t-np4OVc2BE79CY7qHjBo2XeCgjwMwaWewTuLg_EsAjLgeoeyHL4YWmU,False,0,False,irwansy_h07,False,1696234093,1696234846
6,8811,2,0,9951,9951,80,0,0,0,False,7255793471582913578,False,False,False,0,MS4wLjABAAAAF0SEh-Wv0qgGe4Xn3i6Svwwl_OQQJ1-AWHV7eRXoBt7_HNFCnL1Ru3ufnyXn0Dim,False,0,False,dt20233,False,1696234093,1696234846
7227,16500,97,0,4753,4753,29,0,0,3,False,6991605847373874178,False,False,False,0,MS4wLjABAAAAkL5GhMgkHAu7QSFmBXlQGeK2eDtcVd98b7tXvrbK25vfgTUeqis-tyrwZv__k1s2,False,3,False,mofroh505,False,1696234093,1696234846
1,7843,0,0,5377,5377,3,0,0,0,False,6992438370916467717,False,False,False,0,MS4wLjABAAAArvNKeh4eXVH2MDF9iVzKCvy114u96swY7VbrDEFIB06GsGoLUwwt8PLuAZlgX2KE,False,0,False,warzonehack00,False,1696234093,1696234846
537,11800,119,0,2661,2661,14,0,0,0,False,6670367002937327622,False,False,False,0,MS4wLjABAAAAGNHdZt9iIlqw-mk-G0opqQStbQI-Eb0pUqFEuSdRUOsA0COrPH9tbPysXGb2nEwj,False,0,False,dongangster,False,1696234093,1696234846
216,5925,4,0,8122,8122,18,0,0,0,False,7138575010344059906,False,False,False,0,MS4wLjABAAAAAv3NiqP_KJozT29Iah5Afy4s06tRj1d7tOzp-ZlNdzMALi3TS_5jRuI6omy1WabA,False,0,False,engmoshaa,False,1696234093,1696234846
670,1674,317,0,4825,4825,8,0,0,0,False,7036977320779727874,False,False,False,0,MS4wLjABAAAA4NPx8Cqh2nHaPXkLFyyoBTVsOik7oL5_xCgshQ8q_Dns8LMX40u4TnWDWfEgAwxB,False,0,False,chengxi10_29,False,1696234093,1696234846
61,1373,54,0,3536,3536,21,0,3,0,False,7105453987708666882,False,False,False,0,MS4wLjABAAAA6CdrFOZUyg7iFxOkYIncSeYM2aYVp54lvulGih-ZYViObVtEC_EB-TX0JlIOsdut,False,0,True,asratech,False,1696234093,1696234846
226,53800,122,0,215100,215100,275,0,3,3,False,6819108636926772229,False,False,False,0,MS4wLjABAAAAmB5Gg_vHZ2hVWTf3MLFM-uXGnhkP5gmHmi6xglqvn3hB8XZi5XgScPcROU5BxSE2,False,3,False,jorgecontrerasmexico,False,1696234093,1696234846
3881,1695,825,0,5182,5182,122,0,0,0,False,6799130625415021569,False,True,False,0,MS4wLjABAAAA5RtcyaXWiioUMp9Noxa7CUPia4g_H3xyC7hpDnE3LzNTxY_bVcpN7sQeDCSJOhz8,False,0,False,mr.aftabarshad,False,1696234093,1696234846
266,1099,226,0,205,205,15,0,0,0,False,7185312856744707073,False,False,False,0,MS4wLjABAAAA7PxH1Nzsb1tqUCTlzsHf2IpN7BaFCj6STpXapPrvt8y5n58EMywKRA0Q7ZxF3yoq,False,0,False,m.methah,False,1696234093,1696234846
5976,25400,55,0,474500,474500,116,0,0,0,False,7023066211212035078,False,False,False,0,MS4wLjABAAAAK5UbZI2PS7PMXmTN_Zm_klYeUqQIU-K5MLvzTuem2j6opf1HVUS31T8Ba0mbG8HI,False,0,False,lameloballlegacy,False,1696234093,1696234846
8,2080,13,0,17,17,1,0,0,0,False,7278691685973672967,False,False,False,0,MS4wLjABAAAAa4gqe9ZNv47UHhR9y9gUuBcDTnWvdzNul5SS9TltqerfmXZc1AxIlaUAHSuKWSSb,False,0,False,roz_ar1,False,1696234093,1696234846
3028,19800,134,0,1640,1640,6,0,0,0,False,7000912643075064837,False,False,False,0,MS4wLjABAAAAmowhiY_7gDbiKUk_4OEdhEPN-ADa-RxnxkxRz31Sw-K4EjOeLlWD8WVzo3CebXBI,False,0,False,englishrose_momvlogger,False,1696234093,1696234846
2743,3071,3639,0,3159,3159,62,0,0,0,False,6809768754626184198,False,False,False,0,MS4wLjABAAAAlbnzgcEEadxggBDs2gXJcoCXYCsJv_F4hxuqBbXW7BNubPt5h1YbVDeKAn6iPN-D,False,0,False,a0558888678,False,1696234093,1696234846
557,7445,516,0,15200,15200,178,0,0,0,False,7213640820422902811,False,False,False,0,MS4wLjABAAAAAHv0bqVxydqztouz6uEm6EQOJnCl-I9vaOD1iOyIM__np28kvWNg68kW_fDt5IMJ,False,0,False,flore_filler,False,1696234093,1696234846
5,6546,50,0,2789,2789,34,0,0,0,False,7279712922270893088,False,False,False,0,MS4wLjABAAAAutyd3xLiummRif7QRt8nmMN9O2y_8uOX_-JTlJko-4hq2hK8rDZed2gpUmNUBB0v,False,0,False,sat1sfa1sant,False,1696234093,1696234846
57500,620,18,0,3468,3468,3,0,0,3,False,6835098623225086982,False,False,False,0,MS4wLjABAAAAfqDoiNedAI5Gh5zYoipQhdS8eanSgC8GqwCcM2rrLCizOelPn8mFmCwfpP-IguEa,False,3,False,tp05,False,1696234093,1696234846
0,10700,0,0,170600,170600,96,0,0,0,False,7274432401621795872,False,False,False,0,MS4wLjABAAAAqg62tUmNsJphifZ7IH_wzG80PpheT4xFMMa_uIB1tXa_TevcAGb7vS2LHphp9HjA,False,0,False,yakyu_daizen,False,1696234093,1696234846
287,5485,411,0,2768,2768,188,0,0,0,False,6815279903871124485,False,False,False,0,MS4wLjABAAAAANpO1F-gJayy8DYzx-asVLi5_jxriScHT_2z_CzrtuZmzIakSyJZq-7gN2zaHsvW,False,0,False,green.609,False,1696234093,1696234846
330,2635,143,0,6695,6695,7,0,0,0,False,6860574790539215878,False,False,False,0,MS4wLjABAAAAz3I7maOU23TncNvAV5KVy9IRu70eXHAk9NT9aBZmqYycQX3ktBPhkev6EZjn4Y36,False,0,False,gabru_punjabiiii,False,1696234093,1696234846
0,1057,0,0,0,0,0,0,0,0,False,7267455084011586606,False,False,False,0,MS4wLjABAAAAwqQNdKrKuMwcll57Ts0WiHWEM-U7XVXv_UVq73aEtGo0Rcrf8CWz1kX7iiYfsjS-,False,0,False,user12185301728043,False,1696234093,1696234846
39,10400,10,0,8156,8156,79,0,0,0,False,7271557853545694254,False,False,False,0,MS4wLjABAAAAwy_XzhmChIXtLVeTLnW2paNkDFLRpIBj4zuBLKcC7eNp3l3wuIYniKMQXoL35_VH,False,0,False,dailyclipz999,False,1696233620,1696234075
245,2213,59,0,51,51,3,0,0,0,False,7274853959561708551,False,False,False,0,MS4wLjABAAAAil3DD6kDvJqeF2VXomACOgP17LYm5RhVYs68iTA9Pd2DdtBRHl6AanGXFn-0Scjn,False,0,False,llji4498,False,1696233620,1696234075
26600,24100,228,0,45600,45600,10,0,0,0,False,7035041109601977345,False,True,False,0,MS4wLjABAAAAdDoqsWZ26XtvDiJ1biN9qxVIfxWE8KW6zYNB6fGHy4K206aiDNEefneCH2XHTiPB,False,0,False,asmdsaad,False,1696233620,1696234075
107,1092,129,0,54,54,18,0,0,0,False,6926423068332327937,False,False,False,0,MS4wLjABAAAA0r289sUyXiun1RVZEYJb7VcsLdUs5d1QLcS-u9mZmuuY0RM4y9O1sugPryKhRKhu,False,0,False,hoby.gowes,False,1696233620,1696234075
8374,949200,1868,0,4200000,4200000,962,0,0,0,False,6558128216060723205,False,False,False,0,MS4wLjABAAAAsa9zIy2p3iVkWg7JhZRDb0_61Ce2J4KxlC62uAsb8zPN_jwV1et66ypefhtkPJik,False,0,False,a.0,False,1696233620,1696234075
279,8773,208,0,327,327,16,0,0,0,False,6929065264488023045,False,False,False,0,MS4wLjABAAAAhOGIpu2dhWPE-y3TNu_cKg6xiqNELFmQ-_5qWai0-kidgeDc0xcpmUzxLx7XPHne,False,0,False,majestic.r,False,1696233620,1696234075
3565,3776,805,0,719,719,64,0,0,0,False,6966134986672227330,False,True,False,0,MS4wLjABAAAAdo5ErPlcuKhpmZscfkYIzybaMYFyCSlu47kLe2ry47Jbwo_TLo9UCLXN_AqTBTs1,False,0,False,fafas0888,False,1696233620,1696234075
41,1388,390,0,2161,2161,6,0,0,0,False,6965459744023380993,False,False,False,0,MS4wLjABAAAAFzOlxgyJbtelL5fOe4IyvCXdvm0OCozSpBkvviCDFSJM-1g6it9nRFAiGHp0s8b9,False,0,False,seputarpujon,False,1696233620,1696234075
