diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
162800,6424,368,0,209800,209800,55,0,3,1,False,6835264328145814529,False,False,False,0,MS4wLjABAAAAv2XOsLxtqzzXC_ur2SQ5VW_i6ROc5e1j-IWfhog7-6V9Qo-6PzwdJGTdNhrNTbkd,False,1,True,zeyqisstore,False,1692185234,1692185861
20,2605,2143,0,120,120,0,0,0,0,False,7265340080292922374,False,False,False,0,MS4wLjABAAAADYzem-ZtPqx61wv9Qyh-TE5wR3jUAowHoaYy5kWe6MBZ1RHqQfi4L2XZAGOW5Cx5,False,0,False,tanjungaja70,False,1692185234,1692185861
33,1006,2,0,579,579,17,0,3,3,False,6917427799864411137,False,False,False,0,MS4wLjABAAAAu2FKE6V-ydoDFjhk4SawilKGTZmNmHe44u11Ufdt5viZymNYQvo85l0JxmKv8iI-,False,3,False,snorlaxxx13,False,1692185234,1692185861
1901,46100,144,0,506800,506800,283,0,0,0,False,7130695463385465899,False,False,False,0,MS4wLjABAAAADMQoiuYC7KHwq5S12ohMpBNV0Bkwx02wZm71BZJeLDFykKP91i7TYXSNg4RUtUHP,False,0,False,harleyslame,False,1692185234,1692185861
3586,16200,69,0,1100000,1100000,374,0,3,0,False,6768496066533180421,False,False,False,0,MS4wLjABAAAA48wQiJnfWXzc29TX2WtN3h7yCde521gHS3fXv-weDhUS4utA9rZpjHEBpdlJ34yp,False,0,False,ada.isabella,False,1692185234,1692185861
258,3808,31,0,1405,1405,128,0,0,3,False,6899334002092786693,False,True,False,0,MS4wLjABAAAARL08aKgAB4ARJFlvSm-owpi-_lSg9KzB4ZCzvj1GRdIogiXsvHiEvcsQcCcAeBiD,False,3,False,casual_52,False,1692185234,1692185861
14100,10200,968,0,1277,1277,2,0,3,1,False,6843386111424250885,False,False,False,0,MS4wLjABAAAAFxNbpnITOFfZd0hyk6XyjrDrFqjeHXqGx8Bt9EAfru7JtphvaE66ZSn6LpiivC-C,False,1,False,0p3j,False,1692185234,1692185861
7015,1812,330,0,8198,8198,8,0,0,0,False,7256905297708942341,False,False,False,0,MS4wLjABAAAAgPJfzx82SpgyvPGDSj87YVZKybI2RxSBSe5yZgHIdHRQ1iX_nY6cWEsOfII-vvi1,False,0,False,just..mero_1,False,1692185234,1692185861
29700,74300,211,0,4500000,4500000,212,0,3,0,False,6652314759696760838,False,False,False,0,MS4wLjABAAAADHufq4jWZ9DFLoRdab6wgzIoxcb6QyS1-HpXg_vUv6aYs0oBpbnBkddhYo8ZaLEV,False,0,False,kylaniolson,False,1692185234,1692185861
1176,6374,180,0,5035,5035,84,0,0,0,False,6927389894109791237,False,False,False,0,MS4wLjABAAAAQWkHj-afmxK5p2q3sS41W2phD0NjuWbOUUiVd6e4lLpGIXKU8um0eYbIioTC3F7i,False,0,False,therealvanessavee,False,1692185234,1692185861
