diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
3196,35800,9,0,172,172,9,0,3,3,False,135231947168980992,False,False,False,0,MS4wLjABAAAAoViofLL56QY97HIfoLN0WV31PuXoJxGqRlfAWoiGmHi5GljMEwjOa5XuckxkUxPx,False,3,False,_camorra,False,1692469386,1693243602
120,55200,125,0,73900,73900,56,0,0,0,False,7233759737496486954,False,False,False,0,MS4wLjABAAAAdQA9fcKUAkAuheORXfjJteV6XWvEy2L2BNjDHfpcn8aCGgnLk7Beni0nSuWoUUVK,False,0,False,blvckbunneee,False,1692469386,1693243602
323200,1300000,1940,0,3600000,3600000,1262,0,3,0,False,6829584556468585478,False,False,False,0,MS4wLjABAAAAlCcZSC2-yB6fsqxSec8Wc3N9VTiDcS8Tuw3fKKEVQ4wCx0vBCWzTosGVPutA16Tb,False,0,False,sandybeladam2,False,1692469386,1693243602
257,3036,0,0,344,344,17,0,0,0,False,6904175742029612034,False,False,False,0,MS4wLjABAAAA7n02YBTKHDVQYPHL5l1H0-aI_13qDytOWItm1ykOlS1kIWKHrBfIY6uNKDb20r_f,False,0,False,washim.abaya,False,1692469386,1693243602
14200,20300,4317,0,86700,86700,323,0,0,0,False,6793936142917747718,False,False,False,0,7285831476761955074,MS4wLjABAAAAhiihzsaBafMrex9dVntD8s47dg6zNwgyH9YGzFc0_rMlH3CVakxtDFcBXJVS9bn5,False,0,False,izeckkarsly,False,1692469386,1693243602
0,904,0,0,0,0,0,0,0,0,False,7272041292153013253,False,False,False,0,MS4wLjABAAAA_PH-j3ke-eocbsT_oGKIGCH3l4Bj0ctvDbPwF-g3SrH_QcYhXZ7FUah_27OezhP1,False,0,False,fermalab16,False,1692469386,1693243602
4444,10100,109,0,86300,86300,33,0,0,0,False,7246461129357952008,False,False,False,0,MS4wLjABAAAA148Un04upVy4hJ-U70Ef039iN_GuntrUXJX2NKyhxw4ojfIRk-aFiGA9j6U3F-6t,False,0,False,93.wee,False,1692469386,1693243602
97,4129,2,0,1328,1328,58,0,0,0,False,7063249089774142470,False,False,False,0,MS4wLjABAAAAliNOPlDs51VnOI-oU-xKFWeJ4AHrSGRsBAAqmB_H0PgRHMXR5Ai3MdgQt4uzxTpO,False,0,False,richardcrenian,False,1692469386,1693243602
3876,65700,537,0,104700,104700,105,0,0,0,False,6806605167514797057,False,False,False,0,7285800706950007570,MS4wLjABAAAAj2PRcS6143Lew7u2bAEOQ1gyYKkIQjNUo2JYq5yKlwz7ibNNP0NvxyUBCjSNp5MK,False,0,False,alihydergr8,False,1692469386,1693243602
2427,1621,534,0,3212,3212,92,0,0,0,False,6694585142943794181,False,False,False,0,MS4wLjABAAAAhYpRJIKnl33nIx4MjExOzBo9iVgGtyEYtdBrMxfTrnPK9CYFWFFwQ2-B8QAgTNBz,False,0,False,soy_shura26,False,1692469386,1693243602
925,1677,498,0,1230,1230,11,0,0,0,False,6805366027317462021,False,False,False,0,MS4wLjABAAAASxxOik0YbhIsBch1XnP0fgYhfWZSQ1A0yINHxFECWqw1ODuqzQcqg2WRy5pJyY4J,False,0,False,felixblasr7,False,1692469386,1693243602
12400,4074,1068,0,6520,6520,25,0,3,3,False,6838477819867169797,False,False,True,0,MS4wLjABAAAAKmYfrsLIwTTeDjmwCw9kWtHaJwV1Gvanf77lU9n7f6g1xhacxVEIa0HgUtSCGIxj,True,3,False,mustafahassan017,False,1692469386,1693243602
2348,2176,0,0,69600,69600,15,3,0,0,False,7073550634340074501,False,False,False,0,MS4wLjABAAAAWTj2_exIATxXemxor9pLSphlFIDDiyCsgen2MLoaaY35ZKemepaBo7F3vguhZGMt,False,0,False,ashraful99910,False,1692469386,1693243602
60600,11000,363,0,25100,25100,110,0,0,0,False,6746592635039646725,False,True,False,0,MS4wLjABAAAAcIPK81JV9gB9cbM25NiMYGlXzQvhNH1FXyHC_nlIWeQ_UgJlHxcC5r8S0985AbVq,False,0,False,lawen513,False,1692469386,1693243602
7,756,12,0,518,518,5,0,0,0,False,7241669790275453979,False,False,False,0,MS4wLjABAAAAVT-fPQUJYnHyq9EKwM9L2bdQWOmG52DxG-KcWTICXuKKNIArqtlOYUCO4pkmPMuH,False,0,False,harsanyi.anika,False,1692469386,1693243602
21,988,150,0,3,3,0,0,0,0,False,7261432209420583942,False,False,False,0,MS4wLjABAAAAVefEZZpzBizAbMGmnErbH93J33SnZbP7GT29rRqd4Ha53X2jW0V75sptUrEm73Ug,False,0,False,ys.xiaoxing7899,False,1692469386,1693243602
