diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
74,6649,24,0,4576,4576,52,0,3,0,False,7254507564204393478,False,False,False,0,MS4wLjABAAAARA2YliDJJVybWUFMKQYefVu_4azgkLI6amI2DI3Rjeeg7Jk_L2AsPOnL0KNNkjrt,False,0,False,footballua9boxing9sport,False,1692059168,1692059579
187,37600,113,0,1400,1400,5,0,3,0,False,6996754787567928322,False,False,False,0,MS4wLjABAAAAAJGt6OVCx_Elk6KL9d1SV1OaK-fZvWju0l26-GcVcUVS11nC6kagZsoDitypEhMt,False,0,True,kalonofficial.id,False,1692059168,1692059579
679,1976,31,0,29,29,5,0,0,0,False,7032237548941853697,False,False,False,0,MS4wLjABAAAAJeTQMF0SsTEzmuRchck2EEwQfV98FQU2udpanCZpWDq40wjpiOZksvS9-IQJzfZM,False,0,False,wijayasnackfrozenfoodbjm,False,1692059168,1692059579
285,67500,0,0,26500,26500,52,0,0,0,False,6968063667489408006,False,True,False,0,MS4wLjABAAAAgZGl7pJnYFM0tiYNZa2Kj2ruHg8YCCdkaMImg78kp99b7GXcthnDMWURoHKJYAkC,False,0,False,twila_kaiser,False,1692059168,1692059579
16600,3550,248,0,49500,49500,15,0,3,0,False,7122098650348110854,False,False,False,0,MS4wLjABAAAAfDMjr0_ATiuFmVhCKw2DlAn1BNyXSujQCraCsVmMHVLECdf7l8K5v2pVqzPgxrJO,False,0,False,farmand012,False,1692059168,1692059579
23,43500,70,0,309500,309500,15,0,0,0,False,7173953062418547717,False,False,False,0,MS4wLjABAAAA-aWAdFx0R5p26o5A8RC6Y3Qkkx9D1CRkS42q8z4OyNqUMx3NAvekYa5e5wAozWra,False,0,False,simonedidomenico.mw,False,1692059168,1692059579
9083,4194,2817,0,15000,15000,59,0,0,0,False,7177285305928811546,False,False,False,0,MS4wLjABAAAAzoKmo8cTJrFJqycOolufjmmbLgFJQkgiR70jadIIpsm4Dpfhz7CEpYu335tZZXCu,False,0,False,abdull0028,False,1692059168,1692059579
914,2496,125,0,762,762,42,0,0,0,False,7215637887214289926,False,False,False,0,MS4wLjABAAAAGIY8r2to_pTRVqsfnaCENk8p5yZ3ZNnLqaSbwUoXmQlxwd0njbTGTHVAu2xwkY-m,False,0,False,eslam999999999999999,False,1692059168,1692059579
39,1521,75,0,14,14,2,0,0,0,False,6532034086351929345,False,False,False,0,MS4wLjABAAAAhNpm8AuwfYffknV6iifNHxJjrBfGLE5ge4C2FZRmNgEeGGm1mZKEGim4JlhISY1s,False,0,False,mydesign79,False,1692059168,1692059579
2,4327,2420,0,3362,3362,97,0,0,0,False,7250934691447325701,False,False,False,0,MS4wLjABAAAAEaXgFWxyen6ZrsGR2zNxH73NabO8QN32nzFMiaU1PCP_Z3ZtBPOIhuofTF8VBeWj,False,0,False,_haryaneaaleindiankaran,False,1692059168,1692059579
0,3808,0,0,20,20,1,0,0,0,False,7253221139460506670,False,False,False,0,MS4wLjABAAAAKQqZ3XaZ0kAEvANsJCnz4ujRDZdpTNCr8NUnoRbLiFxvzJ7MoXffoqLH_DcdeqNN,False,0,False,symposia.live.game,False,1692059168,1692059579
175,1051,19,0,1020,1020,13,0,0,0,False,7265644020603307013,False,False,False,0,MS4wLjABAAAAPZAK9EmFAeZoXJelI492Tr1Z-hqbbAY8IsatkcHQgrNDhhXZQ0m9ZGMHVM-4qVff,False,0,False,geekgarbgallery,False,1692059168,1692059579
105,1386,140,0,3440,3440,9,0,0,0,False,7058694233893864454,False,False,False,0,MS4wLjABAAAAVYTnT0XY_1iI2-hggOf-1reTA-atSKxjHeCVu7WLwQKm0tU8txiZ1g2jo_sK2ruZ,False,0,False,magicbox_entertainment,False,1692059168,1692059579
1919,1974,162,0,1121,1121,37,0,0,0,False,7082551037174055963,False,False,False,0,MS4wLjABAAAAr51c2oceooRjj5hBxAJlFyQ9g6Gr3FfY10LGwC8hL3R2SO6YxaJbxhRoOqQl3sQr,False,0,False,humble.inc,False,1692059168,1692059579
16400,16600,8414,0,48000,48000,818,0,0,0,False,6827787725878543365,False,True,False,0,MS4wLjABAAAAMvHHCSfwVcJjHX6ZRzReRz4SJBEjIc73l_KMzI4U5ymQbo1BEP29poMNW5WwSiTy,False,0,False,brns2047,False,1692059168,1692059579
351,954,102,0,1264,1264,26,1,3,3,False,7171117081868403717,False,False,False,0,MS4wLjABAAAAq-jTwEVuSI1PQWiRlWv4YdhICSknmyGZzkoscnFyDHRQjgd2aKb7WjhXYtUY42j5,False,3,False,enrique99_3th,False,1692059168,1692059579
2234,7456,1011,0,45000,45000,10,0,0,0,False,6724804239870870534,False,False,False,0,MS4wLjABAAAAihjgxu8OeHAGeUOrpYxuhUSnZeu9kit335Q0v8NSdLBvzyv0QqS6nRR8s0bFc5FC,False,0,False,amine_jouhar.officiel,False,1692059168,1692059579
7072,1902,1940,0,2848,2848,60,0,0,0,False,6993847543604823046,False,True,False,0,MS4wLjABAAAAG5ENu4H37Ap2pZxSn8I5EiOgMwfEwolRxa6P6py6q4WhzsX6K0r4tJxOz5V3lzJe,False,0,False,brizzy.28rios,False,1692059168,1692059579
