diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
5746,194,313,0,12,12,0,0,0,0,False,7142998226105943083,False,False,False,0,MS4wLjABAAAAE5ZXfwBpDF9hnjGwEb1SXaXuA2iWsACS4MKKzd28Mwhjaulr35P3W5tXgqTlkU6i,False,0,False,official._.y2,False,1690354012,1690354948
45000,10200,2756,0,131800,131800,119,0,0,0,False,7171305983912723462,False,False,False,0,MS4wLjABAAAAPKW7mj6N5Oy6JSOtRG2GXBPo0KTkbETfPNqUScsVUH8OTJlWSiAj24IgCNbdp7VN,False,0,False,umairalishah26,False,1690354012,1690354948
0,8126,0,0,0,0,4,0,0,0,False,7254930516876100651,False,False,False,0,MS4wLjABAAAAtIt4anveMrqsuH2AqkFb4YSNZRSWy9TzyPbdm4uIvFKe5qflFuIPzik1D0zonhFj,False,0,False,show.classic.us.9,False,1690354012,1690354948
410,15300,93,0,22600,22600,31,0,0,0,False,7129295884349817862,False,False,False,0,MS4wLjABAAAAD0Xyn5LGxfahDs5JuC3XMEQJhYX-68t6wyGj6r4Sekl6Y0DPCJCN3A_ZNO_O8btG,False,0,False,ai7l9,False,1690354012,1690354948
461,6060,61,0,11200,11200,16,0,0,0,False,7258562263278617602,False,False,False,0,MS4wLjABAAAAGTLIipfYqM3-4_UVSvmqzo6WHO6n14AD197nqqIsnggcw5djoBgycCC6hsFV-DKl,False,0,False,7xyro,False,1690354012,1690354948
163,3320,16,0,4,4,0,0,3,3,False,7100982980608410630,False,False,True,0,MS4wLjABAAAAZc3uWSDArT4JgMQDGe0AFZv_-Eg1f2FgJ62X0la1RP5C_7JFEmvoC6rjF2dL_VAA,True,3,False,sava111911_,False,1690354012,1690354948
11400,788,25,0,54,54,2,0,0,0,False,7175218894339425307,False,False,False,0,MS4wLjABAAAAeRp_6hLXc04TdXgtwzSGu9gEEPnkamVfqPePtLQ7e8m1_GY_TwvbjJ3ySJ0TsnRd,False,0,False,tiansansss,False,1690354012,1690354948
2,3251,8,0,1582,1582,5,0,0,0,False,7259747317355447298,False,False,False,0,MS4wLjABAAAAWGktx8pR38GQjd-4omhiIE_qALA98b3YgL3KcR1MZ5-h918vG7q2Bh_c6GunUDwf,False,0,False,loraa.a8,False,1690354012,1690354948
117700,751,1861,0,4895,4895,58,0,0,0,False,6532276192404357122,False,False,False,0,MS4wLjABAAAA5d_whJu7geS9B5GjdA1C4RKMDIBAvXcVsPnJHFz9gKzWbvS2bTHHbOyvFDndPJ3m,False,0,False,king_aboud,False,1690354012,1690354948
782,435,147,0,1206,1206,17,0,0,0,False,6809778272098010118,False,False,False,0,MS4wLjABAAAA7_Z0V1nLDpkvYVLIZQZGJ1s008tlzan2DaAsoUQbeZkdSiUWbHTUS4QLxQvVnYZK,False,0,False,aseel.shlh,False,1690354012,1690354948
247,909,710,0,1133,1133,18,3,0,0,False,6989021924958569478,False,False,False,0,MS4wLjABAAAAzoNdc4eaOHvl7djRlHg_qRJnPAheCU4NwBfj6VI6-lbnheIn8u-d2vjYzkQGGOWQ,False,0,False,user3468678730397,False,1690354012,1690354948
155,609,0,0,19,19,0,0,0,0,False,7189361622656254982,False,False,False,0,MS4wLjABAAAAGIbkKci7BewUK0QkPhF3YMFmMnsbS5FfgIsvC02C0Xl6-ebJd-2-0Y5St0AZ0rkK,False,0,False,alitzgl,False,1690354012,1690354948
85,20300,200,0,11500,11500,26,0,0,0,False,7045361343687803909,False,False,False,0,MS4wLjABAAAA25nH_XzXWZ1891VO48umhNbBxZsapdynzsYgjfKKBst50uLbEYHmKS-XCIH4mYa0,False,0,False,helipilot4,False,1690354012,1690354948
0,7611,0,0,0,0,0,0,0,0,False,7253647445519090730,False,False,False,0,MS4wLjABAAAAadJBUb6Nof87bFBTHtis2CIk_m7mh5vL03-Yo56gYCWES_-lL55bivnuL-wM6kUo,False,0,False,fox4.now,False,1690354012,1690354948
7485,3343,79,0,8292,8292,17,0,3,0,False,6891982932257883138,False,False,False,0,MS4wLjABAAAAzHALXh_2mfyJto94FGQzGHcR1C9eM_Y4RosZCQWayOML9DF0sUNbfTPTdsH80Hh_,False,0,False,hamdon22,False,1690354012,1690354948
15100,5362,347,0,46700,46700,16,0,3,0,False,6623255252887060486,False,False,False,0,MS4wLjABAAAAWi-16JpAgiOKsumXliqynmeRo64obVArCsAQgMOGCqpgHeXbKJ5PrmorwdRx1ncT,False,0,False,umer.jutt788,False,1690354012,1690354948
0,633,0,0,380,380,45,0,0,0,False,7227172533538374662,False,False,False,0,MS4wLjABAAAAkHfi6Mc3UUN-O2IbAjR9w3Fen70zG7kRUPNLnud8nIW8h_XMDYKQTBTUT143lVdJ,False,0,False,jejlbwinff0ams,False,1690354012,1690354948
22000,8596,4857,0,34100,34100,51,0,0,0,False,6725133835929486342,False,False,False,0,MS4wLjABAAAArrseOzGC_t_UySX9ZVrisJdQiPAEQVZJUpiuhi6y5nn658pTTxScS46cwL6hzIt6,False,0,False,jehadabonasser,False,1690354012,1690354948
0,1167,0,0,2038,2038,52,0,0,0,False,7253663140754310170,False,False,False,0,MS4wLjABAAAAfWQ1qTKCPciAdFOdw8pxUkh1AWzTxyULE_hyJu8OV69oviGMtgqhlx9paPzcrnRV,False,0,False,lizhengfu9,False,1690354012,1690354948
721,61700,20,0,0,0,0,3,3,3,False,7070059377655399429,False,False,True,0,MS4wLjABAAAA7jLKsOjEKuAX647bVgW-VKOrlInMe0l8WB3p7-yuwGCLzxzvtE0TahSUhVwpX_Uf,True,3,False,saud96900,False,1690354012,1690354948
740,10400,41,0,10400,10400,25,0,0,0,False,7246520148991050798,False,False,False,0,MS4wLjABAAAAcR7J7kjTaWGvpvuvoQDleVjNNkvdJDlSD1G97mkX3xbClw8AfIthQ2TkQR2uaEEK,False,0,False,trapzster,False,1690354012,1690354948
12200,10500,2190,0,23900,23900,182,0,0,0,False,7117793494123398146,False,False,False,0,MS4wLjABAAAAgU9lyHztQluEisu7d_uG1_acOJtQ5-8ztIsBnWAgRr2hewOieY9gjf_C4ZUeNMOt,False,0,False,kings_slk,False,1690354012,1690354948
0,6770,0,0,110900,110900,48,0,0,0,False,7257060194172175406,False,False,False,0,MS4wLjABAAAAlResoJ-Tab1W6kZwLjHthN6OQx5tMFNPZPyAUP7BcTEp6eM8hFpzJGT_f0vkJIsV,False,0,False,sylvia5559,False,1690354012,1690354948
6431,813,74,0,206,206,1,0,0,0,False,6751870797693142022,False,False,False,0,MS4wLjABAAAAm3GDNieZy1HFLcU8oRK1Q1FJHJirMU0oP2ef_jdKcO0bnNnzRtju61mBlMX1z89s,False,0,False,saminakhan2020,False,1690354012,1690354948
