diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
3796,11700,383,0,11400,11400,123,0,0,0,False,7114105058623079425,False,False,False,0,MS4wLjABAAAADuweNe8a0q42putmF3GQFFoQYGD3HLDaxjWu4K7asv0RJW6o8vADfPhpw8wJfgqp,False,0,False,call_me_zaa17,False,1692909106,1692909508
1893,3851,432,0,30200,30200,29,0,0,0,False,6767127855342289921,False,False,False,0,MS4wLjABAAAAENB5S9YWYlpDV_AVje8j9Z_cDUF_MBRaDNVhxa29Vh1C3tAt5nuTDtbXcQep0ied,False,0,False,kuuiikyy,False,1692909106,1692909508
20000,3084,1315,0,23700,23700,106,0,3,3,False,6881607332820698114,False,False,False,0,MS4wLjABAAAAaagKtWV7APyS8AvNoBUQym2J1K2IOefXY2oAfyfYjWWh_ICPstg8ryrM2tWJIVgS,False,3,False,1314rg,False,1692909106,1692909508
1,2702,32,0,1348,1348,10,0,0,0,False,6700012721922835461,False,False,False,0,MS4wLjABAAAARoeKEr_-tkgXLVRtQjzw_8HeKAlJuMuy-cTHJcThz1Beo9wtrjFNFtchSlZD_H1c,False,0,False,plasticosgonzales,False,1692909106,1692909508
152600,11600,3284,0,356300,356300,840,0,0,0,False,7092515838561862662,False,False,False,0,MS4wLjABAAAAO_IQyWxOCg206lsFn190VnBi9LaXyRJ-UCUOlReihETwkTcGi0WBnl7LQL3-cv-C,False,0,False,amal09v,False,1692909106,1692909508
5,2392,7,0,45,45,6,0,0,0,False,7188052452510434305,False,False,False,0,MS4wLjABAAAAMdIs58qZLlxx8g3dO4I8FbYHLWbfs8e6MCDQGZUtPbIa1sTcY6GdLLOe1WiNvpwx,False,0,False,haeruljava,False,1692909106,1692909508
1175,3920,275,0,1302,1302,52,0,0,0,False,6732302197554496518,False,False,False,0,MS4wLjABAAAAatXVWalobqRoD_vTH8Ac56W1xA_08ZmzwB9cq8JeAfUokWOSYwzQhO3dZdSdTK49,False,0,False,scorpionsconsulting,False,1692909106,1692909508
8,1497,21,0,469,469,12,0,0,0,False,7270158422657860613,False,False,False,0,MS4wLjABAAAAbAoGiMLUVkwYGsFl8RpRMfzRl-mJ3ytdjDKmo-peaDZCjJkkWxzJNTO8WRSj5ZnI,False,0,False,maderera_runrun,False,1692909106,1692909508
14,14300,0,0,183300,183300,16,0,0,0,False,7262517987268101122,False,False,False,0,MS4wLjABAAAAyWx1JzKZE4xVhROJh5VeOz8Y7-S2hujFwKs9r1wyWg0GgkPm1L21N06bIK2YpcVK,False,0,False,blue_thinking1,False,1692909106,1692909508
82800,196400,8612,0,1200000,1200000,2404,0,0,0,False,6726639128145167366,False,False,False,0,MS4wLjABAAAAqOZZjPYlXQFGOE9kDkdirZupTyMcFD1yw_zINsh3ExxG3KURb8m87RvJLSB2DYx3,False,0,False,io..ve,False,1692909106,1692909508
