diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
7635,1183,697,0,23300,23300,139,1,3,3,False,7101259849140782085,False,False,True,0,MS4wLjABAAAAklWV0Ve2Pf6B6Mb9fa5XWOzxjDWOGECuzB1ccRjkGqnTKZNs_F1erbza29X6hlnF,True,3,False,incaptivity,False,1695050669,1695909559
254,16700,1,0,270500,270500,42,0,0,0,False,7068694666354557958,False,False,False,0,MS4wLjABAAAA8O2NtKUJbVT6RERJquiHkLF5w41AMN1piNJvYNHCnK3cUVOWkrpDhjX1DgP_5fWF,False,0,False,mariczka32,False,1695050669,1695909559
11600,1208,1837,0,324,324,9,0,3,3,False,6839012818827019270,False,False,True,0,MS4wLjABAAAAjSoWMb40hlXRtdH26HqN9-OZfc8OdqZ5A6sudrMjmAzQMFASZTe8Yk2y0XDpO_-y,True,3,False,vadimbelyi17,False,1695050669,1695909559
439,4264,238,0,7180,7180,59,3,0,3,False,7260231703791731718,False,False,False,0,MS4wLjABAAAA1FTjWTjGcWBQAaByPDSBm2uFjZ6EH-XmqDL2VDKzCSDNxAnwv9f-Fi9hSj8Rddmv,False,0,False,nouirisalma,False,1695050669,1695909559
1326,2341,166,0,6963,6963,106,0,0,0,False,7251178967293314075,False,False,False,0,MS4wLjABAAAA9o3f2s1ITthC5L_TuoCspm_L5kASxit9M_aVqy5WuJw6bYmMvCrZpUtw5nJzRKTb,False,0,False,wixal_00,False,1695050669,1695909559
1029,7259,199,0,64800,64800,159,0,0,0,False,6778438528995427334,False,False,False,0,MS4wLjABAAAA-Jq9_OrqjNCcpz04YPndZK1ENLA1vQp0iV-62hqPwnVDx8PoIAZhOa_h7nJ6mAHA,False,0,False,isabelbermejo0,False,1695050669,1695909559
285,2457,91,0,689,689,29,0,0,0,False,6969995718107530245,False,False,False,0,MS4wLjABAAAAy_U5JL5lAaNkWlufGwDk6i5WKJegnkJ7Kvj_EYGmyATyFarz_-kbIu1eHj6n7zTF,False,0,False,venisesuccess,False,1695050669,1695909559
168000,11400,5809,0,82400,82400,1134,0,0,0,False,6670870776092786693,False,True,False,0,MS4wLjABAAAANRoebFTPQwnhRToOXn9RHQrfnJRIdzRRpfFlvFdr_xHNYS9XLQ37YsFcCiB3i_Vw,False,0,False,farhan_anjum717,False,1695050669,1695909559
909,10200,27,0,31200,31200,565,0,0,0,False,268945300159864832,False,False,False,0,MS4wLjABAAAAxZv7gdVZgUafI3RJmB2MxsZpEaEsdnUyR5v24C6XLbhLfpJHoxB13AWZVt0cvDS5,False,0,False,sj_detalles,False,1695050669,1695909559
162,1140,829,0,175,175,9,0,0,0,False,7270499487855002629,False,False,False,0,MS4wLjABAAAATvBuRSC5pGbnEb1lJI6VDhK9VKWQgHL3uwJaxMYO-jsTs3GrZLyyLDXobyB84qyF,False,0,False,raha0975,False,1695050669,1695909559
8,15500,73,0,7690,7690,133,0,0,0,False,6936523050424124422,False,False,False,0,MS4wLjABAAAAb5RyUN_XNLHKrK4fK7cF0kLevm-IrpmnCfNXFM1xE5yggxSR6bPlV8HbyiHeyh7g,False,0,False,garlicandbassal,False,1695050669,1695909559
12600,13600,150,0,36000,36000,800,0,0,0,False,6888189352128594950,False,False,False,0,MS4wLjABAAAAbH_s7vwQTLFB-hpzpPIThlRKCcbBprP_k27oyC_YArfGIYuXOzHdzhPcYKC78DK1,False,0,False,shahsyed283,False,1695050669,1695909559
5183,11000,237,0,13700,13700,0,0,3,3,False,7256544131941827610,False,False,True,0,MS4wLjABAAAAG-tMYUWRNLZ_iGc5T07uf9zYFhKctPeQ4vFIluuj4Ceel2Z8lUwH80Q4wEC6cuPd,True,3,False,1_ko_gog_tp,False,1695050669,1695909559
294,920,4,0,79,79,10,0,3,0,False,6779976158235689990,False,False,False,0,MS4wLjABAAAA47GkbfhpBHKbtja7moYNok-cqosxtTktGSrfTmVLyeEw6oLw7VhGwFrlhUO_mAaE,False,0,False,k1nder007,False,1695050669,1695909559
4,13800,243,0,7837,7837,59,0,0,0,False,26267538,False,False,False,0,MS4wLjABAAAAOEPjSGkKegLPssGZl5dQIrgqyhnCJtOLFgFVDIsc0Dk,False,0,False,derclipjunkie,False,1695050669,1695909559
77900,31700,235,0,71100,71100,309,0,0,0,False,6667454906004586501,False,False,False,0,MS4wLjABAAAAe9kXwF-6QR2LZB8gc9U6ZzIXEKVEwwIZ17qpXLebngMCTn0GckuLeDLA7zdyUWEw,False,0,False,officialalimansour,False,1695050669,1695909559
33,11500,74,0,0,0,0,0,0,0,False,7071472372624294954,False,False,False,0,MS4wLjABAAAA1eJAG4Xz0SEWvdUFFVp9ijeNGcMySgpsIpH85urkYMVWxM3zoAQWZB2SCTPzTvGC,False,0,False,looooorrd,False,1695050669,1695909559
3288,1427,190,0,231,231,38,0,0,0,False,6987187885028918298,False,False,False,0,MS4wLjABAAAAnhiQCk_RcdmwLu1-0v_ggb4WR_8e0WIjV8RWKcYRvS-rqK-_H6dEOZqjAPHTjRo2,False,0,False,tenisoda,False,1695050669,1695909559
862,993,9,0,1943,1943,106,0,0,0,False,6832544592878093317,False,False,False,0,MS4wLjABAAAAuMU8NoYT-_Hwk30ZrYOUQPZAdTWiB6n8ELkF9bQOVtxEHf7yTZY2YdpCLD3WWBPI,False,0,False,by_konankova,False,1695050669,1695909559
267,16000,346,0,31600,31600,14,0,0,3,False,6532004303886876673,False,False,False,0,MS4wLjABAAAAbyYGSb3p_ajFRXXLcsfc2uNEy1GlsBTngcAxq_Q7kYTnUsZ2RY4uojyx5EuLr_eK,False,0,False,fouzrashid5,False,1695050669,1695909559
7824,625,132,0,3186,3186,127,0,0,0,False,7196480335437661190,False,False,False,0,MS4wLjABAAAAc0L7IKf71cvPZJOAUo9p02chMQDAIwDnE81ym31zm2evWZ9llWVLZ2ywTbK958EH,False,0,False,._vikki_.1,False,1695050669,1695909559
55,11600,0,0,26000,26000,37,0,0,0,False,7273996299081827374,False,False,False,0,MS4wLjABAAAAD8YaHvh3eiEoU9amp_anSagelQ1wKC8QoC5BEfzvNHFAkHC0EjVbs_qPaHPwm3Qx,False,0,False,potpope,False,1695050669,1695909559
1140,980,15,0,1379,1379,71,0,0,0,False,6923819721838298114,False,False,False,0,MS4wLjABAAAADTZJgJNQx37riBhz0cr7XwnNMtQshDdNUTAKG8Bly2BF-k9prx9xEzznlDJlDMZF,False,0,False,mikomn_1,False,1695050669,1695909559
0,4654,3,0,121,121,21,0,0,0,False,7139207938664678406,False,False,False,0,MS4wLjABAAAAd2USA_Ok4ztgLvGW-hjfEDvWVVCB6U20Pqh2ZKIf1O0DWd6VA2QNvLfrAz0s0ApP,False,0,False,7000enjoyviajestravel,False,1695050669,1695909559
1058,348,723,0,197,197,15,0,3,3,False,6560136546048737285,False,False,False,0,MS4wLjABAAAAW1LPwpCdPvYIYCoHJmIR9Tn42iy9SoD8bDDqhgOvU9UDrw2lVqplQW9XLORgPaUf,False,3,False,dlya_dushi_v_dushu,False,1695050669,1695909559
4036,3884,34,0,9505,9505,16,0,0,0,False,7161844837243552774,False,False,False,0,MS4wLjABAAAAo_pAyZOTrOC_xJwQczAREA7frEks9J39rve6-MRiecYqrCNcOCZVvsD-zVov7BXB,False,0,False,eliza_7799,False,1695050669,1695909559
6843,1599,100,0,22100,22100,29,0,3,3,False,6921917987344352258,False,False,False,0,MS4wLjABAAAAAJZXNS-3B7nCRCil70SVnWgU7EbYZm35Dp-pkguI64ORtihrdRvB85Gw9-kovqeQ,False,3,True,notionthegreatest,False,1695050669,1695909559
6296,8264,1434,0,4530,4530,41,0,0,0,False,7263457421603062816,False,False,False,0,MS4wLjABAAAAgAhCczF-1FRDqbtLJ4o5aMPp20HBFcoiMQ4aUrRVo1YY92sCztAjhTEA-SULXtGC,False,0,False,pokopaj1,False,1695050669,1695909559
14500,648,259,0,228,228,11,0,0,0,False,6919813176234869762,False,False,False,0,MS4wLjABAAAAvslDUDXNni6sxv4M7xLmOlsesN7TU7Njd90MeqIsU6jqIqSe-FjC0oftKpE_Ufu8,False,0,False,kars_02_2020,False,1695050239,1695050654
131,1573,99,0,163,163,9,0,0,0,False,7176188869124080667,False,False,False,0,MS4wLjABAAAAmTuJ1P1eeXqnlClzpJXsr2we69ywHUoUuAmHCODonCMgAwwSnmWo0yR5Eui33gyb,False,0,True,sarankorn.c,False,1695050239,1695050654
0,2408,0,0,7335,7335,3,0,0,0,False,7262084093655155717,False,False,False,0,MS4wLjABAAAAQu12wFMbYCB9ByYt4dJztCahFnYo-29hV52WnzCF5Nv6DE2VI5RCuKFehNk_ZWHj,False,0,False,revchik_love,False,1695050239,1695050654
4322,154600,322,0,3200000,3200000,206,0,0,0,False,6730796829674800133,False,False,False,0,MS4wLjABAAAAccAUJyPvHWliuRhTj-nZ8ifKqcVjF9zfMVrNk6FGMqqWnSM_t_QOnzblIaBexiNe,False,0,False,yazminmarziali,False,1695050239,1695050654
