diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1130,3830,351,0,1065,1065,0,0,0,0,False,6855732047497036806,False,False,False,0,MS4wLjABAAAAZsqGyBN8WShftE8A_rijwObt9Z0PgGFQFeQI8YqbIPtmBSNLfTY0KusajMFH0wvm,False,0,False,skiiq03,False,1689465044,1689466125
7103,10200,4906,0,14100,14100,118,0,0,0,False,6725316944792585221,False,False,False,0,MS4wLjABAAAAbIjg6PuY5s4Q7gL7ru4OPrj-fcFA-_k8FuQ6sM54FkG-LAkN7B09hrzXWmU7GCKn,False,0,False,magdalwret,False,1689465044,1689466125
17500,16500,415,0,31700,31700,14,0,0,0,False,7118420897163117614,False,False,False,0,MS4wLjABAAAAQGuPN7xxNrDJ4vXBldvsU1DJrwSy3G8VAb_gnd0x1zcl3E2OOF9vXueBXSBJ1hce,False,0,False,hailsmariek,False,1689465044,1689466125
739,5347,7211,0,36,36,1,0,0,0,False,7140226935206052910,False,False,False,0,MS4wLjABAAAAz5XlaisNR4l9M_8uDJCU-Isnh9m_XtaP6AhEVxJItqvPKD6PlqBJJy0i1wZC-KQ2,False,0,False,mr.shadows__,False,1689465044,1689466125
2766,10500,790,0,1685,1685,5,0,3,0,False,6899215004357772294,False,False,False,0,MS4wLjABAAAAbgGzN9HYt0fvQ0o7yBOSeIB7PJ0K0rAYQ5HYl-2UiiFJV5W0TfMvTwUtA0TflyrF,False,0,False,emmanuel_mondesir,False,1689465044,1689466125
2,1237,0,0,36,36,52,0,0,0,False,7252706839053698053,False,False,False,0,MS4wLjABAAAAM60uHCs4K9fO0wPhXs-rH7pvkMJiG1Q2E4YHNz8ucSQG8y6RBA6IBAFLqEuFDLnl,False,0,False,sofeiya0,False,1689465044,1689466125
259,3113,77,0,89,89,2,0,0,0,False,6600711617905098757,False,False,False,0,MS4wLjABAAAACLmm70KnvRapND-C-7e6EJw1FgGt_khyurWmq1f1uMJmMj9EWDN0nX-mk6UBBluk,False,0,False,prns99prns99,False,1689465044,1689466125
4792,4595,227,0,965,965,42,0,3,3,False,6808862034714526722,False,False,False,0,MS4wLjABAAAA2QdBQrIkkFIyZkXQ9F8d_zdl58HBH2iJ6MwNiY6Qb5bUn6IKCLR-tQ13O9P_jloG,False,3,False,katsmeonada,False,1689465044,1689466125
4357,688,258,0,1014,1014,73,0,3,0,False,7141142685410657285,False,True,False,0,MS4wLjABAAAAkvEuc6DjQbq8fwBEpTIqOeOHOq9xGLptKtqIFzojowIdS4T8skqdnb5ZEt4JGOnV,False,0,False,ogagility,False,1689465044,1689466125
53,839,7,0,0,0,0,0,3,1,False,7223408617919267846,False,False,False,0,MS4wLjABAAAAM4GcCKdABdw6XCIuIjlEZxGTwkXWhkI6cW1WO9saMlVlpCuK5lH-o1WZqfxwApbG,False,1,False,alkzspams,False,1689465044,1689466125
965,1162,53,0,2039,2039,138,0,0,0,False,7205528054116992006,False,False,False,0,MS4wLjABAAAAhIHruo-vCmM3FWzKgnxMnSmolWgBPeWacWz7t-69OYGNyzSYxuPIjDtXHusOjnoE,False,0,False,dliarxan,False,1689465044,1689466125
5,1271,0,0,24,24,57,0,0,0,False,7254098107116635142,False,False,False,0,MS4wLjABAAAAblWtC50AdgviP80mWmQRxlG6zBoVHh6pZ1PXv_mX2WTzLkYRQ2ONCsWVYGFD-PK6,False,0,False,heguiyhxqfk,False,1689465044,1689466125
2047,7944,30,0,29200,29200,3,0,0,0,False,7255483003237336069,False,False,False,0,MS4wLjABAAAAI1iQ1ZML28DaFRBd6smgAtqv21LVuN_Hcxi4Jd00wwX-oGmyx3WbOMaeil39CtI-,False,0,False,martin.adrian4,False,1689465044,1689466125
142900,7973,2066,0,3434,3434,9,1,3,3,False,6678764762698793989,False,False,False,0,MS4wLjABAAAAOpoJ6ERyNEuWTwbNeALtsboEROdfhky_LRefafnHaYJPImiofXLn9O4f-NTtdJb_,False,3,False,she.loves.him4life,False,1689465044,1689466125
15,1290,401,0,831,831,0,0,0,0,False,7251124950828270634,False,False,False,0,MS4wLjABAAAAjgZRQq1AtvCbbo34gRO9UH161d5mVtwf3YHNfMwro2RsTG82zCMYrTTjjHebLttr,False,0,False,user917351982,False,1689465044,1689466125
284,1023,25,0,1037,1037,81,0,0,0,False,7195558909162161157,False,False,False,0,MS4wLjABAAAA4LWetUhtJ8ZHe20ojVv8RofdVAVQgJB3wHSn9RomzdkLVy2oI4GmGYsprH11xXTB,False,0,False,skampy_07,False,1689465044,1689466125
20,5152,3,0,91,91,7,0,0,0,False,7255709979708245034,False,False,False,0,MS4wLjABAAAA1wRwIabRCMMFWaeycwkmAxsSuwNtnStct1otqjINfGipwpge6kc7_QdDH8Jqmhop,False,0,False,jieyayouxi89,False,1689465044,1689466125
6,1607,1,0,14,14,31,0,0,0,False,7255200243004032006,False,False,False,0,MS4wLjABAAAADOIclcQHHscyVb5Ii7HqmgDsOyCi0x6IFJMY60QvuME_5FnUMzzi9VVAFMM2l1ib,False,0,False,terrydvk3p3,False,1689465044,1689466125
1,1637,0,0,15,15,18,0,0,0,False,7255335399751533573,False,False,False,0,MS4wLjABAAAANACHvfGpj1jHt4L2uNaDeTFrl8Sds6ThUQj_feRBh1_I6sYm91rXg1SapISfG1dE,False,0,False,baveoyqyy69,False,1689465044,1689466125
826,1024,342,0,766,766,29,0,0,0,False,6850912214108619782,False,False,False,0,MS4wLjABAAAA9WleVJCEVXSYQS4jPSGK-ZstKZBohDOHBOBvyv54kzFisQkLdSAB6rm71_MMSZN0,False,0,False,josimarj.g.f,False,1689465044,1689466125
12500,14000,1054,0,47000,47000,121,0,0,0,False,6566117730528411654,False,False,False,0,MS4wLjABAAAAySWM74VswLC8E_HMEAvU6EYKFml5lAYEJzg6dllnbNChmzzOv9lbNrpZiANlrtq-,False,0,False,mohamedelaraby122,False,1689465044,1689466125
