diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
31,638,3,0,4,4,0,3,0,0,False,7268055723250025473,False,False,False,0,MS4wLjABAAAAb6mnqYrEwEwpKVW88DBpFVM9XSuIzV7WYODqt78ZWf-DZ2-JWDx3942u6T06_eqA,False,0,False,bismillax_0990,False,1692391550,1692623646
140,1057,17,0,1835,1835,17,0,0,0,False,6809724141894829061,False,True,False,0,MS4wLjABAAAAryd8Nhx4Ps8JA5gAjGQqQOx1d61N26Hcn7QqoBTtqE-X5_70nThmoLD9zlmKXNjJ,False,1,True,ravenx002,False,1692391550,1692623646
7,418,11,0,543,543,3,0,0,0,False,7267237279520064517,False,False,False,0,MS4wLjABAAAAqLQ5KJTa93OTN7HkfioSooHCYDp0YV9gxBIBa0ZO1AWF5XbmkFod-k3-91D8thX0,False,0,False,alza.brandedthrift,False,1692391550,1692623646
27,1231,48,0,747,747,50,0,0,0,False,6971387160042374146,False,False,False,0,MS4wLjABAAAAQ_M83faLcMFaEWoW2RZV4SznDj-_Hny0AUsScNsJuKu6Y7YtIlcElWpadV6yYEmW,False,0,False,fujiry507,False,1692391550,1692623646
0,203,0,0,0,0,0,0,0,0,False,7075926062308672514,False,False,False,0,MS4wLjABAAAAZY4HczYE0hLDcm-atRCPpOFyrpT2TF2cRbW9Dy1VMH1D_PCPEcjHs3X7Mzf57_bg,False,0,False,silveiraa_natan,False,1692391550,1692623646
470,30600,198,0,185500,185500,460,0,0,0,False,7242554321162060843,False,False,False,0,MS4wLjABAAAAqEsc_GC3Fx2v2qsxzcAnOkXlPNYDjysw97ABRuJWbBX48VTtVGsU7hDScGEl8wv_,False,0,False,dr_leigh50,False,1692391550,1692623646
2,1028,2,0,8543,8543,12,0,0,0,False,7267338874744751109,False,False,False,0,MS4wLjABAAAAYd1ACo3q5PBzhYDRuxdEQ-Aa_xXHzyRb92B3yCZ_-oCVpxN6DaSSJkgkOAEKWvvE,False,0,False,siyah..orkide,False,1692391550,1692623646
54,704,5,0,386,386,173,0,0,0,False,7168415865037145089,False,False,False,0,MS4wLjABAAAAFkJYuS45t3VUH6HNM6qlDZsD2tRRACIHPNpdQLzQ0HHfeZoiaBh9cL2ezYu8-9yQ,False,0,False,dapur.mamamertua,False,1692391550,1692623646
44,6067,193,0,4886,4886,14,0,0,0,False,7249183045409309742,False,False,False,0,MS4wLjABAAAApvGmO2X4OO-0R-m6djOS6EsxD6KLwOJJhSa5xmWgAvQ_eqNzHcooYnxDz9H82tjB,False,0,False,cocobpink,False,1692391550,1692623646
44,252,41,0,32,32,3,0,0,0,False,6793766185454470149,False,False,False,0,MS4wLjABAAAAWPvGbUTTmviQlD-v2LP-BfC2iQnaDW8ShcQiJFCT4FtxgcxCEnIqgoft2VJbdVlW,False,0,False,ukraintsev_alexey,False,1692391550,1692623646
31900,1214,936,0,9535,9535,159,0,3,0,False,6725227345668998146,False,False,False,0,MS4wLjABAAAAomGRaEHKgK0ARQ_FjePFliMoq2NMs4H0x_YmOpquu8RDcKjqFkOwQSYjR1sb1Q7X,False,0,False,admafa_09,False,1692391550,1692623646
8,1102,13,0,445,445,26,0,0,0,False,7260492295841219585,False,False,False,0,MS4wLjABAAAAn53oCaA60CBnBA2piuSaf2wH4NnXKoSqyyFMUuclqrSF1RnlI_WioitR7mB6RzAy,False,0,False,sheberry_marketing,False,1692391550,1692623646
90,992,5,0,0,0,0,0,0,0,False,7238982167887070213,False,False,False,0,MS4wLjABAAAAfNNr3O_9wSP1jWbUP12Zf4tU48va8tgPf7qr1mpygKNq6P7zGLFA2sAg5x5aGt-7,False,0,False,brushcleann,False,1692391550,1692623646
18,1062,5,0,38,38,3,0,0,0,False,7267358235891287072,False,False,False,0,MS4wLjABAAAAjmv9OHc94RZCSNO9prDXIxtN-Jh7O9vJshWxXgPz2blfrnXKJpGwPCXC-p3-KMff,False,0,False,cr7.editz_suiiiiii,False,1692391550,1692623646
4679,90,40,0,0,0,0,0,0,0,False,7081184102251004954,False,False,False,0,MS4wLjABAAAA4CHjN-bifn0zZbIziHdH036WXHj4DwEK9Q5aiZJjxov8EE76KwIJAQ928LfbwhEA,False,0,False,m2..tt,False,1692391550,1692623646
6319,2286,258,0,808,808,35,0,0,0,False,7125087340200772609,False,False,False,0,MS4wLjABAAAABkz-5f8ahABG0AzAwBw-B2hS9q1O_uso0uapL9JBrEZawLjs_64tTeq909_iWY6z,False,0,False,kabuna22,False,1692391550,1692623646
3713,22600,1031,0,48500,48500,213,0,0,0,False,181260357787639808,False,False,False,0,MS4wLjABAAAAZaaQIvaLg4xYMugCWLRXbsHDOCzaHDA-jFEux65Hge0iM9Rjx9LwhtZ_D0hS2tVp,False,0,False,thesaidatshow,False,1692391550,1692623646
1674,1271,1,0,3475,3475,7,0,3,0,False,6544779744863567874,False,False,False,0,MS4wLjABAAAAN1Wv8EXHstu0wC3jIngZD5ztCuB6NarlODy-puWp5to4ra6ZHgMLJqDrmVk-lJfZ,False,0,False,bukanmantanmu50,False,1692391550,1692623646
52,410,13,0,1513,1513,1,0,0,0,False,7256680241724621829,False,False,False,0,MS4wLjABAAAA6antQRxu9jfFucRQTQ_wgwsr8kaHkH740Ws6UX3MOPOJUJtMxtqzeWTZWW22kNZa,False,0,False,tungkal_kitekeren,False,1692391550,1692623646
2207,1051,86,0,60,60,10,0,0,0,False,6960365152235553794,False,False,False,0,MS4wLjABAAAAB6EiscAQKGwkeJUJE1U8CeOE9Y7BJflJbns2AJzKh8e8srUZYijQD3n1BsI4gaZV,False,0,False,prrpororo22,False,1692391550,1692623646
453,631,167,0,2230,2230,17,0,0,0,False,6699253195762533381,False,True,False,0,MS4wLjABAAAAPOJ75wF7wiAtXYcd2rTXjuyjCS2hYBltQlEEi7-V7VAT387ThY6hDUeixoYNcs_V,False,0,False,hazemmazika1,False,1692391550,1692623646
