diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
830,33300,173,0,15700,15700,549,0,0,0,False,6940523735799727109,False,False,False,0,MS4wLjABAAAAFKoEpu0Fl7Dq1UGO1bM8fxs8LI3UlisCr-uLfqe3IqPA6_BLHgsidRKoVLaiVKYC,False,0,False,viktoria.lening,False,1690346824,1690347766
1927,20100,27,0,2079,2079,3,0,3,3,False,6770917772827444229,False,False,False,0,MS4wLjABAAAAbKCEi2ytghQcsC4rKWQn36rsqCWw2QG1TyCjMVTbkz_qNxlc496IapXbFOGij212,False,3,False,a_o99v,False,1690346824,1690347766
37,393,11,0,70,70,21,0,0,0,False,6875920538742309890,False,False,False,0,MS4wLjABAAAATBrmjJ2l3Yf2e-l483gCFnglUZofsPImDKiHgMG2Ph3i0RFHZjU98oSayYGX9hok,False,0,False,hotelriche,False,1690346824,1690347766
17,717,0,0,795,795,16,0,0,0,False,7117483629421773825,False,False,False,0,MS4wLjABAAAAweVh1VBy4eIBaoJOMA9b5spCd6nXL83-jdYoG23L9OKXserpxvKcD06wWfY8Y4zn,False,0,False,sub.easy.shop,False,1690346824,1690347766
42600,490,138,0,1582,1582,26,0,0,0,False,6971366811061683202,False,False,False,0,MS4wLjABAAAAxcTp9_m2oKRXSmP-U-bc6RO2Ajsgo6taCaduAyUhIQ2rTAK9I_foCUtWkSNseFPz,False,0,False,veus31,False,1690346824,1690347766
0,3808,0,0,20,20,1,0,0,0,False,7253221139460506670,False,False,False,0,MS4wLjABAAAAKQqZ3XaZ0kAEvANsJCnz4ujRDZdpTNCr8NUnoRbLiFxvzJ7MoXffoqLH_DcdeqNN,False,0,False,symposia.live.game,False,1690346824,1690347766
29800,3718,181,0,4871,4871,11,0,0,0,False,6804960699011712005,False,False,False,0,MS4wLjABAAAATa1v-_80XRN-EVHOYBu8eeTeI5ZVuxfHbpBP5r1ARiRnhjhyDN3Qyf90nkcaYLXu,False,0,False,eshkni1,False,1690346824,1690347766
4383,721,571,0,353,353,74,0,0,0,False,6976572632737563650,False,False,False,0,MS4wLjABAAAAI8tilLIXv6pO6ZCPSpX8sDEB0hMJDTLDsv-T43XvskdNBtuoaxt0AIw8LmZYSb3b,False,0,True,niknurhidayahnikk,False,1690346824,1690347766
6,701,147,0,86,86,1,0,0,0,False,7034883444972160005,False,False,False,0,MS4wLjABAAAA_qeew7SNfpGXu9cE8ji0pESQ2ZuYwE-OwWmxo2JK97-DgGff4ZLRnolHIF_9_JyU,False,0,False,aurorabarutoquellamatta2,False,1690346824,1690347766
305,3622,346,0,1055,1055,3,0,0,3,False,6803007977521529861,False,False,False,0,MS4wLjABAAAAvdCzBecI5EJbnwDercrLiCKI5Ezl52aG3RJCrEJ3Czj52twmh--j-uY0451QhUti,False,3,False,jumah_alali,False,1690346824,1690347766
