diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
79,82900,66,0,344400,344400,253,0,0,0,False,7068489184760677422,False,False,False,0,MS4wLjABAAAAZ7JnAnbzMKico46fPfEfv2VevbVFa3dDKloLIBbCmwrpAa0SH5WpbtNwIezlAkmK,False,0,False,thepresentdad,False,1690352796,1690353788
50900,3811,520,0,1498,1498,92,0,0,0,False,6822841077986034694,False,False,False,0,MS4wLjABAAAA8lLzHWwtne8PmAXpHHh14Aff7SJ3Jf0AEJsQlLfEOftz060MKZYlS3QEuDUIbQ1W,False,0,False,kaicartel,False,1690352796,1690353788
2134,3264,1155,0,14400,14400,43,0,0,0,False,6982150515770786821,False,False,False,0,MS4wLjABAAAAm0Ebw5fq9N6vTKkRWx0fAlb9DHCK4Onocrs3U9bJv0OcRtBm-tELJ3iHzn82XNbd,False,0,False,maha35.1,False,1690352796,1690353788
2009,1177,158,0,2222,2222,106,0,0,0,False,6887384943527199745,False,False,False,0,MS4wLjABAAAAKA-q9cjL7cw7PZhPQQpJiu7ttBQeU_9H9nb1qnRxvKuOcv5Jkc4rsGQWC9jA1nTL,False,0,True,apt.risahandayani,False,1690352796,1690353788
15,1130,2,0,1907,1907,17,0,0,0,False,7060724518213534722,False,False,False,0,MS4wLjABAAAApzVFyHpG0YU0E1quYjjKF0qEoYljk0Q1JyCbBYblRf2Wi2j09cTIHy_NT8FyZ7Fp,False,0,False,thug.vrp,False,1690352796,1690353788
236,2429,154,0,10700,10700,19,0,0,0,False,7149958783879218181,False,False,False,0,MS4wLjABAAAAxRYsHG2sr7k085mEFjjJyj7stm8imHy5AveuxyjqGYwRMxoODdtlK68rswmencG1,False,0,False,remitfive,False,1690352796,1690353788
0,596,0,0,62,62,22,0,0,0,False,7227216245295612933,False,False,False,0,MS4wLjABAAAACjJpe57wHPlHI08xemmwh18CzpCLHxRI27tCOQt22FXGk1PbKNO-eCVGMjMqpz-y,False,0,False,yrgjrnsqch4oa7,False,1690352796,1690353788
2065,8687,363,0,29200,29200,202,0,0,0,False,7123684247282549766,False,False,False,0,MS4wLjABAAAAlUv3j1afAaSO0CrpOnhFOov20zbploan3NT1JtnQ4E9CtkXASxfz-7FFvCkevDyK,False,0,False,roguege0rdie94,False,1690352796,1690353788
3942,12500,409,0,135200,135200,121,0,3,3,False,6541432779031445510,False,False,False,0,MS4wLjABAAAAruqxnPYJXh5gDsx35FTk5RsktylFYo9to0_0N5qzDI_OrpJZSsKo1HqJl3RCUzfX,False,3,False,inanz25,False,1690352796,1690353788
12100,10700,653,0,10900,10900,31,0,0,3,False,6588084029827710981,False,False,False,0,MS4wLjABAAAAnq5r_LJ-M6Si6QqSXBm7QcyTbR_aXCStBFK_tqVb7jr-tbPolVcOqIL2h1tEdKG1,False,3,False,enam.khan,False,1690352796,1690353788
1686,3220,312,0,1158,1158,35,0,0,3,False,6923599868237841410,False,False,False,0,MS4wLjABAAAAm0HTx9O_f2a_NwdiesWsIfYc2a19xAhMssnTlbpBWxZ-9DzAuZwKL7W2i9I-8cQo,False,3,False,nyak_irfan,False,1690352796,1690353788
222,796,0,0,20700,20700,65,0,0,0,False,6897229044321895426,False,False,False,0,MS4wLjABAAAA2DFwmovNQmmtZHtiECiwT70UbILgFDrWGG8DWZIys4EXeTbPdLVL-qeat_IKJ0zo,False,0,False,ps_games_0_0,False,1690352796,1690353788
1143,1205,613,0,183,183,13,0,0,0,False,6543741644982173698,False,False,False,0,MS4wLjABAAAAOMJEgtonOEVMXOYEuOpTlFwm-rPRfvH37JGaBG7uYwENWwQfFUyMlU-jLp4gdppl,False,0,False,xuongduckhaphuong,False,1690352796,1690353788
64,752,87,0,282,282,8,0,0,0,False,7010716681761866779,False,False,False,0,MS4wLjABAAAAnb8M9AJZ67KQ9jq8JkU8-8ZBI766SPI2K43-GtnY2MhTa8CF1OSYvicnWzb3BX90,False,0,False,hanyasekadarsuara,False,1690352796,1690353788
840,799,209,0,0,0,0,0,3,3,False,6817640294634619909,False,False,True,0,MS4wLjABAAAAAFWta60eoqOXl_S8kHD2prXPlAML7-4H9EEZ6dXGYCi_Szzg3n3ezRXRtDoh_AMP,True,3,False,youcouf_amg,False,1690352796,1690353788
120,11900,639,0,888,888,1,0,0,0,False,7155746901319566337,False,False,False,0,MS4wLjABAAAAHeqc9VUshY6vYW_s5CFQBoMRrb5nyUigMIQPefqLM9Z_J-friIgzj7_M-fn5ro19,False,0,False,charltonsbackup,False,1690352796,1690353788
4816,29000,5097,0,58600,58600,191,0,0,0,False,7001652841840575493,False,True,False,0,MS4wLjABAAAAI9q7OWIda7GXy4HdMXokTHQthIAzg4976Rz0xiPQaK5T-OXg28xRExo2Ba-YoAbX,False,0,False,yormexfeler,False,1690352796,1690353788
0,3808,0,0,20,20,1,0,0,0,False,7253221139460506670,False,False,False,0,MS4wLjABAAAAKQqZ3XaZ0kAEvANsJCnz4ujRDZdpTNCr8NUnoRbLiFxvzJ7MoXffoqLH_DcdeqNN,False,0,False,symposia.live.game,False,1690352796,1690353788
162,646,23,0,465,465,59,0,0,0,False,6979794576602022913,False,False,False,0,MS4wLjABAAAAFBB1UXaziSI21h-wEbudVvmSqsLAzIBjHH3aQ5QIDClUq70I1E_gTQNKiLKNBxIr,False,0,False,jokohartono7825,False,1690352796,1690353788
15,24200,608,0,0,0,0,3,3,3,False,7050319709686858757,False,True,True,0,MS4wLjABAAAALGEZ6LkIPL3I4M5BJ-Ygc96Y2pCLVh49qk1sfdd99UplCVFse5-zDGY7-fQcmqtr,True,3,False,jerseyjonthesecond2,False,1690352796,1690353788
448,3400000,135,0,37100000,37100000,139,0,0,0,False,6802211195710358530,False,False,False,0,MS4wLjABAAAACRGrF7Uv1B_jVgzJf81FkiJDRgFEJvnRoCRmDA4OclOv2UnC5vl8E2gqc58kp5jT,False,0,False,sirwil75,True,1690352796,1690353788
23300,1000000,38,0,9300000,9300000,13200,0,0,0,False,6585451866623705093,False,False,False,0,MS4wLjABAAAAwqjfU_V0THtSjEN_cQV90XmZdALa5fp2VvzZoPQlFPxa55rpX-TfqdRntAfZM98B,False,0,False,rani_rafees,False,1690352796,1690353788
1340,17500,764,0,110300,110300,0,0,3,3,False,6587427214382514181,False,False,True,0,MS4wLjABAAAAowdHzYZOUYT5ONH14jShBOz9B48neILj_L_eRpNWOZEXRNKHuRAMi-fFLp7Ve_sn,True,3,False,01c,False,1690352796,1690353788
350,4676,30,0,6653,6653,3,0,3,3,False,7259972068824941610,False,False,True,0,MS4wLjABAAAAzcql860lvkZWMMXwq8rF6iuUUAhx8BirB3YPdsOE4qLPvqSy2nTFh0a0wT_ai7Fq,True,3,False,dracolovesmoney,False,1690352796,1690353788
3107,83700,304,0,225800,225800,108,0,3,0,False,6611019789190266882,False,False,False,0,MS4wLjABAAAAExp8vf0sJXbGJTNzyuzySLJNGeRc9akVu_9aN5MqoaOX9NiPmdWyAF8nzRnJG0Ho,False,0,False,abbyahbii,False,1690352796,1690353788
