diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1749,944,56,0,47,47,19,0,0,0,False,6881587916692489218,False,False,False,0,MS4wLjABAAAAEFnV7dK9iI8xur8jDOSRaKZ8dWtzoVdWAL6mnKa7H-3A9pn0LuU-1V6vhrg4wc5h,False,0,True,adsjohnwick,False,1690354373,1690355415
112,639,50,0,272,272,25,0,0,0,False,7122885818704610310,False,False,False,0,MS4wLjABAAAA3rx53d7jhlxl1dYV1u3D1cMKMuhcpx_7xTwIWLkBik2DEJHVAhC71kN3BW_KmWpo,False,0,False,mtrakbthtng,False,1690354373,1690355415
3992,2106,2076,0,8170,8170,70,0,0,0,False,7120176136458028038,False,False,False,0,MS4wLjABAAAA1b7EFY-NPFE1Zcu-NrnWQzRgRAce2qjrHsUl-bd4NZ8bvwpaWantgo8ScSaNWze5,False,0,False,aj45.0,False,1690354373,1690355415
12000,4843,8363,0,11300,11300,1718,0,0,0,False,6859772360561968133,False,True,False,0,MS4wLjABAAAArwLTVGR7jFnRCHcx_uG_eCCY0TConuAO__nDoulz0cjzAKpfg3be0qAyKWIbKcDH,False,0,False,assessment86,False,1690354373,1690355415
9118,2242,689,0,9252,9252,581,0,0,1,False,7114026896023192618,False,False,False,0,MS4wLjABAAAAK8eyPbZgsQOAl525qIajkrqH-JOpNSeZugqlzmjAwt2By8ShYSxJ2eqjAlWLEu9Q,False,0,False,adventureswithmama,False,1690354373,1690355415
1515,10100,105,0,95300,95300,4,0,0,3,False,6821018088412447750,False,False,False,0,MS4wLjABAAAAEjE2N6W5sgW9z53UHyO3GhE32SYMgahDVK010MoV1uVLbEquZbTSVk9zjbeOQo6_,False,0,False,carlos__sierra,False,1690354373,1690355415
368,9247,84,0,74500,74500,132,0,0,0,False,7256837655370269701,False,False,False,0,MS4wLjABAAAA1KHo2UcwALpTcfXcuUMocNwA3WFUBFa68HJ6fEatNstAuzQviczBiln-Fy3nvX_9,False,0,False,cortes._podcastss,False,1690354373,1690355415
18000,29300,223,0,69100,69100,921,0,0,0,False,6816491756168610818,False,False,False,0,MS4wLjABAAAAH6F3mf_NjzqNBrMoCarGS-ENaRoxJbe5t-z2_EgzeRSG-dVzfc54xymVulkqyM5j,False,0,False,lisa5619,False,1690354373,1690355415
16000,1528,7721,0,5764,5764,108,0,3,0,False,6961435865827296257,False,True,False,0,MS4wLjABAAAATLSaKDFrYeKUq2KJApNjHos_ZadWGYU063q-8kVYsqB6DsoO4gdJQG79TcFk6PTS,False,0,False,luubi2268,False,1690354373,1690355415
21,4731,7,0,32,32,3,0,0,0,False,7259703831834706970,False,False,False,0,MS4wLjABAAAAq-Qi7XygkMq42IyiJ5Nn2iEWfjYoySORHdqak0RH9uyH6exNAmgDnOdGxEOtfG13,False,0,False,liuumx,False,1690354373,1690355415
78,16100,316,0,49300,49300,48,0,3,0,False,7115892443157906438,False,False,False,0,MS4wLjABAAAA6YIL1d35ChZH_TJmHcG5q_e8-1mwhswSakIewxac7umeTjav-oryJkNslfqw_hHG,False,0,False,emilliemerrisa01,False,1690354373,1690355415
0,6770,0,0,110900,110900,48,0,0,0,False,7257060194172175406,False,False,False,0,MS4wLjABAAAAlResoJ-Tab1W6kZwLjHthN6OQx5tMFNPZPyAUP7BcTEp6eM8hFpzJGT_f0vkJIsV,False,0,False,sylvia5559,False,1690354373,1690355415
12,558,27,0,42,42,18,0,0,0,False,7174911425650557954,False,False,False,0,MS4wLjABAAAA9s5BeB8WB_ew2pvJXqp8eZLGytAnm4xXnOiRGGDLCiE-nZnbDyYJs-1yqaLfb44P,False,0,True,alesnbaby,False,1690354373,1690355415
37600,1480,531,0,1293,1293,59,0,0,0,False,6882316541363389445,False,False,False,0,MS4wLjABAAAAtdwVgaZtmDrNG4k0ssoVeUT-vagzZddMjg4eiteZBk_pBjeiAwX1V1fRmDTeedL5,False,0,False,.vj667,False,1690354373,1690355415
6259,2003,978,0,56,56,5,0,0,0,False,7064629382260835375,False,False,False,0,MS4wLjABAAAAUikD54AgyaoRhu9DFL6l4w1qWx_AOBpad96BUfkYPP6caUbrwAvgNgV5yHAGwj3w,False,0,False,tuliandy,False,1690354373,1690355415
153,195400,36,0,246700,246700,62,0,0,0,False,6789937093072454662,False,False,False,0,MS4wLjABAAAAQe8xGTeJpnw4YfLMispIXy7uxTUD83BwNNaIzfgyWMDWwd32QFhuPhUGXqRxkhDK,False,0,False,gh.natto,False,1690354373,1690355415
33,12300,5,0,308000,308000,92,0,0,0,False,7258130464719553578,False,False,False,0,MS4wLjABAAAAS2pW719cnN-BJM8qxso81XVC0ajZyVRK8Wc9g3oft_gkh3R09GZHmbeXpwzdLO1n,False,0,False,raogif,False,1690354373,1690355415
726,747,89,0,146,146,9,0,0,0,False,7186367589415797761,False,False,False,0,MS4wLjABAAAAZgKwflCiuE88pgPQCw07bIm-9kBS00-woKrt1GBbdRLPZzaVPYc3V-30dwUKie75,False,0,False,iqj_03,False,1690354373,1690355415
110,945,9,0,149,149,18,0,0,0,False,7054241735522206725,False,False,False,0,MS4wLjABAAAA1cZBLdqCVmlqi8MCKEVKQX46DgUmszPgKCEFC8OD9mYozez61xEMi_Wf1dvlviOF,False,0,False,secareer,False,1690354373,1690355415
6349,1273,28,0,2604,2604,1,0,3,3,False,6885442971370800130,False,False,True,0,MS4wLjABAAAA_JDwzyFFZQq6vp04qHgU5Y-mu6Q7v7PQGk3kh63o9oDQk0YRBX34a9tSpPRkD6jD,True,3,False,chaalattee31,False,1690354373,1690355415
193,21200,13,0,140800,140800,449,0,0,0,False,7203532153530385414,False,False,False,0,MS4wLjABAAAA09M_nuiLD8_bdoJatbZcRTPIOgf_o--9dkUa9Y0aRzAh4bGnCoZniHzcrQvEGWmT,False,0,True,liyanakadirhq,False,1690354373,1690355415
0,180200,1,0,785800,785800,159,0,0,0,False,7246740893238608923,False,False,False,0,MS4wLjABAAAAwiCJ5LYUYFY8kVN1n3dLMo4UpZGLfAQZo6oMktxTdVOHDvu26TW16go_UlQ0ZEWd,False,0,False,ezoterik1,False,1690354373,1690355415
1498,3862,1134,0,3041,3041,1,0,0,0,False,6902017348355212293,False,False,False,0,MS4wLjABAAAA0fUCiC0-zZ2s-sywJD-7F2aSTcTk_V1WHtF7LhPI8PNFtLOvumYhBduD2alW4Feh,False,0,False,thehearthitters,False,1690354373,1690355415
7485,3343,79,0,8292,8292,17,0,3,0,False,6891982932257883138,False,False,False,0,MS4wLjABAAAAzHALXh_2mfyJto94FGQzGHcR1C9eM_Y4RosZCQWayOML9DF0sUNbfTPTdsH80Hh_,False,0,False,hamdon22,False,1690354373,1690355415
5545,2285,68,0,2453,2453,12,0,0,0,False,7115837090466890757,False,True,False,0,MS4wLjABAAAAqExju_xOHZk5hhmZ4sOAapXtskkn9dFJ_rzvAAS2g_KY6fUJnjJiwEaV_hak_dyI,False,0,False,azadaskerov20,False,1690354373,1690355415
7604,19500,295,0,60700,60700,108,3,0,0,False,6922449991319831554,False,False,False,0,MS4wLjABAAAAyR7sTj3pZhVYJEayGNomhbqAOa05GZERHI68Zt58SLOjHDQuKmgGfd-lnJXMryR6,False,0,True,ladypoipoi,False,1690354373,1690355415
27700,1061,445,0,7663,7663,24,0,0,0,False,7142188897794819078,False,False,False,0,MS4wLjABAAAAkscHH3fYPTzWSqCFz2QNSX9P0Lmop_oFS4oTppog3swDZeA90xpkSetRhAIzI0jY,False,0,False,ashtynemlyn,False,1690354373,1690355415
1108,84900,7196,0,1942,1942,39,0,0,0,False,7201874248091894827,False,True,False,0,MS4wLjABAAAAWxVyLHrmJg04J8HAgerZRPag2-g3xNluCfQ1pjcuoAlcMEXFueur40jbCcl_u_XN,False,0,False,tanaqshe,False,1690354373,1690355415
44,1934,122,0,11800,11800,2,0,0,0,False,6829444362184950789,False,False,False,0,MS4wLjABAAAAhYlsjG-BfDrUGAyBX79VyCivLdj4EAP2ln7WJ20Ax6iEswk6XbyeTc3MuFxM_2x3,False,0,False,hwb234,False,1690354373,1690355415
57,745,2,0,3,3,2,0,3,3,False,6854269736403158018,False,False,True,0,MS4wLjABAAAA4dUc-kXuW4dMshkS2ADYteVtWZBTQZKTygj6N4G4tHNVOen_IRl0PVZVSVeP5yew,True,3,False,..oiuyreecbbjhdss,False,1690354373,1690355415
134,5649,133,0,4545,4545,38,0,3,0,False,7258009258728883246,False,False,False,0,MS4wLjABAAAAF4eoYc0ObqPaG0WhIe1gPz-BXfpATFFENR_6nqLsxYyzXaH13Vb-IosJL7w6HZ1F,False,0,False,cryptomagik0,False,1690353549,1690354346
201,240,31,0,3759,3759,11,0,0,0,False,7252492405487731718,False,False,False,0,MS4wLjABAAAAZiUoM8Kkadvjqp_zOyh4xFMyjFgHtw4Am0L59hcOUkmOIr6nnVlR5fKOJhS6Y84u,False,0,False,v.ameliya,False,1690353549,1690354346
495,772,17,0,642,642,24,0,0,0,False,7258746941369222145,False,False,False,0,MS4wLjABAAAABO5KTWQlL84xzDWvnhfpiutSMGlJpIvVmq7t_ZKBJX1nvoVNFlMC40E9sENl0BE8,False,0,False,mayas9931,False,1690353549,1690354346
59200,130200,322,0,649200,649200,555,1,3,0,False,6819926238283924482,False,False,False,0,MS4wLjABAAAAE3iRu_nNGfGHkEz5Iv2clmjZmsvEIGIQv4nXIOR7RNZo9fn1zVsHk9N5DZwCJT1G,False,0,False,libratea891,False,1690353549,1690354346
0,706,1,0,0,0,10,0,0,0,False,7254084067917415451,False,False,False,0,MS4wLjABAAAAGOumlqiBze9Qs4HaX9JK2sno9hr3CDQETcXmbTLZzuUFR4J6ufjDKYT02Igo7CC3,False,0,False,alwynwatuix,False,1690353549,1690354346
47,1140,375,0,200,200,6,0,0,0,False,6877922444565873670,False,False,False,0,MS4wLjABAAAAYurPE-3ZI5r1SBXHOq3WWZqSw8hWcii1jmAEDVYClFHK5PLyrEmB_rUQlp1Pye8Z,False,0,False,miggy_rips,False,1690353549,1690354346
4,8746,433,0,43600,43600,48,0,0,0,False,7048316398993900545,False,False,False,0,MS4wLjABAAAASHV3XPlGG75QrPn8Rd9qqg5lpQ72jLPm_IoIFTK72rWLBkSgOt3RX2if2eBX0Etx,False,0,True,xuyen.nail,False,1690353549,1690354346
