diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
7724,1140,157,0,1544,1544,57,0,0,0,False,6890520497756406785,False,False,False,0,MS4wLjABAAAA537Ch83I_oYEppVG3_uSl9zSaHykS3A50WTuemvoFQVPXrG6bFO_Wa8-MIufvv7P,False,0,False,limra97,False,1692033103,1692033646
39500,822,508,0,864,864,0,0,0,0,False,6895335445048673282,False,False,False,0,MS4wLjABAAAAJ154G7425r3fwOXhN9sF60WIuljt09yuSUL40LaR_59bOIGxGLONMNjON4E2Qsmi,False,0,False,ibnu_ni,False,1692033103,1692033646
8333,1589,248,0,14200,14200,129,0,0,0,False,7031914892110464027,False,False,False,0,MS4wLjABAAAAXfACZUrby8Z0m1gLLbXjtbRYVKMo2eUL_eSR4oDFVYhpSGwSQKkBpsTFmC2VFJMT,False,0,False,._number.7,False,1692033103,1692033646
396,82800,4,0,563700,563700,761,0,0,0,False,6907518662946653185,False,False,False,0,MS4wLjABAAAAFnpN8eD41kW-ryEDehXSzeS7-dblyMRm0cfUbsdNcivJcjKhwml9sUO0eBq8C7S0,False,0,False,pirogiochirusso,False,1692033103,1692033646
3932,493,829,0,1446,1446,107,0,3,3,False,6917179072363709441,False,False,False,0,MS4wLjABAAAA28gALsw8OvveEpiLlPT1FYMAdR9zffQc3NbUlXmok6EcJwAg0s9dEEdFGO3ns9bq,False,3,False,sayzzz92,False,1692033103,1692033646
2195,31600,2347,0,3930,3930,99,0,0,0,False,7254641058767340549,False,False,False,0,MS4wLjABAAAArFe4qRu3PYLFnVdjkl-EWbX7gUSg6Ext7jhbEiCy9VcTkoO852_w98hnS_SPafZs,False,0,False,saeed.ahmad772,False,1692033103,1692033646
657,9988,25,0,20600,20600,23,3,3,0,False,6977887712594461697,False,False,False,0,MS4wLjABAAAAC92sOkCDPpeqiAU3dFFLCf5grv1Ia9nnTR5zVEWkKaBQfE9FOHH4aQA9ExkIqZi8,False,0,False,xx.1900,False,1692033103,1692033646
1191,11100,76,0,4,4,0,0,0,0,False,6621652716362416133,False,False,False,0,MS4wLjABAAAA0NeadtNfOZwa-WG7i6RnuZsnH7GbLEihki1HmO231u-QZO36fu33XyRYgbyaG7zk,False,0,False,karismatv,False,1692033103,1692033646
4,700,0,0,76,76,7,0,0,0,False,7220936456264336389,False,False,False,0,MS4wLjABAAAA9eNM66AXtfkZSd0tssljD-1hQsn1RgNbBTNeK3_vpHDo7OqPfluu1tWWsl-CExsa,False,0,False,luxetech_opt,False,1692033103,1692033646
534,1129,25,0,1245,1245,26,0,0,0,False,7130738670541964289,False,False,False,0,MS4wLjABAAAAnb1U_yXzrk3tdS4XiEWW49nxyPpW8OTP79wJ-uPyb0zLMYV2Iit9S8vc4FHH9Qle,False,0,False,omu.daisuki,False,1692033103,1692033646
60,2094,54,0,494,494,87,0,0,0,False,7263108478003184642,False,False,False,0,MS4wLjABAAAAPfPngAjtDxdWMh4m9A_L_xle-GCzCunZGo1jb3wMHYCLzMv0xQydt-lGCkYN6uw4,False,0,True,wykiko,False,1692033103,1692033646
6126,10100,28,0,89700,89700,49,0,0,3,False,74316737516,False,False,False,0,MS4wLjABAAAAlN0wUKHbs_1qxbA7I5NvCWLbKHUs9BtQaedBAOvjrIk,False,3,False,kittysm__,False,1692033103,1692033646
10800,157600,317,0,179400,179400,289,0,0,0,False,6866169833013298178,False,False,False,0,MS4wLjABAAAAOfGvcb1z6ckdzNomzawo8KaUgijzFfAz6Rl_HZva9XVmPPdZSjldK9u_lzsljfLB,False,0,False,m_emoo,False,1692033103,1692033646
27900,5077,38,0,28700,28700,215,0,0,0,False,6868945756994700290,False,False,False,0,MS4wLjABAAAAL9xZmyL3vV6d2kNuZHW2gpMpRROb5Cs7dCvFweIJ48WSXFlvCRgZ9W2sjCa-jjle,False,0,False,hninpyae271,False,1692033103,1692033646
80,1042,179,0,4916,4916,2,0,0,0,False,7257194824297120773,False,False,False,0,MS4wLjABAAAAf5pj90TxMSuvkugkXlvXyignQL3qZOGSvcF662UeOg1kcF4tpvggLn56j2DQ9wDS,False,0,False,defnesal,False,1692033103,1692033646
333,23700,415,0,3757,3757,103,0,0,0,False,79096768827,False,False,False,0,MS4wLjABAAAALsbzmuFS-ltEP2BS40UYzNMIMXvbzWnLOgA3Uf2gB9w,False,0,False,lazys.miru,False,1692033103,1692033646
1,980,1,0,1405,1405,14,0,0,1,False,7264703982185071618,False,False,False,0,MS4wLjABAAAAijkaziyxWKfeh7cCvsrPBXjaQ9u6N9NUJzriywN_u_Po931ggFRblf2Fjmo6J7DF,False,1,False,mr.abaya73,False,1692033103,1692033646
12500,2933,1596,0,5807,5807,75,0,0,0,False,7238149445484348421,False,False,False,0,MS4wLjABAAAAPOTMPxkfJegLdwV4ejzs3AhyB8GJFSweM4_Wi3_xhuaoZg8t2IqLJQOcqnLYihh5,False,0,False,user7612292792792,False,1692033103,1692033646
1999,2358,44,0,371,371,33,0,0,0,False,7133782307118662661,False,False,False,0,MS4wLjABAAAAat5juH-M-gnfwXTQm50Buwu-TDS1dzvTcutb8aq55-vtPzKms3bmSF_JaWYH6e0r,False,0,False,dam_me_flycam_9x,False,1692033103,1692033646
2460,1894,523,0,5011,5011,6,0,3,0,False,6866824674246345729,False,False,False,0,MS4wLjABAAAAKnLnLVqWav6EWRT3KvkgZG0QfBE7XoZeaoj9KpSfcxHdjYfEK2uhjzmtpbcitc-u,False,0,False,yasslafrappee,False,1692033103,1692033646
29800,9765,8722,0,6440,6440,36,0,3,0,False,7174001056525845510,False,False,False,0,MS4wLjABAAAAsDO3IqduM8l83lTD9hH_JK53wzk8cSfntEpWTgyy-Ff28e_gTd4bssem6MpwCswl,False,0,False,abo_tim_._,False,1692033103,1692033646
15100,1025,69,0,7940,7940,107,0,0,0,False,6812317831750435842,False,False,False,0,MS4wLjABAAAACkDYtUIkHw1reS-8kU5UKHlM-LOwS959aUXJApFTbdOsbY0bzOcquf3drAtOj2-C,False,0,False,danarrahmanpras,False,1692033103,1692033646
8,1757,17,0,11700,11700,18,0,0,0,False,7215897198364541958,False,False,False,0,MS4wLjABAAAAAXoFC2TDlqm6s1iDazHO3lmHj5jiI-K3whYVf0l4K5AmPBuJp7y8WKZ8ZF2jaZO7,False,0,False,asmaaabdelaziz375,False,1692033103,1692033646
5,5040,5,0,49,49,8,0,0,0,False,7010984917199700993,False,False,False,0,MS4wLjABAAAA6CWodpx1o9TsxlPe31u-1VTptiAulaUh15JlPZRniihXY76UfVyq6q5rdaSU_heU,False,0,False,nx.otbx,False,1692033103,1692033646
4867,1617,106,0,1685,1685,23,0,3,0,False,6869199737556943873,False,False,False,0,MS4wLjABAAAAEbho-3lUMmqaLfWp45F0jUEyBN5eYVimc9cxZgNQ8LAPulJynp1q-77tILZXuyMj,False,3,False,khaerunisa.icha,False,1692033103,1692033646
