diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
714,18500,8226,0,4792,4792,7,0,0,0,False,7051401325595182086,False,False,False,0,MS4wLjABAAAACwh_eg6uwNHOtD86fOoR4Zmw0cYLx1vU5DgIt0asXz-apwkjJx2tlhLxiMy_3a6M,False,0,False,saifsalim449,False,1696262945,1696263964
2,1139,2,0,9,9,1,0,0,0,False,7285084113643176961,False,False,False,0,MS4wLjABAAAAND7Nt_zgCjA5s0kU3hjjsvbcR0LoGxrv9eMZdp6PEcaACxDLzhF6zIDSBXrS2q_F,False,0,False,fee.305,False,1696262945,1696263964
24300,99200,326,0,137400,137400,36,0,3,3,False,6799829075458016262,False,False,False,0,MS4wLjABAAAAQwjsbCW64EE8EQ-IM54xKOO55WZ8PRfxGpQFt4ssfYnRbf6eTIqjr0TgyidTc6ct,False,3,False,iibebe,False,1696262945,1696263964
12200,38400,311,0,181600,181600,156,0,0,3,False,6657181659630993413,False,False,False,0,MS4wLjABAAAANA_Hvt-Iwrzs1RLHmrrMtFQA8t351pF0AsesQ9jSrnrygqoykr2smru82bRpUR98,False,0,False,vip.ahmadjebreeni,False,1696262945,1696263964
2097,11900,6531,0,22800,22800,27,0,0,0,False,6853620593650107397,False,False,False,0,MS4wLjABAAAAaYycz5SNVEM52HsNWRW1mdgLTJ91tgyLsDm3QOG22XHsoG4GCIdvHmRgsaVhHB_y,False,0,False,jhony.franck,False,1696262945,1696263964
534,1308,27,0,17,17,4,0,0,0,False,6971015050744366086,False,False,False,0,MS4wLjABAAAAiIeL0b3CQwHKhpINx2QuMk075C-No-KOJfAY22-IP-JK4jU_qD_UgmyyK3rlrQaV,False,0,False,paisanajacintaa,False,1696262945,1696263964
4520,16000,5060,0,28600,28600,269,0,3,0,False,7131940874452403246,False,False,False,0,MS4wLjABAAAAKXjjopVoS4E-V9DwZuvER5qIN1Ijq7s6h8_Ze2x5EpP_p56IU-rHkA3GkEmm10Mp,False,0,False,joselopez22415,False,1696262945,1696263964
1429,3321,501,0,4726,4726,43,0,0,0,False,7279553673021293569,False,False,False,0,MS4wLjABAAAAs2xj-myToEiqWmjY3v-Z7FTlSwK562Ja6mD63LveDJJ1QpYpbxJ0O5HBHcioQ-KY,False,0,False,pet.jhony,False,1696262945,1696263964
13500,6476,54,0,517,517,74,0,0,0,False,7162545144653169707,False,False,False,0,MS4wLjABAAAAWJRhguZugRRHYv7KGKZ7PnihHqdwDIU0FlfbvQcRYzJc567gyuruof3IYnnNKmGX,False,0,False,kleonking,False,1696262945,1696263964
0,1935,0,0,0,0,0,0,0,0,False,7126115939607905282,False,False,False,0,MS4wLjABAAAAVcjMa6vla3LDZOiFoc_tOAbpJSKvZVH-KrJgbnY76lNRiQetIRzHWbiIvmRJykjr,False,0,False,o00z,False,1696262945,1696263964
466,1150,13,0,69,69,10,0,0,0,False,7006545769341060098,False,False,False,0,MS4wLjABAAAALlW-HPZ7aJJWufvGBO4C0RobMsWn88Np5b1xmlSAA_tqg_hOYcZyzMeZpa4sSGxq,False,0,False,alfatih5187,False,1696262945,1696263964
0,1059,0,0,3,3,2,0,0,0,False,7238172350310499334,False,False,False,0,MS4wLjABAAAAeMvmf7a8wpdbcq7TOVb2kGf4DR24RKa0awP_6z1y7rXfcx9DhUifX6lLKN2zp7za,False,0,True,alith.official,False,1696262945,1696263964
2,1179,7,0,0,0,0,0,0,0,False,7285359427603006497,False,False,False,0,MS4wLjABAAAArqLI14QTAGssauH5R57Rv7C2QTSC9ZYC2KSPeTIOJbO-04rG7cFv7Gqehzs7ujWU,False,0,False,rr.premium,False,1696262945,1696263964
5439,2798,630,0,58800,58800,218,0,0,0,False,6651384586402660357,False,False,False,0,MS4wLjABAAAAJdM1XmkKTszeTXJ_7fLU-OBtIQTq2B0oaJmnZGPRdiMKoDjrNSceu7FlD-A2HyPK,False,0,False,issamelmu,False,1696262945,1696263964
6232,2239,178,0,5981,5981,217,0,0,0,False,6985148725443265538,False,False,False,0,MS4wLjABAAAAfj-SF7JluZ1EgoOdbcDmCFibCvHMv1UQrEkif19jkNj6w1nkQEiYHwTOFOMBa7c7,False,0,False,erkekyzdi,False,1696262945,1696263964
4125,85200,6793,0,235400,235400,1855,0,0,0,False,6823115249698178054,False,True,False,0,MS4wLjABAAAAs0YM4B0vEJYHxETHo_6td9107U-WwiNazASFHWI8Xo4WQYBiykFGgYhOBEL5iIC_,False,0,False,lucieneslinsschiarizzi,False,1696262945,1696263964
16600,7014,933,0,424,424,3,0,0,0,False,6974829647465595910,False,True,False,0,MS4wLjABAAAAN9oywbeb6VUjEl3wu5CqeQArLPOIzG6I8mHFGGTZhA_LZ6ETHWtYeamAHkWFkLev,False,0,False,darryle_jones55,False,1696262945,1696263964
4149,3046,121,0,10400,10400,3,0,0,0,False,6958087558825116678,False,False,False,0,MS4wLjABAAAASfEUW2EQAx1woTVMAgcMe5GgL0Ttqr_nvqhGcEQ-LZPhs3USgNuz85L0OQ2iTR9S,False,0,False,m_atmrd,False,1696262945,1696263964
1,1198,0,0,304,304,8,0,0,0,False,7232636127399347202,False,False,False,0,MS4wLjABAAAAW37SMTujjHixSeps_CCmrNXv1zAfsrRI_8qsZdknaquMBd7Qn_-5F_UvAI-wSexf,False,0,False,garden60f,False,1696262945,1696263964
80,4404,6,0,141,141,14,0,0,0,False,7281247844887397418,False,False,False,0,MS4wLjABAAAARgavyB6Kze-575Nh3ub547fKMARqnNXU7yhV8RkhQIjZ1eaA37k6FRVTME9LuqaR,False,0,False,hafainfo2,False,1696262945,1696263964
5,3028,1,0,14200,14200,2,1,0,0,False,7168498466636514305,False,False,False,0,MS4wLjABAAAAwcEtIenXZXG6kRbYOGanLsXZ1mFA7QP5YCPQyOMhV9lVorVVa7Ux_R7qXUGzhkvS,False,1,False,joannavest,False,1696262945,1696263964
584,1450,136,0,2465,2465,197,0,0,0,False,7169959703698506779,False,False,False,0,MS4wLjABAAAABIZ8N-sJB0RYRlN3y9jasei2HM0KFwmX4eADwc91Tz2ieGmUKjIdOGHGM4wGSsbI,False,0,False,mamakkocak,False,1696262945,1696263964
23400,1202,372,0,300,300,39,0,0,0,False,7000468287584240667,False,False,False,0,MS4wLjABAAAAM6nSMs1uqWEjjHv5VsjIz0kXw6O_pTGm3oh8OhY1p0KKwD48GorYVQA8PoaNyWLj,False,0,False,paeng_.235,False,1696262945,1696263964
168,50,31,0,61,61,7,0,3,1,False,6909509496926880770,False,False,False,0,MS4wLjABAAAAhG470oLdRO3NY1lELytj-IaYHTIg4of48XnPYkwXmrJ-XXCUHMb6_hQsPETQVb5G,False,1,False,user657874500796,False,1696262945,1696263964
44700,9305,5431,0,31300,31300,301,0,3,1,False,6670412919006232582,False,False,False,0,MS4wLjABAAAAfZUyheA9Y22AEGZTXOanMGqvJUpIdQoTe2mwvwgRfWIt0JN28beN1lu_lIPJbex1,False,1,False,liekema,False,1696262945,1696263964
126500,3769,287,0,38500,38500,3,0,0,0,False,6631990156922781701,False,False,False,0,MS4wLjABAAAApY5bjkDjNT5QTrcj4cA8TK_1cHp9Rk9rDSVLPljnGXAtSp9SaTia7lGsEDniEVRO,False,0,False,cody.lee0,False,1696262945,1696263964
15200,10100,1140,0,94500,94500,512,1,3,3,False,6711132886155740166,False,False,False,0,MS4wLjABAAAAKXUgGf4gl60chWWkqpv_k7CFg2O3w4mE44p-sq6aBDmZRfZmUsKDfZym-NQiFz7O,False,3,False,rincon278,False,1696262945,1696263964
1994,2229,145,0,210,210,25,0,0,0,False,6710105343794725889,False,False,False,0,MS4wLjABAAAAdwYi2l1Hj2KbL8XQmek7xEC5D8XFy1jS4-GGsvENqzPLvR_YIgbiGFNRADyxnPk-,False,0,False,anggitaprilieska02,False,1696262945,1696263964
719,2819,1066,0,3865,3865,300,0,0,0,False,6632101815906140165,False,False,False,0,MS4wLjABAAAAMGGc-MMyQqinsvfdVSlpPY79o_6am7HTiovfSf3qXxc9UjMWL8TE2uMUqZE7FfhF,False,0,False,leopools,False,1696262945,1696263964
8070,11400,173,0,7537,7537,24,0,3,0,False,7145469263016559621,False,False,False,0,MS4wLjABAAAAPuUj1FSGcZ5yN0MOfV-q-C4iYUnq4_TuvHAvOTZfS_RzgXf39ujuQpUiNM5AeAYN,False,0,False,elainevm2,False,1696262945,1696263964
0,57,1,0,0,0,2,0,0,0,False,7281692913537451054,False,False,False,0,MS4wLjABAAAAOuGsAMJ_bLoCK9aWRkM72UKRaD3Kak83YIgSIV27l5yN7iuvmnuVd2zA2xv0ev1X,False,0,False,zethusofficial,False,1696261891,1696262910
13,14100,53,0,2554,2554,15,0,0,0,False,6972162631776797698,False,False,False,0,MS4wLjABAAAAHo2W7zmT9EwRBdfUuTC10JvTIj8XL_pRH6_SNj4g_Q2T5N6sHOnW85Q8tn_rVZk3,False,0,False,max.basketbros,False,1696261891,1696262910
1801,53700,60,0,247800,247800,1196,0,0,0,False,6681147218777768966,False,False,False,0,MS4wLjABAAAAGd2tn8C3AMSR2hEhEa3A_o5Bhsxu7NWDwiHpOksroW1foqn3smdH0Isdd5auo4PN,False,0,False,alrasha_alhegazy,False,1696261891,1696262910
3,114,34,0,0,0,0,0,0,0,False,7029781660011103233,False,False,False,0,MS4wLjABAAAAMEaNGp9Acatny3G2d8kOPUiQHyJq6psbvalQlY4iLGsUgEF_ZY0347ng0ZkqQlG-,False,0,False,kairat.ermaganbet0,False,1696261891,1696262910
107,75200,47,0,226500,226500,105,0,0,0,False,7125929767870645253,False,False,False,0,MS4wLjABAAAApyrk_qm8xUId3DjU4GQguKtx2Y0N3PNwXlcWkyBF1i5LRUQuJXW5ZIjMay8WbRh2,False,0,False,opianomagicodaju,False,1696261891,1696262910
0,10300,0,0,10500,10500,6,0,0,0,False,7284521855045829674,False,False,False,0,MS4wLjABAAAAvKldE9y32VUjecsSLDf4FImiMSV7MIVIG89lQUrjUtfowR2N4TAz1dMm5_6pJOdl,False,0,False,alexsampsonwijqfz,False,1696261891,1696262910
5419,74600,862,0,1100000,1100000,295,0,3,0,False,6611553539839148037,False,False,False,0,MS4wLjABAAAAZRVIm27WYv87dXprFF1Uho8_NPri7Jn5cI4dPNLrFeUIz2UtDPkg3aLh0C5Al_k1,False,0,False,sahabt.suliman,False,1696261891,1696262910
