diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
4,1171,1,0,0,0,1,0,0,0,False,7255340695354524677,False,False,False,0,MS4wLjABAAAA5skeKZYnfKCU2F-QVlrWjo26T0WT1oOvV5akOHW6NqGIPGWGXi3HhiZr0WmW7ibU,False,0,False,wdvjizng493,False,1689464812,1689465950
4792,4595,227,0,965,965,42,0,3,3,False,6808862034714526722,False,False,False,0,MS4wLjABAAAA2QdBQrIkkFIyZkXQ9F8d_zdl58HBH2iJ6MwNiY6Qb5bUn6IKCLR-tQ13O9P_jloG,False,3,False,katsmeonada,False,1689464812,1689465950
17500,16500,415,0,31700,31700,14,0,0,0,False,7118420897163117614,False,False,False,0,MS4wLjABAAAAQGuPN7xxNrDJ4vXBldvsU1DJrwSy3G8VAb_gnd0x1zcl3E2OOF9vXueBXSBJ1hce,False,0,False,hailsmariek,False,1689464812,1689465950
500,8568,264,0,191,191,12,0,3,0,False,7243750561631536146,False,False,False,0,MS4wLjABAAAAF8vZp9lXdH3lNl47w87auiorSvn3QcaqQYU5vaxFjh93gk2qrgsjeMnRIIHJTlM3,False,0,False,tiktok_rba_molly,False,1689464812,1689465950
14800,118500,9055,0,70600,70600,33,0,0,0,False,6685976950723625989,False,False,False,0,MS4wLjABAAAArR3iz2dddXgcIZBGdEFLi9SxjWEkk6WgNoHltCypz5YsvIY05AGjIoWZ5nC-pPQN,False,0,False,ashelnaghy71,False,1689464812,1689465950
739,5347,7211,0,36,36,1,0,0,0,False,7140226935206052910,False,False,False,0,MS4wLjABAAAAz5XlaisNR4l9M_8uDJCU-Isnh9m_XtaP6AhEVxJItqvPKD6PlqBJJy0i1wZC-KQ2,False,0,False,mr.shadows__,False,1689464812,1689465950
0,1176,0,0,21,21,19,0,0,0,False,7254091633347724294,False,False,False,0,MS4wLjABAAAAt00uVSVR8SRbuMSva0snhxjmpWNj_PUXQZzBwoQOylEHNwepMi-htFJSrPA3fXAg,False,0,False,sarmabek3d5,False,1689464812,1689465950
36500,19900,5170,0,110300,110300,96,0,0,0,False,7021070334180033541,False,False,False,0,MS4wLjABAAAAkPX23HfhO4sQVe6MBHOHg7I_7ZWcAkmzRQnMI_tqTO8A5MTsknZ0-Bd0ty0PnHnE,False,0,False,edehluiz,False,1689464812,1689465950
477,4827,22,0,771,771,36,0,0,0,False,7253874159058043905,False,False,False,0,MS4wLjABAAAA7GkS-QJZJODBdxmPE-ulbkhp5SfoXcTL-fJ_7jgcl7usqf_IRbUOkHzVI2w9cXmb,False,0,False,al5a6abahkwt,False,1689464812,1689465950
259,3113,77,0,89,89,2,0,0,0,False,6600711617905098757,False,False,False,0,MS4wLjABAAAACLmm70KnvRapND-C-7e6EJw1FgGt_khyurWmq1f1uMJmMj9EWDN0nX-mk6UBBluk,False,0,False,prns99prns99,False,1689464812,1689465950
1,1171,0,0,37,37,40,0,0,0,False,7253001752185226246,False,False,False,0,MS4wLjABAAAAU4JAyl_12rL-_5on3bagc8ukAnTvKCBFpyBUHBR9hVe58wwCyZRiYPrFaHBSNl5J,False,0,False,sargidap0yy,False,1689464812,1689465950
