diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,849,0,0,0,0,0,0,0,0,False,7257826156580930565,False,False,False,0,MS4wLjABAAAALPmlVWvW9X6ou7tWzH5SOS6BjpJJJunEQ9mX3s5PHtjCwZ2jzk9I2FNvDu3_TEO9,False,0,False,ubrct,False,1690647904,1690648819
7030,19100,73,0,5729,5729,35,0,3,3,False,6756815357459383298,False,False,False,0,MS4wLjABAAAAAevUQUg_f0KGCJFpS7XVyt7wAeqlvr6TXRFVLeuPAtrqMpESXx1lptA15yiSDDXe,False,3,False,anakwedoktunggaljogja,False,1690647904,1690648819
1,1567,1,0,1912,1912,4,0,0,0,False,7247239589261411355,False,False,False,0,MS4wLjABAAAAn-IqByCxUFE-PEzVX_I98UrhrLFYXH3esnhCc3d61M8NBKg48QI9DGbiCnneVh--,False,0,False,shopkawaii.nl,False,1690647904,1690648819
1555,108900,271,0,223500,223500,179,0,0,0,False,7117044071348306990,False,False,False,0,MS4wLjABAAAAoWZY3GX2xtf2NQ0qB-bFdrat5Hjh7Ztc5gWY25H5B0hL_icvVVR-0iS5MMnn3wOW,False,0,False,asunagameplay,False,1690647904,1690648819
1678,1100000,121,0,5200000,5200000,179,0,0,0,False,6601177767898890245,False,False,False,0,MS4wLjABAAAABXp_oQdMfKFRYehacwu3K-wcrweby5cIfdqlzApM4yD06DXoJWk2qf7NfEc8dXnP,False,0,False,ninaxcarolina,False,1690647904,1690648819
7068,1227,2,0,88,88,3,0,3,1,False,7184385828290118702,False,False,False,0,MS4wLjABAAAAvZIH_hBkhqkCql6_E3gJNBR8myZ62YHRMtaQ6R5Wbcr-8ebYKGokmmtud6urO0Jx,False,1,False,617cae,False,1690647904,1690648819
596,9130,116,0,6519,6519,60,0,0,0,False,7209319041861387310,False,False,False,0,MS4wLjABAAAAlFQlPD7bZ2NHOt_6EqV2mF0PU11uj6x-fHOX-CNJOObqiO7VWeUeymZSw5pHzlKF,False,0,False,whits_flips,False,1690647904,1690648819
121,542,5,0,0,0,0,0,3,3,False,7261211347608978450,False,False,True,0,MS4wLjABAAAA2rtT6j0aa7k-Oc63IJ9mYBzJPT2e1OzomISEPepFeJIkMTSGjNJZV6bnBOps_dRI,True,3,False,msaad123432134,False,1690647904,1690648819
9077,1731,2995,0,48200,48200,12,0,0,0,False,7035777925963154438,False,False,False,0,MS4wLjABAAAAK-uBSQvoR73kE4DmGNUiXekOQB6J6Jb45WbhBNkwNC15gzuFRbaUev1S1pbevESy,False,0,False,_delltheinvestor._,False,1690647904,1690648819
0,651,0,0,0,0,0,0,0,0,False,7259272577784726555,False,False,False,0,MS4wLjABAAAAfbvqSn6Xqa8tW8y2KDH9J07KACOwntcyE674zv-oblzYxw0iaq0rEuSLnglkKWdR,False,0,False,clivebfjzj8,False,1690647904,1690648819
20300,2096,0,0,30500,30500,142,0,3,3,False,6654690919248855046,False,False,True,0,MS4wLjABAAAARgRV7dIv-GrvUohPTx-yNo9q2xaosXyuvqJbl_71QH7woMGHJ-q7ok5AT9Y96zhT,True,3,False,duaarajpoot565,False,1690647904,1690648819
8876,1366,191,0,447,447,8,0,3,3,False,6786921532825895942,False,False,True,0,MS4wLjABAAAAfimZsIU3kJshb4OG8xHpzHpL0GPNcUOpMoQBM35LU3bqbrIgUfqbehr-Xhj-y7Fc,True,3,False,monty.u.s.a002,False,1690647904,1690648819
14200,8013,122,0,49400,49400,4,0,0,0,False,7227864763601929243,False,False,False,0,MS4wLjABAAAAzDUdBGFanboCtOcEbnq2ukV13Pw_r8sPYzxStKpxbdtApu6hmIAbZBhbRH0jqdp0,False,0,False,junayid.viee,False,1690647904,1690648819
33,3813,80,0,10900,10900,1,0,0,0,False,7238925933619905542,False,False,False,0,MS4wLjABAAAAygaeu7E8wgF_CBT24PhLN9psilnXf1O-sAEE8vfsGqlXIRJ8jkm2aST2Z_u4EZms,False,0,False,blossomaddy,False,1690647904,1690648819
2036,799,953,0,171,171,7,0,0,0,False,6575825582838579206,False,False,False,0,MS4wLjABAAAA2Mg_lJw0gseKHbNn9wQpYcDYxUIG0fO2ZpSGcdhC_6ufuzx0DrZy5gFQeuX9FTXE,False,0,False,gibsmetal,False,1690647904,1690648819
