diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
4383,721,571,0,353,353,74,0,0,0,False,6976572632737563650,False,False,False,0,MS4wLjABAAAAI8tilLIXv6pO6ZCPSpX8sDEB0hMJDTLDsv-T43XvskdNBtuoaxt0AIw8LmZYSb3b,False,0,True,niknurhidayahnikk,False,1690348583,1690349603
1330,478,376,0,0,0,0,0,3,3,False,6882002404913955846,False,False,False,0,MS4wLjABAAAAFenasXLKUA5rTYw1n-QrSRkPQ4kVYJqw8SMGOYrK-osoNcwnsqzQimZTbfEsFelr,False,3,False,mous941_,False,1690348583,1690349603
603,7707,167,0,1696,1696,27,0,0,0,False,6841348833415365634,False,False,False,0,MS4wLjABAAAAmFoOrXHWAke2sTKkzg3T5d3wfOeoE_2XDQUVeJ8CNlEeAR--kyr44bcRysmZTlRq,False,0,True,minastore_0209,False,1690348583,1690349603
175,839,856,0,13,13,1,0,0,0,False,7259950229196571654,False,False,False,0,MS4wLjABAAAAGYdTKgSecF5wHmIRC1Rmn-oHYCMO3akpIYm5Cy_-blPL8n1pEd7quHmQ7CoFA-zc,False,0,False,luqshop2022,False,1690348583,1690349603
0,688,0,0,1548,1548,4,0,0,0,False,7200004453021467653,False,False,False,0,MS4wLjABAAAACpUwJErL36Z1mz0q_HtMW5nT0r24kqpPzuDc8tJZqxcibVnWxsaSiJN9AIUTe5zI,False,0,False,hoang_anh1116,False,1690348583,1690349603
1679,7548,4806,0,3087,3087,280,0,0,0,False,6736605329042588678,False,False,False,0,MS4wLjABAAAAl8ppptynpXvQnyrAmO_qEsUz1yoytHjkmV22jqEuKkQli5a7pLRq_6xrlpRpl2O5,False,0,False,zyzy003,False,1690348583,1690349603
11,773,1,0,84,84,9,0,0,0,False,7044795117136544773,False,False,False,0,MS4wLjABAAAAzm7S4P-FrhiMDdU02S0eY_YttdKOuNAldH8-mfCb3-st1iiYbx-TPyv_I_LsmECN,False,0,False,andrespineda2105,False,1690348583,1690349603
0,3840,2796,0,2639,2639,14,0,0,0,False,7259741731573859333,False,False,False,0,MS4wLjABAAAAtADWPRm1cOLGp8AajM64b-9qZR1rs-DR3LN6dDzwkmvtC1xiQArojnZP3vptqzFT,False,0,False,aydin_vahab0v,False,1690348583,1690349603
2106,895,229,0,4177,4177,56,0,3,3,False,7257255283839616005,False,False,False,0,MS4wLjABAAAA9TDG50vR1FxgLVvdb1aPUpwuNb0TaPwOAdcinoc53bDCU6nlm27JbeuIvMGt3sRD,False,3,False,babygir0171,False,1690348583,1690349603
33,757,3,0,0,0,1,0,0,0,False,7258279635031475202,False,False,False,0,MS4wLjABAAAAHPVXowCrLxaJQBffmvXtaaGfd1Czx_wrCyrqwjf1S2C2o9jrgeLZbCw1vNPAMDok,False,0,False,8e6lo,False,1690348583,1690349603
5250,10500,3686,0,1884,1884,17,0,0,3,False,6987943970869806081,False,False,False,0,MS4wLjABAAAA7wT8jdniX4Qt0l-V0aABs2u0546ZXXjI9Gwmr1D6rVEXG3p9SAya8NBd10lnD1EM,False,3,False,ghfhgghh2,False,1690348583,1690349603
158,5058,141,0,66400,66400,94,0,0,0,False,6678924577891451906,False,True,False,0,MS4wLjABAAAApxcOsbI32iwGsoHtS1Gnalx7zDUuAy33WaMw_1N8In55uiCe6HLQAxU7RlwxZbpk,False,0,False,kluwek21,False,1690348583,1690349603
41500,37000,106,0,471200,471200,18,0,3,3,False,74712460934463488,False,False,False,0,MS4wLjABAAAAQEpKtrgaHhl2kZzceDJ_YSL0mKh9Bj84qH9j6yLI1ERslz0Cj2EryLW-RcYP2UnQ,False,0,False,keremmozdemir,False,1690348583,1690349603
839,7015,1854,0,1952,1952,61,0,0,0,False,7246219704490247186,False,False,False,0,MS4wLjABAAAANLwuapxdQtE2L0WV1ekmCYic04cUBz06JqRHzhTa7kE_Eiyda4Brz4hvn91J3w8B,False,0,False,1a_882,False,1690348583,1690349603
237,7493,804,0,2057,2057,14,0,0,0,False,6808627990206710790,False,False,False,0,MS4wLjABAAAA2CaICeqF6nHBX9Z3ClnnBYitKJ5mYKCQzDg8x8sDD9ibZnOcVD1HUNi9flHzzUFn,False,0,False,thewellnessjeni,False,1690348583,1690349603
59,1214,74,0,1675,1675,61,0,0,0,False,7175724396144706562,False,False,False,0,MS4wLjABAAAA4pDA9YfW2RaoWkViSt9JvX_yEKWHXrlSobeNOM35UawPmYA02WIPxRbC1lF_c4X9,False,0,True,sumbersinarterang,False,1690348583,1690349603
4513,1380,128,0,2912,2912,42,0,3,3,False,6531595641151160322,False,False,False,0,MS4wLjABAAAAsBzjyvLAJ5g6Hz0izyJlLMRzqpQpau-SNGV0uXelZgXKCA_DZqZG6fwTdWSUx4j0,False,3,False,iniigen212,False,1690348583,1690349603
15900,3253,0,0,1199,1199,8,0,3,0,False,7103585256955233326,False,True,False,0,MS4wLjABAAAAZz915qY7UAswthJ17EBN9l55Da_pUXwEQ1YrmvLjCXy0j_nuCvkmTDO4I8cfScNC,False,0,False,hangover__007,False,1690348583,1690349603
32,1605,0,0,570,570,34,0,0,0,False,7230420764024456193,False,False,False,0,MS4wLjABAAAAIxYMo7IK_-EfiAkps6qin9wrPbgSEszpv2g9cJrnujuaXS9mymcoS8tV_b6eJg_F,False,0,False,jstore60,False,1690348583,1690349603
3855,158300,126,0,828500,828500,171,0,0,0,False,6582368512433930246,False,False,False,0,MS4wLjABAAAAvlftCAsK6r2w0y2IkARxnNK4w7WFT5MmOb-shg0A5zRFToFHeFrM1paWfOVx1RRw,False,0,False,sultanh.nasser,False,1690348583,1690349603
305,3622,346,0,1055,1055,3,0,0,3,False,6803007977521529861,False,False,False,0,MS4wLjABAAAAvdCzBecI5EJbnwDercrLiCKI5Ezl52aG3RJCrEJ3Czj52twmh--j-uY0451QhUti,False,3,False,jumah_alali,False,1690348583,1690349603
158,953,82,0,40,40,1,0,0,0,False,7111978885679973377,False,False,False,0,MS4wLjABAAAAwEcWNpFtSOKo7HkR98EoiGzQf_hk1ZMoSEEZ0R9pCMxkwivSfqr7G5HrLEkibPCB,False,0,False,melek.papatya1,False,1690348583,1690349603
9521,239,150,0,1548,1548,13,0,0,0,False,7101923733719368705,False,False,False,0,MS4wLjABAAAAuoG4WuOkP3wPccg939UnRCvZ8X0cVnHNMqAOy0kDXmITYQyy1XO_DL-RSyYBvfsN,False,0,False,rahmadita041,False,1690348583,1690349603
518,2267,41,0,477,477,21,0,0,0,False,7246067944076592133,False,False,False,0,MS4wLjABAAAACtI2BykiopZ1C3hBhk3ZOwJpObPOu9dgihBGwjI0Mec6VeVl8nn3xZTvZMT9urir,False,0,False,luana.viana138,False,1690348583,1690349603
6,8242,4,0,25900,25900,138,0,0,0,False,7255209730233566254,False,False,False,0,MS4wLjABAAAAdnFLTnj31COG8j7YzmN4OMkL5-4FzmkiC9RvSOiWXn0pHlvAC6UU_m5xrfpWxWVJ,False,0,False,sodkzzmbvjr,False,1690348583,1690349603
6391,1225,24,0,35,35,8,0,0,0,False,6775915184215573506,False,False,False,0,MS4wLjABAAAAyan5GmmA3PnlMcAuv5gMwJ_1YyGf8rt4r4v7yh2_hw9quNQkVbf9TugkY8AoLW_0,False,0,False,alfnbnihsn,False,1690348583,1690349603
814,2100,436,0,729,729,33,0,0,0,False,6959093284536091649,False,True,False,0,MS4wLjABAAAALKcJC30t7sw_XapiBiRx47MqVceRYJIZGsKLEin66GwpHrJ-nCb_KOj2Myl4YEAy,False,0,False,anggitafarid,False,1690348583,1690349603
3187,22000,54,0,708700,708700,57,0,0,0,False,7156000324758275077,False,False,False,0,MS4wLjABAAAATGCvCI153mAYxy7PiefC_IjfVSYhK2XFlA3ozkoiCnK_h2TfIrl0vqTkeFPMkggY,False,0,False,slowridah,False,1690348583,1690349603
50000,10100,1206,0,3925,3925,172,0,3,0,False,7071863896910939142,False,False,False,0,MS4wLjABAAAA8ftMywS9DSLmMSbirzZZt-zTe2ia-boivJPo99YyNnrob1Gp-PqtB0dn6RK7eVi0,False,0,False,alessagiordanoprats,False,1690348583,1690349603
135,1059,96,0,510,510,8,0,0,0,False,7232889885051339819,False,False,False,0,MS4wLjABAAAAd7aIxNxlYe_ePC5X30RK-4yamGDP_qN3miEmlaTDF_LY_JOIlf4pI2yo-gARAPDy,False,0,False,yfl.0,False,1690347696,1690348557
3942,12500,409,0,135200,135200,121,0,3,3,False,6541432779031445510,False,False,False,0,MS4wLjABAAAAruqxnPYJXh5gDsx35FTk5RsktylFYo9to0_0N5qzDI_OrpJZSsKo1HqJl3RCUzfX,False,3,False,inanz25,False,1690347696,1690348557
2,427,0,0,31,31,13,0,0,0,False,7243654615538041862,False,False,False,0,MS4wLjABAAAAXmy9VFb-QDaKBxxNOw5BM5zmmhQZurxIYzkrjGfjOdajf7rGzhXj0JTUBKYgqskc,False,0,False,cie.idiomas_bo,False,1690347696,1690348557
550,2046,1,0,3685,3685,59,0,0,0,False,7167249152052544514,False,True,False,0,MS4wLjABAAAAcaXlMd6qwfOKI-sYtJ2qxWSv4bdky3Cwhpwq4L_KaSaPDEsm79wX4r0cdhJjvdzM,False,0,False,alazhlbn4hk,False,1690347696,1690348557
29,2293,5,0,651,651,23,0,0,0,False,7244007121028350982,False,False,False,0,MS4wLjABAAAAMyfiLAzsMkKQbvSmv4djpAI-QdYF2QxWX0tCr1SKqPLtXDF9KROTXoxF75tTTaar,False,0,False,r0lex_clip,False,1690347696,1690348557
326,19900,123,0,769800,769800,94,0,0,0,False,7246777499320419334,False,False,False,0,MS4wLjABAAAA7V8-DtMHRZLml3VXzHfHm1JttArDpeo-XyQR2k8MANJlQibdYCARog3qPAbsuu6_,False,0,False,user44849795163191,False,1690347696,1690348557
726,735,73,0,2005,2005,7,0,3,1,False,6913678682172736514,False,False,False,0,MS4wLjABAAAAkSTvoon9BocU-49SF1dF8ZWE-R242fecnkWYzwvCOsTBKJbheoAH2HcBZCCW0XLL,False,3,False,kang.mamad,False,1690347696,1690348557
