diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
307,10600,43,0,973,973,21,0,0,0,False,6962712057554109446,False,False,False,0,MS4wLjABAAAAf-ZcSmNv6vfavK3wEDE__-M0SfeeRblaV1RvmRjAPJ4rR_PwbuINONc3owzCKdSd,False,0,False,marciosilva18d,False,1693107748,1693108013
217,1472,15,0,255,255,17,0,0,0,False,7183215244080137218,False,False,False,0,MS4wLjABAAAAfHV35oUQWSM651-NEiV88rUW8LZQgSt_gYhlbG37dfwXLVuXjgklkyGlObTCV8an,False,0,False,nextrayyy,False,1693107748,1693108013
1,4227,3,0,458,458,53,0,3,0,False,7246359137825768454,False,False,False,0,MS4wLjABAAAAKEy_X3HG6miy7ra1QlleSsT4wcWRPsRAnAzkJbKOPmX_OTvSmrNX9HuWZ1hlKsUR,False,0,False,itrade.leb,False,1693107748,1693108013
127,82,330,0,28,28,13,0,0,0,False,7266184922619659269,False,True,False,0,MS4wLjABAAAAYQ6zUBMCsHXeOxRnrQ9C4lGA9z7CuSYNmtI9t7RpHWWl4ecEMkFQG3b-Box7ave8,False,0,False,asdzx534,False,1693107748,1693108013
508,1002,464,0,192,192,28,0,0,0,False,7189989522067047426,False,False,False,0,MS4wLjABAAAAW-Qb5f3GXUZc0NHq_jWLMnMn5c3wLmrXaaFsaE6yR37yLNDWQ43TWmhDOxhC4_13,False,0,False,heldmiks,False,1693107748,1693108013
197,603,10,0,313,313,1,0,0,3,False,6999100907477222402,False,False,False,0,MS4wLjABAAAAjddSHeh-LWKwJzg3W4MIaineFYUFez80LYuNIMfppOoifmm_le7zD3Fjei9HOjhD,False,3,False,pg.4lld,False,1693107748,1693108013
122,141,61,0,24,24,2,1,3,3,False,6872645872304735234,False,False,False,0,MS4wLjABAAAAYvfY4onnwoZKB_LSqhrP58ceEElmR9x9A63bzMdyXl-EecNngckSCQtK5ub_mAMM,False,3,False,pinduoduo.almaty1,False,1693107748,1693108013
20,7414,11,0,70,70,17,0,0,0,False,7057356842070508591,False,False,False,0,MS4wLjABAAAAEMJxj3sb4spQ_kuydi2OU7K9ieY11XDamtBgrVdl-4nV_lAypjGnLh5h0734oKY3,False,0,False,issabigdee,False,1693107748,1693108013
3175,1039,34,0,0,0,0,0,0,0,False,6866244446390174725,False,False,False,0,MS4wLjABAAAA6yKOX-aBggLoKDHJS3JaeM2WIauaevpYFvjewVfuNrgzQH-GInwaylJj5jvL_Hb4,False,0,False,kevte81,False,1693107748,1693108013
1631,77,4,0,576,576,11,0,0,0,False,6934315002280412162,False,False,False,0,MS4wLjABAAAAnJ7swQta89AA4KWJmxnNHjwNlt63b2A4halHgcjI3j8Y3N8zyqr5BstbFOnBKv9a,False,0,False,hama_hisham01,False,1693107748,1693108013
