diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2099,21400,63,0,27400,27400,27,0,0,0,False,6898273296275784705,False,False,False,0,MS4wLjABAAAAy8CDeAvmThyRgyZhedtf01IHRVgf3-9YY0ZkYLL8TR4uUR4jbaKS255Fnq-Iw_aK,False,0,False,goldenb592,False,1692350363,1692350739
411,520,179,0,1056,1056,82,0,0,0,False,6914835877466211329,False,False,False,0,MS4wLjABAAAAf8o2TPHnee0JcU5HTJASHzmZTAiB8W1pYNCh-pV26mhM_B8j6z2JFNb1UDGCVsHH,False,0,True,mbakriyah,False,1692350363,1692350739
4919,350000,602,0,1100000,1100000,175,0,0,0,False,6811990460551349254,False,False,False,0,MS4wLjABAAAAuZaIr68cvk9BJpBvJ0zYK9luOf-hmXh-sPj3_tDLiNRBqKVLVy0N8u8X_TkaUPUS,False,0,False,wynmsafer,True,1692350363,1692350739
98,9044,45,0,8241,8241,44,0,0,0,False,7058888170949919790,False,False,False,0,MS4wLjABAAAAnGbI_r1uOKZPcO3kmJqrromwZ3JdTG-zQ2V9SfPvwpRSRwIyk9rEbMEVd6mTPfs9,False,0,False,amandaslrj22,False,1692350363,1692350739
119,2669,42,0,126,126,3,0,0,0,False,7265535782194381825,False,False,False,0,MS4wLjABAAAA5qG76Q489eDBhEcWD6YJ9Em5NDiWmlpfbnuXsAcxLUavlRdNcQwjbDEpZjXvY-Vc,False,0,False,s.zy,False,1692350363,1692350739
1301,11200,994,0,2480,2480,236,0,0,0,False,6832197813902148614,False,False,False,0,MS4wLjABAAAA9OKqPxUHbCAbSnhisFkZyz8F2fMyN6yKE-cBq2NwBFyPCfyl0-yTGMlkDo7DEgkl,False,0,False,aymanalbalawi,False,1692350363,1692350739
107,1019,3,0,0,0,0,0,0,0,False,7180056838498436101,False,False,False,0,MS4wLjABAAAAOBTPQfF6z16UwZdgA6b6hxl014m6fIq5WIIAHGrHBiIvHfAddxw54RyjDlQsbbAM,False,0,False,princess.fatima44,False,1692350363,1692350739
120,190,0,0,4,4,1,0,0,0,False,7268470645700543493,False,False,False,0,MS4wLjABAAAA7cuB8HU_WQmxMjtxEd-77Jla_11FTrden5OlN6QfAfyKM4byA00ex11PpmWlTGNk,False,0,False,inimahakuniseng_,False,1692350363,1692350739
1,275,5,0,65,65,16,0,0,0,False,7016378426241664006,False,False,False,0,MS4wLjABAAAACyR4cP04EcFJrYMvzx3JDzwLH3wbEJK6cj5imarz0Cvee0zMGzPRsr0GhSursmIk,False,0,False,witjan.7,False,1692350363,1692350739
222,24600,2925,0,7822,7822,178,0,0,0,False,6775703096745067525,False,False,False,0,MS4wLjABAAAA9-tiUken-LBhNyoqky4UG8SPNR5UiyDPR38B3h0dLijdWJwQUe0mY0-PjYn7XFEn,False,0,False,brunosuzin,False,1692350363,1692350739
1,893,0,0,18,18,8,0,0,3,False,7267114025678226438,False,False,False,0,MS4wLjABAAAACYRup0oO66TL5DMOdUjoT_OH6usnEh1CIECbcpCU20MqRhKBTGoVv_mxi-4OV-ai,False,0,False,mirahayatii_546,False,1692350363,1692350739
98,8107,18,0,10200,10200,5,0,0,0,False,7257591248252240898,False,False,False,0,MS4wLjABAAAAWa0lOTAcDiWVrqrDsvPMOhiz3l2kesGJrGv4uNjoFWWDukmOWt5UiFi2Vgu7O7xg,False,0,False,z.iiii8,False,1692350363,1692350739
14,3324,20,0,9896,9896,34,0,0,0,False,7117616463969010694,False,False,False,0,MS4wLjABAAAA3Z2w1GjAcAWwxZVEq04xK9auna-coowAgzL4pqxkhuUdh2gcE_aVKdiFy-UMfS3a,False,0,False,iqqthechaos,False,1692350363,1692350739
311,1174,976,0,2831,2831,67,0,0,0,False,7121689846464562182,False,False,False,0,MS4wLjABAAAA9FTNCCAaWH4KuEmZVginceobDyTZudkzdYAjzDhPV1FHpvuPYp1hG6oo-K_T803J,False,0,False,mariospierettis001,False,1692350363,1692350739
3979,54700,629,0,691700,691700,14,0,0,0,False,6967434324820771846,False,False,False,0,MS4wLjABAAAAV1sq2KMt0Cd3NWbm8Jt-ifCf22LGjViJ0oc4XUdLurlL9hJAMG10b6CE-IOAKmYa,False,0,False,sheeny.berry,False,1692350363,1692350739
6,4787,0,0,6788,6788,16,0,0,0,False,7222950861704954922,False,False,False,0,MS4wLjABAAAAq3WNTc8JDWSnHCdQxFS_S8Q5QRfBCVhzlIFrSg8PvId__rgt-4lkX68_8NvkUMGI,False,0,False,vibedalegend,False,1692350363,1692350739
94,1228,305,0,37,37,1,0,0,0,False,6842450529437156357,False,False,False,0,MS4wLjABAAAAGOlAIdGYT7NIV0fhJSJn5Y7M8CJlMCTlBvBZaEpb9rqFJifxUEb6NIKZB6CoWDXM,False,0,False,ahmedalazazi3,False,1692350363,1692350739
17,2489,82,0,598,598,39,0,0,0,False,7104647932091040770,False,False,False,0,MS4wLjABAAAAeLmVYhhke4ndeIgHZOJ_a7x2KNwO1n-B8sLl8NGxpRryaFeWwKhSye6bIVuWDUxA,False,0,True,houseofpredatorfish,False,1692350363,1692350739
44,1091,23,0,1265,1265,16,0,0,0,False,7266950039875159073,False,False,False,0,MS4wLjABAAAA4ETlko0qmrnhQmXje2AjIrb1-UcKqX6FlVcgKAFYRi2oszb8KgeY4RQ9mCoIGZP6,False,0,False,louis_thoughts,False,1692350363,1692350739
393,2313,92,0,15800,15800,64,0,0,0,False,6854121780207911941,False,False,False,0,MS4wLjABAAAAumNXTI6hTLzP2tdQEApg5jr-HmBbFdF5xWFT-2bBClNZG5g2iwjnTS27qX7jQqU5,False,0,False,gabrieloliveira195,False,1692350363,1692350739
0,21200,0,0,11600,11600,14,0,0,0,False,7091230909009609771,False,False,False,0,MS4wLjABAAAAdnvLuDw1Mq0KAlQDaticloYgsArRvdqiteRtadi9vgc812FjtV3X1d4wJRGPtKXe,False,0,False,mmanuts_mma_podcast,False,1692350363,1692350739
716,303,1,0,812,812,3,0,3,1,False,6711283194061538305,False,False,False,0,MS4wLjABAAAA5gRJwW7d2XibJAudE9phIuXrxUzUKXQfrGC4mDR5j3tk8iWGZZU3rhhbn3CsN_8g,False,0,False,wildhansurya_,False,1692350363,1692350739
3952,3800,2280,0,1455,1455,32,0,0,0,False,7251232069212685339,False,False,False,0,MS4wLjABAAAA15kdoLojgE0Vf9CZ2utjKeFIu0s_N4HPnIEa6BiyP9Gq48ehk58AEcdqviZrPjln,False,0,False,vipcars2023,False,1692350363,1692350739
870,739,195,0,32,32,5,0,0,0,False,7217717307740046363,False,True,False,0,MS4wLjABAAAAD9oAYqttWPdSfjX1BaDkYK9wkLLuFnrjH55N9ZtlCRTxT3KMedNZGdKYfR3uX8ev,False,0,False,ratusetia18,False,1692350363,1692350739
265,963,23,0,574,574,55,0,0,0,False,7221722438836274218,False,False,False,0,MS4wLjABAAAAsk-naRmURrsLcLHBivp77daK4fYY0Cu5lPKDZkAkQuH2BB90hdiekPETCdQy8rj3,False,0,False,10xcharting,False,1692350363,1692350739
44,4939,45,0,2238,2238,23,0,0,0,False,7167011611042874374,False,False,False,0,MS4wLjABAAAAC2CzWpNmaHt2JKMSEknPO9OqI0IdtNX2kHrvkJb5b_LnkU9z7kbQaHsjOpWkK91z,False,0,False,mccreationscanada,False,1692350363,1692350739
476,1605,147,0,3921,3921,90,0,0,0,False,7221618260437206022,False,False,False,0,MS4wLjABAAAADT_xtRcgWtNIgcXhnRxz9MEFhhJZPNM8MoWVJkmjOJfyJZLHcaZmHISxiTZrEZZz,False,0,False,666guitarcovers,False,1692350363,1692350739
86,4801,101,0,1980,1980,18,0,0,0,False,7235586436963419163,False,False,False,0,MS4wLjABAAAAQm0mzKQbuoJ8ICymjO_bM0NBotvEoI9AFF89VZ2QsMkEcdROava5hJNaJQyEQsdM,False,0,False,demo_santana_,False,1692350363,1692350739
2698,3593,172,0,23400,23400,142,0,0,0,False,6956022532789437442,False,False,False,0,MS4wLjABAAAA0Q9Rr2uEWXf_VPob1DQ3zHBVcP4PCNFW8QZcsr8Hfz60yERLf02Wrd2pT-KkPJel,False,0,False,tutafashion19,False,1692350363,1692350739
16000,1341,366,0,5532,5532,5,0,0,0,False,7087320817872372738,False,False,False,0,MS4wLjABAAAAQIo915ntElRZLr5nMyrFriQ84KSd9aZfUuqAeBm8eTY3HiEihuQum0Q4viZDwT-Q,False,0,False,rain26899,False,1692350363,1692350739
280,3029,94,0,304,304,4,0,0,0,False,7223558065500898306,False,False,False,0,MS4wLjABAAAAlIPSGluxPcknD3S3ZQermmDOVv1858NqBZZwE237nQjkH6Gl0ruJJFO1rEHZqJWR,False,0,False,v.8888,False,1692350168,1692350355
11,2060,5,0,2308,2308,18,0,0,0,False,6610410379016372230,False,False,False,0,MS4wLjABAAAAra0lMAgcbQFHqXS5417L9W2L0xDln2aMJdjDPMA7xJggSXjJObpDzI4vK6wFYLAE,False,0,False,andy.kats,False,1692350168,1692350355
650,17700,516,0,7956,7956,74,0,0,0,False,6830241125355570181,False,True,False,0,MS4wLjABAAAAk1Fsnx3PcffaDMxo7Jjztqg_4p1iY6qfk_A6-F_PxWo7YYBkv5sTkzRETGlpYr1i,False,0,True,iamqueenfashion_nails,False,1692350168,1692350355
1,999,3,0,6,6,4,0,0,0,False,7263540573591700485,False,False,False,0,MS4wLjABAAAAWDdKsrkpQp041kay2wlBjYquQ7-q2Euu-Z6wVYMb-AsJ0wE8G_U-BipN7haIZ0fV,False,0,False,academiaassistance,False,1692350168,1692350355
37700,11800,1,0,55500,55500,0,0,0,0,False,6931821217201210369,False,False,False,0,MS4wLjABAAAAgcNsXB7Nr1emurHk6b6xtfm25XxAgO5L3x-sbVqfGEncb6yXoKvGUGrAaHogFDZi,False,0,False,.3ov3,False,1692350168,1692350355
5355,1174,61,0,1052,1052,4,3,0,0,False,7166266322875122689,False,False,False,0,MS4wLjABAAAA-h24NctiyBbORIAJCMGxb57TUspoIbqnhnFSGYnjf3jRaFKeWnr9p_pFfZtxZXUq,False,0,False,egh7_5,False,1692350168,1692350355
0,1303,0,0,14,14,9,0,0,0,False,7265972103694287878,False,False,False,0,MS4wLjABAAAAjQI6P9IAhUKM756-mXqO1EIlTmG5wIYdr5KUkBN3T5A1J1wpqHlHl01C6JXZzZDf,False,0,True,jajangnurjaeni247,False,1692350168,1692350355
29700,74300,211,0,4500000,4500000,212,0,3,0,False,6652314759696760838,False,False,False,0,MS4wLjABAAAADHufq4jWZ9DFLoRdab6wgzIoxcb6QyS1-HpXg_vUv6aYs0oBpbnBkddhYo8ZaLEV,False,0,False,kylaniolson,False,1692350168,1692350355
717,7063,6249,0,2738,2738,137,0,3,0,False,6560728824526946305,False,False,False,0,MS4wLjABAAAAGcY52hgnqN_JeSq9xYXfYz698urSS82svxiFBRKDc41XfXRjHk1Etd0H_8zJGAYh,False,0,False,othong_geyong,False,1692350168,1692350355
1371,4459,70,0,7886,7886,43,0,0,0,False,7075038966668493830,False,False,False,0,MS4wLjABAAAAj2JSCg0dP-M7zcdxL4hUL6I15SjVyB6aBLcVP1ani4YJLlDw3OZQQnMKNd7Yeiif,False,0,False,frontsteprecords,False,1692350168,1692350355
301,129800,63,0,1100000,1100000,41,0,0,0,False,6715036258013332485,False,False,False,0,MS4wLjABAAAASgrOcNBw29hnYaOJ0m6zmIxvtl-3lQxXaGP17gzpBWjRtfxtpaaEUC0naIS8Ff17,False,0,False,m.hamali1408,True,1692350168,1692350355
5685,2811,230,0,21900,21900,27,0,3,3,False,6872994850737767430,False,False,False,0,MS4wLjABAAAAKpmPmJ_UMCMiMGDeLgczLn7IrwVEo0aqdHTXqW9R1b6DDpJWRO4xGgv8vgcf_0K8,False,3,False,kassem.hareb,False,1692350168,1692350355
9,909,52,0,50,50,2,0,0,0,False,7266460318137680902,False,False,False,0,MS4wLjABAAAA_0GV3Z7duLVJthmmbgJ54LPjaXwRyFqQA7cb_MP8HDXJGS_GwclbsjMvst2qmAKF,False,0,False,dangeravenger21,False,1692350168,1692350355
25800,1986,111,0,72700,72700,295,0,0,0,False,7212103488435995653,False,False,False,0,MS4wLjABAAAAPZi3fRBDp5Wfq1Ym4pShuYQA4rjA5qyEv--_xuPugXiH68dWXTaYPkkXf6WCEWtF,False,0,False,shanibaloch8701,False,1692350168,1692350355
0,4938,198,0,15,15,4,0,0,0,False,7104133497061753899,False,False,False,0,MS4wLjABAAAAZSnGeRaCZVy9SgEH68Azha9VPYGiVHacfoq02Z65S7Ewet8uOHuazBOivp9ipSAY,False,0,False,andylai2022,False,1692350168,1692350355
20,1362,91,0,160,160,68,0,0,0,False,6866611469451215873,False,False,False,0,MS4wLjABAAAA8d8wVGu0CtU-R3C26fdukENFo-fSQDj2A9PJCfpemDwJo1rdmgiXFyHzXntygKsG,False,0,False,vjlaundry153,False,1692350168,1692350355
925,1677,498,0,1230,1230,11,0,0,0,False,6805366027317462021,False,False,False,0,MS4wLjABAAAASxxOik0YbhIsBch1XnP0fgYhfWZSQ1A0yINHxFECWqw1ODuqzQcqg2WRy5pJyY4J,False,0,False,felixblasr7,False,1692350168,1692350355
