diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
551,24900,0,0,101700,101700,615,0,0,0,False,6999316412539896838,False,False,False,0,MS4wLjABAAAAt0phhsWi5L665U8-JjgratBJpWyR-_DmK8wQp1DMv-1yI6L6WKw3xmkfRl2G1rn0,False,0,False,halk.market,False,1693267414,1693269895
6809,1601,57,0,200,200,15,0,0,0,False,6896476800315835393,False,False,False,0,MS4wLjABAAAAqlJQUkcJPtX2YWczNxYrtIAEggT-rQVMHf5hzqp-NotCxtqSRCwK3XB_kT5WQSpG,False,0,False,almoliki222,False,1693267414,1693269895
9,1166,6,0,102,102,0,0,0,0,False,7271750788292428832,False,False,False,0,MS4wLjABAAAAS0IZE0h4XZi3r0c6e4Q3DaDCteRRIY4KTS8b766QV2a23iQF6_c4MrVzW6SSIuwV,False,0,False,tamaman667,False,1693267414,1693269895
15,999,0,0,175,175,15,0,3,1,False,7020480188572845061,False,False,False,0,MS4wLjABAAAAb0kyqDLbFaC0fYOq-flj74SKsc7zmdeE7LHFwfNbJjvYPOCFvyfktl3Lx8oSXSnt,False,1,False,np_passion,False,1693267414,1693269895
14,1109,45,0,147,147,3,0,0,0,False,7254021029823300609,False,False,False,0,MS4wLjABAAAA01apv5Lx4CSwQi_cV8DH0xUVh7tISBnNu5PQ6_DEnXxPmAYQ-qZ0OFldm6i0KyE4,False,0,False,lolo_q94,False,1693267414,1693269895
71,10400,158,0,7993,7993,46,0,0,0,False,7158932210501174278,False,False,False,0,MS4wLjABAAAAvcbZtfHadOtfx-2Zt3ulXpPSgt5nKlwSBTuantqP7BgqCYPW64BFuCxnfYpVQkmC,False,0,False,0550303299rentbus,False,1693267414,1693269895
887,10500,938,0,47400,47400,23,0,0,0,False,7153871191975330862,False,False,False,0,MS4wLjABAAAAJ85_P4RaIxOK3QVuY78ffrT-MXCW2ivWf6G8wrSJjxTqaFAhCcGjaL3lIPfS-YSd,False,0,False,bosshogg03,False,1693267414,1693269895
12200,2213,328,0,532200,532200,3,0,0,0,False,6688344094941348870,False,False,False,0,MS4wLjABAAAAE6oXRI791Lqz1jlW-v6h2_4t0kOtSC-UpEm6YCBPBr2_BR5-OLP3C6gKrt9_RwAH,False,0,False,kevincit00,False,1693267414,1693269895
441,102100,320,0,47100,47100,46,0,0,0,False,6739847142062277637,False,False,False,0,MS4wLjABAAAAzlz4aKRGwuqKDjzOI8MMeKrDBQ4YmDtf69g0hCd7Q_RA2cAIJGWB-rHIQQ1WwCT_,False,0,False,mriom44,False,1693267414,1693269895
11600,20800,83,0,26900,26900,164,0,3,0,False,6636443072841826310,False,False,False,0,MS4wLjABAAAAjufCrJqjdSd4ScuqSnRhJ-IMTfs5xPRMvKHlBl9W4f8css7rg5cQ3M0IdfAxPhUX,False,0,False,rlt9,False,1693267414,1693269895
25100,10500,62,0,106300,106300,265,0,0,3,False,6855772729418187781,False,False,False,0,MS4wLjABAAAAiG96F-rosIpV7yMCX4mdvdBdrHMYo5bAU8LkeOozFyFTzWSvNEG7doEU7T1KW7uE,False,3,False,ousct,False,1693267414,1693269895
132,62500,579,0,647000,647000,259,0,0,0,False,7235691196714353666,False,False,False,0,MS4wLjABAAAAqltSy6b4uiEFbRCz6OUvaLIfwijs2tAL3shz1EG4DmJOgrtX9p0aykrwHJ8s-vQ4,False,0,False,uae.media,False,1693267414,1693269895
28,563,0,0,216,216,0,0,0,0,False,7240046046784275483,False,False,False,0,MS4wLjABAAAAlrTJmlE8hub-yGQM-vH086x0sLRQUR_nb7XTO5FUdmFxB9rxr6yByUA3C05QKcwk,False,0,False,autoprivee,False,1693267414,1693269895
105900,210400,701,0,756000,756000,25,0,0,0,False,6822329440547292166,False,False,False,0,MS4wLjABAAAA5GSmHw-ndAfQBjZJ83R2IcNc_XiLHq3wrtRNAz3YA70i882xaa8LeP7g2iaff0JI,False,0,False,mweinsteinmusic,False,1693267414,1693269895
3796,11700,383,0,11400,11400,123,0,0,0,False,7114105058623079425,False,False,False,0,MS4wLjABAAAADuweNe8a0q42putmF3GQFFoQYGD3HLDaxjWu4K7asv0RJW6o8vADfPhpw8wJfgqp,False,0,False,call_me_zaa17,False,1693267414,1693269895
5,1108,13,0,124,124,3,0,0,0,False,7255292623475835930,False,False,False,0,MS4wLjABAAAAJeUyvewb4CoXP2VJ0732kltHbJXGDegVJt-k9fmLm0XzAhpR1s0KrDwtg1QeP65C,False,0,False,amandagehins,False,1693267414,1693269895
22900,1000000,1010,0,18700000,18700000,576,0,0,0,False,6708778392006083589,False,False,False,0,MS4wLjABAAAA1A6PGfaL0GgxuWwn0Mow8CjKmZqIjf6mYmoxuliq_Dq-TyN0xeO2sQl6po-7TtHC,False,0,False,robbietripp,True,1693267414,1693269895
3,1173,1,0,1463,1463,43,0,0,0,False,7251857849193202693,False,False,False,0,MS4wLjABAAAAVireLNhvRE_FwCn4GU1p5h0WW7s_uy8-qGd_5JGjC2kU_U7pwZcB3SonEPMMAyLe,False,0,True,vaultinloft,False,1693267414,1693269895
20,16000,43,0,7760,7760,35,0,3,0,False,6786736973060342789,False,False,False,0,MS4wLjABAAAAa6m9A9fYvdmYSLfdNTu5TcvgwvuDWWZHL52CY2oEiqtD3KHUn68vbsUQfXWIo1eN,False,0,False,sculpted.by.j,False,1693267414,1693269895
14800,658,14,0,2205,2205,3,0,0,0,False,6919741465065751553,False,False,False,0,MS4wLjABAAAAE3mKDYDRhjMvIr8suIvlgAHkHce1matoTLZy_VoGuTbJCaVkIFJHPwNdUyQBb9IW,False,0,False,mrcn501,False,1693267414,1693269895
4006,20300,429,0,24800,24800,139,0,0,0,False,6799814974090773509,False,False,False,0,MS4wLjABAAAAV9JRvSWo3UPtAAv4i-9oY82J4Xm5DLAwucQOYupVlkxoV5CMBIO7qix2B4l4mBA1,False,0,False,alex.noria,False,1693267414,1693269895
26,1206,0,0,6,6,8,0,0,0,False,7272525751563699206,False,False,False,0,MS4wLjABAAAA9SZTyayOyVPbPgFDzVDyWBtQtE96lWFYaTl38uKO6ieV-Dctk-nb_dCAfmTSwrw3,False,0,False,deco_fantasy23,False,1693267414,1693269895
21,95600,145,0,13300,13300,10,0,0,0,False,7254003047562839045,False,False,False,0,7285806446363888402,MS4wLjABAAAA-4sFSNKRtsLzmiWp9oD_5ITnFmzq1AlRc02bZFqPZOu6_Y7QM-19nH_vpL6ulpNE,False,0,False,mahzemtami,False,1693267414,1693269895
5968,22900,515,0,131000,131000,176,0,0,0,False,280139838731968513,False,False,False,0,MS4wLjABAAAAQq6jfERPrbdNvr9M66c6e5NyGNuN3ERe9UqTEDW9xorgm21Me9hvWhphaALVUAjK,False,0,False,lealadeadellamenta,False,1693267414,1693269895
1477,3240,79,0,84000,84000,18,0,0,0,False,6912491848676279302,False,False,False,0,MS4wLjABAAAAxgvNeBeRzEjZw3irmDCdJ0Pmqhk9ZxaCSgmzWcBkXgNC-ERAPugF1utQNcE3wR0M,False,3,False,itzdammykiels,False,1693267414,1693269895
111900,11000,4856,0,62900,62900,446,1,0,0,False,7002046326485664773,False,False,False,0,MS4wLjABAAAASRhmlVxBFxnpkEy7lB3Y7IRb6Cd3YRFgoRDbmec-k8kaN51zr8ZoIDI5A3h1NpBN,False,0,False,fahd.243,False,1693267414,1693269895
1165,1440,232,0,3365,3365,83,0,0,0,False,6802333397979350022,False,False,False,0,MS4wLjABAAAAqTEAe--j_L0q5w3q9yLAwsVm7c65vIZpUNY_DD51gyxQKyW_ygdaWFlDeuTmYaZ-,False,0,False,saurablovesttk,False,1693267414,1693269895
22,1109,4,0,61,61,5,0,3,0,False,6809383221685158918,False,False,False,0,MS4wLjABAAAATFlN2YshnDrj55F18xOr1stVaeENu30LK0m_kpqfNISy9ufGe62KRDg296Yfea3f,False,0,False,matheusmattos_95,False,1693267414,1693269895
106,10700,30,0,18900,18900,126,0,0,3,False,6817374665632826369,False,False,False,0,MS4wLjABAAAAvzOUlzCTzvkRu_7u2l1lbttR5wn3-WjsEkWP3hXufsGO7GJDvqcNC5lM59QJKGvO,False,3,False,trust_boi,False,1693267414,1693269895
54700,2453,288,0,10100,10100,53,0,0,0,False,6769948594109236230,False,False,False,0,MS4wLjABAAAA2p7x78KrCl04BlXUNBp75x-fWdxltuHCFSeIz235pwjNxT3sDJzRqSBHxwTrzBch,False,0,False,ivannasamarska,False,1693267414,1693269895
1571,20600,970,0,120500,120500,40,0,0,0,False,7265978546794185770,False,False,False,0,MS4wLjABAAAA7mH_gWNaxzhKWW43rYySgAkd55SqWhX1GGGKDppGcwvho14DzXgbn0pQYR6DJSUY,False,0,False,horror.story.usa,False,1693021031,1693267409
2,1098,6,0,476,476,21,0,0,0,False,7216432691310068741,False,False,False,0,MS4wLjABAAAA0Xs6xd8g022Hpk479lBjERYkL057TENDZPo59580d4cm4OGl7QAGGJ24K0jmfTjl,False,0,False,neoartstudio,False,1693021031,1693267409
61800,220200,111,0,12500000,12500000,356,0,0,0,False,6731956339792823301,False,False,False,0,MS4wLjABAAAAT5OSq9bqPJBaVq_CVvxUUoDiVR6B-7wEHETvOa5W9PWrlPZPYvLAcTPgyA6Sq41K,False,0,False,jvpannuu,False,1693021031,1693267409
610,2531,140,0,1614,1614,28,0,0,0,False,7269493399778149408,False,False,False,0,MS4wLjABAAAARsVEWIHo6plt1lp0FIIrRRQ9wNWxx2f4wTptSGxYqjAXwTpuCWnKB3RtE04FBcaJ,False,0,False,samurai.bey,False,1693021031,1693267409
98,1190,26,0,25000,25000,8,0,0,0,False,6721218835258770437,False,False,False,0,MS4wLjABAAAA8bY8uk7YbgdR0m-Z9WjTDmOWEA17GjKkhIxPBBc4CMxJqi4YwYEgkZ-ppCiOC1eb,False,0,False,pocoreps,False,1693021031,1693267409
1513,12700,281,0,34500,34500,32,0,0,0,False,7263892538636665861,False,False,False,0,MS4wLjABAAAA2z0xdrpZJDyA_jiCxoe9w42TyoR6inN-mk8XWK7iPnBKLZr2IBNPLVcCQlXD80t_,False,0,False,waifudiffusion1,False,1693021031,1693267409
1270,10800,457,0,1007,1007,31,0,0,0,False,7269332241062511658,False,True,False,0,MS4wLjABAAAA40roAAnnOPL-FpD4whh6EXkqweZjchtXc_njtPV7AOpZRNGn2VUXPF6UfRaiKYr6,False,0,False,dir_________king_1,False,1693021031,1693267409
2111,874,271,0,407,407,27,0,3,3,False,6557207082587783174,False,False,True,0,MS4wLjABAAAAneIZk35Z29vADFVKqjokQ_t5pr7i0ylG12AjIKXekJhGCqGl7ZqKLS_Af3F4wxe5,True,3,False,sabinka_04015,False,1693021031,1693267409
257,1060,55,0,1772,1772,144,0,3,0,False,7225915977400337435,False,False,False,0,MS4wLjABAAAAMGIx7MOy8xG--YiKYTf6nxZAXFWwqS6hDN3aE4vebE9lQdhwqqA8KxUjtgUqCtrn,False,0,False,babynyakamu,False,1693021031,1693267409
29,552,73,0,3,3,6,0,0,0,False,7270606193107272750,False,False,False,0,MS4wLjABAAAAgKqq_-pDGFA1Zk60pcoy6N5hvmdcPgDz0eal6MKXehr_dZ_Kz3g8llBUBKO8tn2u,False,0,False,moneybagg212,False,1693021031,1693267409
297,6155,182,0,451,451,65,0,0,0,False,7175688471191913478,False,False,False,0,MS4wLjABAAAAqXwjkP0C5hpCi3vBvUKmFLZ09KpK761PvwA_DRDURymrO26b2pUzt8p0F5q5nHq4,False,0,False,luanav_20,False,1693021031,1693267409
86,2414,71,0,326,326,17,0,0,0,False,7027144376087856134,False,False,False,0,MS4wLjABAAAAcemD0vIQDsNJb4wlGtKc6TRFEhNCLnnAZ2MPzQ4GH_8fhqbXFyZZD3ivH-OWyIjK,False,0,False,gteye7,False,1693021031,1693267409
636,105000,4269,0,8508,8508,47,0,0,0,False,7037627528863056943,False,False,False,0,MS4wLjABAAAAUoLvFrosrhsgWJ6QZODf7R38Cr9QNuOnMtP9Qf2A9NZuPR3vc1q51FauKDv85Lwy,False,0,False,exotickinley,False,1693021031,1693267409
125000,37300,226,0,165200,165200,558,0,0,0,False,6756291407676228613,False,False,False,0,MS4wLjABAAAAoKejzzkYYDSkfLFztsYsqSmDgXXPjvX0ILWThGSfmPhX18yBHHVJZcgAWKCc98FH,False,0,False,wjji19,False,1693021031,1693267409
324,20200,1522,0,41700,41700,46,0,0,0,False,7197605838025229317,False,False,False,0,MS4wLjABAAAA8d0N9Iv3yPpaJZDeeiwU0eSpcktWomNaVN6drgaxxJ59zkBSQN5_fmVp_0NhVdzS,False,0,False,sofigoxxx,False,1693021031,1693267409
1300,98600,106,0,881600,881600,248,0,0,0,False,6719284060928476166,False,False,False,0,MS4wLjABAAAAFD11kOIZKGjC7fuBTrAFOZOA03RloOauSVd0pTBOgTZtYWC4N250T4nedqXHSQYX,False,0,False,wearicy,False,1693021031,1693267409
2341,5636,608,0,5391,5391,7,0,0,0,False,6620836865040072710,False,False,False,0,MS4wLjABAAAANTPvx30j3434igtSUNYPYSiSiAusW-4EvLZSkCpbha7uHcxnu4hcheTlNCCiksk5,False,0,False,mahmoud7344_m,False,1693021031,1693267409
8269,1096,6,0,394,394,7,0,0,0,False,7062967781746033690,False,False,False,0,MS4wLjABAAAAQf3qzOj5wFVZZurXKcX5A9c2ilgcNlOZRHkZHa6U0NGoo8shR2Cr53V9G4QEEPKc,False,0,True,swordeigthy,False,1693021031,1693267409
280,1342,312,0,60,60,7,0,0,0,False,7269031789716489217,False,False,False,0,MS4wLjABAAAAPZ1QK4DcbMJXD0dw3HlWU48wb_njg8KV5Z24hAm8XGgDr0Bip3l9ijY2HXuSpPRM,False,0,False,roosee430,False,1693021031,1693267409
4513,1353,433,0,4726,4726,56,0,0,0,False,6893643313120314370,False,False,False,0,MS4wLjABAAAAtf71qZnR75OtNghA_8xqxmn_B1LPbSxMeY1niGIX_rSz_jzrTtaEP7bcE29rRQlT,False,0,False,ndemi.gg,False,1693021031,1693267409
150,3412,43,0,2360,2360,5,0,0,0,False,6842004333715768325,False,False,False,0,MS4wLjABAAAAYOuD-of14jWFFoDsj6gL9pzwUBZYvPNmlrnYWGwT61rUL2nvdY1dDmUBZo_zR-Qi,False,0,False,_yaobeidat,False,1693021031,1693267409
187500,22700,543,0,35500,35500,102,0,0,3,False,104503364817707008,False,False,False,0,MS4wLjABAAAAe4TqbKgb8twbZFDrZxfg9J3mv08bZI2hPnSLh6w0bJeA5Q8NiGUNpcwJmNbtnHoF,False,3,False,jade.latrice,False,1693021031,1693267409
0,2978,0,0,294,294,15,0,0,0,False,7263658102283961346,False,False,False,0,MS4wLjABAAAA8AdYF6S99GlIy3tw19OF5KvJyd2IL5w2QjqfbUV3vlQtYj8k1wqLDtESwrU0d7L8,False,0,False,exotique.fx,False,1693021031,1693267409
29,2662,9,0,5835,5835,44,0,0,0,False,7255112966310953989,False,True,False,0,MS4wLjABAAAAW73kuKcjRfFwAzFsMxno0lW--2G1NZBuDACcnCiaYxchi2WZQLojaFy4rIVIqlj8,False,0,False,tiodopedro1,False,1693021031,1693267409
4973,1167,1443,0,5480,5480,94,0,0,0,False,6807054429549249542,False,False,False,0,MS4wLjABAAAAHHwolW74P8qsq1eNSKbvW3j5xjXRQ0nBzswCsjNyfIWn7KwlklcyP-Vherl8v5Q7,False,0,False,ramzanrajpt,False,1693021031,1693267409
14200,11000,12,0,49,49,1,3,3,3,False,6884723208550548485,False,False,True,0,MS4wLjABAAAAPGpYBiK6wZesXBmRaZ_2vJmCEf-Q0n7wvTce1dAMjwxdYfsDMkNv1QRIFrQk-4Ro,True,3,False,ut2m,False,1693021031,1693267409
8,2575,74,0,53,53,1,0,0,0,False,7267091956508673057,False,False,False,0,MS4wLjABAAAAUuZptwwXqXXq5p2Dmo5GeMBs-ONCFEPXaVkVBr3TLdV6g3nMvCuK3J6pL80N1lWZ,False,0,False,fuckingserious5,False,1693021031,1693267409
56100,23700,68,0,44900,44900,524,0,3,0,False,6690976792830657541,False,False,False,0,MS4wLjABAAAAXsNShk3mRa6ycCUSUZjCpQLJ4UfAK1em6F1ehPTmUFdedI9wiHjoqk1Y2KsMeuQ8,False,0,False,elizabeth_sevilla,False,1693021031,1693267409
14200,105300,1097,0,310000,310000,315,0,0,0,False,6864357913458459653,False,False,False,0,MS4wLjABAAAA4eYIYG9Orvqb2resi1NZALIDled-gxf6cXM2RepDfqzAxqMwTGqpLSGd3FrZIsC1,False,0,False,dynamicnailsupply,False,1693021031,1693267409
1,38500,5,0,136800,136800,14,0,0,0,False,7247666485127758853,False,False,False,0,MS4wLjABAAAAmyevusa4vPRJZglJqpVlPLdbT9EGHVriWUtknXM6pTi-Tek48e3EQFuDMcDStbm-,False,0,False,citra.boo,False,1692582234,1693021023
178,20800,514,0,52300,52300,2,0,0,0,False,7203403701816591366,False,False,False,0,MS4wLjABAAAA9qL6ksKDhAsLD3kM_FEzjdw5cjSqUSg-Ryta7uDd0Vj9b-eXvvj7GA7wNBt-Yp91,False,0,False,px_vitin01,False,1692582234,1693021023
795,15500,1919,0,3713,3713,27,0,0,0,False,6572726921830187014,False,False,False,0,MS4wLjABAAAAPcs_BVCFXyrVRfHbBDfSjz50LdMOJdT92UDBzZpGQ5uvTM1felacE-4UhsMg-BWO,False,0,False,27md11,False,1692582234,1693021023
85,1611,44,0,133,133,41,0,0,0,False,6798385879049323522,False,False,False,0,MS4wLjABAAAAhpIPcteBvy6YIY_56JPz2zlvh9k27iE6Xya0wspbVZTiXjjmhl3VBm2uP0hNHfYT,False,0,False,rzkafaw,False,1692582234,1693021023
1196,364,29,0,204,204,3,0,3,3,False,6724667337913648129,False,False,False,0,MS4wLjABAAAAJrEwxclkI9owt3_c9IbSIaRuy92ZtddPABaOcIu7ng7r2CbehpKJ-t8Q3djVjiqR,False,3,False,babangjul_,False,1692582234,1693021023
4,2519,0,0,62,62,6,0,0,0,False,7183547713089897473,False,False,False,0,MS4wLjABAAAAI0ltgRWCNIqfSD8BwyoC6LevgpqLqr91wNwpV471W-2XfYceKi00_o3I6P_BB7Ps,False,0,False,bigdoggsuppliers,False,1692582234,1693021023
159,1375,64,0,69,69,6,0,3,0,False,6815261378468430853,False,False,False,0,MS4wLjABAAAA8T8tzVZrxn9rvBYsjphsiV5L9NHJ7agi8v0t0j7TMhI7C_kl_AuiCVEd40brqwtD,False,0,False,thurayasa,False,1692582234,1693021023
252,116,8,0,1235,1235,54,0,0,0,False,7099286300570747906,False,False,False,0,MS4wLjABAAAAATWb8-g1OKqmBW6xnfdwTGiqqjssyR5LLyHFk-eu0cJfHDRxqJulj8pL2xQe7iy3,False,0,True,dari.bhoomi,False,1692582234,1693021023
55,2206,182,0,135,135,9,0,3,3,False,6817865541069456390,False,False,False,0,MS4wLjABAAAAqocJMORJdVZJXIV6NTo_eVUihULh1VTw7XdLeCDcbUbt6-W5rztEW3IT07d5hICj,False,3,False,majedmam,False,1692582234,1693021023
4083,2109,1476,0,6530,6530,446,0,0,0,False,7054066887211533313,False,False,False,0,MS4wLjABAAAAQ0bLgdW0WXAcLHI-cGkZabeWJB4zIO9WdqEg7qzVuWo-awnA5_ptygILbSdFqsWU,False,0,True,mrkexik,False,1692582234,1693021023
225,1060,636,0,19,19,1,0,3,3,False,6768033710505542662,False,False,False,0,MS4wLjABAAAA6Ir7JJestIku6hRiU5uiT1brZ8Jyk00WXmE1zWgv_1pQ5-qmCoFtzA5mLklD9i9_,False,3,False,yuriiyemets,False,1692582234,1693021023
3136,15300,104,0,440600,440600,62,0,0,0,False,6930674894608155654,False,False,False,0,MS4wLjABAAAAca2jaVyXrRSF4tOCGq5VLQrrjPGrRk8KHsaHuPYyLH2DJ8YxDdUfs-JysgnlsDS8,False,0,False,alcy_777,False,1692582234,1693021023
13,1174,537,0,11,11,3,0,0,0,False,7038183829634515969,False,False,False,0,MS4wLjABAAAA9TR01vZag4kDHpxPqD7Q_lcBIKy4o0485pxtjr0zr8x_qpJT8oQO3QZKHXJa1ORQ,False,0,False,reccirik1,False,1692582234,1693021023
112,2319,69,0,762,762,27,0,0,0,False,6796950041062048774,False,False,False,0,MS4wLjABAAAAmn9SWn-bMSbDReDzOfxYKJjIh00m4QkbPmif6AbOC_4zgdj5cZHmPK7fTIf6SQJV,False,0,False,queenb_george,False,1692582234,1693021023
3756,3054,577,0,3056,3056,85,3,3,3,False,6590209417848520705,False,False,True,0,MS4wLjABAAAAGSDKqOjl5O6VviAwFscMPCTK8nZ6M8_2CR_jPRWYD2YM6g-3wPOeLjolyCxy7gWy,True,3,False,tuahkirana,False,1692582234,1693021023
0,1239,0,0,6,6,3,0,0,0,False,7271064820769997829,False,False,False,0,MS4wLjABAAAASHY2sL-9HBCOG8SMsbTLaOaAWFfdkKzFFHoGDlUtP_rc-s_wXYS5hzgvshTYSw-9,False,0,False,juegostiks,False,1692582234,1693021023
8613,145100,523,0,1500000,1500000,482,0,0,0,False,7002160149839184898,False,False,False,0,MS4wLjABAAAATFjI3mFJf4GX4XSrvJFqAK6m-txYHygRYxEpHoBim2PpIiw8jthcmqC00MeSTDdf,False,0,False,quran.g1,False,1692582234,1693021023
6014,93900,60,0,425400,425400,128,0,0,3,False,6914015756917785605,False,False,False,0,MS4wLjABAAAAbc1s_Q-3LchD2V1eoSdhZ0l7sRlGpZLNE9niSEY0WRY7YW5EGKRNv-G6IjPMXuJ3,False,3,False,eslam____077,False,1692582234,1693021023
1,1111,58,0,32,32,4,0,0,0,False,7269102026222289926,False,False,False,0,MS4wLjABAAAA9HVswKn_Z6ZFanexq8af-4eLkNUClJ_SpOfH0rZSbhwjFyUlD8qrWTv7C5Q_ZCpv,False,0,False,terycla75,False,1692582234,1693021023
61,10900,304,0,9990,9990,11,0,0,0,False,7173872279548920874,False,False,False,0,MS4wLjABAAAA-9FwZVKugZQKzTV8sc3XFdYXAjdTa0Rhw8-RnYMhKKxU0BQ23Jb04XTerTh-D089,False,0,False,schythe99,False,1692582234,1693021023
97,1125,28,0,106,106,64,0,0,0,False,7164195424601129985,False,False,False,0,MS4wLjABAAAAKza01IlrvE3q_TiOuMvWcljlAbhpK6_BPPaKGFgULLTigpfyIHDwAXqF6qXwFZ9H,False,0,True,ad.tuser,False,1692582234,1693021023
200,866600,42,0,6900000,6900000,130,0,0,0,False,6971026494181786630,False,False,False,0,MS4wLjABAAAAT7TVM5O4FFZRyvo_wCrLsYq3aF6FeZQUMv2Jmi4odENYpT6i-ZtzorMUHsWk8v4R,False,0,False,omarscookingofficial,False,1692582234,1693021023
7632,11000,12,0,153700,153700,81,0,0,0,False,6963918501074011141,False,False,False,0,MS4wLjABAAAACtaC_-tzZALnqfga7nNFaNj2t8CrFqhz5XIDZkhYHs7tjFO-EIcx92M201byxG9T,False,0,False,abu_hannod,False,1692582234,1693021023
268,1382,128,0,20900,20900,33,0,0,0,False,6817307284781073414,False,False,False,0,MS4wLjABAAAAce4fXSdBw-RobNU7SJnuyXIsWrzF8PU0aHAhm2SNhE1Zgh4xGItLGFLcQadxWwXs,False,0,False,k8misty,False,1692582234,1693021023
20300,552,60,0,3102,3102,1,0,0,0,False,7033674696487044122,False,False,False,0,MS4wLjABAAAAEASdIvYI5MPMQ3I6hxx2XtnkhJ3T-RsXhEJTJ_dfkKqHbfl-Y8h1ESY4cmrWn3Nf,False,0,False,nawawihamsan11,False,1692582234,1693021023
206,15200,494,0,9737,9737,164,0,0,0,False,6965093906833015809,False,False,False,0,MS4wLjABAAAAUjwnzJ4rVAtSdltwLmgHCR6_-c2z1fFWiWqr-2g3TyRE-KF2iQDZMSwVeWpwMN0x,False,0,False,happy_one90,False,1692582234,1693021023
24400,977,265,0,9885,9885,2,0,0,0,False,7080788879418508289,False,False,False,0,MS4wLjABAAAAEU0UqnSdWl-eq0kFgX7VkocygfUql6_lrOoi_kl3ow6TRxSWj3QIUZcU4EbL3e5y,False,0,False,voxine_,False,1692582234,1693021023
3103,21600,56,0,13600,13600,80,0,0,0,False,6981230250063807493,False,False,False,0,MS4wLjABAAAAQ7J083tJX-K345d8CaHrT3PNJeozj469_oEv83sG7KcCxz1K4Q_8VPybLKhtkbLQ,False,0,False,b_ttt25,False,1692582234,1693021023
307,968,456,0,324,324,28,0,0,0,False,170379846332682240,False,False,False,0,MS4wLjABAAAA-Eu9CxhAOCuM5hl42FnfLxQviiiV3YFfJfzaCrRKyIPiXx-X96D4q8p2-Bbi3Kcf,False,0,False,afterdarkmidlands,False,1692582234,1693021023
5,1302,1297,0,267,267,9,0,0,0,False,7266443012904731681,False,False,False,0,MS4wLjABAAAAqAqF0js5NaoTd9_nD_Ngv7i5Ju_7g4tZakyJoVWbgxQiV-QBODA7o7rDFk2Mau7h,False,0,False,user790834473952,False,1692581631,1692582228
