diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
3159,1139,415,0,2979,2979,93,0,0,0,False,6628491112528150534,False,False,False,0,MS4wLjABAAAAjdIOdjYhY-QWQcYwduIxc2h16_lWkHqxzvO3m2wI1eWX_PvQ5UXnK7untOI8JQwd,False,0,False,arauf47,False,1692190256,1692190830
438,1040,50,0,27100,27100,29,0,0,0,False,7025954581076444166,False,False,False,0,MS4wLjABAAAAFKi74PzezAnY7NslvBkytqitLmga4j-IchL6B3PXrJj-3pviYLQ3SAX57SnQuu87,False,0,False,grubgie5,False,1692190256,1692190830
12,860,90,0,6,6,1,0,0,0,False,7263588849673159686,False,False,False,0,MS4wLjABAAAA1b-mMov7n16zZsu1llx2WDOTlGOEL4XbbuiQnMrFjvLVfQWkvhsoSRPs7MvelPwk,False,0,False,fouadchadi1,False,1692190256,1692190830
76200,27000,15,0,79800,79800,130,0,0,0,False,7014107586111603717,False,False,False,0,MS4wLjABAAAAUUjR3nJ2g-DA6ydnRfQjZlgN2lKoJ9FBV4gvcoPTeu1xxa1GLzv7wP0Khsg2fCpk,False,0,False,sultan_sheik,False,1692190256,1692190830
165,1016,221,0,4368,4368,44,0,0,0,False,6639906701603848193,False,False,False,0,MS4wLjABAAAAL-X00wufS1U3xlwgY6aQg_1RQG4sGUJtYGM_9kqNVAarrOe0leQVLD9JOp0eW2FV,False,0,False,iqbaldgreencell30,False,1692190256,1692190830
32600,1158,298,0,15000,15000,90,0,3,0,False,7074551008017810437,False,False,False,0,MS4wLjABAAAAjpYMJh-QAghPm3IE5Vi-WbSNt96ShDCTisFJIljXw3VY9fl1pzPUBgdp8-2-vnbT,False,0,False,arifzazay,False,1692190256,1692190830
118,26100,2119,0,1316,1316,4,0,0,0,False,7026801765215601669,False,False,False,0,MS4wLjABAAAA-d4khoqB3Tq_bqgGpyUOUalgEoGpiSimydTO6SEYIG3iW-H5BTXfUjFRAWt1YmF1,False,0,False,firmaalsultan1,False,1692190256,1692190830
33000,504,259,0,19200,19200,20,0,3,0,False,6789223546566738945,False,False,False,0,MS4wLjABAAAAOi-ZIjYXlXg6dJT6ycECXAUT4rMVtXqZ31-lIrj1X5XE5YXE2Zkgz8_ea6djHxLr,False,1,False,calvinpetrok55,False,1692190256,1692190830
23000,18000,482,0,139200,139200,120,0,0,3,False,6563159523648700418,False,False,False,0,MS4wLjABAAAAzX2MpTGybtCQak4LCyfRPPEOuuxokBRZl4XqRwL25-nd640oHSn2b2C_S8qvY1aC,False,3,False,michelleemagdalena,False,1692190256,1692190830
101,448,78,0,177,177,13,0,0,0,False,7265247220143801349,False,False,False,0,MS4wLjABAAAAFdVP5Jbvh3QX4450uJmhGHSHrDuWjkg8Pq3gRFP5BC3sZYLLz4gFHTY381-wT0fO,False,0,True,sinur11_,False,1692190256,1692190830
35,1009,0,0,0,0,0,0,3,0,False,7226755648943195162,False,False,False,0,MS4wLjABAAAAEEC3yWNyT_S34HCOwFYU8uN6DMOrLzi13dAK1gILEoNaaLArxHdDEsoFkmeK6dmV,False,0,False,tonyluxurywatches3,False,1692190256,1692190830
1471,79800,146,0,5500000,5500000,1061,0,0,0,False,6922533289883272197,False,False,False,0,MS4wLjABAAAApuiL3h232SZPb45t1auheQI0awvxC5fyu1rv3GuoK6anUZPEO4og3N0PjMsK0fFb,False,0,False,switch,True,1692190256,1692190830
10600,7709,232,0,82800,82800,46,0,0,0,False,6960337521742283778,False,False,False,0,MS4wLjABAAAA1fp_wpFzGmfkt8slVkkapewe2lKZjbISI5XmhXC2cENtm5LaHZFz_DkAxSBzkQ6M,False,0,False,emadshwareb11,False,1692190256,1692190830
10800,7323,293,0,1937,1937,18,0,0,0,False,7056312911286993946,False,False,False,0,MS4wLjABAAAA4eAhAoNlWY30b6qYkc4t7X59Jb9iblmdT5AnO82o1c0GhUz7NfeYEeVQuWA6H9jf,False,0,False,k3nny.mcwh0r3m1ck,False,1692190256,1692190830
11200,31000,2492,0,3306,3306,9,0,0,0,False,7105952703495128070,False,False,False,0,MS4wLjABAAAABZ1YPkniilBg1SUriGHK8oqK_mJRqXbpRB4h-JglZ05UT-evAwsVu2wxGQvfwveg,False,0,False,k22rrr,False,1692190256,1692190830
9411,11700,186,0,73700,73700,70,0,0,0,False,7236822900464157701,False,False,False,0,MS4wLjABAAAAY4_v8xXLSz4RQeB6LUEZJUF0QfjCE_tDKYPomOFRcXQAG3BW2FOmNxV0nR_T23mT,False,0,False,nelieltuodelschwanck_,False,1692190256,1692190830
601,3011,3166,0,1587,1587,78,0,0,3,False,6915370125814187009,False,False,False,0,MS4wLjABAAAAmUBzycf0QB7cOE2GNyEk-Q06GVISNUwvFZ9cW-Sf5PIDb7wVIA5CwMTyQiXGASXV,False,3,False,irnarahayu7,False,1692190256,1692190830
