diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
11200,1937,723,0,6370,6370,10,0,3,0,False,6876982413487408130,False,False,False,0,MS4wLjABAAAA05EGrvV1s7v79YuWyyOuhgrNQnXd7OlUoOeBMV9953_wr_hyogc0YYFdMmhQDvnX,False,0,True,aliafin2,False,1692026502,1692027074
1237,9193,142,0,16800,16800,8,0,3,3,False,6651638204469886982,False,False,False,0,MS4wLjABAAAAnyIRBNFS4Egc3e_rvIajyF18phI2Yg3giE9iU1QVguHgp6IPrlYglVJxCMcvQtrY,False,3,False,fawaz0703,False,1692026502,1692027074
4,34300,24,0,992800,992800,1559,0,0,0,False,6875788554035856390,False,False,False,0,MS4wLjABAAAAwye7NUS1CTfGsFuwLWjeu75g8upmUqABRKHkuDcGuoAla0NMy8j_bZULo3NxIjSL,False,0,False,askmufti,False,1692026502,1692027074
260,163,8,0,2259,2259,20,0,0,0,False,7267172800548684805,False,False,False,0,MS4wLjABAAAAk2WI0Ul_-vLyG-Z0pZ10GAHUmPUCJdHGycglLtGKV2AYQtZWlETcLXOF5nlmr4Ld,False,0,False,sharifnjr.ff,False,1692026502,1692027074
9151,2714,192,0,11400,11400,89,0,0,0,False,7101015344870507525,False,False,False,0,MS4wLjABAAAASA4Egp9glqrg8SHEjF7T4mmw1gcO0aGi--AFX3EThgiALSdOuL_G4KCFh3Si1qnp,False,0,False,ahmadmarete2,False,1692026502,1692027074
1739,416,62,0,8174,8174,16,0,3,3,False,6569303057367957510,False,False,True,0,MS4wLjABAAAA3RbueNsoCeMU0AQ_HUfIFzO8ja9RqmFUQ0e_f4oIRtZnterSvGp2e3v1vXsBlMVt,True,3,False,kulbir_sohal,False,1692026502,1692027074
541,955,42,0,6653,6653,0,0,0,0,False,7238917957530649606,False,False,False,0,MS4wLjABAAAAHQQ2BScE98XA3Yaiq9w52gP1ND4IIVXh9-Fgs_s7TLdpWAJrV_qz-xurRK74MPyV,False,0,False,kudosxch,False,1692026502,1692027074
608,12000,2079,0,1185,1185,17,0,0,0,False,7182575634620466222,False,False,False,0,MS4wLjABAAAACClwf5RIyKXwREFs21ESeOSxhW_4TX00pPfkplpynCRxuTCRJnVQTDo6H31vZmPa,False,0,False,victoriaandkai,False,1692026502,1692027074
219,6864,1844,0,8319,8319,158,0,0,0,False,6591911273973710854,False,False,False,0,MS4wLjABAAAA9shc7mK7Bm9jvSkKPM4Wv_4XiFfp-npJF1sXq6PuGlBQt2VXYmLORfA2i-a9TSYB,False,0,False,dreamitdina,False,1692026502,1692027074
35600,1354,339,0,1424,1424,6,0,0,0,False,6958412524685509634,False,False,False,0,MS4wLjABAAAA4aSYKFXF1gtMAnZxviqbK7w0DVzB_RdNwazNYESLKX66y0BSja5VTQReujoWwCUB,False,0,False,tegar_ikwan09,False,1692026502,1692027074
