diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2876,9534,535,0,30800,30800,105,0,0,0,False,6822023785886401541,False,False,False,0,MS4wLjABAAAA8NHnjOKH1F_D891V0hku8MrpMsMbj2GanLYr-I2PCsONXX2XZm6sWoTS1bExzuNh,False,0,False,riyadyamani,False,1690348452,1690349441
3695,2859,2370,0,2805,2805,46,0,0,0,False,6968587050019275781,False,False,False,0,MS4wLjABAAAAeIYgoh8xCZQzOTr8zvWkv4liiQHNqOszcG0WUgAWcoopd70Pjk4eJkJFsUDgmfcs,False,0,False,chino_sara_love_tattoo,False,1690348452,1690349441
1515,10100,105,0,95300,95300,4,0,0,3,False,6821018088412447750,False,False,False,0,MS4wLjABAAAAEjE2N6W5sgW9z53UHyO3GhE32SYMgahDVK010MoV1uVLbEquZbTSVk9zjbeOQo6_,False,0,False,carlos__sierra,False,1690348452,1690349441
739,5065,983,0,3929,3929,20,0,0,0,False,7220471327718867973,False,False,False,0,7285825720616618758,MS4wLjABAAAAnTkTCS4W4UXE8xiC2TplnJcg-bDJdISSjSKDhjzRYrhFsTNpj3o-5rxbWYhweGZt,False,0,False,dime_piece1,False,1690348452,1690349441
10800,157600,317,0,179400,179400,289,0,0,0,False,6866169833013298178,False,False,False,0,MS4wLjABAAAAOfGvcb1z6ckdzNomzawo8KaUgijzFfAz6Rl_HZva9XVmPPdZSjldK9u_lzsljfLB,False,0,False,m_emoo,False,1690348452,1690349441
30,2071,46,0,713,713,63,0,0,0,False,6783829365770208262,False,False,False,0,MS4wLjABAAAA_Mwb7gQTFVjRxKunMtwGLOW-Aqs8qhRbIHz7fTzu12Ml3C6h4CV6tAcEXILebbIb,False,0,False,omarrodriguezdj,False,1690348452,1690349441
174,825,63,0,1284,1284,11,0,0,0,False,7079573022726374406,False,False,False,0,MS4wLjABAAAA3zCt1a5GC0l7qfVFXSkk6py2IjxlwfakwYycnGe2a27USM9cgMgRC-8rbApeWG5D,False,0,False,mynails49,False,1690348452,1690349441
8,972,20,0,198,198,5,0,0,0,False,7172519645181805594,False,False,False,0,MS4wLjABAAAAGRgRPr2CpGiue7cmik4eLUskKqoFdjj7iXgMMQuIxwu2Qfxj00nhXmmWotx5ivhD,False,0,False,matnadatsettraxanh,False,1690348452,1690349441
876,861,121,0,793,793,9,0,0,0,False,6918495264815940613,False,False,False,0,MS4wLjABAAAAOiS_SyTSWAcrSeZkr13iN-KH3U1WOHf7plA9hfi_3TB9DndlRAmt9gsn3eoTAsjF,False,0,False,vibewitki_,False,1690348452,1690349441
2497,1179,161,0,52800,52800,17,0,3,3,False,6789102900455932930,False,False,False,0,MS4wLjABAAAAP66SyJQUA7QIJdRTG_s8BNOE0n_Act8rDhAcrdikUCFaUKfHTktp1anhPslGQczq,False,3,False,eliasariyani,False,1690348452,1690349441
885,9023,326,0,2132,2132,37,0,0,0,False,6770408389081613318,False,False,False,0,MS4wLjABAAAAQMqB2eYntGeMQtcFwI_OBQjC8nLNNQuGm6AsKuTn0YsMih6qEoh-JaPpy47CX0nX,False,0,False,almodawi11,False,1690348452,1690349441
2,1517,1159,0,83,83,47,0,0,0,False,7146332008909505542,False,False,False,0,MS4wLjABAAAAEQa6LlXMQFPii3VG4SG02mQ9OyJAH3NKBjkwCTam5UT6c0Vkkwp41B9Wgb4PTjb9,False,0,False,heyitsjennalees,False,1690348452,1690349441
15800,7248,3062,0,51300,51300,20,0,0,0,False,6946224304461267973,False,False,False,0,MS4wLjABAAAAFzTYU1wPjHE5h0rID_EnHE2Vj6ZVhoqChcPINT6rGEzKqXkzCJNlWIxF-ACHfVw_,False,0,False,elcachis619,False,1690348452,1690349441
24,4899,11,0,3451,3451,6,0,0,0,False,7144651995521467398,False,False,False,0,MS4wLjABAAAA0tZPVGGiF1Mz-mL_rudEiMNcQt1VqTmgtMxi3U5BLw1jLwgq3S-1NQAIbhYMOO8F,False,0,False,hllenesock,False,1690348452,1690349441
12400,3976,324,0,4758,4758,69,0,3,0,False,7057437028317414401,False,False,False,0,MS4wLjABAAAAQvltPIhfKPxOALDaiNxOklyRJEgySkpxmAvh6lQ61DmHHLyhxSZlUESTx1Tscknj,False,0,False,vy881997,False,1690348452,1690349441
3107,83700,304,0,225800,225800,108,0,3,0,False,6611019789190266882,False,False,False,0,MS4wLjABAAAAExp8vf0sJXbGJTNzyuzySLJNGeRc9akVu_9aN5MqoaOX9NiPmdWyAF8nzRnJG0Ho,False,0,False,abbyahbii,False,1690348452,1690349441
