diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
67,1219,72,0,181,181,7,0,0,0,False,7165204352750486555,False,False,False,0,MS4wLjABAAAAeLDIGGPYGdQ0R4lCmhlNJz2JwQq-E4pp3mXuJHc03lhd10s8qZugjhtH3C_-jl00,False,0,False,thriftkultur2.0,False,1692041542,1692042857
995,53800,2459,0,214100,214100,518,0,0,0,False,6981733966777762822,False,False,False,0,MS4wLjABAAAAqp8x0nmb9bKfdFf8nkCFOPdNpmjSPvqK-U6VWbxjftJ02g0l8j7tcaaIh25LSiVa,False,0,False,faride.e,False,1692041542,1692042857
174,3188,338,0,1617,1617,24,0,0,0,False,6988122072954176518,False,False,False,0,MS4wLjABAAAAc2tz5P_Q2sooEvOLGxk-dLQMZX0X2ZIi5w4UTmenMdZF8-zPo2lxhVhY5ZcrzbZ8,False,0,False,chrisnorton_2,False,1692041542,1692042857
356,42800,201,0,876100,876100,189,0,0,0,False,6840017217682539525,False,False,False,0,MS4wLjABAAAAq1WZKVVGpaFBJYtFoI6braKOeuxKrogmkalNGmS62yD0xQsgKvZG4RHxtrEapRmW,False,0,False,tiffstevensoncomic,False,1692041542,1692042857
87,1862,66,0,86200,86200,30,0,3,0,False,7263013483205313569,False,False,False,0,MS4wLjABAAAAgq1uhqXPbqVmkQlZAubR5tCf0RitDh8UT1vEJYAY26dEBu5YQOqFnMrwVqpKe74S,False,0,False,lord_sami_sdr,False,1692041542,1692042857
6468,21200,255,0,644600,644600,268,0,0,0,False,6919848199336051718,False,False,False,0,MS4wLjABAAAANhPXhL0V8Wr300EJYXo6IiUCKSdzphSCZyWsOuW3rp6Fr81WhkzwLwo5W4mkruB3,False,0,False,nicolledeza,False,1692041542,1692042857
195,133,20,0,75,75,3,0,0,0,False,7240552405100135429,False,False,False,0,MS4wLjABAAAAJAB3H7vVHsL_d7Llc1TKyhjTE8554NqWCFulYLWqc7bZVGflJQ_6JXOJwBfpIgs3,False,0,False,cristianzamora582,False,1692041542,1692042857
284,3656,2133,0,4269,4269,91,0,0,0,False,7240928262485066757,False,False,False,0,MS4wLjABAAAA5dq6ve6Tz3YLMfdQ1eeM6jBEisUWIzCAWjxpBFgGlw6LHSjqbtdqLYLgwdytcNGa,False,0,False,aldimashqi.group,False,1692041542,1692042857
17100,82500,574,0,1100000,1100000,2916,0,3,0,False,6782708624735126533,False,False,False,0,MS4wLjABAAAAhwjg9-U1nGzmCcf-tYQ4fF7-zD3xkM_GDX0NnjdhFZLSx9ZfPlHCN8xi3tg4yxNr,False,0,False,vfcstravels,False,1692041542,1692042857
13,1158,967,0,654,654,1,0,0,0,False,6597957003527503873,False,False,False,0,MS4wLjABAAAAOQW0fmSVaEyl-Em4RuuW4uEwA5SCC-NiJ5wSMv17Ob5m11w5SFoNHQiKpb-1yb03,False,0,False,zero_ld27,False,1692041542,1692042857
4,919,4,0,853,853,6,0,0,0,False,7153707974786728966,False,False,False,0,MS4wLjABAAAAdke8auQjY8vTpmIe6hACjrt70A3stp03ye9JvpgOpHibyM_zRo27EuQiSqR9gY7L,False,0,False,aziz03187cq,False,1692041542,1692042857
2201,13500,2656,0,10300,10300,17,0,0,0,False,6657586263162372101,False,False,False,0,MS4wLjABAAAAo4Imsy1e4wvlkUHKjjfUcSQkTX_NkEcOGlF-zsQudKudx3uAj4xoBrppJh793YB5,False,0,False,tolf24,False,1692041542,1692042857
1864,1626,679,0,2871,2871,87,0,0,0,False,7036828722217010181,False,True,False,0,MS4wLjABAAAADXdwbW34Z9QoW47v3HjIjc7CD-A_CM1NIM-GkH2YXE65lMQHct7UrIby9ucZ1xnm,False,0,False,princetieku25,False,1692041542,1692042857
5,106,4,0,0,0,3,0,0,0,False,7134612811074667526,False,False,False,0,MS4wLjABAAAAeJVvWNBlrn2DdErcl3x7-ELmb1fIMrfmYJ7gOvbIV7bcJ-7JxLCptK14cGgvvfKM,False,0,False,oncemillion0,False,1692041542,1692042857
6325,2190,95,0,614,614,12,0,0,0,False,6830769080657576962,False,False,False,0,MS4wLjABAAAAj7yKNhD_TNDyKHSqRnu6V68yu1SFA1thwnzGzbGOM0Qf3x70ccekOkmVZDwkktXi,False,0,False,putrasimalungn,False,1692041542,1692042857
1285,1479,1073,0,4803,4803,223,0,0,0,False,6840617267706692609,False,False,False,0,MS4wLjABAAAAIe8TGtuwFN2gLkZXP2DvyFVNkI_NaB-LASXGmDpn-j1FRgsG_p98Y4omxIbqI4UR,False,0,False,anak.online.rein,False,1692041542,1692042857
13400,123800,390,0,1200000,1200000,285,0,0,0,False,6793844934426739718,False,False,False,0,MS4wLjABAAAA7A5vXFESsgCP-LtO9NYxqPkZKH0GLpR4-t2HSIKyQuW1rWAOFSL5NPjtAhgGEXeG,False,0,False,karinadelfin6,False,1692041542,1692042857
447,400200,357,0,190600,190600,396,0,0,0,False,6968970192266527750,False,False,False,0,MS4wLjABAAAA8TYzwyD556Jo6F8P1EwyjPMbn5YCsbn5EO_csaKzpGoOEdvYWvfNwPvoBJR3rjss,False,0,False,johnnycrabcakes,False,1692041542,1692042857
46,930,29,0,37,37,2,0,3,3,False,7262986997437203462,False,False,True,0,MS4wLjABAAAA8ToUD8adUEG5L7CW2AYK-3CUSONxPG9czijjj-KZUmSvo7TvfpyntYpxxSHLrz_o,True,3,False,_so_nia_0,False,1692041542,1692042857
2336,1427,236,0,3144,3144,53,0,0,0,False,6760049126199968773,False,False,False,0,MS4wLjABAAAAsozraqibsgSFddKlklbD-cR0QJtHEaJyk0sLyfTawMiiDfa3GQncJpRjaFuDYi09,False,0,False,afraazkhan23,False,1692041542,1692042857
7906,156200,80,0,247500,247500,943,0,3,0,False,7027889283479094277,False,False,False,0,MS4wLjABAAAA4DJuG21PqeIa16Wx_11Y3dTiEYdKHuVvUbxff3KguBRLwsAM9VGyEVXK9H1kCnim,False,0,False,ma494k,False,1692041542,1692042857
1519,2165,5003,0,3742,3742,89,0,0,0,False,6894809265984062465,False,False,False,0,MS4wLjABAAAAuza_JQy-R1hP2y6CsbdC5gLCo-5l7AQeKiQ7Ld1hu5B3YsbHES_AWCjCT1UaUcgR,False,0,False,dani7_g,False,1692041542,1692042857
1468,799,100,0,2699,2699,23,0,3,1,False,6857678532036133893,False,False,False,0,MS4wLjABAAAACALfUMpNa4w5NdIVf_R07zhIaIZEMqteqyPa_nBt5inqpm96apVEqLwN7oYCC1JT,False,1,False,saifgad609,False,1692041542,1692042857
