diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2336,1427,236,0,3144,3144,53,0,0,0,False,6760049126199968773,False,False,False,0,MS4wLjABAAAAsozraqibsgSFddKlklbD-cR0QJtHEaJyk0sLyfTawMiiDfa3GQncJpRjaFuDYi09,False,0,False,afraazkhan23,False,1691990025,1691990460
6188,1250,82,0,2770,2770,20,0,0,0,False,6570752679810285569,False,False,False,0,MS4wLjABAAAAkMEeDa03khNF2qyhDBl1VnP0h06JxuHs4qCzAazLKyhavywIlKEWuV7-LoPnUGSN,False,0,True,rivatami,False,1691990025,1691990460
6832,10100,147,0,103500,103500,5,0,0,0,False,7084161635375563802,False,False,False,0,MS4wLjABAAAA2G0xqBICybTP6aFdxR0fwr4LMENGXysVtBuzMbRZIvn4kZt801yaIWb_lco_uVD4,False,0,False,ziqryzhidan,False,1691990025,1691990460
1,1111,2,0,1167,1167,19,0,0,0,False,7008922504388805659,False,False,False,0,MS4wLjABAAAAilkPlr-OFKXUmNo6ZBWgv1aAhUJL1vdexIOyu8ZGSbfgTvpgR0kRYullfXUZJUvA,False,0,False,manay.gamng,False,1691990025,1691990460
6405,1477,1676,0,22200,22200,46,0,0,0,False,7256601403463091206,False,False,False,0,MS4wLjABAAAA9Uu2Vyj_HMK6d0Z77ShdDUXG35tBc2JR9tURvg51lf9_frle6HHZCbpzrFctFHXO,False,0,False,armankhan224421,False,1691990025,1691990460
10800,157600,317,0,179400,179400,289,0,0,0,False,6866169833013298178,False,False,False,0,MS4wLjABAAAAOfGvcb1z6ckdzNomzawo8KaUgijzFfAz6Rl_HZva9XVmPPdZSjldK9u_lzsljfLB,False,0,False,m_emoo,False,1691990025,1691990460
23,3629,2,0,74,74,4,0,0,0,False,7264237804393481221,False,False,False,0,MS4wLjABAAAAp5nol3pZOSO_78MxaXRDKTF4Mg93RGCc1dL5Gi5iymcfrC6s8ohcIFSHsyqlQf1e,False,0,True,askalaisfadli,False,1691990025,1691990460
14800,1500,1331,0,6008,6008,41,0,0,0,False,6902875574424519685,False,False,False,0,MS4wLjABAAAAJ7zHSAD7ksrWb3SG444Lc4ddULoFIM8H9w3u55obMhfft-gdTpqvz6ye6tzWzavJ,False,0,False,7vxl6,False,1691990025,1691990460
219,407,99,0,580,580,9,0,0,0,False,7265440799129830406,False,False,False,0,MS4wLjABAAAAO2AqpktdGJRGBIV1BpiGvZR_ewE7Pc29yfIKIjpBqzN4vvIkxjxWVwRiT8MkMsty,False,0,False,lanosh92,False,1691990025,1691990460
924,5553,97,0,42400,42400,38,0,0,0,False,6821838184553415682,False,False,False,0,MS4wLjABAAAAc1n9dxfN4IkosQjTwtpo2lgZsaHFDp1vtHSvPKCq1bHlVGCTf6c-JWP_EFCRU--Z,False,0,False,rizxrizal,False,1691990025,1691990460
30700,376,132,0,1797,1797,29,0,0,0,False,6807298627816424449,False,False,False,0,MS4wLjABAAAAkraJs77arpvhu-xvIpfsGwRn8RomzGeFOIRFwbiLPk2jW-tYP-5DKy6PSjTDPyw9,False,0,False,paanduuu_,False,1691990025,1691990460
2,1528,1,0,736,736,3,0,0,0,False,7266420317358605318,False,False,False,0,MS4wLjABAAAAdbkhXyJLYkCYlvDWRSX-iI2p6_pQYzbwp4BVwJvQNTWHMUzT955KfCSNDUOvZibd,False,0,False,allyce.lopess,False,1691990025,1691990460
910,3867,4715,0,1259,1259,20,0,0,0,False,7213790104644142081,False,False,False,0,MS4wLjABAAAAknoQ7HTZWooE8eI9RiA-8AFu40_0IBojr6-VKSAA81tVtmv2Da8byJb1RDeu5ixu,False,0,False,qqqwww7719,False,1691990025,1691990460
7598,178,18,0,3159,3159,26,0,3,0,False,6958703949168231426,False,False,False,0,MS4wLjABAAAAVWoGOeSl33oDcWb5hpUdjsiyeqGFR10HVTEGIr7D2pgrIzX905_A_QfvjhHoCo9K,False,0,True,deaaprlw,False,1691990025,1691990460
22600,19900,33,0,58200,58200,26,0,3,3,False,6739286718249387014,False,False,False,0,MS4wLjABAAAAjjlnM0KzkMzPOuLzNNTO4faageov9Yzs-hXDJ0RvN6r1K3gQVbIMlRfwtGNCk8wD,False,3,False,brq13,False,1691990025,1691990460
1135,1252,266,0,4378,4378,122,0,0,0,False,7191508878915666949,False,False,False,0,MS4wLjABAAAAPAzVnPiVqRg2Elrf0ByosDHfZqN6vunoenfatZLxMGZ2BlcbUQBPCPxuOmQgW1Yf,False,0,False,guyyoussef,False,1691990025,1691990460
122,1407,17,0,350,350,7,0,0,0,False,7031892833671283713,False,False,False,0,MS4wLjABAAAA1Y_qsoF59j1U_E1-KouRs2lc7G_QvvMLRITJmWSxyTSx18838amXLotqWL-ZyFD1,False,0,False,lekded_ch,False,1691990025,1691990460
17200,1438,5385,0,157,157,0,0,0,0,False,6555046750875292687,False,False,False,0,MS4wLjABAAAAqesGZlM6FHdODjPCvz53SMQ_7J-LH3ohZ34fvAHL3pGnTw4ZgoK1VaOlvGeEFySX,False,0,False,amirsouama,False,1691990025,1691990460
8,1017,2,0,22,22,1,0,0,0,False,7194832404681589761,False,False,False,0,MS4wLjABAAAApc7sg6dgrzhz7fDOVfLCGoJkg5aaCGIwxLPW1zVlPhDYAmEcUwQgKIqc9Od4L6aN,False,0,False,studraccinevicga,False,1691990025,1691990460
5471,21400,3762,0,94900,94900,921,1,0,0,False,7129954577454171142,False,False,False,0,MS4wLjABAAAA-PyE9UarhMv8aUa2-9uRAXjtNTX--cE_zqN78ZHCbQqEA-uwxHaqwJGudPgpwQBZ,False,0,False,bolangnarto0,False,1691990025,1691990460
9309,1054,103,0,1206,1206,27,0,3,3,False,6933445063701054469,False,False,True,0,MS4wLjABAAAAKfSZcWH-mJYC-BUsqticLbpePbxHvNyrxD77VihlrIv_HW9U2t7Yq0K_UZogwBRJ,True,3,False,_kaplich_e,False,1691990025,1691990460
583,8218,8898,0,4810,4810,95,0,0,0,False,6967434947472966661,False,True,False,0,MS4wLjABAAAAnyLkYCVn-ZHoAlvZpKgbmjwxRHYuBLPLfHWhL0tlJ812QAatKx2v3ZGO8o2nDOYH,False,0,False,prophetlincon,False,1691990025,1691990460
0,719,0,0,2550,2550,1,0,0,0,False,7251392187732214790,False,False,False,0,MS4wLjABAAAA74LUjoKxTcHo0XwWekp9VovOBcxVAzsf2KC0F3i79vPKGcr6hLzJMLARkjl0MeKm,False,0,True,kgs_ads,False,1691990025,1691990460
754,1691,301,0,2697,2697,51,0,0,0,False,6809441222483477510,False,False,False,0,MS4wLjABAAAAyr09sPAFVLjS5sebUxf5T5c90WJe2M_fUXQINh0DpyAxziwujm3PBu2mjbCVdExb,False,0,False,george_guachi,False,1691990025,1691990460
1,1052,2,0,28,28,3,0,0,0,False,7261841246846551045,False,False,False,0,MS4wLjABAAAATbgwCLAHab2NRirWJYcRqqlk7UH9r7Jfth4Wbjx8_1J_7TI4T--JQzyUeOvPZe8i,False,0,False,akaneyuichi0,False,1691990025,1691990460
1,510,0,0,48,48,3,0,0,0,False,7251265220102276123,False,False,False,0,MS4wLjABAAAAj_fWe88TIjo9yIkKka_2Lqyp9kKEehwvx_4nW8FUHjJO7LkYZ-OLfHUi_xOaNeel,False,0,False,videoasianfood,False,1691990025,1691990460
1182,10000,392,0,697,697,18,0,0,0,False,7209287052674974725,False,False,False,0,MS4wLjABAAAAElWRJaSUKgFcaDJmiQbgrvqi3xnW8_P6h583MiDyp2UctEobQ5Uc9lYPRkdOB5Uf,False,0,False,aleksandraziv8,False,1691990025,1691990460
692,1258,118,0,590,590,37,0,0,0,False,6797581503683118081,False,False,False,0,MS4wLjABAAAAucz8vPociwNS6vLCm4gXpFvK_AfbosXUTJH306Yk6Jo70bALgZ2XXY4Dri1y6UWd,False,0,False,maladewi290,False,1691990025,1691990460
1091,775,54,0,1423,1423,65,0,0,0,False,7095651864616993835,False,False,False,0,MS4wLjABAAAAnw85pet2XCcNlva8vTF7aVNM_6NhW6MRh4M8u1ns1B7cU8khKkCoOR-CDQeSwPHo,False,0,False,the_rizzler0.1,False,1691990025,1691990460
4977,605,212,0,8240,8240,61,0,0,0,False,96839278646661120,False,False,False,0,MS4wLjABAAAALP_hz7wrnb8RvZ2drwxhV2wbCU0TtycdHwYltzwybVaS2-0pdPOkL-9k80DFOpjc,False,0,False,b.edmah,False,1691990025,1691990460
5616,5244,163,0,909,909,5,0,0,0,False,7263291807960794117,False,False,False,0,MS4wLjABAAAAHn9Yez7Pljlc_fo84DXyMHJBvfGVD3aSeElUcTGUP1mPdS-Hx5PRW_MB64EHApMO,False,0,False,fashionwithfiggy,False,1691989577,1691990011
17,17500,37,0,36600,36600,111,0,0,0,False,7205316237856195589,False,False,False,0,MS4wLjABAAAAMQoWD1GoVQrOOXj7I4eTQD6oohVVQeahAzdzRcVLQDxrgAIiEcD-xxWvdCv8dgBH,False,0,False,drolekidz,False,1691989577,1691990011
21200,80900,4,0,209000,209000,41,0,3,0,False,6909858269784278018,False,False,False,0,MS4wLjABAAAALCFuR25oCsS745rd2lx2fppUOWW91HpiopUB7KgzHYtjuBpm93AqyYFW0Ijt01sd,False,0,False,..ksa_20,False,1691989577,1691990011
821,6350,7055,0,1409,1409,30,0,0,0,False,7211596033020969985,False,False,False,0,MS4wLjABAAAA6dIUVcth9dwMb1TibSNS922GSR05KG--DrSJe8CZNXNdiUUrXo3KphSM9Z1rxOrZ,False,0,False,artemaza8jq,False,1691989577,1691990011
727,1557,210,0,1124,1124,87,0,0,0,False,7254175361067582469,False,False,False,0,MS4wLjABAAAAhm0TVoNHo_hF4eAO9I-v53Pm3AcruHo-pvzUFPqb2_LrLLnOua4soJZ5G81_EtTI,False,0,False,abotim493,False,1691989577,1691990011
18,220,50,0,362,362,5,0,0,0,False,7230424693861106694,False,False,False,0,MS4wLjABAAAAGuUcLUg-_u7cPPoWM-xc35X8mj0OZaEPO_mBFQYNVeeeTP5TFYkFxFJSLSc2WgAC,False,0,False,chikmonk,False,1691989577,1691990011
1,523,227,0,30,30,1,0,0,0,False,7267031919161345030,False,False,False,0,MS4wLjABAAAA8dD6iz8iXvlN0x2spQTT7WQT6HhqTmXK-03ujiUujeF4JYiSw42cJHIzC2lBwL7J,False,0,False,leli.yana92,False,1691989577,1691990011
0,2266,0,0,56,56,6,0,0,0,False,7255860485614142469,False,False,False,0,MS4wLjABAAAA6R7zqEyWO8xQovitJ_qJTZMCJ6LZ8pD_u0XLCWL_aGndYz-qm8hCmwmhs_j6n-qx,False,0,False,blendydoesthework,False,1691989577,1691990011
294,1676,1,0,4467,4467,107,0,0,0,False,7261960139070456837,False,False,False,0,MS4wLjABAAAAeQYDN0NqvMBO8eNJ4P_Lb6KGWsEA88yIjRqlNfD4UMexWgmY3m-_EO5gfIp3UYOS,False,0,False,joydy_hann,False,1691989577,1691990011
21,945,20,0,305,305,2,0,0,0,False,7266184439703946242,False,False,False,0,MS4wLjABAAAAyxTemj6CU7M2w5tWu9aOnBc3UZ2rSPSxsDnCFm5xagjNPyZEwpYLfBVyTmD7iIkt,False,0,False,i.passed_fromhere,False,1691989577,1691990011
54,5655,48,0,2221,2221,5,0,0,0,False,7266491775597691936,False,False,False,0,MS4wLjABAAAA3e5tT2bUh6JGGmXm9gwX_klp6ywRXTeoWdXNd44e6grDeqP2OYUQMqZxKi-Zd3Q3,False,0,False,.27750,False,1691989577,1691990011
1496,4560,1164,0,4954,4954,54,0,0,0,False,6811624713555739654,False,True,False,0,MS4wLjABAAAAFdCKygtRWCNUOrbhSEtIlRYrw7a0FYS6Lg5SCv8R9fermuPX62A0hGhRnajLuh-N,False,0,False,osmanabujarrah,False,1691989577,1691990011
50,2711,37,0,106,106,3,0,0,0,False,7253400257660109866,False,False,False,0,MS4wLjABAAAAExzTFIP7QKljcJSeZbXupOvuEx0Ty1jGNDSFu62UHt6ztfveYUCP-ykyPTEM5bAP,False,0,False,im_your_daddynow7,False,1691989577,1691990011
2445,20600,148,0,27500,27500,5,0,0,0,False,6817297932695815173,False,False,False,0,MS4wLjABAAAAE6b5XzPb2GTVCCZcq5r0Ei4z4QLM0ostYTWV9ls1X5HXMAddxBn2qyb2pCraKwLg,False,0,False,almayedi54_,False,1691989577,1691990011
2370,1227,41,0,1452,1452,2,0,0,0,False,7178198073377014785,False,False,False,0,MS4wLjABAAAAqEUUTvxZk7HPtnq8RDF5AVrdjEcglmm6p3Sr5lcm9aKiKMHUG3TRrmXw1KGh8n_C,False,0,False,sultan_iibrahim,False,1691989577,1691990011
320,4018,4447,0,379,379,14,0,0,0,False,7220603574904407041,False,False,False,0,MS4wLjABAAAAKJP6KWwUCBxdDwddHny5ICbc8Utwjopca8zhFzQVe9LzUaf1xUrfppdFP-ctq0JO,False,0,False,gdhhdtlzsd8,False,1691989577,1691990011
316,8180,4,0,62800,62800,59,0,0,0,False,7134859201964557317,False,True,False,0,MS4wLjABAAAA7wWTDUxRTJNruT3ZMX8BTT4tYGz-MIWPRpb2mEWcj80xqJ5rL0Zt65g6xUgpwHtC,False,0,False,gwanvetagro,False,1691989577,1691990011
32700,10400,590,0,245100,245100,90,0,3,0,False,7192932348270478341,False,False,False,0,MS4wLjABAAAAd60vZYIIARyKoufBkjzlv2FD2cRkBIHLnxoUr_m9-iKY-dj9cihMo4HJFJKM9_Oe,False,0,False,wasifkhanii10,False,1691989577,1691990011
1289,3549,129,0,88000,88000,182,0,0,0,False,7266333524605830190,False,False,False,0,MS4wLjABAAAAHZ6d_CPTIHQSuvMj1Peni1-BNYNNaGppp8NUTc9xXP31b1N8_MfYBZ8Ryo7wdXug,False,0,False,muneeb78955,False,1691989577,1691990011
332,10500,31,0,98100,98100,135,0,0,0,False,7225582641255941147,False,False,False,0,MS4wLjABAAAAJAJa6EYno5734XWKixd-Kr0I_W0w93oNmFoIHv35YINrsU0mkNUKlc76IoPKv4H4,False,0,False,brizz_tv,False,1691989577,1691990011
0,975,1,0,50,50,6,0,3,0,False,6845515842039792642,False,False,False,0,MS4wLjABAAAAkllbOuqB4NrG6h2f0i9lSVUHDKz1D9KJYbxeVjeFu5_5aKACX2uVwzRK-2P3oeOv,False,0,True,siimerah2,False,1691989577,1691990011
153,195400,36,0,246700,246700,62,0,0,0,False,6789937093072454662,False,False,False,0,MS4wLjABAAAAQe8xGTeJpnw4YfLMispIXy7uxTUD83BwNNaIzfgyWMDWwd32QFhuPhUGXqRxkhDK,False,0,False,gh.natto,False,1691989577,1691990011
