diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
48,14600,76,0,2426,2426,17,0,0,0,False,7006759168574505990,False,False,False,0,MS4wLjABAAAAe4AwsPrQ70Xse2z7M1fhxlaphWxy44QB55eNQdLkPNwyMco6BxK_15JOqJ57Vuv8,False,0,False,alfahd.00,False,1690342650,1690343539
0,240,0,0,3,3,4,0,0,0,False,7255670112144131078,False,False,False,0,MS4wLjABAAAAcM0didhgv8jYpIkFkIXQazHjcXRaD-l1AmKVUQr2otf0aGee6efLpBksUPH_3gxQ,False,0,False,creationtrendceramicco,False,1690342650,1690343539
5,687,30,0,4,4,1,0,0,0,False,6949652405119222790,False,False,False,0,MS4wLjABAAAAX6TeEvaE5vTVwja5W-ySu8ReeAYNhiB7LnmwyIMgMCHu3ORdZvNlmCzeaStHObyU,False,0,False,masiamodellefateuwu,False,1690342650,1690343539
43200,4635,373,0,12700,12700,17,0,0,0,False,6735416723895780357,False,False,False,0,MS4wLjABAAAAndjbXYZ-leqULW9qybsr8mFvLQCDyG6jX6Hbu6ACyqDR5FTwKTgShH5VrFAmNXK8,False,0,False,an5ll_,False,1690342650,1690343539
7,109,25,0,19,19,12,0,0,0,False,7259748266304537602,False,False,False,0,MS4wLjABAAAAnG85OaiJcf0ztYZ9MHuFa48SIXRJFlE2GcbT6_2II0eqelIUAxir1scbmja-x2OV,False,0,False,thynkbox_,False,1690342650,1690343539
437,819,19,0,0,0,0,0,0,0,False,6883179173079499782,False,False,False,0,MS4wLjABAAAAiLNk554JpMtriuCdmQIYg6-iZb01t-WqAK3hgCzBiOsPN1O7GkLnm5edEypUE-FJ,False,0,False,z_k2r,False,1690342650,1690343539
8485,5567,5549,0,4034,4034,56,0,0,0,False,6790856072901215233,False,False,False,0,MS4wLjABAAAAXovEkhHMaFKr7qTovubc4AllFAvlPh8nUWwGjK9BaV4Vz3AVnbjJ9zIlld7715xn,False,0,False,www.saqer,False,1690342650,1690343539
9702,9533,533,0,8804,8804,275,0,0,0,False,6699530905260704773,False,False,False,0,MS4wLjABAAAA8SZozxduO-P8OcN2HlFuqyGQ6h6-sD7OZlEHYZsXzu8pYJXwRWhaLP_GEPgM8DYn,False,0,False,ms1tl,False,1690342650,1690343539
4085,1483,321,0,4005,4005,66,0,0,0,False,6567864615064485890,False,False,False,0,MS4wLjABAAAAZFsbzrMV75ODyH0iCTg3sJJD3zJrFwq4Bjof9nV3CC57d20q_WWWsPfRadwsB_ce,False,0,True,may22friday,False,1690342650,1690343539
327,12900,103,0,1962,1962,2,0,0,0,False,6768956294604014597,False,False,False,0,MS4wLjABAAAAvC5RMiIuWXRGzj7HqFaX6GU2YbX6nwIl2-50cSWtK5phoYIyaXlwA1vq0dkUfAd3,False,3,False,sl.maestro,False,1690342650,1690343539
17900,2684,149,0,0,0,0,0,0,0,False,6781136992539018246,False,False,False,0,MS4wLjABAAAAKJipITzKLHChCfo5UIHwGZXPytZVAKYSafgZUglhuLvSB_tMQKZtViWgsgrwdu1A,False,3,False,s6ure,False,1690342650,1690343539
675,11100,3512,0,30300,30300,110,0,0,0,False,7259210045291758598,False,False,False,0,MS4wLjABAAAAnBBlFYhpacuU3egtDpJiXniWYUI1K9Y5TY4nu9sBTMbB2jAPz55S-dH6zHkq-3uQ,False,0,False,southpark.loversss,False,1690342650,1690343539
73,1018,933,0,79,79,10,0,0,0,False,7065642480063005698,False,False,False,0,MS4wLjABAAAAFoW34oBS9ajFiZkcGz3tqqp6e7-Wd8ceB8uECtVk9rtmfQ0KGxl08A4wPZ2zZTpZ,False,0,True,karuniaknalpot,False,1690342650,1690343539
3400,4867,387,0,5458,5458,63,0,0,0,False,6658411612133277701,False,False,False,0,MS4wLjABAAAA69ymgE2DLxvSEjQ15M5pZ46s4ETd6N_gBnyHY_77x8oNy20TA-gw2q1UMep1N_Bn,False,0,False,mamiitaaaaaaaa,False,1690342650,1690343539
0,3808,0,0,20,20,1,0,0,0,False,7253221139460506670,False,False,False,0,MS4wLjABAAAAKQqZ3XaZ0kAEvANsJCnz4ujRDZdpTNCr8NUnoRbLiFxvzJ7MoXffoqLH_DcdeqNN,False,0,False,symposia.live.game,False,1690342650,1690343539
12100,10700,653,0,10900,10900,31,0,0,3,False,6588084029827710981,False,False,False,0,MS4wLjABAAAAnq5r_LJ-M6Si6QqSXBm7QcyTbR_aXCStBFK_tqVb7jr-tbPolVcOqIL2h1tEdKG1,False,3,False,enam.khan,False,1690342650,1690343539
835,3308,150,0,188400,188400,16,0,0,0,False,6953349134087930885,False,False,False,0,MS4wLjABAAAA7lxPIzd5Cx22yu9QuSqlZJt3rxKstn1sjYWtmb3m8nAsLUMpWdaLqWFzx7FvrQV_,False,0,False,koeeld,False,1690342650,1690343539
3118,552,123,0,87,87,4,0,0,0,False,7255991046201852934,False,False,False,0,MS4wLjABAAAAc40k2Mrjgxen5DWKgBs1VynhhiiUM945QUVO5wsSKm-Dv-XXENIDG3VFpT9LteWk,False,0,False,sazputsv,False,1690342650,1690343539
37000,4363,217,0,1635,1635,4,0,0,0,False,6772639935620449285,False,False,False,0,MS4wLjABAAAAsud97QANH64ac4LwJPL0m6X94skkgGTXnUlMUrVKZY7BO2FcnkjLKy4GN6eQTvp2,False,0,False,line.mariel,False,1690342650,1690343539
14100,943,141,0,3851,3851,3,0,3,0,False,7191914127438300166,False,False,False,0,MS4wLjABAAAAiBAAj9qVbI6QuKFBIEmpRuHHHpmo3akOA9davv6LZUYnmZCEJq-SkGRwCQ6VmZZ0,False,0,False,c3ylncmn,False,1690342650,1690343539
6,548,2,0,363,363,0,0,3,3,False,7174033066308994050,False,False,True,0,MS4wLjABAAAAsK_z8VacYCeHFz0mHTG-ZPqCaGdrnSSqbUhHEnM-RvavlDXad2ZXkNpHJ2xU2f07,True,3,False,mtgr..xd,False,1690342650,1690343539
3855,158300,126,0,828500,828500,171,0,0,0,False,6582368512433930246,False,False,False,0,MS4wLjABAAAAvlftCAsK6r2w0y2IkARxnNK4w7WFT5MmOb-shg0A5zRFToFHeFrM1paWfOVx1RRw,False,0,False,sultanh.nasser,False,1690342650,1690343539
5103,2160,600,0,3954,3954,44,1,3,0,False,6608318735186378757,False,False,False,0,MS4wLjABAAAAkE7BRN9Ph3njGzXmvihneFg_jEQxloObzvflQ-KOrOwwu7NJh-ZyYpElmX1PmL2b,False,0,False,ma.zn7,False,1690342650,1690343539
396,19300,39,0,19100,19100,12,0,0,0,False,7254296651110564866,False,False,False,0,MS4wLjABAAAAM8uf41VJ1t5z14_fOi8zb5NhS1d3GCEL9bvRktaLAzu9ZTXnpSyH3h5G3AmbpfnP,False,0,False,a11wm,False,1690342650,1690343539
919,602,90,0,158,158,7,0,0,0,False,7187219692510053402,False,False,False,0,MS4wLjABAAAAKSiGw_shz-NOd0PENtRalYGf8ZOkZ4MAyw8O5AvnfXMWTMAa5qXIe9n0vyQDa5j-,False,0,False,waraoox,False,1690342650,1690343539
207,1973,26,0,676,676,20,0,0,0,False,7233204600933024769,False,False,False,0,MS4wLjABAAAA90dT6isD4Q9a64doIip48J-s9X7qYbVmEtYOyIPMXSZd7ucC1rYEMTfDvYaNGMe0,False,0,False,h.almajid,False,1690342650,1690343539
183,1379,24,0,88,88,8,3,3,0,False,7202715854835254278,False,False,False,0,MS4wLjABAAAAqED6IxW11DowdvZ2rohZiG4byWL8jCrP3CPBgUGG0pp6lVga3Gl0_Si7m6de-Jq8,False,0,False,ibrahim.bin.dalloul,False,1690342650,1690343539
8042,1186,2368,0,681,681,14,0,0,0,False,6687146188125406213,False,False,False,0,MS4wLjABAAAA_C_tevHiagiCfb3e_dFl5Ps9Mu7bjPSELtfEiCrvoLjp1fMKnk2OaEYCYArheFui,False,0,False,_4o_1,False,1690342650,1690343539
5754,733,727,0,14,14,1,0,3,3,False,6885090855821984773,False,False,False,0,MS4wLjABAAAAdcocdF-Gh1Rc_QWt60JCGlEnrk2OKT0beY8rdIn6f09yegvGUh5rnKI640dw2_PU,False,3,False,rrrakan2,False,1690341649,1690342619
0,526,2,0,0,0,1,0,3,1,False,7259463399738115079,False,False,False,0,MS4wLjABAAAAdVbdVtn_oILwfAen7fSdWufUGIAB5a29j4voYlEBy3Ss8vUAn1vh2b6UsfmuAHVN,False,1,False,g.q176,False,1690341649,1690342619
6318,3336,173,0,1846,1846,3,0,3,3,False,6726602080684295174,False,False,False,0,MS4wLjABAAAANhux3ezx8U62J-kQJi7mFL6Uami_V4Ehd7hlx8z1JGWbzXwbb6CB63YBX3gSap_l,False,3,False,t8r.o,False,1690341649,1690342619
874,1134,21,0,544,544,8,0,0,1,False,6865905904488350722,False,False,False,0,MS4wLjABAAAA4NesyVBgPZcAz7LOBpCuWfO1HKnhv3WRq6TNHKJuWDLmvAAVYzSP5mXv-BZYkK6M,False,1,False,noobqueen_241,False,1690341649,1690342619
931,2895,827,0,3092,3092,45,0,3,3,False,7044751752612611073,False,True,True,0,MS4wLjABAAAAinjD0kgocKG7HW0vga_t0TmuCdDbO75_JPRlLHeGMmCOZPGyLRGFb82Z7Z-qdUKb,True,3,False,ransnasy,False,1690341649,1690342619
2189,780,15,0,240,240,59,0,0,0,False,7092815911618954245,False,False,False,0,MS4wLjABAAAAG4C5j92Y_zi_941gc8nGJT6hl1G8WokPjeM-peuc6efBQBafMWISDJi7w3zFlox2,False,0,False,damianaclarita24g,False,1690341649,1690342619
166,15800,16,0,90,90,16,0,0,0,False,7258720004836017158,False,False,False,0,MS4wLjABAAAAp2IC_gsHd0ecWwGuGFq0E5d7Xd4iAYQZyx0NVblbJQ-gDg67UXkJS7NOfga9bx9B,False,0,False,emretesbihevi,False,1690341649,1690342619
