diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,3808,0,0,20,20,1,0,0,0,False,7253221139460506670,False,False,False,0,MS4wLjABAAAAKQqZ3XaZ0kAEvANsJCnz4ujRDZdpTNCr8NUnoRbLiFxvzJ7MoXffoqLH_DcdeqNN,False,0,False,symposia.live.game,False,1680749780,1692204681
13,991,1,0,0,0,0,0,0,0,False,7263791030235202566,False,False,False,0,MS4wLjABAAAAVV9Ba2eGQdiEIZSOEbeKStcrvT8GFMFwXBdY5zudL0MuNm8fsPxqjpunW3o7TZXf,False,0,False,rg.games0,False,1680749780,1692204681
3,1879,525,0,0,0,0,0,0,0,False,7261765366672786438,False,False,False,0,MS4wLjABAAAAO3s5mHnraGqM9PzHRlYtBQUX5M_XH1o3nE6U4YF_aAnD_mCrvjylvEdNNXloB74K,False,0,False,yelawolfforalll,False,1680749780,1692204681
534,695900,1572,0,9100000,9100000,145,0,0,0,False,6828149174425453570,False,False,False,0,MS4wLjABAAAAZ1VnjVlz3p4x1w2w9ZZX3psJh6hSiI0s-p8wywNjMbch4_xKD56oY6Qaru_GU2mD,False,0,False,tom.liwafa,True,1680749780,1692204681
10900,1235,156,0,1449,1449,176,0,0,0,False,6831779752874525697,False,False,False,0,MS4wLjABAAAAkeKWWSDmDCme6YCsDdsbAhybkHX-UHd-K7BGVzvFbyUzAM9P78AtstQmdiOADvGe,False,0,False,supri.min02,False,1680749780,1692204681
285,7793,141,0,40,40,14,0,0,0,False,7056050139770209326,False,False,False,0,MS4wLjABAAAAhGYJzh5azyyXxkQICsHLcZ7DiAypqeAxR7lUb2usYoJuTb20UNifBaB1icMO7Hz3,False,0,False,treasureandkin,False,1680749780,1692204681
12400,1110,703,0,232,232,5,0,0,0,False,6897603895789028357,False,False,False,0,MS4wLjABAAAAxm9mgf_LhmrKSJfqzOY5rBcqghd1abGO2skufo7byECJv-z7jbquBwNpIU3Ld2Ts,False,0,False,newwojti,False,1680749780,1692204681
5,16300,65,0,579,579,56,0,0,0,False,6816990691555312645,False,True,False,0,MS4wLjABAAAA1x4Uulhtbro-ASb8YKTZCQ5BGzCqAd4XOwFh1PMl1kGKImoC8jhQ1RurfP6SriEm,False,0,False,jollyfoodandtravels,False,1680749780,1692204681
124,8918,52,0,47,47,3,0,0,0,False,7252704721666917402,False,False,False,0,MS4wLjABAAAAMaA8gEnuMOXocjyXds1QzD-ZKl60wzUoFgi18S_Op7rcI5CXNMKBk2Xu3M66wJ8Y,False,0,False,momohadj7,False,1680749780,1692204681
458,1256,810,0,118,118,5,0,0,0,False,6609703008941228038,False,False,False,0,MS4wLjABAAAAKZ87MWRF5eyne-_HbussTroVnUKYs2eOZVH6Rh96ZwsipdHbRbBxfjPuGPM2Buxy,False,0,False,lenacz30,False,1680749780,1692204681
