diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,3314,0,0,2356,2356,17,0,0,0,False,7259768639586763781,False,False,False,0,MS4wLjABAAAAoUXTSP3PK4TyFhmUOJv7TDhh5_2FeMKfiufP5iSB79AdQ9myon_e4bYiZz7uhsJc,False,0,False,memoires.store,False,1692248651,1692269240
421,2155,234,0,2851,2851,181,0,0,0,False,7105225910605677594,False,False,False,0,MS4wLjABAAAATGQBM_VGD6ftABLSIga5rGv9_O3AzFX5flyKnwXnUhZIYQ8Y15NwBFWvgqb9yW1h,False,0,False,ellyzamardiyanaib,False,1692248651,1692269240
494,654,337,0,584,584,7,0,0,0,False,6816333472631505921,False,True,False,0,MS4wLjABAAAABWpPi7POB8qs3o6S8mc2OrEhBer768qgo2RgII2E0xANmUInFSOztHQze0p9YccE,False,0,True,aioliattt,False,1692248651,1692269240
3767,4258,542,0,35400,35400,301,0,0,0,False,6788317696901022721,False,False,False,0,MS4wLjABAAAAwY_HZAjfhNSouSp3HLml9_Ewjy8-sjwklVlN3OGHto5GDyx5Jlr1_fuxvkT9o9fn,False,0,False,tentangdefakhri,False,1692248651,1692269240
50000,3092,25,0,18000,18000,22,0,0,0,False,6842151315414467589,False,False,False,0,MS4wLjABAAAAR6JJE72J1ayQSscq0UF-Xva_xIZwT-5x_pCmRlk_EF0e7iKyPWTi_F6k4BPJGiHr,False,0,False,mindlytv,False,1692248651,1692269240
1298,601,44,0,122,122,18,0,0,0,False,6807123592183071749,False,False,False,0,MS4wLjABAAAAt1gKvCUGr9W2t_8rx_o3X9ClOh-Y7dOnd3pMv8MOnzs2RPfWHvNPjD2untLMdAdo,False,0,False,vaniojr,False,1692248651,1692269240
20500,998,139,0,2336,2336,38,0,0,0,False,7219876939104240667,False,False,False,0,MS4wLjABAAAAwdAC7Ij5yv0HOYk80LVLWavLD9NcEjdZ_3nknffmloY69Niapsw1GhAKSzJFFn8Q,False,0,True,ruok_sunda1,False,1692248651,1692269240
844,20400,706,0,38500,38500,157,0,3,0,False,6941577024202114050,False,True,False,0,MS4wLjABAAAAvWq96oPXhXGFSF3MMnQXMD5PLhRp2WIJuT7gIF2-qcWXls6oNimPr4_p9b8I4TT2,False,0,False,zhangshi_beauty,False,1692248651,1692269240
5,16700,1,0,31,31,3,0,0,0,False,7263581006984233990,False,False,False,0,MS4wLjABAAAAgfVdJ_MtCGJXHu2ozf5uNm43dd5E35M1mGezrm0LF6BXB82KldXo3-FP2_EzL9R-,False,0,False,curtistilburyceo,False,1692248651,1692269240
36,600,0,0,0,0,0,0,3,1,False,6959116156029666310,False,False,False,0,MS4wLjABAAAAyMgfcl-FUZhJlh8Y-CcoNnidKJuuShpT3p8YZ7zZKTeYbYJ3QkhyMwTROY6lhD1s,False,1,True,mtchgurl_,False,1692248651,1692269240
