diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
13400,1207,50,0,3581,3581,24,0,0,0,False,7039641989327422469,False,False,False,0,MS4wLjABAAAAuBlFIruaZOr-ienLbt289TZd5R8uDdECzrlIkHsV2TjGHBgAJ98iXDlcrMiDXX50,False,0,False,edhrmdi,False,1692101960,1692102756
595,24700,654,0,457900,457900,161,0,0,0,False,6559815500442992646,False,False,False,0,MS4wLjABAAAApM4gdSgaHRbHK9BdtK3YugpHTqJ5qnvnbfIZv8vpvnciPg6BQ9Por57yP3Tx-DTz,False,0,False,nauman.gemini,False,1692101960,1692102756
3267,2559,683,0,23900,23900,353,0,0,0,False,7131600389036180485,False,False,False,0,MS4wLjABAAAArHxIT4hp9LR8UBcI-EWdWfpY6Y9dukUu8RoF1Q28CLQldW8k8j4uac3jzQsvHBzq,False,0,False,haji_zulfiqarali,False,1692101960,1692102756
694,12900,169,0,4614,4614,41,0,0,0,False,7173034661055480875,False,False,False,0,MS4wLjABAAAAWO2tllZqrG5Bp-EdLFsTM26MUIwuafFEKly3F5bS5T28e51cxbLP7K_F-hOS_AFe,False,0,False,vanilla_gorilla111,False,1692101960,1692102756
48,2881,43,0,20300,20300,295,0,0,0,False,7241391412502479918,False,False,False,0,MS4wLjABAAAAa0KACrpGYnHaNGMMzrxdAkPFiha-q6k3dRgBo_beCWZIZ0s10hkApqK5O8VGoUuW,False,0,False,makemoneywkelsey,False,1692101960,1692102756
987,5714,1134,0,707,707,8,0,0,0,False,6695530979228189701,False,False,False,0,MS4wLjABAAAA5C4MC4xmAE5WK882F88RrUtAzpHJnN-9MKnYiEkciThS6JfG-_Ml1jtmulsRJRo5,False,0,False,mawaisaslam1,False,1692101960,1692102756
0,1808,1,0,302,302,45,0,0,0,False,7253463632426861594,False,False,False,0,MS4wLjABAAAAp6ZHj_SLo0-FqVdkHG6cS7ixY4PjLsxPQ8zmRf3k_6n8D80i2a_fdVh9Kr1iA2Vt,False,0,False,anime.fano1,False,1692101960,1692102756
33,1056,55,0,1985,1985,9,0,0,0,False,7022302561688814594,False,False,False,0,MS4wLjABAAAAOhgahK9_xXw8kMTkm_DZ6-nkaEXLA69vbS_teO-zYpxge0bHZMQZZoh_9Q2YA6AX,False,0,False,pengangguran1993,False,1692101960,1692102756
6204,123600,370,0,4200000,4200000,269,0,0,0,False,7226871855555593262,False,False,False,0,MS4wLjABAAAABSsWsBX57vx3ex3uEGBgEEYA1B4_rJItrowzXcUaCZvIL8tP6Kbr-Za8vjnQ8EgK,False,0,False,realscarytok,False,1692101960,1692102756
30900,2246,101,0,1468,1468,19,0,0,0,False,6824334610941805569,False,False,False,0,MS4wLjABAAAAr95PJd01Oi73-G83Zm9Y9r5ogpghvV3dMye_0NJ1AvGzZHSIccUuTCe4MKEqBoRK,False,0,True,nk_kainbrand,False,1692101960,1692102756
0,3666,0,0,114,114,2,0,0,0,False,7260281289605284870,False,False,False,0,MS4wLjABAAAACD38ed0uoPq2oyVSUY-RK93JqCwAZNxyvCY1ZRSOV2OE9F-qqv3BjpR1Scw9ZqzQ,False,0,False,luminaloom,False,1692101960,1692102756
563,2348,130,0,838,838,33,0,0,0,False,7047369663043355650,False,False,False,0,MS4wLjABAAAAmXVK_9xh9_nVzafIHW9daWBwRwn_ya5gEmucjjG23g52xOplfhsxuqy1kKyhHVwt,False,0,False,bagussofyandry,False,1692101960,1692102756
442,6352,65,0,4661,4661,22,0,0,0,False,6533808579836968962,False,False,False,0,MS4wLjABAAAAWWUEB6h6n0O5mj6_QAVZlthZEbQUwHGOUZFYoeh6iVknhZh7BYt6YIsroBsmZrRT,False,0,True,kokobollo69,False,1692101960,1692102756
74,1124,7,0,466,466,13,0,0,0,False,6921283482019775494,False,False,False,0,MS4wLjABAAAAywoYhUB9SSTmSvOrpALkP1iVHoRhOjozi5hVvPzMLtogrW7bwvXlnlIzETg-MIG3,False,0,False,xno15,False,1692101960,1692102756
159,1051,1273,0,183,183,14,0,0,0,False,6848429050056721413,False,False,False,0,MS4wLjABAAAAOVjNemm6SLNhu9aLBFWRM9f03y4D79zMRoyEAPBsvsc9FA-C2pjPdGWGeF4WV3dj,False,0,False,ahmeddashabuhelmy,False,1692101960,1692102756
49,1237,42,0,518,518,19,0,0,0,False,7256981528748885038,False,False,False,0,MS4wLjABAAAAJmhryzKPjyfOxjHnzuGs2LZjKRQvOZgBRxM3ih0BoXkucG56jy9PZmP72FmSz3_G,False,0,False,jens.affiliate.ad,False,1692101960,1692102756
9039,22800,9705,0,73700,73700,300,0,3,1,False,6540275464853733378,False,False,False,0,MS4wLjABAAAArTpHAsi-kQbTPrS0Y9Z5lhlUT1cpXlAUqo_2ST6bu5YK7nZp8TeuJEt-CtuKDtv0,False,1,False,lx5123_alect,False,1692101960,1692102756
