diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
226,610,386,0,229,229,21,0,0,0,False,6967011609064539142,False,False,False,0,MS4wLjABAAAAAv07-Fui30wxyQn4DQBDp9rIjNvuAYKmDn0OKpZ5g3ujGLam3b2ejefCP1m1vu8H,False,0,False,andrehcosta1981,False,1698633145,1698710665
93,2068,54,0,128,128,9,0,0,0,False,6528392404095996928,False,False,False,0,MS4wLjABAAAAMV8UBm4zMGm_QL677LerSh8lm8WrHDd0va7L8BMk87lCC-Y0KK3qYeOrnrj-_Cnk,False,0,False,sh3lby1989,False,1698633145,1698710665
248,10300,247,0,28500,28500,124,0,0,0,False,6858820194057749510,False,False,False,0,MS4wLjABAAAAxdgeK5I0yFDpZKcRdK4jSwgAAN49MJB2k1ycQ3hQ-Aj4Rvr7q0CeRy7ypWw-QYM9,False,0,False,edgarking95,False,1698633145,1698710665
19000,1128,46,0,2180,2180,130,0,0,0,False,6809488930699576326,False,False,False,0,MS4wLjABAAAAqONb6aBEmo_ximV_WW7Rgm6VEz940vhQJvbalMS7srrky0Nxk_pUxCXFPSOwTgUK,False,0,False,wilbomc,False,1698633145,1698710665
3559,27000,518,0,428000,428000,371,0,0,0,False,6788607720914519045,False,False,False,0,MS4wLjABAAAA-Pqd2LrjgC_gi36GHabmf90uYTu6akVyz98-sfE5CyFU4tzDgZwjLLaY5FtjfgBi,False,0,False,dairinvaldes,False,1698633145,1698710665
223,1174,3,0,325,325,35,0,0,0,False,7197168522899358725,False,False,False,0,MS4wLjABAAAABqQTF8W6WbfwAGYu3ECP9L7gCGibbkPNJ11MBVsYm05DfK8hdFzNosi8ovHYbQFy,False,0,False,community.warmi,False,1698633145,1698710665
4,1086,0,0,14800,14800,27,0,0,0,False,7187818368773653509,False,False,False,0,MS4wLjABAAAAzTzQiHCe5VWxEJlbMLrWZzRrNsdKJCIvA6L3AIbRMPkMDZY0KDrkFMCc7-Q40t-L,False,0,False,kingmontanhacr,False,1698633145,1698710665
3673,9893,128,0,18900,18900,17,0,0,0,False,7181870814005658629,False,True,False,0,MS4wLjABAAAA9h-F9ye-t7c3OWksO2TfzIjuUt5SNTt2BA5vauPqn0pyQC3OCUx3EYFkDmun1eZn,False,0,False,b1i1e1c1i1k,False,1698633145,1698710665
7077,271800,1,0,1400000,1400000,3,0,0,0,False,6750976383994348545,False,False,False,0,MS4wLjABAAAAIddLmD0X40Rlr7ZqJMrEElcZYnzLHNuxhXmfLxMDpQtaxm5tJiLCGF_f4XS5jL7v,False,0,False,__yt__.21.__,False,1698633145,1698710665
120300,1191,74,0,4831,4831,19,0,3,0,False,6571838319344467973,False,False,False,0,MS4wLjABAAAAhxrnEhSpgo4JHyrZ7IqQxvQ1Sqeckx7VyWK20UZVecFzyQR9ISFXGesuUrqTJjzq,False,0,False,rayen.2nsi,False,1698633145,1698710665
2700,41200,102,0,12400,12400,22,0,0,0,False,7099172482775974918,False,True,False,0,MS4wLjABAAAANHkrwGDkXSeinOzdr7mKwXtK9NH2Z7IVYELx40a3jsiA8mvc-1HqD4lnbXZuWOt-,False,0,False,alinetiktok204,False,1698633145,1698710665
108,2519,65,0,23,23,4,0,3,3,False,7116050244849107973,False,False,True,0,MS4wLjABAAAAbW97gfghX_E4yzxAHys1i8-LyE29vbd-r9SYxxR1P97MbR4EpvQsxpYo_sASMph_,True,3,False,songster.ress,False,1698633145,1698710665
3811,25800,204,0,3475,3475,60,0,0,0,False,6786628692028392450,False,False,False,0,MS4wLjABAAAA1gas55BrBPe84_Fefond06vwMwmtFrmE08mLyNvOw2camc-Nbbr42DV-CyE28J3u,False,0,True,techineekalong,False,1698633145,1698710665
21200,4500000,180,0,19100000,19100000,283,0,0,0,False,6800814484048102405,False,False,False,0,MS4wLjABAAAAs5SEyphAYk6_3IsqQrefyafJDWNbH9waEJnQmOUjbb2ZDJCmgOJaD_5A4iPOSdmK,False,0,False,liquiddeath,True,1698633145,1698710665
12000,11200,302,0,423600,423600,200,0,0,0,False,7121373570873672709,False,False,False,0,MS4wLjABAAAA09vMl39rFwt3BBAZ-mB38FQcp-1Yb4F_1DGkADOEzURil9YvY2CaKlH8M_T0Rv5S,False,0,False,jonathan_victor07,False,1698633145,1698710665
2431,772100,16,0,5800000,5800000,43,0,0,0,False,6808201405158917125,False,False,False,0,MS4wLjABAAAAPiY4mbFt33nn7ETWB4OrGywjrotBoYh6LXOjfB5jW84cFJ734sekVjqJk5Wfzoyj,False,0,False,thiagoservoli,False,1698633145,1698710665
18,886,34,0,2,2,3,0,3,3,False,7293062248170701866,False,False,True,0,MS4wLjABAAAAKXi-_GowM3JT2scV-0P6lnV8-vs_X7RFDmYRqBJavpl8CH7HCmMa5Iqw4m6wY9fd,True,3,False,live_your_lif3,False,1698633145,1698710665
0,10100,0,0,6454,6454,53,0,0,0,False,7286113146833749035,False,False,False,0,MS4wLjABAAAAiPz9Fp_tADcC7apJRM8Nv9fFYG7sygsGgs0EglDiLoCc8bX26445IDoiaWBocjI5,False,0,False,star_news914,False,1698633145,1698710665
11400,1006,39,0,3494,3494,8,0,0,0,False,7108907662292583466,False,False,False,0,MS4wLjABAAAAtMP4EA9pEcvdk_NfGRA6lsmjvd_QLarpTJdVxDEGB1MyJpCN_000zhbfUsKHymNg,False,0,False,13omb,False,1698633145,1698710665
48,1801,0,0,7057,7057,68,0,0,0,False,7185451125549614086,False,False,False,0,MS4wLjABAAAAyTsG2honx1CQtjb5FXwyBRPxMbIE2j56H-gfHf7R5dLpPZOOHrHvPyWY6HiVOd6n,False,0,False,kidzysa,False,1698633145,1698710665
65700,6472,4868,0,6440,6440,236,0,3,3,False,6811986001532224518,False,False,False,0,MS4wLjABAAAAR5l-dIp8OZxSoiMFhCTy0LFNk7E8rVVl--JK4Qtoq_KUOY1AP1P4VmJr0e-4K_sq,False,3,False,moransandy503,False,1698633145,1698710665
55,1106,84,0,4,4,5,0,0,0,False,7137957146428998702,False,False,False,0,MS4wLjABAAAAcnggc6P7SakYtDoCv91s-disjQt2-jJIN6SBfFAdLb8lGVDqoFYu2uyKL0fztn9J,False,0,False,omerikob,False,1698633145,1698710665
10500,4955,2258,0,9297,9297,234,0,0,0,False,6806872988484436997,False,False,False,0,MS4wLjABAAAAeD9aIu9W5x_EX6CMqHu6hwlF6uOPD_chWoXB_8jTCutmikGUw6R0N0mhVDxeEcQf,False,0,False,cookiekang,False,1698633145,1698710665
44400,79500,9160,0,251900,251900,176,0,3,0,False,7147662559238161414,False,True,False,0,MS4wLjABAAAAyqFbSyyaezDuVcbB1Dh4AY-3wYMRLdzdQHHjgmUnJcr8_90G6JYaslRJdAukQLgh,False,0,False,belishrestha24,False,1698633145,1698710665
36,1033,37,0,0,0,0,0,0,0,False,6682410566495994886,False,False,False,0,MS4wLjABAAAAIFVLb75aZKpxpOUjDJedVKcvtYo9SktEnpIsfoT4Q3SVXtet4xPFDlhNADtoVkC6,False,0,False,sman01234,False,1698633145,1698710665
31,1048,1,0,32,32,31,0,0,0,False,6780115211930403845,False,False,False,0,MS4wLjABAAAAuk3wV8qPUEMcVRs17vjd1Y1aCunujJjH_yx3Et0hHkGYwIPev5783ilmtXvLzZ5U,False,0,False,solucao.em_capsulas,False,1698633145,1698710665
5245,2882,3,0,13200,13200,655,3,3,0,False,310756525285945344,False,False,False,0,MS4wLjABAAAAXlh0Ej7GkMGmb51z9UcR9PerpSAGkfeDIt7QuBlrNecBy_obGooakkapQedHTN1T,False,0,False,isabel_rn,False,1698633145,1698710665
214,5135,117,0,2286,2286,21,0,0,0,False,7291520514266285057,False,False,False,0,MS4wLjABAAAAumT7-C2dBifMKDFAXrI4bl3WMRAdTKIAttV3hJ1NofQHeMNrb2rZgYOjuu4LtAxC,False,0,False,tell61564n3,False,1698633145,1698710665
36,1116,126,0,104,104,2,0,0,0,False,7295569638846678022,False,False,False,0,MS4wLjABAAAAR7spcg5lq91GYWqfyV7SzhFH3gzNYLxM-US1IporTn5bkbLJbT25n-M24H6Sinbt,False,0,False,diiana.dee2.0,False,1698633145,1698710665
101,3036,5,0,1114,1114,6,0,0,0,False,7157254632582038530,False,False,False,0,MS4wLjABAAAAycxKswhb9Ajk4_WdE78BaNa-9lYl5kMAo2sEXBxTOceZ4HoUWbnzGW7E4TsQ216t,False,0,False,jjangseu87,False,1698633145,1698710665
161,12900,4682,0,31500,31500,22,0,0,0,False,7170854613448180738,False,False,False,0,MS4wLjABAAAADTqbL93MmFUe-OBnvaTg4-4ALZxiQa4IbAq7yMNARDfiLm55hfD9jQFtcxmOV8Ol,False,0,False,petugasgolf,False,1698630607,1698633125
14,1419,11,0,1719,1719,4,0,0,0,False,7273049139033654280,False,False,False,0,MS4wLjABAAAAMX2b35EatoiO-qwqILo6phTQJ3wrRAkih-L31VtN-8zrjMBvWsZPQGIkZwOhzfyP,False,0,False,titaby77,False,1698630607,1698633125
10,1014,64,0,2255,2255,0,0,3,3,False,7024251697165763585,False,False,True,0,MS4wLjABAAAAQO4ASDgGeH3TJS6pKO5GlVBt3DPFIdP9SQ38ihOSLLBoYdpXc1GD7X5FDQ-Xps9A,True,3,False,careelless,False,1698630607,1698633125
