diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
8991,2004,334,0,3226,3226,198,0,3,0,False,6847888746940482566,False,True,False,0,MS4wLjABAAAAZ2JhgZ-HsvCrgb-Pj10vrZyQR5rxjSo4E69wU76rwUjvTiDrIBR0qByHrRkbym5F,False,0,False,kimfaith34,False,1699088586,1699089069
9936,9086,7772,0,43100,43100,779,0,0,0,False,259193875502944256,False,True,False,0,MS4wLjABAAAA9sFlm1zDE9E5woEzz-r84exq2NKgCw1hV8QjNIA54MI1-JGuHfxI-u2fe_VXPMFW,False,0,False,alihamzanajafi,False,1699088586,1699089069
1193,1715,455,0,1099,1099,12,0,0,0,False,6818562015541724161,False,False,False,0,MS4wLjABAAAAfXqIWfahEMBFpL6rMW_-TcnRd9IpXoobP3klDOR6EMteFKS0fje6zCMJFmPXdD7u,False,0,False,2goodgood2,False,1699088586,1699089069
82,2568,243,0,4391,4391,4,0,0,0,False,7168880043279287302,False,True,False,0,MS4wLjABAAAAPvq5pvNZSOsE0Uin4Qsq0zHpIMrQSYYcXXWXDaC5WPXa1prlr9C9nLUVlwOh6C_v,False,0,False,llafw1jani,False,1699088586,1699089069
33,951,15,0,18,18,3,0,3,3,False,6886868931475932161,False,False,False,0,MS4wLjABAAAAegOifQWr6UOrFLYBchXx12CPCYlbyeylzS8Z5A6bT5-FVInVgY1ihMOBPGyH94s7,False,3,False,alencr05,False,1699088586,1699089069
31200,40000,163,0,259500,259500,281,0,0,0,False,6971189144124310529,False,False,False,0,7297678504376863493,MS4wLjABAAAAzOlL4IIda-GSgj_du1mUYnw2kRVuw92CaSSdgENUKsoBCo4ZokqK9LuKpu_Mxb-J,False,0,False,akselce,False,1699088586,1699089069
16,560,14,0,130,130,10,0,0,0,False,7055729530498008066,False,False,False,0,MS4wLjABAAAAfYL-i6TZa9Nnm4sXP9lU07Ir2oNn5_PVVL34RFwSGYiguZFgos9vZX1QMr91AF6a,False,0,False,summer_rain94,False,1699088586,1699089069
57,1008,14,0,0,0,0,0,0,0,False,7295767854086079496,False,False,False,0,MS4wLjABAAAAio3zKZKjLl2i98vnQlE7e7lGRSQsBAW-3czJ1hAKB8xzpHfmMgv1bClYeSxF7TjW,False,0,False,s.m.a.d.a.l.i,False,1699088586,1699089069
227,1077,76,0,21,21,11,0,0,0,False,7069372117783266305,False,False,False,0,MS4wLjABAAAA1FDjlnSHtlG6-oKaLJqP5wJYmUBD6KfRJ52qFsoHlGoiTqNs3ddBFyLg_Mk-SmgV,False,0,False,etoh2207,False,1699088586,1699089069
145,1038,23,0,1,1,0,0,0,0,False,7256351593594782726,False,False,False,0,MS4wLjABAAAANU5afcSFWAikW5bo4dmOuWDeQEBthJSyEZ9YaagM2hNJb5UZWq1DxfOWTtQyZw9J,False,0,False,blessed5250,False,1699088586,1699089069
15,640,122,0,18,18,2,0,0,0,False,6980190272756122626,False,False,False,0,MS4wLjABAAAAc8TzVkzBb1s1GlbCDPMkDtN-vTwM_sUmzUEPIyRpIdq2Y4hI5VCt9DMfr8QbFYX8,False,0,True,rudybudz,False,1699088586,1699089069
2336,1210,191,0,7369,7369,24,0,0,0,False,6789453488792273921,False,False,False,0,MS4wLjABAAAAc5TWDg9lWLieRH9-tIz6kNDfqNidHyvWxIq_v_mEKsiRpDQtsy6mrKkRFvY-sxRU,False,0,False,violineangellina,False,1699088586,1699089069
73300,716,482,0,3317,3317,3,0,3,0,False,6764142175159092230,False,False,False,0,MS4wLjABAAAA6ffgkVCAm0yu4q8zHYju0P1oeRkDQHWYB6Hd8lptMcfsthrr6XDO9WoTfvwES5LF,False,0,False,y_aza_n1,False,1699088586,1699089069
443,1000,3,0,0,0,0,0,0,0,False,7056821473374553093,False,False,False,0,MS4wLjABAAAAnGYcHPpfIZlhGK8aa5o8y5vHquKm-Nlo4X9BiteNZ3PxeAzHgMccR04ywCdETHgC,False,0,False,user8327382796971,False,1699088586,1699089069
774,2079,108,0,1499,1499,11,0,0,0,False,6891218240204866565,False,False,False,0,MS4wLjABAAAAVd3qbWwJ0q3p7wNDok1ecO0Pas0skyBR9qFNBUBmyN9WXfmzmcJbBCFbuT5kXBzN,False,0,False,marj__93,False,1699088586,1699089069
12200,1131,83,0,1362,1362,78,0,0,0,False,6813632835728901121,False,False,False,0,MS4wLjABAAAAVxm0F4M2vENwUujLiblT7AN6ByLADCXK1HsYoaIeYr-aITXtMBQondQyJTacImxS,False,0,True,kartu_as2001,False,1699088586,1699089069
40,1002,0,0,405,405,2,0,0,0,False,7190350263747134470,False,False,False,0,MS4wLjABAAAAKkDg0rBjfLGr85xBK_jwxxJqMF3axzQbk1pyVdVAH8904MXBDvL2XKKB3yi0l5-1,False,0,False,ken_tucky99,False,1699088586,1699089069
211,2449,81,0,6645,6645,193,0,0,0,False,6861602889275819013,False,False,False,0,MS4wLjABAAAA_8J48cdj_Y5W31aDsSeeTN780crtl_urrMHcrBrzfRNBzGQTGtVcQpMEWTlUn2RB,False,0,False,modi.o.e,False,1699088586,1699089069
40900,3560,1582,0,107,107,0,0,0,0,False,7019431181968884742,False,False,False,0,MS4wLjABAAAARPBKngXAKPgqmXnsr_J-tVL1DqjOfOddv4eGHIhaLqJAo4ijB003--LfRDjVLVfA,False,0,False,abohamo174,False,1699088586,1699089069
303,45000,31,0,17200,17200,39,0,0,0,False,7078716684250760238,False,False,False,0,MS4wLjABAAAABQQDIYYpLjgsmwQgf4romcMbaD1h05wrESs90SY0SF6LMR7IgKoTKj3hFbk7ZNd9,False,0,False,the_asian_viking,False,1699088586,1699089069
2535,1409,187,0,9780,9780,8,0,0,3,False,7123263526524863494,False,False,False,0,MS4wLjABAAAA8yIyZprOF50DmeNMUwZ4WUkIpZBwhorMn-YDNzz4lVqynnQ9bbAJdrNrFTdSadOL,False,0,False,omer.taskan34,False,1699088586,1699089069
1028,1170,260,0,140,140,8,0,0,0,False,6680687765041120262,False,False,False,0,MS4wLjABAAAAGic1TZVw3TCntk4y04z1t9-vE2s5gXCptTCDZEy45TlY-QXwdmPYDjImfVBssgJt,False,0,False,bornstunna0,False,1699088586,1699089069
3409,4997,209,0,8905,8905,1,3,0,0,False,6909247421823321094,False,True,False,0,MS4wLjABAAAAwI9XxrtGAmxatohWqDDJc3lWTAsvppMUK_CsTAPVQVDJfyOx3Y7cTKmaq0CIOr3Q,False,0,False,haydenkennedyyy,False,1699088586,1699089069
39800,1126,499,0,2300,2300,4,0,0,0,False,88906381465915392,False,True,False,0,MS4wLjABAAAAnCZLO_sfGtCKVL34cBWH3fOsmBnY1s0eb_iKPo-k9MDA3ToyLSJ3RtFxKEFAZVGZ,False,0,False,moeawada1,False,1699088586,1699089069
22,8595,89,0,7777,7777,21,0,0,0,False,7180579545702450203,False,False,False,0,MS4wLjABAAAAa49aLaRvQZnfNKHwv6TxCNGlnICvwRuMBjWkzlQ9JGwvF8m6uf5Z3PssqfR3r6uv,False,0,True,absolute_balance,False,1699088586,1699089069
5995,17500,1,0,12600,12600,41,0,3,0,False,7142023202091992070,False,False,False,0,MS4wLjABAAAAeaVgRoLJwoWHOr_2OJSVOYX9XUNalOJuiMNX3M4yXv3yR3ONH4zorxrQrwCsh9m_,False,0,False,aphrodite19892,False,1699088586,1699089069
