diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
97000,49000,0,0,401900,401900,600,0,3,3,False,6910576715564565505,False,False,False,0,MS4wLjABAAAAG6NkhGoNkvZy-qVyzxucV8LFDixp4i1MUrzZ0pTrc69DXbr-ekvbhBGyoEnTGgGI,False,3,False,roniya..04,False,1698738707,1698739171
786,1444,17,0,19,19,3,0,0,0,False,7258891196289926150,False,False,False,0,MS4wLjABAAAATJKvvTJB0LZfX5mWYnusGtZPdMxXN-T12HAE7agqfRH7o8PCb4u9u37DOtOUGDs1,False,0,False,brindar6161,False,1698738707,1698739171
2546,322100,0,0,17800000,17800000,9504,0,0,0,False,6959037563139539973,False,False,False,0,MS4wLjABAAAAKBHeglqWBhQ6RMZN4RcFrlUANYw_NoxqZ_hT6kOe_sgVjNRRH1JD_GQDt3XYqH4W,False,0,False,cappcut.modellos,False,1698738707,1698739171
3,1000,0,0,51,51,4,0,0,0,False,7221963949388956678,False,False,False,0,MS4wLjABAAAA0plmDnsYpJlzdEnGMnpcJA0032TmQo5ef3111Wvj5sdYrKRlGOfoZtqHoQBEeerQ,False,0,False,sergiorodriguez.w,False,1698738707,1698739171
10600,6029,1307,0,36600,36600,384,0,0,0,False,7183850385324737541,False,False,False,0,MS4wLjABAAAABMepSZmP5E5mjMN6NbnKqifQkW3noTedj4SO6Qbxt77FyhKzACmUGBhr0OreCXb-,False,0,False,rotinas.anat,False,1698738707,1698739171
30,5977,2,0,0,0,0,0,0,0,False,7113762078728799233,False,False,False,0,MS4wLjABAAAAZvsvodEsRWi0MRWh5KV3_5NztkEmfgDMZKhIPM1e753ojRpTlJHtq1suXNeeXfLB,False,0,False,syrf_fllh,False,1698738707,1698739171
33600,12700,53,0,883,883,34,0,3,0,False,6874526352185689089,False,False,False,0,MS4wLjABAAAA73R3iqAkpuUkJ-0uRSH4DwYOoVuYcbebUdP_C1-LG7fvQC3b80Av_K_CHqAN7a2n,False,0,False,consultantfintechgroup,False,1698738707,1698739171
49,1081,135,0,12,12,1,0,0,0,False,6877930689149568001,False,False,False,0,MS4wLjABAAAAgqeyjUsY5ixGD2Yj5iEYE3nzVEN0DxsaCKSOgcBSZ0V-pcYPTGFZ97Zx8LJcOT7c,False,0,False,chanpat_house.health,False,1698738707,1698739171
38,1034,124,0,328,328,6,0,0,0,False,7144295553118700545,False,False,False,0,MS4wLjABAAAA1nFFtoiwD4sBpjMOpsxjOUpHpusP28o7nLtYnmN4fhYJm0UpD59zw1g46Luav0FP,False,0,False,oywolingerie,False,1698738707,1698739171
33,10900,0,0,30200,30200,61,0,0,0,False,7271464168788575278,False,False,False,0,MS4wLjABAAAAcQRZpz-LfLnGvi0I0fgVFK4RKpeCeVosh2SnCornGv1rMe8BF0GaLvYEFtepOk1x,False,0,False,karenamerica8,False,1698738707,1698739171
91900,170800,158,0,887900,887900,296,0,3,0,False,7014395289164399622,False,False,False,0,MS4wLjABAAAAVwliolYULO4rafx9N95kOwaimSLj4qWwqPqcCs9gFD-ANz2UsS8sXJElzVsSB6zW,False,0,False,daliya199,False,1698738707,1698739171
17,11100,10,0,22200,22200,103,0,0,0,False,7285343405415924779,False,False,False,0,MS4wLjABAAAAMcnP4BUFwSK-eOs-Pu8ezsEGdOOWx895fKNU92TqNo_0XG-bGjLSfO4Lm2-gpGoC,False,0,False,brand.russell3,False,1698738707,1698739171
3181,10300,1299,0,2174,2174,161,0,0,0,False,6965297607950287877,False,False,False,0,MS4wLjABAAAA9qs3mdJc_swcOM2a5hcfwsBke2qbGXUFGqJZ2xb_rOzyQHfjNlfhwu0LWIcJbwQm,False,0,False,allefaraujo24,False,1698738707,1698739171
4947,1759,926,0,307,307,20,0,0,0,False,6622153513852207106,False,False,False,0,MS4wLjABAAAA-CsTcdne4uRyDsNhZ6nEJVQxAxFreSXeBmsPEtKptdn6Sxn1qb72awD_W_4US94T,False,0,False,msden_,False,1698738707,1698739171
97,19500,6848,0,24600,24600,386,0,0,0,False,6828921001620145157,False,False,False,0,MS4wLjABAAAAE9AuVp4jDHYY_IeJJWgp1fWlq3SpdxdPW9Y_DnTdYJhMZZghIvzJ8mf6kXsieap0,False,0,False,djrocaloca04,False,1698738707,1698739171
104,3646,0,0,4434,4434,10,0,0,0,False,6888773148205319170,False,False,False,0,MS4wLjABAAAAc9ihb93lz_PZVMvDLPRcHllKT1Uj1lnWgeKUa-vy-nMUa20YQhEP3RPY9ndAbibA,False,0,True,fiftyone51_official,False,1698738707,1698739171
0,12100,0,0,11200,11200,26,0,0,0,False,7294621612933006382,False,False,False,0,MS4wLjABAAAAPPF7DIlZji7Zie5Bs3jTm6t44PiAuM97jjerrRs8CU3Y9tE8N4a-RBLNOh44cwsl,False,0,False,js.news17,False,1698738707,1698739171
2700,41200,102,0,12400,12400,22,0,0,0,False,7099172482775974918,False,True,False,0,MS4wLjABAAAANHkrwGDkXSeinOzdr7mKwXtK9NH2Z7IVYELx40a3jsiA8mvc-1HqD4lnbXZuWOt-,False,0,False,alinetiktok204,False,1698738707,1698739171
28,1016,13,0,86,86,4,0,0,0,False,7296005854033052678,False,False,False,0,MS4wLjABAAAAkE57QWfoyT1FVmS9fzCRiocyjJeWVv7rXfeVaakl3HIFP0c6wp7P9XEifXNEvNzn,False,0,False,boroda4221,False,1698738707,1698739171
3811,25800,204,0,3475,3475,60,0,0,0,False,6786628692028392450,False,False,False,0,MS4wLjABAAAA1gas55BrBPe84_Fefond06vwMwmtFrmE08mLyNvOw2camc-Nbbr42DV-CyE28J3u,False,0,True,techineekalong,False,1698738707,1698739171
1,1012,3,0,24,24,0,0,0,0,False,7265739215861466114,False,False,False,0,MS4wLjABAAAAJUxvj3Bxv3S2MqFJjS9zIvfv3qZUYuzOWNO6SwO8BoWAo_oqBqNcCqmCUp-MVUIe,False,0,True,qwinzell,False,1698738707,1698739171
183,5978,0,0,23,23,1,0,0,0,False,7113738888875869186,False,False,False,0,MS4wLjABAAAA9TG2ZkjMfILccroxFxuSMuZORScdoxnf6n5TipcuZgTfmkp0RiF11aVCGu8RDSMJ,False,0,False,rndra_adnda,False,1698738707,1698739171
86,1133,114,0,24,24,2,3,3,3,False,7072401413813306374,False,False,True,0,MS4wLjABAAAA6OGH9PbvPsCpquy5xsnSgdOpAxwVa5-lgTGz7SsTfoW4XywYZMgjrRj0CWKiym-v,True,3,False,yellupellu,False,1698738707,1698739171
255,5993,133,0,1650,1650,78,0,0,0,False,7232078052976116778,False,False,False,0,MS4wLjABAAAAAbXjGTflTGhhJDs6eL5CctvgP_OMe2EC35X2myr1zV6LJUBLDlDVwMpS5DyGMAs0,False,0,False,irfanchatthaa,False,1698738707,1698739171
0,10100,0,0,96800,96800,41,0,0,0,False,7291294282358686763,False,False,False,0,MS4wLjABAAAApkn57Ey0sUc-78F6mK1j-4RdMp-lIuJwWxmWPhYpPcACMgRZYFnaNGnGrqf8Of3Q,False,0,False,top.news310,False,1698738707,1698739171
0,10100,0,0,73000,73000,140,0,0,0,False,7284076296819213355,False,False,False,0,MS4wLjABAAAAJpH7ynGHEevgrLGPvJRvrwmfm-CyUs86fjoMa2OsOWV9CuLjkq3GC9fUkOLWq6AY,False,0,False,thietqqzy3j,False,1698738707,1698739171
71,11000,93,0,186,186,17,0,0,0,False,7295963185953129515,False,False,False,0,MS4wLjABAAAA4qBmOMivOPNgC0XFdiq-lomqTIKj5TeuLYcl8GiBBrmjwFcOXTlbn0MVmKZ6Sj0l,False,0,False,littlered33.2,False,1698738707,1698739171
342,10000,30,0,8653,8653,8,0,3,0,False,7162671439966438406,False,False,False,0,MS4wLjABAAAANZrHGT9tawkOOqx7jcA06M9jtw_MOnJaowT9RE7wATH7Kd0c0SrmfCGRC-5dVIbv,False,0,False,jushutup,False,1698738707,1698739171
11700,22200,423,0,128000,128000,572,0,0,0,False,7182995328831800325,False,False,False,0,MS4wLjABAAAAvOevOukiF28ABHNBQTrONhLtEQ3rhyicYyfoHnGLse8m8djm6pWEe4FtDBHtpnuJ,False,0,False,user2996175093860,False,1698738707,1698739171
751,51400,204,0,50500,50500,30,0,0,0,False,6992541797046125573,False,True,False,0,MS4wLjABAAAAU0m01sAzEt9XC_MYzI-DobisCZEMje1iqVkK0NXzddWs1o4EEvsRXfhD0WFHNf5G,False,0,False,ahmadalmesbah,False,1698738489,1698738703
71,1280,14,0,665,665,48,0,0,0,False,7043478970646152197,False,False,False,0,MS4wLjABAAAA6424YySxGbLKqvxwL5iPOTNWMscPWTDVPcJ8jRTXmYfCafI303RhujMQt6etN9sU,False,0,False,lascatoladeidesideri01,False,1698738489,1698738703
22,1290,979,0,0,0,0,0,0,0,False,7295151077161845766,False,False,False,0,MS4wLjABAAAALe2wKMYHVn3R5f20d79RWBGhPT1VKgncsgkGDjJq38JrrB-vhQlRFOq9bE_K0Hx-,False,0,False,ehri.amed5,False,1698738489,1698738703
57,4998,18,0,723,723,3,3,3,0,False,7295827209615508485,False,False,False,0,MS4wLjABAAAAvqrhku0sqQW7ySO7T7_bE-ikTQgiAjbs94qVm1flQOZk_snp6l3QGuyvKWbo73oo,False,0,False,panjabupinder1313,False,1698738489,1698738703
143,10100,111,0,656,656,16,0,0,0,False,7247919815917700101,False,False,False,0,MS4wLjABAAAAVequ0YCEpG20Us5RYZM09SVWiv10O5OPUjMbZOD94LzS57afnnQTjLuW52DZgimU,False,0,False,naif_alghamdi1403,False,1698738489,1698738703
1540,10300,459,0,172,172,2,0,0,0,False,6764552147869008901,False,False,False,0,MS4wLjABAAAAIo7fJsB5skWlYtMGzd5yEdungRjWGzdl2TUJKdhLjFd10k-Jl35SneuO4fZfn2La,False,0,False,_tannermac_,False,1698738489,1698738703
18100,248200,6099,0,223000,223000,1523,0,0,0,False,7045391800767071278,False,False,False,0,MS4wLjABAAAAbm6v2cucmOhQW9xoqZ49k0xR9Pj8vw1mU2nvLRvg9h5u4T3qTHyJnHjuf2wedqVS,False,0,False,maddygonza,False,1698738489,1698738703
0,1122,0,0,41,41,1,0,0,0,False,7295838694123947014,False,False,False,0,MS4wLjABAAAArUGhT0erY-tfRUl8H_25FOAeJG7-NLixMHwSI1hlJM_fME-ObdE5iJeRYSWARoL7,False,0,False,uchejfzan80,False,1698738489,1698738703
