diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
393,2643,371,0,180,180,15,0,0,3,False,6936316899123332102,False,False,False,0,MS4wLjABAAAA29oR-nP6flHLqGIPVx3cirCpwEAz6RfwqPhvSUfuywYxRyuEWeMdImH6hpdL3uP_,False,3,False,alal5001,False,1699029282,1699030209
0,996,6,0,0,0,0,0,0,0,False,7297273156171334698,False,False,False,0,MS4wLjABAAAAdGfI4iJ15iJ8YFmR7gFdUqpIP8tf2Gn6i3YNhxWqncYHBc-ws2rsiyeflpHTvPe_,False,0,False,not__satoshinakamoto,False,1699029282,1699030209
37300,24900,4267,0,2046,2046,18,0,3,0,False,6832757781414691845,False,False,False,0,MS4wLjABAAAAkhio7hUkqg6PWYI6XCQoM4wZw8QKCNKxqu57i7ohPx_VnMpCOm4DjZWjzTajet9m,False,0,False,el3aber40,False,1699029282,1699030209
704,21600,493,0,1748,1748,36,0,0,0,False,7263760267991876640,False,False,False,0,MS4wLjABAAAAGCFj5NlNy_DezxP7Aoyj9ySvUHvuG_g9YxgX285Em7vJ8nHjRB8pAbY7g0qTVpUY,False,0,False,drouwnt,False,1699029282,1699030209
1436,943,639,0,668,668,13,0,0,0,False,12298782,False,False,False,0,MS4wLjABAAAA1YrEJnWDhhTxf9JzE5TDPR-QCsXEhQmpxVjqCY9CzyQ,False,0,False,mcpeesha,False,1699029282,1699030209
9,456,5,0,11500,11500,2,0,0,0,False,7104427278502757382,False,False,False,0,MS4wLjABAAAARQ4Z33DZ9jVnhq8yKrphQYRRHI7_86nurFUEemz2pVEjx9ogquPmUaYBorZNypKq,False,0,False,polli.arapiraca,False,1699029282,1699030209
28,487,63,0,578,578,5,0,0,0,False,7192791104780993579,False,False,False,0,MS4wLjABAAAAvxnFNS8cp3an7Cb0WfNQdw99fQdfSRIroq4PfXH4bgRFp9ntjI8Tb0hQ0Qj5P3N8,False,0,False,thanksihateitofficial,False,1699029282,1699030209
0,23600,0,0,44700,44700,32,0,0,0,False,7069793072867968006,False,False,False,0,MS4wLjABAAAAl-xnMC2tYUvCQdwqg_ekZr1BbsK5h30iOw8gOgXxEEqR5yDNkVgeQUP0Mce30LnK,False,0,False,incorrectibles,False,1699029282,1699030209
492,16200,139,0,7631,7631,113,0,0,0,False,7280647829822718981,False,False,False,0,MS4wLjABAAAAQOC_pkGpTclJIaeTxY1dRxqHxvWvgAHDbm5PJevEofLWYM_RaoKIowBqoeTQNiTl,False,0,False,plantaofofoc4,False,1699029282,1699030209
3,16200,230,0,18300,18300,4,3,3,3,False,7295076868192060448,False,False,True,0,MS4wLjABAAAA6fGgTn6CNfe_GVZ9WRY_AdDoG6qqZYUbE8OnZTTGW0_TXAKlLCCdjiAwErhHp2D9,True,3,False,4and204,False,1699029282,1699030209
3,1080,0,0,80,80,6,0,0,0,False,6971053072639329285,False,False,False,0,MS4wLjABAAAAZRGtcKyN6H3wbyaGt6wxp1C-G3cIjfC3bM-eAI8Yn2BuvtVXPGdH0s09ReNr6QyT,False,0,False,foodiefindsss,False,1699029282,1699030209
24500,1019,3982,0,2464,2464,178,0,3,0,False,6766337441156908037,False,False,False,0,MS4wLjABAAAARUPX0Ni_6KfI20gDpSkihJtPVX536aLfZbp9Q23CyXoc9QjL7KaeWvPFpHRw31qy,False,0,False,trinicooliezuri,False,1699029282,1699030209
12900,5674,193,0,17700,17700,128,0,3,3,False,6615457779363414021,False,False,False,0,MS4wLjABAAAASL_Rv1CwCiHE6qfa952u-i09HGdbopL5WkkPjlXR5O_BHxIIR_ki9JWQZMwqPrRY,False,3,False,dj_razme,False,1699029282,1699030209
223,348,776,0,19,19,3,0,0,0,False,7203071992592237610,False,False,False,0,MS4wLjABAAAAeOLMsNbEhMg2rZFjs_CEEHGNfzxqLZ-5plqeOlUQu3f2x_fWXRZGBEvvdxZP9bgW,False,0,False,cedesezzy,False,1699029282,1699030209
1344,2610,2991,0,3968,3968,95,0,0,0,False,6902636743218201606,False,True,False,0,MS4wLjABAAAA69LSZHaO5FKPD9ZXtc9Pk7_OAsPglIBsejYqkfBs8E2kFO0SiccX5MarC62CbpI5,False,0,False,eliasmenchu2,False,1699029282,1699030209
