diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
474,1078,1079,0,130,130,6,0,3,3,False,227534137317044224,False,False,False,0,MS4wLjABAAAA2r6FCjVHq51bDy9Jqk4j78VNjTzAlyjEW444FGI0U1YsSu5J5n_R_FSvhSUihpBQ,False,3,False,mandiiej88,False,1698824099,1698824562
135,300,93,0,2530,2530,25,0,0,0,False,6603760506435321862,False,False,False,0,MS4wLjABAAAAkBaU7MoTLpIB_FEhruMz2-BEJXkJTaG1vGMcA2dXkqasuiolnSBigiBbV9um8EX5,False,0,False,ahmetssari0,False,1698824099,1698824562
21200,111000,2694,0,220100,220100,837,0,0,0,False,7037483044821828655,False,False,False,0,MS4wLjABAAAASM7q3rhfefMRd9iuBnMc8rQ5Vemw9E4MKSEKh_egbU5DjNEkzu55YdlueSv82Y30,False,0,False,mariposita.11,False,1698824099,1698824562
12500,1035,182,0,260,260,10,0,3,3,False,6607718382329266181,False,False,True,0,MS4wLjABAAAAOxEI3qsai5JUlcsE70wVl8HiHrjmmaMqcu_vcpiurxLWqBrAL5eoAef7KD1Nxxsx,True,3,False,aslan_31,False,1698824099,1698824562
506,524,9,0,2207,2207,2,0,0,0,False,7067894904034460677,False,False,False,0,MS4wLjABAAAAZ6fQwIksJkCWjx8S00ebuMAOir73m_ABhQREOZf2Y-ylicZpiKhk0xzZ2pkTZZQK,False,0,False,_merve_glr_,False,1698824099,1698824562
1,1027,16,0,0,0,0,0,0,0,False,7295869736269055018,False,False,False,0,MS4wLjABAAAA-DEBpYuc4bYX2S7519gJIXefOT2Zm6lvf_AGuK3-aseFoFazyEjmRNzwDnAjSWvn,False,0,False,addyhopee2.0,False,1698824099,1698824562
2761,1862,9,0,270,270,4,0,0,0,False,7068765832289010694,False,False,False,0,MS4wLjABAAAAB0bioQ9iL_qnoBg-wgZUqd6wzU-Lnrrh_cylLDpZ_prEeg0gTO8zaU3iIHAwYJxy,False,0,False,scentsandluxury,False,1698824099,1698824562
198,1330,233,0,72,72,1,0,0,0,False,7090334866285724678,False,False,False,0,MS4wLjABAAAA54KKm8Kdzoqesnp9oIIz-O2t0BsI6VWo8QNXOz1C0xrHwNsaDSXpahFgiMajz1gc,False,0,False,kaitovar33,False,1698824099,1698824562
222,1745,723,0,111,111,6,0,0,0,False,7245645042223956998,False,False,False,0,MS4wLjABAAAA6abD7b3NYZRE7kYXmWPFOqhqEPrkSYWb9bitIFKS5RounwCNsg70PfE5hCRxkDky,False,0,False,mohammadessa5804,False,1698824099,1698824562
3685,9987,274,0,9488,9488,326,0,3,0,False,6890260768690275329,False,True,False,0,MS4wLjABAAAAl04Tgy87KQrJgO3vNGt517bX9XC8rpL3gR4lNcyzhGiMduRWDQ9wpdXeNsiZtD2H,False,0,False,sevgicelezzetlerr,False,1698824099,1698824562
3678,2498,321,0,8826,8826,42,0,3,0,False,6857894011857323014,False,False,False,0,MS4wLjABAAAAOtmsReKj3geUG0Muc0j4HqYcHC7_JiXZC4Ukyvs6f1cg-8T0lia4w7_ZxzC0xNwe,False,0,False,maggnumu,False,1698824099,1698824562
87,2414,20,0,1186,1186,6,0,0,0,False,7291766287881520130,False,False,False,0,MS4wLjABAAAAiUmHIoomLUkdD46OssY4ZKJiJWI8SgF80cS7rC_yc09rZPZ_2D4NQpVWZ8yB8Q7a,False,0,False,abd_m73,False,1698824099,1698824562
394,1173,204,0,930,930,89,0,0,0,False,6569698307328458753,False,False,False,0,MS4wLjABAAAAJ6P6l434NnKmLpyGNOAerRL2zIsu25XKKJYaxcCmTQJgn_hhN_IvsaewuMUX8X6E,False,0,False,chaky14r,False,1698824099,1698824562
490,14500,5,0,26800,26800,26,0,3,0,False,6734490925072106502,False,False,False,0,MS4wLjABAAAAQmkOE03EgilJN7GsIL_GDaYf-FNmXBkEf6SQfED3RFLL7S5Hn1pcD64ArRfXTJuH,False,0,False,dykenn,False,1698824099,1698824562
62,1157,115,0,123,123,9,0,0,0,False,6558396604582204416,False,False,False,0,MS4wLjABAAAAcNy2b5lLWLqfaGjbHUMmsUsJWLvrUUjG5pYZHoUSQ5itwxUJY6yj16hARu0yWblK,False,0,False,mefaro143,False,1698824099,1698824562
0,1616,0,0,35,35,6,0,0,0,False,7291860231444431918,False,False,False,0,MS4wLjABAAAA6Tcq4f9wOG5TPiDDHPKiAfgQzslztyZfPD8qOVuPAUJhmQL6LNyC3OdZ4enqnGsK,False,0,False,sara151088,False,1698824099,1698824562
1038,657,184,0,35,35,8,0,0,0,False,7238809487049294853,False,False,False,0,MS4wLjABAAAAAubkGY3YtZIqieQ4esvL5OtlcrG_Sd_sfowx0kVu0SwsI-OqlviFj3_9hfUZnTXt,False,0,False,user2008253888792,False,1698824099,1698824562
1857,10500,1570,0,6759,6759,116,0,0,0,False,6778914091148280837,False,True,False,0,MS4wLjABAAAAJuHayuM9bmhdmMlrFCwpXbmjCBPv1yDM3UQKNPIGAIwWHK85_KFKg9f03DQBMpOP,False,0,False,bazinmarc,False,1698824099,1698824562
95,1169,1091,0,216,216,2,0,0,0,False,7259781494649717766,False,False,False,0,MS4wLjABAAAAx1S2BFZGjUdbUJACKGKkod6BTm5SXXAv2P0WRqSKOQvJcpWwy9B5QPxFIjh53qZ5,False,0,False,alev7875,False,1698824099,1698824562
0,3132,0,0,6,6,3,0,0,0,False,7280546535884981294,False,False,False,0,MS4wLjABAAAA0r0zfGak79i9vNlW0vpqq9uT_hvFxdGtKMwmRB-pS9OQ1OPJQEiMWACyxq-rxqVb,False,0,False,user7622538077171,False,1698824099,1698824562
