diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2850,1179,136,0,7445,7445,90,0,0,0,False,7051111298880340994,False,True,False,0,MS4wLjABAAAA5lvUrsqQOHXm3hScUhKudVRYyY5oJyks8VO86BdQtJ70gZjRpVflLEmdsc9NjRBV,False,0,False,iampsychopath_,False,1698643989,1698647159
131,1093,152,0,212,212,6,0,0,0,False,6556601286693765121,False,False,False,0,MS4wLjABAAAAxbBxb5xt3IkgYKQmnD8tOZyhkly7zq0fpSdlvGDhAuOuJAp9hL2aHRCEqwfex8W8,False,0,True,mymysita19,False,1698643989,1698647159
23,9000,8,0,2693,2693,3,0,0,0,False,7231784232083833902,False,False,False,0,MS4wLjABAAAABEcj5KrRncqNHU8ABhfzug5AJgDNNYoDWypEIOfajsrnPvduEAFm2kY-nN8z01_w,False,0,False,genteaofficial_,False,1698643989,1698647159
7982,18200,634,0,23100,23100,484,0,0,0,False,7038183460398744581,False,False,False,0,MS4wLjABAAAAFt2Mu73G0ZF3RbjGhgDnNo6Qk1Af20WvW0GACRFIbhglP3KMKnbP4wDTL1LjhML2,False,0,False,frankietankie02,False,1698643989,1698647159
12,505,24,0,4,4,1,0,3,3,False,7276963576668570629,False,False,True,0,MS4wLjABAAAAqm11KLF0QfCI4NTUkJrN5FQ6c36WFR2KscilfUYpY0nq3iS_jOkMoiQHsJsvkJMY,True,3,False,konroki42,False,1698643989,1698647159
3229,24200,567,0,371,371,7,0,3,1,False,6816555135100158981,False,False,False,0,MS4wLjABAAAAtzfJMmp8n_ZVnAsvrLuIEfrCdEWkv5SiBTH5O370n2VOAyo3L6IacxU9a3yPSfBn,False,1,False,bryancastro376,False,1698643989,1698647159
1,998,0,0,0,0,0,0,0,0,False,7283408847875834887,False,False,False,0,MS4wLjABAAAAeeAte6nctO_OtZZrZm69ituwML28MIEJQ0S8fbJ2346YwS8RxmhXMIw49YquZMX2,False,0,False,pwoych,False,1698643989,1698647159
3637,1034,168,0,14800,14800,1275,0,3,0,False,7009047628739789829,False,False,False,0,MS4wLjABAAAA2-KGviWkOPUufwP8GsHOrHBIEdQf93kgJBc0s8BswMNRJrznizTVBd0nm_OhNpkk,False,0,False,egehan326,False,1698643989,1698647159
1769,2922,90,0,3372,3372,79,0,0,0,False,7148730278541739014,False,False,False,0,MS4wLjABAAAA90i4-fcyPewinTkrik9AJSN8Xy-Yjo5jxCyEZ8RHHQYOjUmaHx1iKw8l9gbsO9cO,False,0,False,memet.0747,False,1698643989,1698647159
1140,1549,51,0,759,759,0,0,0,0,False,6926108372337902597,False,False,False,0,MS4wLjABAAAAtf-nBdnxALUrzCVN6za90eFmfPxWJP4vO94OLdhCPqtzCTxU4CCK7foRVoD1WtQW,False,0,False,bedirhanx98,False,1698643989,1698647159
11,1135,15,0,0,0,0,1,3,0,False,6520218283566825473,False,False,False,0,MS4wLjABAAAA758aX9F62dcKXHMhlMZdyPI5agVMd9hX6AVN_o3RS5dNgzgD-aykyTAvOFJ97hxU,False,0,False,jane63630,False,1698643989,1698647159
23700,1083,114,0,286,286,3,0,0,0,False,209571696591134720,False,False,False,0,MS4wLjABAAAAGNcMPULEJFS3nEp4vLwyDLNMcmg4__BSrf_WEf0En4dhk3yFpNubCqIhkaDDjhtk,False,0,False,pontepuccastore,False,1698643989,1698647159
