diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
25,31200,58,0,1634,1634,82,0,0,0,False,157787055752757248,False,False,False,0,MS4wLjABAAAAjTrHpjVuNNtJy5E3qnUUXasDRiHvrFxz3caSdzwHexeDaQwg-2i0U8ItTita8dhP,False,0,False,electroalienradio,False,1699054465,1699054953
20,1749,417,0,111,111,5,0,0,0,False,7297165897213854753,False,False,False,0,MS4wLjABAAAAvp79cRP3Dmp8YHC5OwU-4LwLPn5pJfXYtQ6Ziq77e5KCu5A0qW3LQ9Due_IrGzLk,False,0,False,_4963_,False,1699054465,1699054953
25100,87600,8002,0,93400,93400,126,0,0,0,False,7220915686749553707,False,False,False,0,MS4wLjABAAAAw7uIveMvIZduU7qsSCA01h1EFB2sB10ZsAs2S70DG3bpNO6V6RN2XUe1CAurc4cS,False,0,False,alexandraarias449,False,1699054465,1699054953
107,5984,2,0,7,7,2,0,0,0,False,7113800860333802498,False,False,False,0,MS4wLjABAAAArCy9SwX03020gzLsM1cfR8Iewv_-nCiMYG59nnOMbc1pvH1Uop9H6pzL-REeAgEe,False,0,False,andn_kyla,False,1699054465,1699054953
58,4760,946,0,7880,7880,174,0,0,0,False,6663258778874839045,False,True,False,0,MS4wLjABAAAA5a5peXOTho7Zs_KeI_G00kp5qenp3Yhfj3wHkasyVNELP9RRxbfLdyl94dCKTdqi,False,0,False,msindependent000,False,1699054465,1699054953
157,5987,2,0,11,11,1,0,0,0,False,7113830188585387010,False,False,False,0,MS4wLjABAAAAq9_N6bqnCid9tWSxqjSYJyU5ZwXdXHIrFkNAPk2touQH79xYjHHiJNU3CucaXrqI,False,0,False,rka_sanii,False,1699054465,1699054953
0,13900,1710,0,14400,14400,7,0,0,0,False,7291080607865111585,False,False,False,0,MS4wLjABAAAApKyRtEvgGe0u7J0o35XAKQWfByyxD7ZdXEN8-3WODXxF-xw7BPlM9lyV4lNKNcbi,False,0,False,montres_info,False,1699054465,1699054953
1161,4008,1839,0,504,504,13,0,0,0,False,7062906466759722030,False,False,False,0,MS4wLjABAAAAZ_cPJGqtVehs7SO5NoBjdWJN6-uOIc3ZepHsHmNnDpqcIgBCT3UiAAq8T4BD5DoU,False,0,False,jininvenitez461,False,1699054465,1699054953
240800,48500,1400,0,30700,30700,363,0,0,0,False,6884179826787517445,False,True,False,0,MS4wLjABAAAAIpfrLDWk2_YWiigEn9LecV1ujrTi3LwiayKf0wto5O8b6hfdyxZUQ_lSYbGPdUyY,False,0,False,ttikkitto,False,1699054465,1699054953
23000,35600,4098,0,88200,88200,3020,0,0,0,False,6872701629537092610,False,True,False,0,MS4wLjABAAAAd_t4aU_QEaEAXUuMwYVTcsojOEe5cRcTrK59KH2gPrmTZerTgTwAjFpnNE3mCFSW,False,0,False,la_chonita_family,False,1699054465,1699054953
66,11000,40,0,9,9,1,0,0,0,False,7282826859891475488,False,False,False,0,MS4wLjABAAAA3g429wPvaekZ7w-vunISKRcdgFakOa8MiV2MutM2Y8aqjDngmeUy2Jw5LJJdZnIX,False,0,False,k.p.a.z.s,False,1699054465,1699054953
486,40200,11,0,23000,23000,78,0,0,1,False,7241269998948959238,False,False,False,0,MS4wLjABAAAAtAoTeLh6GZHj6RShxbOxp-aFriBYnKKg09ZG9-GAI4hAaHFxEXmFQ3_aXnQxgRIo,False,0,False,halimgames,False,1699054465,1699054953
55,5578,20,0,3782,3782,12,1,0,0,False,7136629091542057986,False,False,False,0,MS4wLjABAAAALIOPN4IsVsSa-GtZXoAQww15n58zdB37UGNdt86tqv4yqPeeg2C66a7n502o6MP6,False,0,False,msy_grup_insaat_otomotiv,False,1699054465,1699054953
886,4656,154,0,0,0,0,0,0,0,False,7106514674921702446,False,False,False,0,MS4wLjABAAAAvElpxp30-yc8RehlGoiiUXkIZGBedkqmoife7SJEDRlP6iZCIjF5iPPEFEzsq3ih,False,0,False,panterita205,False,1699054465,1699054953
0,4994,0,0,2,2,1,0,0,0,False,7295955864756864042,False,False,False,0,MS4wLjABAAAAfOLDhL68YL6s7Zzpnt8yZjGNUSekeGDkHBkJYDqYGpBhHQKH7LpebyLxmuFRQvh3,False,0,False,gamalcompaore,False,1699054465,1699054953
10400,48900,9995,0,24900,24900,423,0,0,0,False,6974975630258275334,False,True,False,0,MS4wLjABAAAAsGBl9K_b7FLPBzFherOn3K7JUw6bArGi-J8yc6JAWU8fHwW0-R7n0pwi9qN4mKp0,False,0,False,alvarofonseca1969,False,1699054465,1699054953
27100,4319,6499,0,189,189,7,0,0,0,False,6813070234431161350,False,False,False,0,MS4wLjABAAAAMk0qUZopOoVFTEUceKScEhCj3mcXQGtxH5TOthdCqhqODw9bj-BhHFA2EexMowbQ,False,0,False,nicolaspons04,False,1699054465,1699054953
44,17300,79,0,5052,5052,4,0,0,0,False,7235841776266167339,False,True,False,0,MS4wLjABAAAAFWiH8u5GEzzD_2gCS8mMVd0MBxFFlEEhwmO_dU6Ntjqi6kmQ9yPzwZJllLVEbpQJ,False,0,False,winadate,False,1699054465,1699054953
2493,21400,2,0,3276,3276,11,0,0,0,False,6816055947505665029,False,False,False,0,MS4wLjABAAAAoV9qH4unAF9H0uQbRkP4sCdRU7VDk8EIxHi_w021o-u6rjEbUNeyfVwrVVi7gGek,False,0,False,m_gacaroglu,False,1699054465,1699054953
64,10300,0,0,8910,8910,124,0,0,0,False,7292707156913701921,False,False,False,0,MS4wLjABAAAA34fj7SMkilc3-rXEtAkO_kKG7Ulhgc5LtWZ2Gm2tsl5ZsqemqBacseyXA_ANWQnf,False,0,False,ibuzz13,False,1699054465,1699054953
31,1247,0,0,0,0,0,0,0,0,False,7176536473877595182,False,False,False,0,MS4wLjABAAAA7EPxh8H10oyc5yMz8Nm5CZ-DrETRTe-TOQ30qvjbCHxki3wz9DhYY2NuEL6-5-L5,False,0,False,dingo.blunt,False,1699054465,1699054953
16900,27400,600,0,22900,22900,145,0,0,0,False,6832328745950200837,False,False,False,0,MS4wLjABAAAAdZnN2yGP5bXGJOSJwMaG9HUbczYZB-IN2vu5HxVSrtaRmIk08UVmIsRZFb1EfBkj,False,0,False,lordzayden1,False,1699054465,1699054953
521,2,15,0,41,41,4,0,0,0,False,7268019096414340102,False,False,False,0,MS4wLjABAAAAnX17qkhDyDJMxbu7Ie4DMDqoBMooAdubE6zmS5IA5REnlp5CjN3J8v_rEP--H4CX,False,0,False,user4318751556938,False,1699054465,1699054953
0,14700,0,0,0,0,0,0,0,0,False,7283519136801571846,False,False,False,0,MS4wLjABAAAAgvf7QBj3EoDHJC6ZRGLhoGCGR7QZ5JD4ldHf5EeIdrP9E-M-SR06N-AgbSkidigj,False,0,False,donna_young3180,False,1699054465,1699054953
7580,5257,840,0,2444,2444,32,0,0,0,False,95142664378982400,False,False,False,0,MS4wLjABAAAAWNJXUdEa1-A1fkk1MOV2n6qKlOJAEeH6ZHdjghGVARW-3i8V1p48rjh7nVoCiblF,False,0,False,ttv_mrzerox710,False,1699054465,1699054953
29600,7470,8335,0,6373,6373,43,0,0,0,False,6837188131444655109,False,True,False,0,MS4wLjABAAAAXF-Uzsa9upeanPfue_ROXRzBCo-d4wqkapJ8jBLHxtt5chA0Yfh6qE7TirJyQXHA,False,0,False,klaus884,False,1699054465,1699054953
170,5985,0,0,6,6,1,0,0,0,False,7113149120923468801,False,False,False,0,MS4wLjABAAAA8NJdUCsPM1JUB4EWPxf3XcJ9-pc_d_cJmY5mdINN5D8ktBpewsiwKF7X3jmPtGB_,False,0,False,sbrina_azzhr,False,1699054465,1699054953
2851,908,128,0,0,0,0,0,0,0,False,7239785895515522074,False,False,False,0,MS4wLjABAAAATgJTEnWgWRkg1kGXYFPLKkswkjfYl7-Gj00JjuRYqlbBoUDI7K42Bbkxw2iKGXvR,False,0,False,user5990528011249,False,1699054465,1699054953
6,11100,293,0,454,454,12,0,0,0,False,7297082499694674950,False,False,False,0,MS4wLjABAAAA7gpMyBuvdi-8aNvFOgWuQUp937yisuJqdYyxUIdZp29Nz_SPxi1u9b0VsHSWxy8g,False,0,False,aryel.fodao,False,1699054465,1699054953
17300,1080,1080,0,845,845,21,0,0,0,False,6841275983699690502,False,False,False,0,MS4wLjABAAAANHFcABOeLak3WR-_03ddAq-g-vlwpB1fFLME2ZYDGICHUduoTKn8EffK0uTYI4dB,False,0,False,naomujjx,False,1699054465,1699054953
9,10200,59,0,30,30,16,0,0,0,False,6774892688217211909,False,False,False,0,MS4wLjABAAAAoM3vKK07pOIiodueXV5s179AvDBF3XbkRNOiyuPNkdLR-zactjeuL2BdD2TPMRKy,False,0,False,andreatmendoza,False,1699011973,1699054463
64,821,83,0,44,44,5,0,0,0,False,7297305775957115936,False,False,False,0,MS4wLjABAAAAkb1372jmHpIxIDGx7ND_1CM5zpAutHS9zPqJBCjUjI35WXttX6bUcmIhH1p22jaX,False,0,False,painatalpt,False,1699011973,1699054463
329,1037,400,0,55,55,1,0,3,1,False,6953854906772210694,False,False,False,0,MS4wLjABAAAAHi3XMSHbkhervkxZkApGp58BKah-TxIi9cpp6uQfbnBWCIV7Z-tpIHSey3Y_1gf1,False,1,False,raniel1225,False,1699011973,1699054463
248,1948,689,0,5,5,1,0,0,0,False,6809698256182199301,False,True,False,0,MS4wLjABAAAAu2u9XS9S2dPq-GFdITHj_1NG8SqYCNoC5mwc5HeSxrYmBR8g_Rw83jQDu1pM9x8q,False,0,False,its_qirat,False,1699011973,1699054463
30700,1611,192,0,176,176,0,1,3,3,False,7006403741898081286,False,False,False,0,MS4wLjABAAAADEexNgV6qN_KrNSL6oadx42V5sCJT5gx7abWbSRM9wEsOnA5rb4XegTbNFrqvOfO,False,3,False,user.5884427802345,False,1699011973,1699054463
595,2140,221,0,1201,1201,4,0,3,0,False,6916234694469288966,False,False,False,0,MS4wLjABAAAAdwB4LRkYkvYRuakaUULOO-c0A8-pYEoo3p4q15NB9SeLmqVqJcJe0m0hiRbLxn79,False,0,False,bad_ash91,False,1699011973,1699054463
10400,15300,2217,0,3369,3369,19,0,0,0,False,6851541914991248390,False,False,False,0,MS4wLjABAAAAfrqAEfbEoip05jvjIVRggGMZ8NAO68LT7m6nR8yz6nRaMtgY7_b8LS0SSBv_WE6S,False,0,False,abodawood7,False,1699011973,1699054463
4197,10500,370,0,30200,30200,94,0,0,0,False,6627813478517063685,False,False,False,0,MS4wLjABAAAA5_omJv84k2W2nicyRbpcwFfNWKMsR-po0oftqAtx7d_XWEIrtzvx6cOxexPq5byM,False,0,False,_serdo_,False,1699011973,1699054463
2628,1143,330,0,117,117,12,0,3,0,False,6783752919272702981,False,False,False,0,MS4wLjABAAAABSD-RFahtPwrDnl9CFOBbaOxq9l0PBZrjgZezR4yEuTygxmt8g5deD-XJDJ8X3v-,False,0,False,kayleerinuschevelley,False,1699011973,1699054463
206,10800,1,0,135300,135300,64,0,0,0,False,6882165439054218242,False,False,False,0,MS4wLjABAAAApGRJ6FGSD-YlxxY-dCJk68lMLaUoAcjo228HoPX4HUepngEy0cgm2Ks9rt6k0tb4,False,0,False,patinkomoneybattle,False,1699011973,1699054463
12400,6917,5218,0,10700,10700,220,0,0,0,False,7046161133976306693,False,False,False,0,MS4wLjABAAAA_nb9_wiUfnIVIpRfX2RzHM_ndimF7Y5xxbI28fNjMxmR_HMh1WrblqgRLur264Yl,False,0,False,om_taha_1,False,1699011973,1699054463
445,9349,385,0,3399,3399,166,3,3,0,False,7181927849254929414,False,False,False,0,MS4wLjABAAAAnT8xPLnVw9aOFig8sqeP6lAvMsl6_hh6gHn5_Gi4WcAktv1hKOFXTV53v4BM_4F2,False,0,False,bellezatotalcirugia,False,1699011973,1699054463
102,2001,114,0,2300,2300,92,0,0,0,False,6892505848807982086,False,False,False,0,MS4wLjABAAAAg4acJkUEF7cfN8e1ScTFCDeh3Gfc71FEIj2egukujXCaf-5dlgewWe6BAafDZ-Ox,False,0,False,lululaforte_18,False,1699011973,1699054463
