diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
97000,49000,0,0,401900,401900,600,0,3,3,False,6910576715564565505,False,False,False,0,MS4wLjABAAAAG6NkhGoNkvZy-qVyzxucV8LFDixp4i1MUrzZ0pTrc69DXbr-ekvbhBGyoEnTGgGI,False,3,False,roniya..04,False,1698639644,1698642955
126,1598,116,0,7987,7987,4,0,3,0,False,7081138053469340678,False,False,False,0,MS4wLjABAAAArwPdklXZXcqaTwFu7QxWUJkgwnttzJ6BC4hrRXR3be1U-3f1eSHWgxo-wBKHP3aO,False,0,False,oguzerdogan777,False,1698639644,1698642955
32000,1021,81,0,4,4,2,0,0,0,False,6667908177801887750,False,False,False,0,MS4wLjABAAAA5AHGJxkDdjsVzMzvUkPRmBjZ7-E0E8ArVQqsRKG8EzvAMp3F03-Vyyad_ym9-uac,False,0,False,kill3rgamerr,False,1698639644,1698642955
72,1812,124,0,1714,1714,2,0,0,3,False,6905265225734505478,False,False,False,0,MS4wLjABAAAACBU_d_qvg2n3QqkYKB0cPIvkdsmZWt6lx3LzMaFq0HFNvyVpjoI-HqtAGNNEwA5A,False,1,False,tanilo71,False,1698639644,1698642955
21,461,68,0,778,778,25,0,0,0,False,7213471793997562885,False,False,False,0,MS4wLjABAAAAoSU_RD7MbfKrjUHoC2Z1VRGCnfjG8Xt2vQJB53cfkjWzEoHGe2Vm4rJF8TjOEiK9,False,0,False,torcedorespecial,False,1698639644,1698642955
87400,27400,78,0,162800,162800,42,0,0,0,False,6870438112167412738,False,False,False,0,MS4wLjABAAAAg0EmGgdmc7RXndwxtzH90lwDvj2dM4XI4SLAwkCqE8WIsxWjlZOgPwKaQw5_LzI1,False,0,False,mauricegiovanni_,False,1698639644,1698642955
22900,7772,3975,0,4051,4051,128,0,3,0,False,6720025640077100038,False,False,False,0,MS4wLjABAAAA82VVmMOuqrmdhstz6lzbxEH2je4HWJ4fDcBUPOlkjjUH00oQHO6IfRDq1jAZsnq_,False,0,False,neyg90,False,1698639644,1698642955
2584,98400,31,0,36400,36400,60,0,0,0,False,6889738826890396678,False,False,False,0,MS4wLjABAAAAnS64Vir9m6D-nAW6hwv5dLMzBqLjyDh00HLKLTxqRWgQCy1TO_WicPYNo63efYVL,False,0,False,bivek78,False,1698639644,1698642955
692,2262,4,0,8275,8275,32,0,0,0,False,7288380987728823342,False,False,False,0,MS4wLjABAAAA-GBYezUM0AFNp9e4seYOotjq_yOliWzhDeaeAZjYJhxL-0P_k1iJza0Ele1LkY53,False,0,False,torchtreasures.com,False,1698639644,1698642955
52,1203,184,0,406,406,24,0,0,0,False,6641042740543258630,False,False,False,0,MS4wLjABAAAALq-_GinITcaEsP19zOaPgRzDQwH5TwOFACXz9S8HsgLSzh5R7dNfY2QK5VrSyLAd,False,0,False,fyr915,False,1698639644,1698642955
0,1075,66,0,5,5,1,0,0,0,False,7263746436633003015,False,False,False,0,MS4wLjABAAAAYpAmEjvkhFn4lXjXrMgwRgLrePaUFNi6rknNEqmN7Nem8pk-4izU3LqEEBoAkRlT,False,0,False,muo5112,False,1698639644,1698642955
69,199,8,0,0,0,0,0,3,3,False,6968219797424227329,False,False,True,0,MS4wLjABAAAA_fpP8jEVMqUHGQrF_bM7Xew5HzOJs35NI5g9fVnrRTO2Jg7ONs6wMepdByFrW55e,True,3,False,user566737,False,1698639644,1698642955
3,4102,57,0,72800,72800,10,0,0,0,False,7088270643113067522,False,False,False,0,MS4wLjABAAAAWdBbU8_qwU2XV7z1hIR90sP3YoWQAUuSTDMRq9kFzMvO1onhv-PnfZKrXZt-kSY1,False,0,False,aminauzaie685,False,1698639644,1698642955
724,575,530,0,1428,1428,117,0,0,0,False,7089165131027924010,False,False,False,0,MS4wLjABAAAAScA9ajb__tZLYmyIqOJ1Fq9H4W9DcAvExLEPBvVF0SdRkjiDJ7rDOvPDOPVizjs2,False,0,False,graysona2014,False,1698639644,1698642955
8738,1296,204,0,12800,12800,239,0,3,3,False,6783681120619283458,False,False,False,0,MS4wLjABAAAAin75jIlD6ENPivCw9K15hHKh3s1JFw8sftQff-Po8uKeGx6Yhluw6pnVDB6QjY99,False,3,False,kyutiecutee,False,1698639644,1698642955
3272,80300,2585,0,1500000,1500000,671,0,0,0,False,6939155614514676738,False,False,False,0,MS4wLjABAAAATr8e1vWtDmf_GIhUyvUqS07OAPb7sE08yJ6gxhysMwCmCvhGf-haDprXzxP_FZ3V,False,0,False,fadzlikamal06,False,1698639644,1698642955
861,13300,872,0,16400,16400,86,0,3,3,False,6817832937075409926,False,False,False,0,MS4wLjABAAAAgW4g01LAC05CDRctr4gWNFwuI5VANVqBwmlJaR0dYf0FkQxy0zjfSeZ-1kPuARyW,False,3,False,piratemaispirate,False,1698639644,1698642955
40700,4159,687,0,18300,18300,314,0,0,0,False,107717399117733888,False,False,False,0,MS4wLjABAAAAOygjb3POuQODfdH8KxOhu32tW3v0A4fAtmXHqIFnHUrs5d1ItCdPNEm83GGA3Riv,False,0,False,isadoraramalho,False,1698639644,1698642955
5,999,0,0,19,19,1,0,0,0,False,7093467510100034565,False,False,False,0,MS4wLjABAAAAqVa7TfLC5qeJQbTJSo2hQ9k-BF3P1McGslKA8GrhWDhUpRtwldqzz3t-6hNJnTXc,False,0,False,meelli_z,False,1698639644,1698642955
152,1148,22,0,160,160,11,0,0,0,False,6979520362997777409,False,False,False,0,MS4wLjABAAAABXvo5P49-nf6JZwLAa40IUYHH2SwF18UNJo57jm4fWjYfRQMEQs58zEQmsvts3BJ,False,0,True,mossimosole,False,1698639644,1698642955
62,503,0,0,1041,1041,1,0,0,0,False,7295596308064486443,False,False,False,0,MS4wLjABAAAA3LvnxEEZ0VtS2PWMQ-VL6cNIx06ZtyjwWySkmWBIEAjIGAVcTbj4OvkMcpCcXuZx,False,0,False,wydtommrow,False,1698639644,1698642955
23,1001,23,0,28,28,13,0,0,0,False,7014274339814294534,False,False,False,0,MS4wLjABAAAAfrNo1XZkzFsSJ1NH4PAx5aU1l4ddyhEtMb0i1VK_erblo7cD0w-zjSZc_6wo02EA,False,0,False,funpetland,False,1698639644,1698642955
10800,1098,113,0,1268,1268,7,0,0,0,False,7124876215463478273,False,False,False,0,MS4wLjABAAAAoEVWuCO7rty13LF2N4dHVgJD0jcYE87X6rx9rUZAoz81CISZJdDFU-bcTpJGyyJA,False,0,True,aileenabenirlaurio,False,1698639644,1698642955
61,1001,4,0,1378,1378,3,0,0,0,False,7206094519481680902,False,False,False,0,MS4wLjABAAAAycX0HepFzqH51NYn2nvZuULARGmCkAR6WcXyiUaOaZ17iuy582HQF-mlp3gzMiYQ,False,0,False,shadowzerarp,False,1698639644,1698642955
3484,3138,1293,0,11300,11300,170,0,0,0,False,6856353840159425541,False,False,False,0,MS4wLjABAAAA-D_eFOZd6o9DN0P-QO42iYcFnHqLVmy-7q8O3AXKPcmbNTv2DIOk1p-Rri9CObSD,False,0,False,stonehardbread,False,1698639644,1698642955
5856,1698,370,0,3741,3741,90,0,0,0,False,6984985181829710853,False,False,False,0,MS4wLjABAAAAILqYjHaYefmkqQ0f4dO-oDBOKXAiyl3ZfpWROEGyjibQNGC3baQOGYtrmamyvneE,False,0,False,designzbynellieb,False,1698639644,1698642955
56700,4092,499,0,24500,24500,82,0,0,0,False,6629777283656089606,False,False,False,0,MS4wLjABAAAADD-1J7Wx-ehuqjK6Dba06OEQ3Jo_Tx-Jm1uSJ3yTdlkAxiOiKonPS3mDgSSSFGXy,False,0,False,gretaasto,False,1698639644,1698642955
15000,1037,2391,0,12800,12800,50,0,0,0,False,6808706132564345861,False,False,False,0,MS4wLjABAAAAzE9_3c324lC6EhKfu7kqp1kqfMv-kTFOVhnFMIHATXAeGghldy38ittCannZ045O,False,0,False,alexzadaaa,False,1698639644,1698642955
7200,1224,52,0,1076,1076,10,0,0,0,False,6875349927107724293,False,False,False,0,MS4wLjABAAAAanUutGeCMBwKMz77-1f__ZtKZYGHJ4sExWAs63goEfQu3hpPBE-dhyKqwjrrD1VR,False,0,False,3aydalshmeri,False,1698639644,1698642955
1,1144,0,0,212,212,21,0,0,0,False,7288409550146995243,False,False,False,0,MS4wLjABAAAAcPJnURUZTaLXPz2pt9S52I1Q_VZcAJSNQzpUw7s0k6nFjNLHF0CR0bPOaTjW-5AT,False,0,False,crypto.uncut,False,1698639644,1698642955
29,1023,21,0,162,162,4,0,0,0,False,7000803044808262662,False,False,False,0,MS4wLjABAAAAjPDbE97RhQ7Ef3Au0HJaGT0nq3LpQwvo_lKZKvKIXPWyUI046pTU8CrS26xzexB6,False,0,False,marcgotnext,False,1698637432,1698639625
52,9996,31,0,1728,1728,15,0,0,0,False,7278228351133795360,False,False,False,0,MS4wLjABAAAAHKoA4fZGSzuMjNdb7QaSwYlE9u55snKAY85ao1zinevL0qPAiESRZNkMyb6B87-N,False,0,False,viral_clipps,False,1698637432,1698639625
5301,1252,1487,0,533,533,36,0,3,3,False,6663113107751354373,False,False,False,0,MS4wLjABAAAA-1In1SDn_BRKqluqcndrYJ-p7u8yMeqTP2X-eM5vgY76g4rCl0fp78KwgNO0F4hb,False,3,False,renatoronquillo,False,1698637432,1698639625
1915,596,451,0,1342,1342,30,0,0,0,False,6803357098224813062,False,False,False,0,MS4wLjABAAAApNqWU5vKngjR3nIIuGrDBZpk05GFdYCLrWLo8l7lXYJzD2BcScHXLjHCVJBQ7GUI,False,0,False,chocolate_cherrydip,False,1698637432,1698639625
44,9364,12,0,47900,47900,19,0,0,0,False,7118354924567528453,False,False,False,0,MS4wLjABAAAAU8JxZ5QsY-ocUOW0wNODQXquaev7zkxFpdrPKxuTkDszHr1GRCzLZTR5NEw7WSpu,False,0,False,mohhd.111,False,1698637432,1698639625
27,388,20,0,4,4,2,0,0,0,False,7295590492032271365,False,False,False,0,MS4wLjABAAAAKObn8QR-1Mf4FrMBorW5StIdP2D1VZ_atRv12vMmEsqaFkJtHblPjGBnxSW2ui8W,False,0,False,gatilduartedeandrade,False,1698637432,1698639625
7921,1056,130,0,8258,8258,244,0,0,0,False,6784591784140899329,False,False,False,0,MS4wLjABAAAAj2gyUhLfAd8pDryJdX0lyyjqduZNm5ars8ggwlDf2FvTwdad6wTQ2zITQXnOxuy0,False,0,False,abaayyyy,False,1698637432,1698639625
608,1153,84,0,590,590,28,0,0,0,False,6999318320033924097,False,True,False,0,MS4wLjABAAAAscLFH0xbnSPwF292PQnPu6EFZyVXpYq1nRjRmMoGrtdFtrUWaw2cpRzmyriNlghf,False,0,False,mummdikbalsulaiman,False,1698637432,1698639625
2297,73000,1312,0,263800,263800,73,0,0,0,False,6790220931500508165,False,False,False,0,MS4wLjABAAAAtG_1dnKGTE2pN86wAjlX6Aj2fRJ63OAK_oMqMpFFx7Z3rcJrdrxXg8BPJB9fEfpZ,False,0,False,fabiophotonic,False,1698637432,1698639625
11700,10600,149,0,11900,11900,68,0,0,0,False,7151355971502556166,False,False,False,0,MS4wLjABAAAAFZKnS8it1X3Z91L4t9enpK1kF9WEPXQNwaleYsFC17eb_LzUH1N1o27L0_4KX8bw,False,0,False,1vip747,False,1698637432,1698639625
103,1525,1,0,939,939,19,0,0,3,False,69221932666,False,True,False,0,MS4wLjABAAAAESfdceUdJiPEM65Oyz6xaL-79W42niHqV4zJsrmGUJs,False,3,False,snack_1999,False,1698637432,1698639625
