diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
482,1005,72,0,1380,1380,139,0,0,0,False,6786837460065371142,False,False,False,0,MS4wLjABAAAA6N3n0xYqxRmyKt3fANvnAQS7DEksN5139dGM77ltFfnWqEWFj-n7A7FgNX13q1vw,False,0,False,aadi7680,False,1699030314,1699031077
0,1091,12,0,9,9,8,0,0,0,False,7290078252998099974,False,False,False,0,MS4wLjABAAAA8I4_x2lmlUEWHgmQcpHM2SWr3hdMDguaTjDl1-WOQi2or-CfEGknNXVro8R5CdtM,False,0,False,digital__heaven,False,1699030314,1699031077
207,1265,24,0,393,393,54,0,0,0,False,6932095191605462017,False,False,False,0,MS4wLjABAAAABZ1LXhedx9y9SDw35o-wzRM8lFn_btGU56FIlD0z9Gs4FPbP2cr7B8KPyeSO7s2T,False,0,False,mospanudet,False,1699030314,1699031077
904,756,97,0,907,907,18,0,0,0,False,6808488573471048706,False,False,False,0,MS4wLjABAAAAc_W2zWiuUS_co0Hihs8Mj-mUzel242ZmtbN6uAGau9liT26aIRw4Vzr8fLNU03Yl,False,0,False,paco_over,False,1699030314,1699031077
29600,7470,8335,0,6373,6373,43,0,0,0,False,6837188131444655109,False,True,False,0,MS4wLjABAAAAXF-Uzsa9upeanPfue_ROXRzBCo-d4wqkapJ8jBLHxtt5chA0Yfh6qE7TirJyQXHA,False,0,False,klaus884,False,1699030314,1699031077
6704,981,765,0,1013,1013,37,0,0,1,False,6855972983539811333,False,False,False,0,MS4wLjABAAAAxXPisXUSKQ-nbWpHIYudi-6DZ0rF3xel2qSBxcUsYM6-8EdR5m8VfDX1sF5TAT2X,False,1,False,talha_vuruk,False,1699030314,1699031077
1098,1789,178,0,1733,1733,11,0,0,0,False,7155223768855233542,False,False,False,0,MS4wLjABAAAATD44MtrB87Jfex3ojycdjtFsnBhvVyoyAuY8ws8RQJXD6I9G3hEPNmFtn-Zo-gdI,False,0,False,themagicfuture,False,1699030314,1699031077
17600,17400,3507,0,33800,33800,477,3,3,3,False,6795687551821038598,False,False,False,0,MS4wLjABAAAAISPzf_nqmDbsTsgdbYERLViQucqoI---NzCrCRVM2ScPqL5Mv6RpvCMwC9jv-h_7,False,3,False,kathleenwkitten,False,1699030314,1699031077
1948,11600,3,0,3462,3462,132,0,0,0,False,7144285975346660394,False,False,False,0,MS4wLjABAAAAt_oY93ZsfjtS1AZ_BK2b9tqmdJrVJ1lhEqCLoGmuUKwc0HeXNnMBTj0hwZRMrvNq,False,0,False,galvezexal,False,1699030314,1699031077
798,5345,4154,0,4604,4604,63,0,0,0,False,6535758426968953871,False,False,False,0,MS4wLjABAAAAUzb7aeRNfx_Nx36-feQdi5-rO5r-G_r2hAdvqkzfoBfKYJ_APMNGrsN-8bHyeAEZ,False,0,False,escanor100001,False,1699030314,1699031077
5817,7334,6704,0,5189,5189,82,0,0,0,False,6813185915125564422,False,False,False,0,MS4wLjABAAAAXgpRBSnebWmuqkbqddfNHIeT0pEAQzZCuLaV8CxVpA-_B8uvfxJ-8qN8CjTF9Ort,False,0,False,camilarosa208,False,1699030314,1699031077
