diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
730,11000,70,0,6299,6299,2,0,0,1,False,6921470952351204358,False,False,False,0,MS4wLjABAAAAh5j6rLxe5GFEFBQ3JESP5kaDeGIPLPthDEx_wkizolYUtVLuQ6vkVibUrs-xvuqN,False,1,False,sa2official,False,1698670962,1698671820
60000,47500,4194,0,11100,11100,44,0,0,0,False,6841839628686050309,False,True,False,0,MS4wLjABAAAAUJW7eQ54Lc2Xymhb8Xc8QIyJwmlbnHY3QZNjnqfTGxq7VgPJFXmaWG-SsP9zyzXQ,False,0,False,10milo25,False,1698670962,1698671820
4782,1051,592,0,103,103,1,0,0,0,False,6953206917759042566,False,False,False,0,MS4wLjABAAAAJFjOGYePSL5wsB1RSx1_3JvBl5jlU0cx4Q1AN6-BR6S_2LabscNVyj6u8AXrdPwe,False,0,False,puthysniffa,False,1698670962,1698671820
1526,4790,14,0,4808,4808,16,0,0,3,False,126697069930704896,False,False,False,0,MS4wLjABAAAAwDfMzcKO6zmnjhev_3EHgp53TZlEOhqDfVqY6ljvzEZU8QWL9wNsUMwCqjE9T2sj,False,0,False,bergvagabunden,False,1698670962,1698671820
172,576,101,0,463,463,10,0,0,0,False,6967079337493578754,False,False,False,0,MS4wLjABAAAAcNcg1q6PbWS7XixTCzkkbJZASxsc5-wJOCUDQXnwSU_AvwDMbs1evdBdy2xS-c76,False,0,False,daviidsiillvaa,False,1698670962,1698671820
139400,1693,223,0,2955,2955,42,0,3,0,False,6829707858364875781,False,False,False,0,MS4wLjABAAAAs-aRFTNvrnWh8MuoOVn707PTYmP6_Id36aUaOMn1-bfyBZAlCZxkP4A95y70Mc4C,False,0,False,handmade_by_sude,False,1698670962,1698671820
4260,1296,158,0,7094,7094,166,0,3,0,False,7170139201835369515,False,False,False,0,MS4wLjABAAAATirRis5YbxJtqkpQaj89_JB8bkqPQA7qBVtQbXTFHjQC4rHihzbOUF1bv06wlcFn,False,0,False,no_emotions1,False,1698670962,1698671820
2473,1330,260,0,215,215,3,0,0,0,False,7183472977450009646,False,False,False,0,MS4wLjABAAAAVSzwmblQtGF4vzg-44gzTFiYVvd5HoH40Zl3Ikr2-kcfHTT2NQkIFQi6j2QKIAU9,False,0,False,nayladatway,False,1698670962,1698671820
177,1662,12,0,638,638,14,0,0,0,False,6886519954717148165,False,False,False,0,MS4wLjABAAAAFzp2ryqoeTNxc3EbElsSlLBAhLNY6havTKyxiQqA5l1kvsBGsbcXVsf-sC5VkY5R,False,0,False,chatto.10,False,1698670962,1698671820
3629,1044,44,0,0,0,0,0,0,0,False,7225218677195408385,False,False,False,0,MS4wLjABAAAA27RmnL1Lj6yBtb-zhbpIjBcayw4I7ICXRPafxqq0wkg4ucq34dv4kQ_Lsw7Fx1Ym,False,0,False,twitchnoqtion,False,1698670962,1698671820
