diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
21200,4500000,180,0,19100000,19100000,283,0,0,0,False,6800814484048102405,False,False,False,0,MS4wLjABAAAAs5SEyphAYk6_3IsqQrefyafJDWNbH9waEJnQmOUjbb2ZDJCmgOJaD_5A4iPOSdmK,False,0,False,liquiddeath,True,1698675125,1698680603
31700,10700,7438,0,122500,122500,1538,1,3,3,False,6833740052042351621,False,False,False,0,MS4wLjABAAAAQt-NCCFISJ2iHHxnKQfQFUAeQuhL6Onjs0t3LxXU2cHCfbUIcQL2czb4vAmHYB5I,False,3,False,ritandreiah,False,1698675125,1698680603
18500,4019,5172,0,4991,4991,52,0,0,0,False,6890052912505177093,False,True,False,0,MS4wLjABAAAAVA30b-FhbDQvl8mhEj0sWugWxSKcZSQnG8XdswW_w_tzbfcmqeRwVKzSqWNcvoNJ,False,0,False,esefmehmetdemir,False,1698675125,1698680603
491,1347,273,0,51,51,4,0,0,0,False,7174217405643981829,False,False,False,0,MS4wLjABAAAAyL0jc6RKK7-l8f4_qlwRdOBo_yyTbpzBZbzJZK8iJcbmhsxLK1kPXNJUpv8ugrGc,False,0,False,hadjira_55,False,1698675125,1698680603
5618,31800,6376,0,610700,610700,254,0,3,0,False,6852983528407434246,False,False,False,0,MS4wLjABAAAAsV6w_D-texjnIhamfgquH9BxrsUEAaKYY6rFEwXiUQdhHXyE3sfo8XC56jlM9dLa,False,0,False,studiofotograficogessato,False,1698675125,1698680603
535,18400,10000,0,1266,1266,1,0,0,0,False,7221498991132984347,False,False,False,0,7297673895847938848,MS4wLjABAAAAw9q8-Rwrq3cJQGbPU1wDzThTCJ_Uxyk8jB2ofst1ELrRkCUfL_optP-hi-_eV7QL,False,0,False,andreaspolitsakis3,False,1698675125,1698680603
1289,10300,7165,0,156800,156800,420,0,0,0,False,7211069299900777477,False,True,False,0,MS4wLjABAAAAlZ6piD536NiFOkgqnh4UdZxRUVZ-Foqqz8UEcwL5y2NoR3f78HeJZbOj3p_cgoUT,False,0,False,sir_prime696,False,1698675125,1698680603
137900,666600,535,0,8700000,8700000,84,0,3,0,False,6805262500981113862,False,False,False,0,7297647356185791237,MS4wLjABAAAAJT2Bh-WZkgHYM7E508Hz9Uv2h76PaQg8T86b8-dGrd6a7MtAYAxltLMKVM1QJett,False,3,False,chavorruco10,False,1698675125,1698680603
14500,9820,3895,0,20700,20700,86,0,0,0,False,7071909038167393285,False,False,False,0,MS4wLjABAAAANAOOtaz1kffP8EBiEfaGp01EQexkEwtptFwG9LzlPKi-STBYemJMy5TmCoqQ9S9V,False,0,False,technocologne24,False,1698675125,1698680603
77,996,21,0,46,46,3,0,0,0,False,7176333657997018158,False,False,False,0,MS4wLjABAAAAoTfp5-6z6J2IsaknKzwUt2YIyiuZ5-cDopQv27zyRH8K_wIO2zs0rSoMXsna-vHa,False,0,False,westaytrim,False,1698675125,1698680603
19100,11900,5298,0,27500,27500,330,0,0,0,False,6616097872126115845,False,False,False,0,MS4wLjABAAAACeX5MyhTqsjvewwN73dvNi4Q8NcAFnU-PNUu0WrwTCutDwaKjmnjcDN_Y-Q3SktO,False,0,False,michellemistichelli08,False,1698675125,1698680603
1124,8063,6616,0,18700,18700,253,0,0,0,False,7044234370908013574,False,False,False,0,MS4wLjABAAAAYhowpDWvbagYvyxr6td9agP1WQm5ieTO_Gt2Zgk1Ar-V7DV_y1Qi_f83Ks4fzFX0,False,0,False,aguilera2022.p,False,1698675125,1698680603
0,4960,0,0,618,618,12,0,0,0,False,7239130824192852998,False,False,False,0,MS4wLjABAAAA3Z1kkYvPHlasYPScpz-P5KoX8ehdGLjTv9FgY2s4AJROc4T1JlfJFLHV1zSJfWXE,False,0,False,gregmoramentor,False,1698675125,1698680603
6113,4555,4555,0,2368,2368,16,0,0,0,False,6544700716009690112,False,False,False,0,7297668668661615365,MS4wLjABAAAAbRvimS42GPjBDlYZTSnrHUOwsy64DBmkTP3whc9Qfx4rMoFUIdmPEdIe7JcWZODY,False,0,False,jonfin21,False,1698675125,1698680603
2547,4137,3698,0,2741,2741,122,0,0,0,False,7044271451537097734,False,False,False,0,MS4wLjABAAAAAnf4KIALczbR3DQBLHcxMZxOI1wQ1DQF4LDCI0EoLWaN-1bxU9g4uRsrQ7iL41te,False,0,False,pietrosciortino93,False,1698675125,1698680603
60000,47500,4194,0,11100,11100,44,0,0,0,False,6841839628686050309,False,True,False,0,MS4wLjABAAAAUJW7eQ54Lc2Xymhb8Xc8QIyJwmlbnHY3QZNjnqfTGxq7VgPJFXmaWG-SsP9zyzXQ,False,0,False,10milo25,False,1698675125,1698680603
6846,18300,116,0,13300,13300,294,0,0,1,False,6792972399224816641,False,False,False,0,MS4wLjABAAAAVT1M__iDRLNrjOaOKtP31NtdmxTEb4LKkJbTp-2lUNwdXrbM5_ApwIVE7oUBkTH5,False,0,False,1_nader,False,1698675125,1698680603
502,1165,335,0,3053,3053,208,0,0,0,False,6894018286615659521,False,False,False,0,MS4wLjABAAAAWQtgggFVlGPiz2U9X5tUoUDJc-xdqZ6dO7pziq-OuJlRPLeSEHim6EyOF8XG2fyN,False,0,False,haji.gajii,False,1698675125,1698680603
5826,8076,1389,0,971,971,73,0,0,0,False,7105888752687563822,False,False,False,0,MS4wLjABAAAA_oK3vcwPyAwuMtpROAGdA7imy7nrEkH6GPsWTNph6sBjOQ8c5RtFvPrmWraIott-,False,0,False,carloalejandroroj,False,1698675125,1698680603
26,13400,718,0,26900,26900,12,0,0,0,False,7126703792289743918,False,True,False,0,7297680248529865515,MS4wLjABAAAAlPqKAzRmXDHZfGeXmHNFlGg31Mq5R5n3eJXPySy8umaRPZ74mz27ug9wEyu2tW2O,False,0,False,elpleveal100,False,1698675125,1698680603
19600,24200,489,0,32800,32800,1015,0,0,0,False,306212431251349504,False,False,False,0,MS4wLjABAAAA3o_fNsgi9EUyRAxweLYEShB7wAAMhffsN-Vq4tPiln8OUxDQFDKorFa_LqtkuHCt,False,0,False,cataleya_dales,False,1698675125,1698680603
358,11700,82,0,4907,4907,9,0,0,0,False,7150424071926154245,False,False,False,0,MS4wLjABAAAARm-1sIyKal-G6ucgfGwNfzfnQbbCvtwP8EjAqE5vMIC2ivHBImtKVaTcqss3f9TN,False,0,False,bbyali777,False,1698675125,1698680603
6862,3020,89,0,16400,16400,182,0,0,0,False,6696905883294630918,False,False,False,0,MS4wLjABAAAAyXYVAqigWEu5XtlD_A6Z3xsa58yIH0DteXHjJcp5SUGljhpFfwOOchDiL5w-O2Vx,False,0,False,vasy_barbers,False,1698675125,1698680603
8529,11600,8148,0,31400,31400,144,0,0,0,False,6822361867995825158,False,False,False,0,MS4wLjABAAAA6vg0SqAjeuiF9tL9vUjXrCyg1OSWo3v16VVVqTjsctxjDpSX0VgBlkNqaFg0XK7g,False,0,False,romo_g,False,1698675125,1698680603
1094,50300,105,0,19600,19600,36,0,0,0,False,6761031364039361542,False,False,False,0,MS4wLjABAAAAb2lxUr7xeY_bR7kjfrleDDZRBFP-jtN7GpfTzhyA8n83-mOxyxW5ckROmX4q8UIJ,False,0,False,rebelz.vip,False,1698675125,1698680603
251,3122,895,0,1,1,1,0,0,0,False,7119618961789731886,False,False,False,0,MS4wLjABAAAA31fJ2iomjE8pwEX5QPKP3KWNowJN6BGle3FYSFc4oLFU3tAc9LpUO2Lm-eDtX5x2,False,0,False,sneakykat12,False,1698675125,1698680603
6588,57200,9762,0,52700,52700,22,0,0,0,False,6929599921562960901,False,False,False,0,MS4wLjABAAAAdBbeCojO99vMPGQA-faT0_0ytY6b7URdtw8YjxVMgMfbXf6FaX3qWVYC20_J-axK,False,0,False,joelelzorro,False,1698675125,1698680603
9978,8044,4834,0,15500,15500,1209,0,0,0,False,6945101528228021254,False,True,False,0,MS4wLjABAAAAWARRGFTxPo-LzVz20GyxzTgXgdwW6AKD5JHw4nbjMrHyze_1IaaVyKsIpkQMzRkc,False,0,False,anagabrielamorale19,False,1698675125,1698680603
5637,3421,1328,0,3671,3671,36,0,0,0,False,7066193006997619758,False,False,False,0,MS4wLjABAAAAExVEJgD_oVuX-ho0-vjny5Gl0v7M13uB4wznNIcL6CLm4rqXDXgmBm56EUddYimT,False,0,False,mspjr1,False,1698675125,1698680603
329,67300,18,0,23500,23500,30,0,0,0,False,7256837029491917830,False,False,False,0,MS4wLjABAAAA5ElgjxMUVuckTMIgx39AlXTNvlyB4r2_jt3P61dSqfh6v9yq68wNTCkIvBK4u1Rq,False,0,False,dr.atat.rabii,False,1698675125,1698680603
4254,9961,1706,0,12,12,1,0,0,0,False,6762660184176673798,False,False,False,0,MS4wLjABAAAABkwX3DDzfRwA8A8hp888Q3V6j5-tHxiLDIjRlvHsasp48o8PpF68WRptzcLJB8ls,False,0,False,therougelilly,False,1698673184,1698675072
1276,1094,129,0,287,287,4,0,0,0,False,6924038556537390086,False,False,False,0,MS4wLjABAAAAycL_hIxhafkf_wjD4dCjWeE8hQ2_PAoAAa-BGx7k-BWdCJmr386laptXljpFyYhX,False,0,False,alliegh_7,False,1698673184,1698675072
107,1116,15,0,17,17,1,0,0,0,False,7017871486120821766,False,False,False,0,MS4wLjABAAAAJA6FDjm2cfZIwy68PDZQYrCjdpkDdpAeUcuSaFnjyoVIynT9cjb6kBUlCQ81fA-b,False,0,False,jackogsz,False,1698673184,1698675072
15900,1025,4105,0,505,505,9,1,3,3,False,6644963278596915205,False,False,True,0,MS4wLjABAAAANM3tUNxOfTUDw8A0L2f9E3F55i9u7LjL0B5u-0QDBX4vk9X67HjCoGwknKPDKAzr,True,3,False,butterball_94,False,1698673184,1698675072
25500,1620,2975,0,110,110,7,0,3,0,False,7149114150555157510,False,False,False,0,MS4wLjABAAAAKlZfMRACi19ZnZz4SNNoeYJWPRNBzhsETYe0-ncsjjUV0-kt06EjW-9eCovtdagI,False,0,False,sy3d.alii,False,1698673184,1698675072
52500,5160,158,0,13600,13600,15,0,3,0,False,6545443814490772495,False,False,False,0,MS4wLjABAAAAkz5Y7qxH9AS4o5ngb7cmqDpOi8hIMv-r0ZPPATZm9i41Tm_w54Lg69pdGnpW0lSs,False,0,False,himal_2001,False,1698673184,1698675072
2055,15100,63,0,986700,986700,197,0,0,0,False,7216086150007964677,False,False,False,0,MS4wLjABAAAAq2_rUkkufFigv_9yXG1WPHrC0NIG_MLTLCEcKa29IxwH9Ft7nNQVSMrf9uvLlf1Z,False,0,False,chosenoneash,False,1698673184,1698675072
237,1002,63,0,107,107,10,0,0,0,False,7183769484863374379,False,False,False,0,MS4wLjABAAAACc3O1dHK2nLYOLPEKlEI-1zWmay2ytAWUtc788w5EXCQJh6FLiD7P3M3VPVpW2sl,False,0,False,iplayfortnite483,False,1698673184,1698675072
4782,1051,592,0,103,103,1,0,0,0,False,6953206917759042566,False,False,False,0,MS4wLjABAAAAJFjOGYePSL5wsB1RSx1_3JvBl5jlU0cx4Q1AN6-BR6S_2LabscNVyj6u8AXrdPwe,False,0,False,puthysniffa,False,1698673184,1698675072
1006,1056,67,0,538,538,3,0,0,0,False,6944642238602347526,False,False,False,0,MS4wLjABAAAA7dNdA1FD3ulkRmeH9R8xoTT9ZenoEjHYOGYRttB6pyJniw2NRzCvDAChp0n9TI7A,False,0,False,paco_akr,False,1698673184,1698675072
730,11000,70,0,6299,6299,2,0,0,1,False,6921470952351204358,False,False,False,0,MS4wLjABAAAAh5j6rLxe5GFEFBQ3JESP5kaDeGIPLPthDEx_wkizolYUtVLuQ6vkVibUrs-xvuqN,False,1,False,sa2official,False,1698673184,1698675072
