diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,10,0,0,3,3,11,0,0,0,False,7295644269477938178,False,False,False,0,MS4wLjABAAAAzrisz8TU7OrwYf6gcp9HuSfgEunWx7qDz3WC4V3LiqPPC_fn2rnvjxL-pSMj_Mmy,False,0,False,rakib35072,False,1698649345,1698651300
0,12,0,0,3,3,12,0,0,0,False,7068138065592992773,False,False,False,0,MS4wLjABAAAAo9Xp4krHXy3aYR9h66UZw-Xe7z83fyOdQB3i0_Z7U8xUtTZia7Sdlr9xEIeZQKuy,False,0,False,koyixwcdo89,False,1698649345,1698651300
0,13,136,0,0,0,10,0,0,0,False,7295643630299251714,False,False,False,0,MS4wLjABAAAAqRzt8sC8Fm0uZZnYwHj7WXdW9imvHNQ0LM2FlAA2PSOjH__BsPAAs2XlBpEHE0VG,False,0,False,rakib2607,False,1698649345,1698651300
0,1357,0,0,103,103,5,0,0,0,False,7292729436972696582,False,False,False,0,MS4wLjABAAAADIvSAQ9KKFVFjb_HFAsycpQQUnnJKmF2GcixbwylRduxbEEQCP1FXi36T_SfBA89,False,0,False,nuluepredchi,False,1698649345,1698651300
1,1328,0,0,0,0,1,0,0,0,False,7292729817538495494,False,False,False,0,MS4wLjABAAAA-8pl9hrrCuHPEFoyuZLfCEz52AsMMv98vqxJ_qpssHVqEY1PRAwWJT2xsOuREoX1,False,0,False,drbakonatorttv,False,1698649345,1698651300
4,10800,59,0,7467,7467,123,0,0,0,False,7277066287977432110,False,True,False,0,MS4wLjABAAAAVV4YfJLqTnNhGslToCsg6iuaLaY7y9Xc5yGl4Us6LqAmsu2QbsdOIrntdEeLdTtB,False,0,False,manimahi700,False,1698649345,1698651300
0,1286,0,0,0,0,0,0,0,0,False,7292731388028224518,False,False,False,0,MS4wLjABAAAAnDoTP-Yd2S8RvSebjQHRq7am2TMOddYlXU_9vsnRXlvNIhK4Pw1Aw-lyBow2AsIg,False,0,False,roesruyo,False,1698649345,1698651300
1,1289,0,0,5,5,3,0,0,0,False,7292731304436532229,False,False,False,0,MS4wLjABAAAA8HS7o1fpDy8LAabjpPCbdhQc7Dux1tgiTjMdnbsPRMNPD2ET2B2YrORV0vZ6BjQA,False,0,False,zuitannu,False,1698649345,1698651300
2,1302,2,0,5,5,1,0,0,0,False,7292732371106153477,False,False,False,0,MS4wLjABAAAANqWJN5vYUIay6i1Xd4_u-4IWkAzDxaZ59RolF9ZvZA9t5EXfrBK7M9UZJ0-qaT6T,False,0,False,rusoporzu,False,1698649345,1698651300
0,1350,0,0,0,0,0,0,0,0,False,7292732633095832581,False,False,False,0,MS4wLjABAAAAfxbdAdYAuwTNqynGAz4IyP0Xgu4nbGfR5Nmm5q6n8_IpcH3pO1Yz41r9jav-CmrD,False,0,False,otaiphago,False,1698649345,1698651300
0,1290,0,0,0,0,0,0,0,0,False,7292732916575650821,False,False,False,0,MS4wLjABAAAAt4jIGs1cn76RZvp9yBclpm8VpBpQsHblRBBV13vTxglb6e3cX0-VhD8p14MitcEK,False,0,False,sobhagdicde,False,1698649345,1698651300
