diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2,17,476,0,22,22,14,0,0,0,False,7296907183928067078,False,False,False,0,MS4wLjABAAAAm7T8AU0lPK9tzXotmCCbNe8ZFimoJh4uc1zTGJfiKEzRyvwP6s75me8PLRUNW8RD,False,0,False,neelammuneer0349,False,1698772261,1698995529
2556,5058,9909,0,1803,1803,9,0,0,1,False,7022764104159544326,False,False,False,0,MS4wLjABAAAAazzV2m5co4_QVkBWRWcHk0DSv3nWmbYPsPXaTo_oS5y5O1zEiTZuLdbe2vehsXAE,False,0,False,userj4zxuro1gj,False,1698772261,1698995529
3284,10700,5633,0,18100,18100,48,0,0,0,False,6599683033626853382,False,True,False,0,MS4wLjABAAAAcX4HdG8RsOHxmSMtb1IDG5PjlFHSLm4nC9Pv56InTzwYUDfEIdRrKsVTLly4WaU1,False,0,False,ranaumairahmad4,False,1698772261,1698995529
23700,60800,9432,0,484200,484200,1182,0,0,0,False,6906643622364922885,False,False,False,0,MS4wLjABAAAA5YXmvr7tuPdehmvW-J36_YSsJRMXpzmfBxx2fehCM-GAbsx18hRoHh4GqD47rSWG,False,0,False,juanarriaga078,False,1698772261,1698995529
4411,119200,9916,0,52500,52500,1072,0,0,0,False,6834624479462425605,False,True,False,0,MS4wLjABAAAAJpivQ63vW395_--CX_MMwYniM8OdH0x13Cz6nzqY7t0qssOrLBgiiWR8smhkPMY7,False,0,False,gmoraentertaiment,False,1698772261,1698995529
684,6629,3552,0,4823,4823,82,0,0,0,False,6959623164347712518,False,False,False,0,MS4wLjABAAAA0exodr59pz28G11ALj4NM_inD5U2SFxusWmJAw-ICAktTckrclNN25Ezbcblv0Rs,False,0,True,tm42057,False,1698772261,1698995529
1249,423600,540,0,7000000,7000000,785,0,0,0,False,7087645967123678254,False,False,False,0,MS4wLjABAAAAGAHWysBAUA5HL2nXpqb9SA2yVIjLQMJBIuHkdvULqgqkAO77zhP_9W5oDqW79Kpg,False,0,False,ashleysmixon,False,1698772261,1698995529
11200,1950,6241,0,3928,3928,4,1,3,3,False,6985929632852788229,False,False,False,0,MS4wLjABAAAATzKMl_yFaU4WYpXU0sGBsFx7xct9P1_fM23tANGUpfFi7thIsG2WULmyOrcRbrTD,False,3,False,egirlswirl,False,1698772261,1698995529
11100,8624,4493,0,23700,23700,102,0,0,0,False,7129202522430047237,False,False,False,0,MS4wLjABAAAABcAOkjS1VV24n4vAKy3Sd1LDzJM7RgQlF2f6bpU17PLu82yHmcpgngLHzoFuW3g-,False,0,False,olivia__and__co,False,1698772261,1698995529
3118,10200,9920,0,5716,5716,212,0,0,0,False,6827550108964799493,False,False,False,0,MS4wLjABAAAAgaxaZl6msqfNuXx__gr3LbV1COb6bJH0q_YjmIJyqdzRaWLOlo80TIjDlwS2OX5W,False,0,False,dinumarian007,False,1698772261,1698995529
8379,5521,3316,0,11300,11300,93,0,3,3,False,6832006916676813830,False,False,False,0,MS4wLjABAAAAY76EGQu1x9_fxGNoo6CSTRuRgtPQIlhyRdRsX_QZO7uPiFLGV1BDWLjTq_bPg4Hf,False,0,False,key_stone_ren1,False,1698772261,1698995529
6877,6657,3411,0,9844,9844,108,1,0,0,False,7104179156908393477,False,True,False,0,MS4wLjABAAAAgJC0EOuN8FHUiwNKFQ65QkO2Rog_NAGqqT_dSO2negwiCmVYcy-5J92gzHMPYXIa,False,0,False,cumadmrors,False,1698772261,1698995529
0,13600,0,0,15300,15300,145,0,0,0,False,6910882323530253318,False,False,False,0,MS4wLjABAAAArKZ1tbEiXtsccctGZ0LOFhXOkbLp0ebfScp09A5I2TQD4hNq0zKGW0iCmNV0GK2X,False,0,False,alziadiq8_,False,1698772261,1698995529
408800,281000,9897,0,1100000,1100000,408,0,3,0,False,6796773712260940805,False,False,False,0,MS4wLjABAAAAAKqrKHhH-uA6TVG2FO_XP1IidDNwz6viBN1HrK6YbDj3oGpKZFuqCdvWtixBQxaB,False,0,False,uy.2a1,False,1698772261,1698995529
28,2659,17,0,35100,35100,497,0,0,0,False,7053752177164960795,False,False,False,0,MS4wLjABAAAAJdywj4Pt7aL2umXsZyUGUmEgupIhskv3FpjQkt_4mpJCLDoPNnUi5lYk-iGDL7tU,False,0,False,sksportsabbottabad,False,1698772261,1698995529
123,1814,61,0,52,52,40,0,0,0,False,7288139043174810666,False,False,False,0,MS4wLjABAAAA7lhoxO56aP1Xy_6C8VdpHp7GbEiNxg-YHdVsF96wXhNfUd9EHIgKO7TdrjdLwGih,False,0,False,mr.whitesfinance,False,1698772261,1698995529
3,319,1,0,83,83,21,0,0,0,False,7295264083913606186,False,False,False,0,MS4wLjABAAAAef_oeUVGC8yNCofiHbom9MHR1OG-GWoBsnTksafXcrkFN--rYIz48FTuC7-Z_CEF,False,0,False,sexy.and.hotgirls,False,1698772261,1698995529
68000,19000,43,0,438700,438700,1099,0,0,0,False,6891319926909748225,False,True,False,0,MS4wLjABAAAAG3T558ULxdL6vePJMIOBeSRaACM_vEL5gC1kxGLVvcMiMf116TC8PhH5RFlnQ6YY,False,0,False,rizwansaleem314,False,1698772261,1698995529
22100,1243,2,0,3400,3400,35,0,0,0,False,7195226657229636635,False,False,False,0,MS4wLjABAAAA8kSjM6Df_jgmRh85ynkUV5IEPhZ6-ys5k9ygJOAWiT4gH7gGYdIWToRDWz1kB7GT,False,0,False,hamza.m70,False,1698772261,1698995529
8719,1297,696,0,13700,13700,346,0,0,0,False,7154942070419014682,False,False,False,0,MS4wLjABAAAAJMIsWQGlD1e5XtQD9IsVx1JRlFqYB6lxyNFXTFOUY_oEeq9m1uyfXGl62auAbGP1,False,0,False,fahadkhanzvlog,False,1698772261,1698995529
2135,6292,1425,0,1699,1699,50,0,0,0,False,6648664463091171334,False,True,False,0,MS4wLjABAAAAYqf3F5rLM3QDurv7iBGDpWENEJmc-H49Pq4pIAPcu-4CNNsVM878tliSavzkOTCD,False,0,False,ahmadchaudhary13,False,1698772261,1698995529
16400,177000,5697,0,234100,234100,534,0,0,0,False,6816935295176246277,False,True,False,0,MS4wLjABAAAAhXEVLpYwECSDZ7jGaW-DOGZqAUZ84HiNzEbQQJDYjcCuePqblU8n0kp9QODFx4g_,False,0,False,chibimoko,False,1698772261,1698995529
69400,13800,2665,0,6869,6869,1175,0,0,0,False,7117062589071492101,False,False,False,0,MS4wLjABAAAA_yTuh06QfpNrPqtiSw7gwnzkNczg5T8fpNYtQByhQBLXvhMwRvE1JQAZQ4ghU__s,False,0,False,jorgeab63,False,1698772261,1698995529
22,11300,2411,0,2080,2080,77,0,0,0,False,6933183902723310597,False,False,False,0,MS4wLjABAAAAtBfXLwRYUzjULLeDHiVoPdmtxmRe2oM1KEYME9CZmhCp0EaCWrmKAvySJu11KJ9T,False,0,False,user9785132212641,False,1698772261,1698995529
6423,50400,2272,0,85400,85400,18,0,0,0,False,6816238689754285061,False,False,False,0,MS4wLjABAAAARf0VzxLxhGmTJIJD9tJNf-WhB7k1NfNave4X_V6PyVhvzCQ4S_67OWxtBGgMM-yz,False,0,False,alexanderpr94,False,1698772261,1698995529
1014,11700,7942,0,5849,5849,426,0,0,0,False,6789717073976804358,False,False,False,0,MS4wLjABAAAACetYWE0fUdM3T5-fyvMNRUW1W7A6iX22rk_0TUaZCXYZ_N0xoCLtChbKvw6WA2Fg,False,0,False,electrotp,False,1698772261,1698995529
2228,1596,82,0,9053,9053,36,0,3,0,False,7981364,False,False,False,0,MS4wLjABAAAA0rJIoyBBAhM6I6Kl9eVhGeRYlC4V4n0zKr1t6p9ITEs,False,0,False,vallyswrld,False,1698772261,1698995529
5895,111800,315,0,1700000,1700000,413,0,0,0,False,6754184917359428613,False,False,False,0,MS4wLjABAAAA5AdyM2PwWAnQ6A8rlVIENzlqI8dgvSohiSw343SdcgUa40cFabWAhukZT2w4k4OW,False,0,False,dceyoungwrapper,False,1698772261,1698995529
631,1035,1293,0,8439,8439,127,0,0,3,False,6934265362053743621,False,False,False,0,MS4wLjABAAAAtCrQuzaPpqByr9q8uOTlQKeb_xE55pLRfTXCDVUFY_eEXaO5gennkxLuxlRlnvhL,False,3,False,tiktokuse467,False,1698772261,1698995529
39700,7483,6067,0,33000,33000,94,0,3,0,False,6823453591257515013,False,False,False,0,MS4wLjABAAAAbUYSRie39fy5-oueuCZMdkUtQA5knuK9m67pmeXJjqdh8-QgNmkJwojwNsV4_v5m,False,0,False,aziz_officiel_top,False,1698772261,1698995529
1880,8413,3430,0,50200,50200,79,0,0,0,False,7291434158882604065,False,False,False,0,MS4wLjABAAAAkomivigDEloPKeKELMG2IGWux55DAq8l6NQKQJyBXaoW0eIOBkZvbTLAQjspU4EU,False,0,False,nisrine_queen1,False,1698768636,1698769825
149600,19100,9323,0,36600,36600,58,1,0,0,False,7023478326241985541,False,True,False,0,MS4wLjABAAAA-Lu3KuJdCe6rXBjloILw3y3C23d1IhtnNAElklV_9djwgEsZ_6CiarG2fTMNyDtk,False,0,False,wagdyfara,False,1698768636,1698769825
14100,19100,1542,0,22700,22700,32,0,0,0,False,6670573011810156550,False,False,False,0,MS4wLjABAAAAYFYnxpMDG_VeP1Q9TLVY7FpaemPKWDkNpxB0Tnu7vFq8o30gk_o6PAiLIuntYh_h,False,0,False,sf_6677,False,1698768636,1698769825
18900,11300,9990,0,2519,2519,28,0,0,0,False,7158764926730470402,False,False,False,0,MS4wLjABAAAAbform8f11ghnG3FfdpgjgBUxcbD0XVWO5yRnCWh_xlZxVwZO7usYEWQ3xQCSqurm,False,0,False,user3806523991661,False,1698768636,1698769825
231500,228800,1596,0,1100000,1100000,404,0,0,0,False,6725438363816002565,False,True,False,0,MS4wLjABAAAAY9ybxd3kFwp79wFRga5vlfsfLxWcQDkzXi7kVMdCU-qrJi_-U5aN2ijfUzVHD-d-,False,3,False,narjes00000,False,1698768636,1698769825
