diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
11100,8624,4493,0,23700,23700,102,0,0,0,False,7129202522430047237,False,False,False,0,MS4wLjABAAAABcAOkjS1VV24n4vAKy3Sd1LDzJM7RgQlF2f6bpU17PLu82yHmcpgngLHzoFuW3g-,False,0,False,olivia__and__co,False,1698798530,1698799110
28500,2889,1338,0,46900,46900,65,0,0,0,False,6767177657194300422,False,False,False,0,MS4wLjABAAAArUz7JDupJ1WEVXvVt_eM4YxuMpGU2NFMR94xrusDz2gSfeQR-lZ3u-aZFo3ivvxR,False,0,False,javyncamille,False,1698798530,1698799110
196,147,0,0,34,34,3,0,0,0,False,7277607474311824416,False,False,False,0,MS4wLjABAAAAF72NdMpvrzNTVNuuKpEEnG3siPql1QT5rDxhMdzlER5EmCPMShCFDOKkBIS6xkNO,False,0,False,noemi.ptrvcz,False,1698798530,1698799110
194,566,1144,0,144,144,18,0,3,0,False,6790931203866444805,False,False,False,0,MS4wLjABAAAAmWNQpzNfemwiq2cVyzV2ksyZedetDUc7ySk6qB9PUwZIsslleNIE5tsuMZ1vJ6KJ,False,0,False,juneyt_tiktok_star,False,1698798530,1698799110
8379,5521,3316,0,11300,11300,93,0,3,3,False,6832006916676813830,False,False,False,0,MS4wLjABAAAAY76EGQu1x9_fxGNoo6CSTRuRgtPQIlhyRdRsX_QZO7uPiFLGV1BDWLjTq_bPg4Hf,False,0,False,key_stone_ren1,False,1698798530,1698799110
54200,3915,1177,0,26600,26600,258,0,0,0,False,7147302070788998149,False,False,False,0,7297669641797749510,MS4wLjABAAAAXWLGeef8NTx1-ghizMygx0SZ1kY3ze2O-isqhD-dmDSkCMl4vwyfZ_FYNbNpSk6L,False,0,False,theorigdomo_,False,1698798530,1698799110
3118,10200,9920,0,5716,5716,212,0,0,0,False,6827550108964799493,False,False,False,0,MS4wLjABAAAAgaxaZl6msqfNuXx__gr3LbV1COb6bJH0q_YjmIJyqdzRaWLOlo80TIjDlwS2OX5W,False,0,False,dinumarian007,False,1698798530,1698799110
7642,13600,3774,0,7765,7765,12,0,0,1,False,6618121401718308870,False,True,False,0,MS4wLjABAAAAQEpfCdsaNa2MTnIhFfEu3PhH6pZsq9niUe-rYI0o4nnoxWxroeO-8u-KY9jsRJae,False,1,False,brezzers.movi2,False,1698798530,1698799110
3734,3486,1058,0,2620,2620,83,0,0,0,False,6813677189700994054,False,True,False,0,MS4wLjABAAAA5Zkty9-IbnNAkvWS361ol4zsp4cqA7c_GguMOS2Stt0aEWpBA9B6HAwYdWjFkHag,False,0,False,toya_bell,False,1698798530,1698799110
689,83800,1418,0,49700,49700,14,0,0,0,False,7165812866221212677,False,False,False,0,7297582064981773057,MS4wLjABAAAAVVYtGHFRNEje181kl5pzfBBxnkLLeUopGoG6xUTRSRPTR1J2g-C7_fBKR5UICO9p,False,0,False,diva70sh,True,1698798530,1698799110
14500,20200,234,0,23500,23500,204,0,0,0,False,6862846767311569925,False,False,False,0,MS4wLjABAAAA7TprisVeb6N9uMkcpc9hYXqLBQJ9bNmdAOEqr6_27tLDMlsU0v0l5ivGnJTVBMy7,False,0,False,javierpico18,False,1698798530,1698799110
9551,9476,2829,0,20500,20500,314,0,0,0,False,6687360736932496386,False,False,False,0,MS4wLjABAAAAwrBNEZchvT_hGfiAd8nN32sgciz_3UWs_H350hUEoOx3Wy7-z_REF-T5uRmjI63H,False,0,False,maimai.hero,False,1698798530,1698799110
