diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
180,2658,21,0,2737,2737,12,0,0,0,False,7019039348637811717,False,False,False,0,MS4wLjABAAAAYM9rfJ-FZ0FLgOUB49eFnqS9WRfTZcJfy_DuAHYN6fZJQNA1gtRZepcXzN-9Wiru,False,0,False,sirajk84,False,1698792545,1698793316
19600,1894,64,0,679,679,0,0,0,0,False,6837388281534825477,False,False,False,0,MS4wLjABAAAADJM34ujPPXhbjlY18pBrgkssh1B2VISgDwfjTtDRSbH-s1t9-M2OIRuCW_QS_Z60,False,0,False,codru4tt,False,1698792545,1698793316
85,1117,67,0,163,163,10,0,0,0,False,6951586731137729542,False,False,False,0,MS4wLjABAAAAWHKwtnYowDCWIZ-mmx1htHH2JlR4v9lHy-0i30P8L_UkwVKGUJkUtptlYPdtUor6,False,0,False,moweestik,False,1698792545,1698793316
0,1059,3,0,75,75,14,0,0,0,False,7133605451594187781,False,False,False,0,MS4wLjABAAAAvDoRRlkmDU4S0oPId0AUlHtEWSfUmD8BEAtOA4aFIgLwlXvylSlSCRJ0XiS40mNx,False,0,False,mmiinnovations,False,1698792545,1698793316
29400,2482,186,0,174500,174500,29,0,0,0,False,7060112120024810502,False,False,False,0,MS4wLjABAAAAeN58aC_VGIwVx9ZfLXjT4W7W7V4GTixZgK77Potsu933gd7UUg99tXr50hkKoZzW,False,0,False,moraddd_6,False,1698792545,1698793316
54100,508400,271,0,3300000,3300000,94,0,0,0,False,6826959682558166021,False,False,False,0,7297640003817999106,MS4wLjABAAAApZpO1-eAaI38fxWtVjhcptUZcpi-95plkO-Gs4htpF5v_ukscCjm50dRcSExqiQZ,False,0,False,flareguntv,False,1698792545,1698793316
759,6379,353,0,4370,4370,14,0,0,0,False,6935434442081223685,False,False,False,0,MS4wLjABAAAA4Q8bdVGy021V71AzrwldLxevGpdbGbUb9BMAbCbIt5jdRXv8DLk5htvKs_PUH-Ja,False,0,True,antagunn,False,1698792545,1698793316
26,11300,0,0,1114,1114,6,0,0,0,False,6961422775840834565,False,False,False,0,MS4wLjABAAAA45rqwt2188ABkVdRSFwRnq62-QMFDUnv4-mD3rKYbGdQwWD_dd7Ag4jrrQ6-HNg9,False,0,False,mundo_universocurioso,False,1698792545,1698793316
91000,1409,342,0,2751,2751,62,0,0,0,False,6813335955568886790,False,False,False,0,MS4wLjABAAAAZ-45j4DF9TLXwq5HIMdjpQspyJ66jP7h6KfWKtRKzsH9mEy00YZVvBAWt8Mc9ML7,False,0,False,elurax,False,1698792545,1698793316
3937,10700,392,0,148400,148400,18,0,0,0,False,6781301994642621446,False,False,False,0,MS4wLjABAAAAdbLnppVbAVOpJz-jIm56GQuem0jOuVIag4QpMYeBBukWDo6pwZgc-64yBnDFqLIL,False,0,False,joana_mode_dumonde,False,1698792545,1698793316
3683,9984,273,0,9487,9487,326,0,3,0,False,6890260768690275329,False,True,False,0,MS4wLjABAAAAl04Tgy87KQrJgO3vNGt517bX9XC8rpL3gR4lNcyzhGiMduRWDQ9wpdXeNsiZtD2H,False,0,False,sevgicelezzetlerr,False,1698792545,1698793316
14,5461,752,0,12700,12700,3,0,0,0,False,7096942870540993538,False,False,False,0,MS4wLjABAAAAeqy6UxDYlI_xvQsBppzXKCOFjs-9IeY7BPkbuYWm0kNnG2EYnuWSP0g5pwQtvIPX,False,0,False,aj_caravans,False,1698792545,1698793316
51000,5215,807,0,303,303,0,0,3,3,False,6764440719761441797,False,False,False,0,MS4wLjABAAAAcaS_lNEomXAOsxqkaAbyo9dQoXLiwxTAYAAVOQVeE9FUVfai0GUSsyqaatxD6k-L,False,3,False,j0s.ef,False,1698792545,1698793316
99,2731,8,0,1902,1902,52,0,0,0,False,16083997,False,False,False,0,MS4wLjABAAAAGx03xEstTzj0A_qnp_yMjnzp9qHTDEzm9JTr-WVqdxQ,False,0,False,kbzonesallstars,False,1698792545,1698793316
