diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
245,1155,62,0,1339,1339,56,0,0,0,False,7217097534417208326,False,False,False,0,MS4wLjABAAAATxCsdqVERA5JT2_FxIf9d2kpMRwDfS-JfmqhzzjimLDRWTZ9XKOZCNL56_ZeKb8Y,False,0,False,user9162553388486,False,1699104202,1699104502
128,225,13,0,18,18,5,0,0,0,False,6999965218667742209,False,False,False,0,MS4wLjABAAAAdFLrJN6DAa7EekbNTUoWXFykerDbUsFe8K4wrEzIFbPBwuG2v-X_jf1eaji8Uifq,False,0,False,frm4rklee02,False,1699104202,1699104502
675,7913,79,0,27600,27600,159,0,0,0,False,6845742194499126278,False,False,False,0,MS4wLjABAAAAYCUR5yOufI7Ot_JMBftAu2OCRxuj-2oFn-Vgo2bdapxkCMX3nYg96UshXfXDLh7o,False,0,False,wejdshop,False,1699104202,1699104502
24400,74900,9820,0,37300,37300,389,0,0,0,False,6653871092967456773,False,False,False,0,MS4wLjABAAAA3mu0vS7jDFBqwFFPn4FCnxRTAWNMKNNMb5lfJ3URQg6uZxgjvJ0bF-zpcwyYNuIO,False,0,False,loreloremacumacucunch,False,1699104202,1699104502
39600,29700,112,0,1100000,1100000,190,0,0,0,False,6860774807907419141,False,False,False,0,MS4wLjABAAAAgC4y99aE0tRqBAGc0G7EfyGQMWfM_KoWVWweadWY8w5LWJkCUzE9Ca4IcZPOOIj3,False,0,False,vaniblanco_,False,1699104202,1699104502
8920,10600,6550,0,3224,3224,305,0,0,0,False,7173340692142687237,False,False,False,0,MS4wLjABAAAAU96AR599J9lH6HmxwZPcdzYxJZmPFACQueewtQ5o6bixGbagUgeDGOdPiZtUohpO,False,0,False,universomixes.com,False,1699104202,1699104502
0,7918,0,0,1982,1982,2,0,3,0,False,7116819027553879041,False,False,False,0,MS4wLjABAAAA_RjFpSRC1yBsR57aD3pCaT3gpgyTqfhUXMTO_FaPV8AgTZvX9QnQqG61NzuumUJq,False,0,False,ooohsorusty,False,1699104202,1699104502
8017,5927,3554,0,1804,1804,111,0,0,0,False,6888465228495111173,False,False,False,0,MS4wLjABAAAAUbh-jg1vhbudgEC-OMmPcpJH1qahxvzX7SCw-O3zI4_j-4KXYIKP0IIX1FXcbtgP,False,0,False,assassinff6,False,1699104202,1699104502
4,736,13,0,4,4,1,0,0,0,False,7278430317349127211,False,False,False,0,MS4wLjABAAAAvUINoTFKBrPT9XgxUk8LEramt7mGN-ogRD7K1xkTXm7ztDthq9neqBVpASbdg5w3,False,0,False,kendrickdantemusic1,False,1699104202,1699104502
2002,4186,2899,0,1458,1458,81,0,0,0,False,6871365706048799745,False,False,False,0,MS4wLjABAAAAwaVInIkVIQOyUJZ2vZtcvcwo6ytSaCB8Tu9agiOoXIUDP6N22i19s6q881rMzXNu,False,0,False,jack.bautista,False,1699104202,1699104502
