diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2981,8753,2762,0,1839,1839,72,0,0,0,False,88246775907540993,False,False,False,0,MS4wLjABAAAA0ajlaDLNQM-O8WgbXmXlGu714Am6rH2nnWDyrQ7HHF-HhGjL_3UFten5tOBS_yXU,False,0,False,casa.maroc.2023,False,1698979873,1698979968
520,4693,100,0,40,40,5,0,0,0,False,6792987682802828294,False,False,False,0,MS4wLjABAAAAn4TVCP_W-jd1has9sJgTPK79XeLwi4kw8FWcoq4v0X0P7cIwvJWdHDG3IBxxLTRy,False,0,False,lorika_russell,False,1698979873,1698979968
20000,1378,113,0,3224,3224,125,0,3,3,False,6804506246294995969,False,False,False,0,MS4wLjABAAAAywFlU0ohMXg8dUeNpSKCiuuxQlOw6Y114qJP7U-fU6pLJIU3wbkbETkx50rFbndK,False,3,True,lifewtdada,False,1698979873,1698979968
1,10800,4,0,5342,5342,163,0,0,0,False,7292426490845791278,False,True,False,0,MS4wLjABAAAAwQY029xwylAHmmKf66YcwLmlSmA0FwguYaU-AfORWvk1RFkSMP-21yX7442cj1xR,False,0,False,1entertainment9,False,1698979873,1698979968
9956,765400,424,0,24200000,24200000,2227,0,0,0,False,6915347950809957378,False,False,False,0,MS4wLjABAAAA8Tlvjv1bjCK3aV5LHzM6rAJWyF5FE_fnxpnrNW7vzaChoGIvhlD-qBFo3hue6yBt,False,0,False,fatoooooota,False,1698979873,1698979968
17600,33700,4485,0,271500,271500,274,0,0,0,False,6980759786980213766,False,False,False,0,MS4wLjABAAAAyxfUfh0xPB5WlzvKjpdhS4kJ4CPoxmxe5y01gRT7lIzDFQAlMp0GfBNaT7pd-ums,False,0,False,omarkhalifam,False,1698979873,1698979968
54,3720,287,0,3243,3243,75,0,0,0,False,7268399776738149377,False,False,False,0,MS4wLjABAAAA9IOiuO73T1bo5P4I1O9JNK7iupi3lXToGmqeTXNQSm7c29tJYiafoeyOFfl7rtkT,False,0,False,thrivewithnat_,False,1698979873,1698979968
0,12900,123,0,49000,49000,44,0,0,0,False,7287962189570720814,False,False,False,0,MS4wLjABAAAAVpLC0h708HbfPYSKGrg8kjdMv9OJHK8Kis-tqNxe-WlvwuE1aYuhLpfMrJ20CsYB,False,0,False,vonzunlogi,False,1698979873,1698979968
70,1090,90,0,71,71,7,0,0,0,False,7154878162940806190,False,False,False,0,MS4wLjABAAAAcgCMXgnwvZ2zE_DfXF3c2-C11sOUAElW3wbwu_Hz0ob9lBJbY88ZQEEyx0OjWaKF,False,0,False,kingbeast1222,False,1698979873,1698979968
20,9404,13,0,370,370,13,0,0,0,False,7293747242786243627,False,False,False,0,MS4wLjABAAAAbZ5SdjbxMrGC6-ECzQHZCbIgJl1Fam16aOmzytl_oWfGtxM_Cr79MqmmG7iQ1-21,False,0,False,ayesharajput1255,False,1698979873,1698979968
600,23800,9361,0,31700,31700,146,0,0,0,False,7164866655280055301,False,False,False,0,MS4wLjABAAAAQNWByqtT40UwuVFU1-ePk1keJgzYsLgvu_JN084iFRyjD_6YONBnDrmYQPGIhe1y,False,0,False,xaviersunter,False,1698979873,1698979968
634,21400,5150,0,73400,73400,150,0,0,0,False,7222039609403491371,False,False,False,0,MS4wLjABAAAAZxyeJYfiGQjcIMLdQgd8WUpmxgQbRbRG72wKQqpy37QXeKO68gUmAtMnyx4c0lWm,False,0,False,juan42arriaga,False,1698979873,1698979968
104,10000,12,0,816,816,33,0,0,0,False,7288698060274877483,False,False,False,0,MS4wLjABAAAAOAzHUpjPXfZqhtryFbSrYceeEqRfcPYYpMG3AAyzHM5I2To6cSt0Z9l64f2yeqg6,False,0,False,howaboutpalestine,False,1698979873,1698979968
30500,11000,197,0,1378,1378,5,0,0,0,False,6767533875545867270,False,False,False,0,MS4wLjABAAAAodXNzN3CKmZM-NGUtKobm_yHB339yTgSD4doSbvY2UbK01DFPOQV7BJgjMVJJWh4,False,0,False,nynee.mt,False,1698979873,1698979968
8,10200,2,0,29,29,1,0,0,0,False,7296585077873017898,False,False,False,0,MS4wLjABAAAAvtmd82GYbPVQ3S-krYAlq7vbeunQ5an8ZgSBLhEup7IGCDjcCW8nWOD93JYlBA9R,False,0,False,mexicanbarbie_,False,1698979873,1698979968
38,7780,53,0,186,186,4,0,0,0,False,7208858075481703430,False,False,False,0,MS4wLjABAAAAwKn_N9A7FLZnYzuGVkw17JcRP2XmRnJWDm_p52H7eunNYXriQXmCjHzwFM97fU3V,False,0,False,attilaefe,False,1698979873,1698979968
324,5004,13,0,86,86,16,0,0,0,False,7252819655365149702,False,False,False,0,MS4wLjABAAAAGMLlp3EaPyxYcqBW4Kh9ZXsxNggXXPnGVUGLxSFGMVjNTWr48cyWFvs4oJrKW4QG,False,0,False,user2912593975184,False,1698979873,1698979968
30600,2075,1343,0,3094,3094,4,0,0,0,False,6813905608363082758,False,True,False,0,MS4wLjABAAAAG2_XLcx1zXcwIiQ3NOV4f6eVOBFUcw5R7jWkzMltq4aba7Z8DhvnYhzbAcL6dLDb,False,0,False,_.kiora._mommy._,False,1698979873,1698979968
2157,11300,958,0,8257,8257,84,1,0,1,False,6797500263180551174,False,False,False,0,MS4wLjABAAAAwIwW1bKPkG4aJbMYV2CsgwnobggfyqKpcObl6Q5_1C0QUwCD3OXdP7wvyZ-SukRE,False,0,False,lipicanerlilla,False,1698979873,1698979968
1490,5256,300,0,826,826,43,0,0,0,False,7142520447430935598,False,False,False,0,MS4wLjABAAAAz8S6YDoME6ELCZ3j4SrLqBRrz44pXJLCB2ToVTAyRwQx4StJE3DDm3XtBdNKziPE,False,0,False,melissa98gh,False,1698979873,1698979968
3362,10100,1662,0,2844,2844,17,0,3,0,False,7019199565237453830,False,False,False,0,MS4wLjABAAAAw7OQ4PjJ6hWdeyUoVcItVnC3NJsBgk8I3_BfubtrxXlx7uhsMJjEHX5hWsgPPNvo,False,0,False,tbasstheory,False,1698979873,1698979968
2310,4691,2047,0,1889,1889,23,0,0,0,False,6980074226347836421,False,False,False,0,MS4wLjABAAAASNC-eB74CIwNL3XPKp3YpWJ86VtPO5pZMwwM0AxvOe7cY2P2FPiPamZwD96-FTQB,False,0,False,parularora.tiktok,False,1698979873,1698979968
0,7095,0,0,0,0,0,0,0,0,False,7292135564970427398,False,False,False,0,MS4wLjABAAAAFyCJ1bkoUI8mq6gjvL7gh1Y3JUBybyscgRv-kyo9T8sFhb4yKwFnAkQO2Stryyo5,False,0,False,brian_wilson94167,False,1698979873,1698979968
9999,12200,6965,0,6355,6355,29,0,0,0,False,7051939744964117509,False,False,False,0,MS4wLjABAAAAEBbh2plnqDff4JyTXaJlC-LklHL3WIC1oqmKp8RTOMRgfnwclJfbGIJJSGRRvQK1,False,0,False,axelaxel6612,False,1698979873,1698979968
215,5061,2,0,11200,11200,53,0,0,0,False,7291272559358313518,False,False,False,0,MS4wLjABAAAAKVFLWfTCyl2E5Vg3lou3sZVXV-bgUsiQTSuQtEjdhdGY8WFQTbcgAm5n_a5U5KyC,False,0,False,liveupdates84,False,1698979873,1698979968
3,3238,0,0,9,9,2,0,0,0,False,7296885593149162539,False,False,False,0,MS4wLjABAAAAUSeE7NkuGlZvzK-90tGSAydJBv9hyBjaqsBoa1--1vVhwyYkAGNKBBHS1jAtn-WY,False,0,False,overateddh,False,1698979873,1698979968
11,2251,1,0,772,772,13,0,0,0,False,7295759506179408928,False,False,False,0,MS4wLjABAAAAV46_rH6rYL6j4wqa_pVpEXIGBB8be8jdJuDDO5csnt8CriEuBQTsTNlP2eG6BMQJ,False,0,False,fait.divers57,False,1698979873,1698979968
324,10100,38,0,93500,93500,125,0,0,0,False,7271954822180570144,False,False,False,0,MS4wLjABAAAAFtrbmqnjnfxORqQdP2sQ9zihZKRITnTXOV44q6tQBiULMAYYc4LSate4lzBNBrXT,False,0,False,elritano007,False,1698979873,1698979968
7194,196200,14,0,2200000,2200000,218,0,0,0,False,6538299626460550159,False,False,False,0,MS4wLjABAAAABu1LiWusSfqo70qnwQZo_E4Enl_3axTxlrLc_ira2UpiWd85E8YEdZTu5B0l2kSz,False,0,False,okkidilupo,False,1698979873,1698979968
4,9571,74,0,14800,14800,24,0,0,0,False,7272625033351758881,False,False,False,0,MS4wLjABAAAAQJsECvuckhPCC9hnzh6h9CeV3RwJfXn9OC92tHCCgSDrZyxBveJ0lDyg6ktwc4mK,False,0,False,storm_stores4you,False,1698979873,1698979968
84600,10400,809,0,27400,27400,62,0,0,0,False,6822625944013915142,False,True,False,0,MS4wLjABAAAABfH3H8IFap2UTD4FdG9EsNkIubF_hpT9UMJWb94Lou-Emd9FZZ6mdwH5IklJzl8U,False,0,False,shakay_22,False,1698979750,1698979870
120,6280,443,0,24900,24900,148,0,0,0,False,7287990782232200224,False,False,False,0,MS4wLjABAAAA-26CJxNlgO5XRp-toceI2ZBO88JrpWVx9RLFjAH9kSg22Opv7GfzCzKTB8n4Klfu,False,0,False,krakosse,False,1698979750,1698979870
0,2843,1,0,4110,4110,7,0,0,0,False,7296642831136719873,False,False,False,0,MS4wLjABAAAApcFZVQleb-q4nGxJb4c4fKL3BQpgiaAjnnLQ3KQNaorO6kyKl_TUxpT4w4b17CbD,False,0,False,kerrlles,False,1698979750,1698979870
17,2357,1110,0,0,0,0,0,0,0,False,7122866557709485062,False,False,False,0,MS4wLjABAAAAUHEKhGn2RNGvadCxqANnNRMo1oFmiIi5Felcn3shIdWSQ3V-5_RtPoZU8zDuFfMg,False,0,False,sugar_daddy612,False,1698979750,1698979870
27,1354,4,0,1941,1941,5,0,0,0,False,7163393655805445126,False,True,False,0,MS4wLjABAAAAlRLEm8pVeoA2jwT2CwQBUJbYW6qxi6kF-GOxM_-eRR4q-krbaQtzZJLHSdu1UaXl,False,0,False,kokodota26,False,1698979750,1698979870
880,1219,660,0,205,205,6,0,0,0,False,6622677552161226757,False,False,False,0,MS4wLjABAAAAy8UWr2fed0H1ai2Fc7i9E3M-igGvirlAlMjBljd7MWSfOebx3Rr8xsJ2K1Ea5DdN,False,0,False,yess_igor,False,1698979750,1698979870
