diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
4020,1278,30,0,12500,12500,11,0,3,3,False,7053905467396621359,False,False,True,0,MS4wLjABAAAAnEMwpu6duU85pEBl-d-koQVnhTM7TCZxnOrCk4sbcwGrrvcUd0jChD1lGC3WUhX7,True,3,False,jordynk.bailey,False,1699085227,1699123055
7,2266,0,0,62,62,5,0,0,0,False,7286301025563051054,False,False,False,0,MS4wLjABAAAAdGnLyrGhLwjwOsxuUv_eBswopT2VznikjcTntZ5lAf6kqWCHTBm-QeiaKoQkQbO0,False,0,False,zenna.rose.author,False,1699085227,1699123055
2,3047,3,0,13,13,19,0,0,0,False,7286774961041359890,False,False,False,0,MS4wLjABAAAAx1um9I05UAiX6gq53boXchEA8FftFfSVuIrdw28EjNr8qb3KCOWm0kWGbPYFgy3N,False,0,False,andri.nova.store,False,1699085227,1699123055
3,2187,987,0,0,0,0,0,0,0,False,7166121613270959110,False,False,False,0,MS4wLjABAAAASRlQev9GI4pW1sCNek5WtRFkBx-V1H3MCZ5HCpVus2QzRpiBWmiXecAHBZwwvCG3,False,0,False,rxq59,False,1699085227,1699123055
820,4741,1334,0,334,334,28,0,0,0,False,7292541920421037088,False,False,False,0,MS4wLjABAAAAFwae6GE8bCPSM1OmPDrCIEtsjnUY6_6yx2yxZHCAZP79W8fzk-UDJzp5vwEsBKZW,False,0,False,artetmetier,False,1699085227,1699123055
1463,1591,873,0,1276,1276,46,0,0,0,False,7172349301666104325,False,True,False,0,MS4wLjABAAAAot-EOnrgolXvm7GEXgIXX5AH9nGLT35_rEkSJfgv4oehbuUj9Xp1Zefm5YRIMTat,False,0,False,2020.02.02.miko,False,1699085227,1699123055
5830,2638,407,0,36000,36000,40,0,3,3,False,6801630529227670534,False,False,False,0,MS4wLjABAAAA3mhjf9KEDNiXLH3pQmvnClt5RrrDJY8arJA8hNn-HcI9iklPLNvdJHjCCzEONJMT,False,3,False,s21_s8,False,1699085227,1699123055
36100,2412,379,0,12900,12900,233,0,0,0,False,6955095053892633601,False,False,False,0,MS4wLjABAAAAXX_tFLDS8h6Ou3BfH93awt0gBzRV0oj2Ke9hCDpdg4nZkNJ5JozKwhMnG4lpx5aI,False,0,False,fahadzbdw,False,1699085227,1699123055
280,291,25,0,130,130,8,0,0,0,False,7295691421742236677,False,False,False,0,MS4wLjABAAAAgBEsa9T1BqBr0EykAWmBMZOaPanRj1hqDo2wn6mG08UF_9dTC3X_zZI0VgdCYoBF,False,0,False,denol347,False,1699085227,1699123055
4953,1067,44,0,3449,3449,43,0,0,0,False,7044924023273063450,False,False,False,0,MS4wLjABAAAAz84sETxDnoEFm7PqD_ZA5PvHoV5r1WZyJewKjBtP7hipbc8az7Wy2ZzzBmlor7rd,False,0,False,imim_20200,False,1699085227,1699123055
1582,2075,8,0,47700,47700,1,0,0,0,False,7237856052221117442,False,False,False,0,MS4wLjABAAAAoEVOR6yQehdUNZ7kqxUGRMatEZNV5E6pyhBhLn4MHh_Nl7geGVHyAXPAGxUqupHB,False,0,False,love.money000000,False,1699085227,1699123055
1700,3410,1200,0,569,569,24,1,0,0,False,7031331770416448518,False,False,False,0,MS4wLjABAAAAFbHi1M3fheR247Q_wzWkfSiyxGh2SvFMUSrIOVhPyGTvJ5b-QrceSzne9FIdFy9_,False,0,False,ahmadabodalw,False,1699085227,1699123055
11000,167500,275,0,3000000,3000000,1275,0,0,0,False,6894778356001391618,False,False,False,0,MS4wLjABAAAAScg8wSsOjc0pMpMSrlBalvb9nsd8knbSEUQk31P0TkZC9WKX1FlKqwvPDSPVERg2,False,0,False,wearethelavers,False,1699085227,1699123055
819,1226,122,0,82,82,7,1,0,0,False,6649677579241472002,False,False,False,0,MS4wLjABAAAA9ijjl6HToTwC2r9L8pn4lNOE-DeC6ihUvjlRcTPi74FjsXc47LIXUVts8s4f_zt-,False,0,False,sintaraa7,False,1699085227,1699123055
486,151,202,0,18,18,1,0,0,0,False,6820805574097388550,False,False,False,0,MS4wLjABAAAA4jBYfblmh2SRUnB70NmQLyse0qeqfNaYuPYGF4Jt4VBopfz_KDp8XZQ2qloBwVER,False,0,False,bouwleerling.0344,False,1699085227,1699123055
2599,1568,812,0,640,640,19,0,0,0,False,6748391188313162754,False,False,False,0,MS4wLjABAAAAioPcxc7BG_ztBdCIBsB98MmPFFzai-hlIKZJII22h1AiVIu6qjkTc23NO4toXEgm,False,0,True,in1cho,False,1699085227,1699123055
3009,4743,6,0,87400,87400,201,0,3,0,False,6962877302162211841,False,True,False,0,MS4wLjABAAAAbE-D1jpMqmkq4McBDjjSERcBRCG4MT2HWkuS4E5HHITlRFs7-QizXloDXxyzJ0fO,False,0,False,almawalaghazi,False,1699085227,1699123055
8951,1094,211,0,253,253,14,0,3,3,False,6882351207018710018,False,False,False,0,MS4wLjABAAAAguN6iRLdvKGCQoVp8mGpTFo193arhztHjLUuLA-r2ZirM3x_MlzzRTga9dQm8rcW,False,3,False,dedibili,False,1699085227,1699123055
1919,12400,27,0,13600,13600,81,0,0,0,False,7271669056871957506,False,False,False,0,MS4wLjABAAAAOYrTNP89IPRWclERtu89aSg82gm3gA7HTi4pJXEu2XMK_IQwmEyb5kUs9qP_YVGC,False,0,False,mohamadgameing12,False,1699085227,1699123055
8132,19900,1214,0,131800,131800,350,0,0,0,False,6821548840254456838,False,False,False,0,MS4wLjABAAAAnILVCejHJVnWKtvESAhh1YNOHHfb90sPJhBJsNM_7gCN7uUYZ5Nr88FxTjbIgrRv,False,0,False,khanbhi901,False,1699085227,1699123055
