diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
4020,1275,30,0,12500,12500,11,0,0,0,False,7053905467396621359,False,False,False,0,MS4wLjABAAAAnEMwpu6duU85pEBl-d-koQVnhTM7TCZxnOrCk4sbcwGrrvcUd0jChD1lGC3WUhX7,False,0,False,jordynk.bailey,False,1699025279,1699123051
856,2224,2367,0,3184,3184,86,0,0,0,False,6822669412295017478,False,False,False,0,MS4wLjABAAAALgyzB7HKu56Cp7D9QJ9tzrhr_uCf_SIW93tpYxO-hLaa4wyH0Mr1jGeZUImL6Qal,False,0,False,dnad04,False,1699025279,1699123051
738,9151,65,0,216500,216500,286,0,0,0,False,7050978937116574747,False,True,False,0,MS4wLjABAAAATFB39zAaUjTihDA_E0zJLkyGgLe4-y4RoXZrGsx8alSwivjcs9j229AsUriDq_hA,False,0,False,stefanditjhang,False,1699025279,1699123051
1,13200,1,0,4822,4822,27,0,0,0,False,7291706993383048224,False,False,False,0,MS4wLjABAAAAwi1QSZwO50wV8iOFio-HORcrLDD-kfRED8RoAucCNwAAHzWHPz2YWUx0zL6hbvUz,False,0,False,rappel.islamique83,False,1699025279,1699123051
25600,5431,1154,0,6467,6467,5,0,0,0,False,6988050176690979845,False,False,False,0,MS4wLjABAAAAseb0x640OmRixUqljzvXtG05l9SoU1Y9JFfotuQy_ZWW8F47ccvZFr2E7N_TOys8,False,0,False,f1fsv,False,1699025279,1699123051
4106,1175,62,0,67,67,1,0,3,0,False,6846649944070489089,False,False,False,0,MS4wLjABAAAA126cgJcCA1SmA8wlHTLJAl6IZ_hUw2nriSUj-7BZm0k37XnuvpqwLk5gvEmDyB6w,False,0,False,rioopratama_,False,1699025279,1699123051
257600,1605,18,0,446,446,12,0,3,3,False,6822723121021584386,False,False,False,0,MS4wLjABAAAAVtM9DcaDsc3D3fol6Td2R0PEDj5gZsiegU28YpMiDYfevEBLvBW3Iqmm5VDSyBCL,False,3,False,sithha_,False,1699025279,1699123051
9027,13400,917,0,44000,44000,281,0,0,0,False,7049850653485761541,False,False,False,0,MS4wLjABAAAA5AwndEHulqnRDO2Y_HcrZkWb41tZi52eT0_CAMbg08YqzlKti1pV5Y8-hJRHo15h,False,0,False,asmaabarcelona84,False,1699025279,1699123051
5532,1629,32,0,714,714,31,0,0,0,False,6938439966138188802,False,False,False,0,MS4wLjABAAAAdb19JbOu86KnQSCL5fIIn1-VILQUwZqlJRRpExwO6UaqmCjvrTkHGwz7M_y2yok0,False,0,False,turneyonline,False,1699025279,1699123051
0,1178,0,0,3,3,1,0,0,0,False,7283173746902270983,False,False,False,0,MS4wLjABAAAAOlufyOsNvNZKGIFAZEe-Yj81dgP-YY_bpnMBeEFLFcoswVlhkDmImOtAUXKzJVW3,False,0,False,wk_shop_collection_brand,False,1699025279,1699123051
