diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
22000,11200,579,0,33200,33200,8,0,0,0,False,7178612744042923013,False,False,False,0,MS4wLjABAAAAnyIhJjLEfvVq_M4KPUQzwkPRtmpmVfzD64IGI39_hPqhfzxyOWyQ0BadOmarn0jG,False,0,False,a31_c,False,1698817408,1698817978
19600,12800,826,0,4413,4413,8,0,0,0,False,7070004438983230469,False,False,False,0,MS4wLjABAAAAJ-24Vf5p9NkaA1zl3bR8p4UQ9lBBdXzN50oHPZ-ChnQztqwjSeYMwwhjkgY3CTwj,False,0,False,lebinkstapeur,False,1698817408,1698817978
74,1191,23,0,0,0,0,0,0,0,False,7235078193942004779,False,False,False,0,MS4wLjABAAAAgASFpAUfUj0BbDluSy9HFj8DqqHFZX0IB6Hyuv2WNMoU5bG85BRSNO-gVA4qFta0,False,0,False,ipro1854,False,1698817408,1698817978
0,1040,0,0,0,0,0,0,0,0,False,7295752143091581958,False,False,False,0,MS4wLjABAAAAIAmJeWQm95TBnf3-UIctRX8_4CHgZZbLpKWUOMpe8b2TM-TF6GjZnkRNntKz5G_c,False,0,False,antonnn.ja,False,1698817408,1698817978
2257,2912,1401,0,2436,2436,46,0,0,0,False,7290236482962490401,False,True,False,0,MS4wLjABAAAA-ScqDNPxlmclOB286ntXxSaH-0f2MTWe4Mrz1uDnKlsDSWrEm8qJLZvDxFUhJva9,False,0,False,richy.drinkbeer,False,1698817408,1698817978
391,11800,35,0,22000,22000,16,0,0,0,False,7004829763379332101,False,False,False,0,MS4wLjABAAAA8nFG5ULRZp9l1sP0RhA935_R1L3g145o4uyAkiVfzA3QTrh-R7tZ2R2MtmO-U4-3,False,0,False,imaa0804,False,1698817408,1698817978
0,1045,1,0,1,1,14,0,0,0,False,7295757177292473349,False,True,False,0,MS4wLjABAAAAvkIkURBQC4hv8D3GfdTvvGNaaIKcr2XJ9jHQ3Z1Mr7r_FjIA3Op28XUPDdEVA_i4,False,0,False,homee.jai,False,1698817408,1698817978
621,5734,782,0,18900,18900,314,0,0,0,False,6858056520103658501,False,False,False,0,MS4wLjABAAAAFKpkuEZ_oHn9svJmlnUDaJl4rMeTld12dnF91QybeUq1c6pOPOKUnAD6rO8G0uIJ,False,0,False,affirmationai,False,1698817408,1698817978
0,11200,0,0,4054,4054,42,0,0,0,False,7289708888310924330,False,False,False,0,MS4wLjABAAAAI8XlhuGsC9Wws_1Gl_iR0MwCNYBmmP86TzuSYNNLVTPVbIOBOGgifWqUsvt0JmcU,False,0,False,mallorybarajasbjwemk,False,1698817408,1698817978
8,19100,65,0,582,582,56,0,0,0,False,6816990691555312645,False,True,False,0,MS4wLjABAAAA1x4Uulhtbro-ASb8YKTZCQ5BGzCqAd4XOwFh1PMl1kGKImoC8jhQ1RurfP6SriEm,False,0,False,jollyfoodandtravels,False,1698817408,1698817978
558,17400,2998,0,3081,3081,74,0,0,0,False,6732056681137800197,False,False,False,0,MS4wLjABAAAAyPRDazsuYkYuUDf094rYgGQNqq8SHuV4DNjnGHBv9fNVq1QY8R0_60WrzvKpvXS7,False,0,False,josephstepke,False,1698817408,1698817978
49,15000,373,0,1061,1061,44,0,0,0,False,6938545027183592453,False,False,False,0,MS4wLjABAAAA3UBg9G0bnHBXYCe9BhA-DJD8iQyj2Vq_RsmjgnTKz4s2ckikmNZN4SGyObkn5BaH,False,0,False,tomrothschild1,False,1698817408,1698817978
2,15600,50,0,4706,4706,19,0,0,0,False,7192902964414399490,False,False,False,0,MS4wLjABAAAAhfVp-vOVPtrWQF_yjD86GwEWNp6r9bwk6XLWDh-vLhd6m0X9cn8htFtvdK_tVo4W,False,0,False,erman_akinci,False,1698817408,1698817978
575,4553,289,0,10800,10800,56,0,0,0,False,7235035016551285803,False,True,False,0,MS4wLjABAAAAY0s_v1cHhAIoBidmtrqnS67mND8YtSIS-ONfdcA6aGEgvTrVZPV4oOgWVtzzbOzM,False,0,False,jourdcarroll,False,1698817408,1698817978
40,5168,50,0,8788,8788,36,0,0,0,False,7092975988141409322,False,False,False,0,MS4wLjABAAAAzLXVciOlB7lLoQ9zfOaj5X84M4Qvnjvcx3nIpeZ166S2-w1e1mtnSsruapWl0lpt,False,0,False,itsdannyblu,False,1698817408,1698817978
0,6582,112,0,0,0,0,0,0,0,False,220615857402449920,False,False,False,0,MS4wLjABAAAAgZ5XX70vjHE-J7rwpjsWyIDK0xK1l8ePiakTER7AMC4GLZYzGGzJrtFqtGkjMxUh,False,0,False,chayennedarlene,False,1698817408,1698817978
