diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1098,1626,36,0,2701,2701,136,0,0,0,False,6651075048705556481,False,True,False,0,MS4wLjABAAAAZsfG5FHxa1pVMRHt4YHD9zBXEPXeXi2sglpB0HYqWm-THYrCxxBcLQhFqi4YeKRY,False,0,False,pradhityainternational,False,1699078860,1699079113
1700,3410,1200,0,569,569,24,1,0,0,False,7031331770416448518,False,False,False,0,MS4wLjABAAAAFbHi1M3fheR247Q_wzWkfSiyxGh2SvFMUSrIOVhPyGTvJ5b-QrceSzne9FIdFy9_,False,0,False,ahmadabodalw,False,1699078860,1699079113
17800,10700,1094,0,58800,58800,448,0,0,0,False,6774847186985305093,False,False,False,0,MS4wLjABAAAAYP-ZxCzdFrqoRT-Q080TW1Xro7qcIXtXnVgxU6JoOsaaYIqRvkXIWa3yMRW93YCp,False,0,False,aguatara,False,1699078860,1699079113
5954,1265,212,0,726,726,13,0,3,3,False,6833201411309421573,False,False,False,0,MS4wLjABAAAAJ5CcsASBylxUGsW2u4HdNDMWRTHv8EwqBSXqrfcYyO1URc6IlnE4vI2-T2xiBuQO,False,3,False,nurislam.089,False,1699078860,1699079113
29200,5142,3095,0,75400,75400,21,0,3,3,False,6795507117899908101,False,False,False,0,MS4wLjABAAAABJraj4QCkjk8lMRyrAitTut7LhD2qzQjaCtQG1riatbrC0aPEA8iRQEo-e6G0lJv,False,3,False,..1vr_,False,1699078860,1699079113
625,18000,7053,0,5929,5929,309,0,0,0,False,7168848951729292330,False,True,False,0,MS4wLjABAAAAjNfrMed2zZfx2tRF_JKU8zHiLs4ppwABilPVei-JYgJS5UbJIwz6XZXR_Eia_92t,False,0,False,eddiemartinez6998,False,1699078860,1699079113
874,2191,7,0,2903,2903,10,0,0,0,False,6801050864952230914,False,False,False,0,MS4wLjABAAAAwtDUykMud9bVliRaEY8WS8eB39pd7WE7RKoGBYhG2QMka6rwH8Ob6_EQmTz5pizQ,False,0,False,wendi_triyanto,False,1699078860,1699079113
1702,2769,96,0,630,630,47,0,3,0,False,6951337557334770694,False,False,False,0,MS4wLjABAAAAbx3CJqfsR_0ioTyz5j0-uTb0Je5ftIr1KXLA24gqGZQ5XJ7y464aER9oMScCZ0B7,False,0,False,tonybottino98,False,1699078860,1699079113
820,4741,1334,0,334,334,28,0,0,0,False,7292541920421037088,False,False,False,0,MS4wLjABAAAAFwae6GE8bCPSM1OmPDrCIEtsjnUY6_6yx2yxZHCAZP79W8fzk-UDJzp5vwEsBKZW,False,0,False,artetmetier,False,1699078860,1699079113
2,52,2,0,191,191,9,0,0,0,False,7297261418105521158,False,False,False,0,MS4wLjABAAAA_KUuX9PLMBT5vtx5Di0wZxdRgKdFubc5Dbl6M87-UJdXc7NTlIokZnrNc1HyQbkt,False,0,False,taro.oo18,False,1699078860,1699079113
704,64,172,0,375,375,42,0,3,1,False,7210991536551904262,False,False,False,0,MS4wLjABAAAA_Dy1eXmdSrus5FWyEsU0ahwnlHut5RSTgCIS8RANJhSJ2xJhxHgQbxlQ5Oz4IHKt,False,1,False,user3595119388104,False,1699078860,1699079113
38,273,456,0,162,162,13,0,0,0,False,7294992924794160130,False,False,False,0,MS4wLjABAAAAKi6NRyFiAI48FV_UjlmDU0FjK6sb26ytp-J0fVxZbB_SDFu4p6uJGzo0qJV_hshP,False,0,False,lif.is.beautiful,False,1699078860,1699079113
10,1069,6,0,1,1,1,0,0,0,False,7285239544328094728,False,False,False,0,MS4wLjABAAAADjVy45r88pD8krWcCzX2zsr4GjCmONA9B-RDmq3ZOnBdzofRkZEm3QUKN4eMrAHM,False,0,False,batagor._86,False,1699078860,1699079113
486,7398,273,0,12800,12800,110,0,0,0,False,7112791518939350022,False,False,False,0,MS4wLjABAAAAdS0gQQZ5qf68NJvoSQEixCRGisV0INGVHPR4mF-B8FVGDvT40wNwYILGQNgBXWep,False,0,False,pautt.yt,False,1699078860,1699079113
3,6391,1,0,151,151,8,0,0,0,False,7297391128637195295,False,False,False,0,MS4wLjABAAAAnKcCOEn2tw4qxkjwGusxd8nrfEM3zsjYjD3OVPh5PGhViP-3FkNTfsjmS6Y1tdra,False,0,False,luxuryvideos5,False,1699078860,1699079113
0,2084,98,0,44,44,7,0,0,0,False,7296550646454436870,False,False,False,0,MS4wLjABAAAAlJj-YZAn7VSPiqjw5qaS8yIbo2HSjKJIp3-dAuEJVQVfeWnuFPd2y-RSB_a6uTyX,False,0,False,brittanyforcefan,False,1699078860,1699079113
233,5844,18,0,3996,3996,221,0,0,0,False,7149630333305848859,False,False,False,0,MS4wLjABAAAAGohGCRF38zytLLK5gZ3eyMJjOHxoUMLtWsSVdBS9AnBnydyqPNArhXxndk4foaUq,False,0,False,heryantoreal,False,1699078860,1699079113
29100,412,132,0,458,458,4,0,0,0,False,7008637135532622854,False,False,False,0,MS4wLjABAAAAqusT-wmBLMSzr7-vfIZkt9OxkG3XTgEAh794v3O6b73sOswxfOkx1-XLMWS6sCD1,False,0,False,hama_darbany68,False,1699078860,1699079113
2,1190,22,0,356,356,5,0,0,0,False,6959618035151111170,False,False,False,0,MS4wLjABAAAAMEVlMYMBrgoTave3lr1YKTcS1fpumX63zW1AfliSJcS0PLXXcv5Li7-pxd8osKJ7,False,0,False,annanum8,False,1699078860,1699079113
609,1183,28,0,2192,2192,2,0,0,0,False,7070754825654895643,False,False,False,0,MS4wLjABAAAAdUZE_Hnau1F-DcyOfjzxenDtgKbUsg4i1QDo3e7sl4sGt2FKGtWes7UgDKKAwvcG,False,0,False,nas_dgaf,False,1699078860,1699079113
0,3212,0,0,813,813,29,0,0,0,False,7293106302280320042,False,False,False,0,MS4wLjABAAAANocLuXB5cOIc8NQxlvQnP4CVw7jMs-ikLppTZmOlag2p993ppZ7xXiLh0T3ak0WL,False,0,False,winniehannah19684,False,1699078860,1699079113
0,1051,0,0,25,25,1,0,0,0,False,7284848694456943634,False,False,False,0,MS4wLjABAAAASXCqAevO-C2GtPAtyhpD-XADhGJ86EIJxyc8BlgAEv214PpkUvepvDGtdWe955nK,False,0,False,doodee_78,False,1699078860,1699079113
272,6907,5,0,17500,17500,122,0,0,0,False,7242906685651682346,False,False,False,0,MS4wLjABAAAAWGiBZu5b5l93JugYYouHsqrNiTFoBQseUUQVXej_J2SDP87ZuqdTonA1SmqfMP8z,False,0,False,tiktokbaddieseveryday,False,1699078860,1699079113
396,1161,94,0,299,299,22,0,0,0,False,6881977224112636929,False,False,False,0,MS4wLjABAAAANKJp1HbDgt7Gcgqa73I44kN80Z6vgjdIK8_-Tytvie2HMiZbrsSQMeHbsFexpG7Q,False,0,False,luvigiartvhe,False,1699078860,1699079113
2089,611,114,0,528,528,16,0,0,0,False,6827838840603214854,False,False,False,0,MS4wLjABAAAAYghw7zIwR4mInVTgMBewPPlIw6I1L_g_u06huk4Lou4C15hCoAEUXsv1P1o5ng6u,False,0,False,cosmicwolf369,False,1699078860,1699079113
711,9859,24,0,2441,2441,17,0,0,0,False,7075342202465453061,False,True,False,0,MS4wLjABAAAA20IQKBoWOIU4fQ4sQdjl9P7gqPMF1p6gJs0-cgnf7x28ux615g1Z7CVwuyvD9kD9,False,0,False,ivanjluger,False,1699078860,1699079113
0,1054,0,0,0,0,2,0,0,0,False,7297449147161576454,False,False,False,0,MS4wLjABAAAAvIuiYLEZ5nf1sS2lDzSiWC61LCvvjnsig8HwOuTATh3r3CcoF7UpS5bbwrJKD86U,False,0,False,ckstore81,False,1699078860,1699079113
63,2201,1,0,1629,1629,283,0,0,0,False,7032830267695039494,False,False,False,0,MS4wLjABAAAAMq459bFncAfb-V26pKifAO_XVpJVjEkVrH1fZLf8VHBICcCKL2kcVyvcaXUdUL7L,False,0,False,qualityepoxy,False,1699078860,1699079113
54600,12100,102,0,207500,207500,139,0,0,0,False,6855700638551720966,False,False,False,0,MS4wLjABAAAA4KQPgjxdHN6733sBeJ_HjMcUe-EpIrjUGrrbyqanoIxNjsh4eCUFuFv4QcNjTAWo,False,0,False,kashi_bharwana.302,False,1699078860,1699079113
0,3192,3,0,409,409,7,0,0,0,False,7256562613294859269,False,False,False,0,MS4wLjABAAAArOX8pjsNj2fuvvj-vEszYKor-Ob0uD8tcholA8Qju8blKZhigW61MMtZbw3Lva8M,False,0,False,warzonehacks24,False,1699078860,1699079113
25700,40500,2102,0,23400,23400,973,0,0,0,False,6922823732038157317,False,False,False,0,MS4wLjABAAAAYS0hglLornhLfpe7-sSWHByGHu1MWkfXj-MmrvS9hqj7Uh5IHSgynPQj_26Xvvsz,False,0,False,djwichoboston,False,1699078577,1699078854
0,1059,0,0,93,93,1,0,0,0,False,7284847454062609415,False,False,False,0,MS4wLjABAAAAujvrp2_DwYWlg2BtFR1Lxr_RzQqxfhtEyY__rR-QLwSRdG1AlqmUlYAsNzq--pru,False,0,False,warpwarp69,False,1699078577,1699078854
182,53,9,0,82,82,11,0,0,0,False,7297158954399532038,False,False,False,0,MS4wLjABAAAAWIjuujSF4WZN9KZomoVpVpqLCArA0ravDboXdVFQg9_eXqzTPtEgUt-WW3SdROSt,False,0,False,kjrugplprgg,False,1699078577,1699078854
1191,8807,3845,0,6503,6503,18,0,0,0,False,6827720181058962437,False,False,False,0,MS4wLjABAAAAVgxwLBGEd9oIQSjBMUIjJw1rEJz5Lel6RHz5_PlphKhllTM8A3pJZxExc9XviBlJ,False,0,False,diego.2626_1,False,1699078577,1699078854
0,2115,5,0,803,803,83,0,0,0,False,7273845608795030560,False,False,False,0,MS4wLjABAAAA7F_nNDwmMgnTKzlR_ok7OkbffqXuGlvehHYgevlUv4S_L3K0txmqfka7bdT22LrT,False,0,False,sandria.sandria,False,1699078577,1699078854
18300,1338,165,0,1100,1100,226,0,0,0,False,6770277795127100417,False,False,False,0,MS4wLjABAAAAu36q90pgqWhRYrI1dQ0BAao-KR0doPf6dBTpL8kPQ_4vFm6-5VzPBXGqgjp52qKD,False,0,False,dapuriburudy,False,1699078577,1699078854
