diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,244,0,0,0,0,0,1,3,3,False,7213189799171785774,False,False,False,0,MS4wLjABAAAAXXctntPSmeZAE_fqBWxtC_vbtAU6iniBqwZIge-XtzeqGkHm71L3nMQAMfuFCB65,False,3,False,lifeofallie,False,1698817578,1698818483
2147,8700000,45,0,140400000,140400000,1188,0,0,0,False,6533901798506332162,False,False,False,0,MS4wLjABAAAAZV4qXOHl9pLdOzWIrseR_HGWp-YZHGn59EGfk9zJnce6lxDdO3sFjvI5UVNFZRaX,False,0,False,rubenonsu_official,True,1698817578,1698818483
5,4987,9,0,2545,2545,5,0,0,0,False,7046482893713294382,False,False,False,0,MS4wLjABAAAAaACdRvNAthwRHYqpvcr30TC3wVgls2DvAkRvQ1tLRKLjpiSMrRFkgR3bGrn57alq,False,0,False,nwm_sound,False,1698817578,1698818483
123,788,7,0,1040,1040,1,0,0,0,False,6545033705387229185,False,False,False,0,MS4wLjABAAAANAxoyEdW41zzjuy2mxeCQ2rfk_zyPXOUmz8Cy24XQsWOSTvB4IbsdxyFY63cNhl8,False,0,False,erin_0588,False,1698817578,1698818483
72500,588,63,0,9603,9603,107,0,0,0,False,6637749263761014786,False,False,False,0,MS4wLjABAAAALlX6yCWjRIvRrmKzYvVL_qd6yWDi4j8WnzbvwK8WI-zKXQLXT_fDE3gAoY_SaXhr,False,0,False,vennyksm,False,1698817578,1698818483
29500,14000,523,0,52300,52300,342,0,0,0,False,6937544781522650113,False,False,False,0,MS4wLjABAAAAZ7UCNfG3FbMz6f83eJF86bEPRDR3t-VSmxoK8-u_S6nbsxWPjEQYg3ocS-dPLd_9,False,0,False,afian.lee,False,1698817578,1698818483
1042,226,92,0,867,867,21,0,0,0,False,6812341048062755845,False,False,False,0,MS4wLjABAAAA9y2hktDyJS7Ya3IksfCJDmalAPLaqmTl5Oo_zO8O3-TlP2LAM51_B2eDs1AHH_PP,False,0,False,mudrik763,False,1698817578,1698818483
134,11800,931,0,1692,1692,50,0,0,0,False,7238115542245540910,False,False,False,0,MS4wLjABAAAALHkddF9KuSKxgzoX8MJ6064f9ndSuWrzRLUPkWriVfh4Z2sLzvUYogSXmz7AnWGx,False,0,False,hellonailswithconnie,False,1698817578,1698818483
2992,2882,2740,0,2087,2087,39,0,0,0,False,7285870552845993006,False,False,False,0,7297667193930599211,MS4wLjABAAAABRkZo01kNiVoInlaRgZy8rnlyB2Tmu7Z7Q9PKkDTnmVspaN5u9v8X2xlGkzMd4iF,False,0,False,rocking_d3_ranch,False,1698817578,1698818483
5558,7113,548,0,21500,21500,453,0,0,0,False,7185351454482564139,False,False,False,0,MS4wLjABAAAAYoI98_xifmazbcCA8mDGIEZ5mkpI0CBhNjqGpCuUyYJQN1e23kDB1RZFMd7gKihB,False,0,False,paganddragon13,False,1698817578,1698818483
239,10600,43,0,39200,39200,130,0,0,0,False,7254352944754230318,False,True,False,0,MS4wLjABAAAAmMsnoEx_fFxk6NB5YA0aWnUKzCgIxIOSVmAlKGKSMQ4QTvv4YfVbuDXv4bXCjRBG,False,0,False,supermario6840,False,1698817578,1698818483
2236,1569,233,0,25900,25900,13,0,0,0,False,7218585514449830918,False,False,False,0,MS4wLjABAAAA_1PPpi9Sj6bZRfAKBs_bK5n4ls2SiaL8qLogq_Sc-wrOE_xi0HXRRDbQCGlbZd5E,False,0,False,itzzshorla_x,False,1698817578,1698818483
697,9412,79,0,20900,20900,5,0,0,0,False,7042422218517546031,False,True,False,0,MS4wLjABAAAAb_D6pBkYK8nSfni3XrmjkGXck06MW1fiIfSi-yZhym4MDEGzKM1oGnmF965YUzsk,False,0,False,midnightstingofficial,False,1698817578,1698818483
11400,57400,969,0,140600,140600,695,0,0,0,False,6695802110033118214,False,False,False,0,7297675608191077166,MS4wLjABAAAANtbblP8SL3vm5AgWO_YpyWWYGo3xyUCYQxsYzXVs2AAoaY1I-BeKoGDrr_XCJio0,False,0,False,duhitscc2,False,1698817578,1698818483
186,5527,5,0,10900,10900,27,0,0,0,False,7250397962076308523,False,False,False,0,MS4wLjABAAAA79NHqX4QIXJ80DMYTnfWHwKYnrvYxQGGoSwvcP_rtOkcA9UYpDTgdiIM0RRtTTFq,False,0,False,kottioog,False,1698817578,1698818483
208,724,42,0,2380,2380,19,0,0,0,False,7210878745379603502,False,False,False,0,MS4wLjABAAAAs6CFGZ8wbY6C8QsjRck3GVny_Ro0ugFUCuk2LTmb0eXMsXns8rY4GgtbUv3Q-L-a,False,0,False,mynewfypoos,False,1698817578,1698818483
16,235,12,0,466,466,2,0,0,0,False,7290495515778155525,False,False,False,0,MS4wLjABAAAAy-W16R_51-LIxo6p68jzgC2yxycI4fkr9KFTWBO1muN1hlji3dsu5o7ngj1mRg8Q,False,0,False,abbygaille_,False,1698817578,1698818483
28,198700,15,0,6600000,6600000,370,0,0,0,False,7070564665852183594,False,False,False,0,MS4wLjABAAAAimo9tQdyWYRI1vRCIPKNlE44ZC9nYr1EPOk-ZzLwst5xI0J4MltJUfVL7_ravSl8,False,0,False,tykwondoelive,False,1698817578,1698818483
