diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
58500,1682,667,0,1203,1203,18,0,0,0,False,195142105583878144,False,False,False,0,MS4wLjABAAAAh9qS5asGaLybXzmLK11pkn64SaaNmV9z42t98IoIswt7l0KwWO1SKcQzSg67rshJ,False,0,False,__katy.__,False,1688744269,1695992931
1018,60,760,0,149,149,20,0,0,0,False,7182955410293982213,False,False,False,0,MS4wLjABAAAAy4CArxZKVK9LTQjg8BczN3Ye-Omz2-gwMgZ4erPBEWl6QZeGr1TcBNLo1ItXMhep,False,0,False,belenfzf1ga,False,1688744269,1695992931
4197,18200,224,0,388100,388100,38,0,0,0,False,6961950333783639045,False,False,False,0,MS4wLjABAAAAt5Lvfi7DosFyGijptX8Zog6oDUhgu2jWmC0pCcLM7ognCVcK6Q4R7CasyMYuXRAi,False,0,False,bendereditz0,False,1688744269,1695992931
7550,170,165,0,168,168,4,0,0,0,False,6917084327692256261,False,False,False,0,MS4wLjABAAAA1fQk3KRknIjsKiruuUder-nPKtnlv8o8xDe2xdgcX3UKXha8UAY-tVvg_-ZQAH_d,False,0,False,jenny_xd06,False,1688744269,1695992931
46600,34,1088,0,58,58,2,0,3,1,False,7095168461123044358,False,False,False,0,MS4wLjABAAAARPdDXoYrxi01el31FTvYtkrBAi5kbzEB_Em1hCSzC6nRu9xpjhBEDJIv42tGM2Qo,False,1,False,par_.alelepipedo,False,1688744269,1695992931
942,27600,780,0,281900,281900,53,0,0,0,False,7147084892953216006,False,False,False,0,MS4wLjABAAAA2J-ghQfPuV_ErIiN1oN4b7bmU9w2-_fGVh6QGup9PxFFyD-JZCAxYqnq3iDz9VrU,False,0,False,elpicaso09,False,1688744269,1695992931
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1688744269,1695992931
221,65500,59,0,5700000,5700000,13,0,0,0,False,7215622967353738246,False,False,False,0,MS4wLjABAAAAmru_bG8UCMwvO0tFZe-MGCUGdBE5mVfNCaSqrwdT965uAM012YprAZRW1RMS7HYr,False,0,False,auredrad,False,1688744269,1695992931
16700,2100000,153,0,17800000,17800000,1064,0,0,0,False,6770099328963920902,False,False,False,0,MS4wLjABAAAAU1LUUBsshDJROFVck2cNpMltS930YdMQxm6FKe10h68D_9_ir4yrTVPQYY7W4arN,False,0,False,malteada4,True,1688744269,1695992931
0,2,0,0,6,6,0,0,0,0,False,7015006510271104005,False,False,False,0,MS4wLjABAAAAADzeC8rp2dO4VARdclDnxyTDygTlm-IeglPsIszzZsDXphcyy1LCKuS-fxNAV4V0,False,0,False,justhatchensecret,False,1688744269,1695992931
