diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
23500,4200000,313,0,37000000,37000000,1959,0,0,0,False,6765488542313808902,False,False,False,0,MS4wLjABAAAAeTUa5agXUkpoXsMSc8-m_5y5iH0DSUpD2THVyM9LfGYyLPxaJf-Ausd0gmPpaXd7,False,0,False,evilash_gvng,False,1689196207,1695212096
99300,709,9784,0,1643,1643,0,0,3,0,False,6771118967694377989,False,False,False,0,MS4wLjABAAAAw71WB49GWQySRGStVaNAo9f-Yy_Z8Y7sUFimfmUssrVOCImisZDsnpbkc8uY-six,False,0,False,massii.05,False,1689196207,1695212096
921,107800,279,0,3600000,3600000,57,0,0,1,False,6852690254764704774,False,False,False,0,MS4wLjABAAAAVgsNiw7fOm4VcNeoj61EqUC3nmEehROpXAs0W4YDCNmt-Jc6FaMR75--HMp37CPj,False,1,False,sonoxcarme,False,1689196207,1695212096
4257,1300000,40,0,35100000,35100000,310,0,0,0,False,7004103177407579141,False,False,False,0,MS4wLjABAAAAKo6MI-bqLtliJt9RzWPB1BE5oXzJWqRCAEqcHRKtM0fyQi4s1E7jWdNRjR_ML537,False,0,False,bandoafterdark,False,1689196207,1695212096
8724,5,57,0,0,0,0,0,3,3,False,6966597462628254726,False,False,True,0,MS4wLjABAAAAOyM5faPt5p_A9mkohPzBtNRzCYQ1JjEAPbTNwTXIkfHqI1RjVo4z0spSEYL0ozqr,True,3,False,hgdxvjgstcxsyuxztbiv,False,1689196207,1695212096
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1689196207,1695212096
3702,301300,10,0,5800000,5800000,40,0,0,0,False,7047926314959258630,False,False,False,0,MS4wLjABAAAA5U4B_RNUkN_eEFDzctWNwxeLGnjo94s8EAA-YDauy4-tQck0dmNSO6i2_iEHSfQp,False,0,False,i.mister.diz8na,False,1689196207,1695212096
98000,118600,230,0,379800,379800,47,0,0,1,False,6591491851994628101,False,False,False,0,MS4wLjABAAAAiI2Fpdphue2Nqz7KIO5A3aMaUoNBoa4-EW7TD9oyGDGWRY2KJ0cafHgNkqCBvYUm,False,1,False,paraswolf48,False,1689196207,1695212096
21900,4272,156,0,340100,340100,228,0,0,0,False,7170650447689810945,False,False,False,0,MS4wLjABAAAA8llBW-I5j6kR2rbxPWUdn5Jot1mqqJL2-iDq142sozun1dbAFBvZXW3UpIiXO4Hj,False,0,False,cruzerggs,False,1689196207,1695212096
53200,141,1390,0,65,65,1,0,3,0,False,6984466824449655814,False,False,False,0,MS4wLjABAAAAGZ5ll6NzSwF6EIQv5SPLaNTl5G6qWsq1YBfzVi-b0Nou9BjugxKTWfAjR0KIlef2,False,1,False,unbanano104,False,1689196207,1695212096
1257,218,1076,0,13,13,1,0,0,0,False,7052329527183459334,False,False,False,0,MS4wLjABAAAAPHNU6rqREqYTXfzNigSXcZzpANGsslmC2iy5pQUbolTFWE3qZ8vyErTmULqmgrb0,False,0,False,mr.karmafn,False,1689196207,1695212096
103700,117200,1017,0,2100000,2100000,406,0,0,0,False,6633486968217305093,False,False,False,0,MS4wLjABAAAAKpXUebBRSPnkWXR8eHB3nBbtan8R4lNJ4lhA3p44aQRww5JopXR9_kJn51vCc6Lw,False,0,False,itztravv,False,1689196207,1695212096
21300,1700000,159,0,23000000,23000000,146,0,0,0,False,6331399644244870147,False,False,False,0,MS4wLjABAAAAlPQeAZ2qNZz2ACphdg8AL32kHNlSFjq-bla8zOGZbFcHJZwlKgaPf_EF_hDPjEXc,False,0,False,ballincaat43,False,1689196207,1695212096
