diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
15400,116900,157,0,1200000,1200000,174,0,0,0,False,7045260916513932335,False,False,False,0,MS4wLjABAAAAMWJOb6oRpvNZ3gikAZTTTi923DneQF8jUpjROWSpcCu7oE2xCqpPQPnr4SvfgyL7,False,0,False,chelseayeaaa,False,1695494797,1696325031
1,6763,456,0,0,0,0,0,0,0,False,7025132276594836485,False,False,False,0,7285819754022275882,MS4wLjABAAAA2cLyv2SDeNbkZsTlIO06Mb4GX1rTVlD1VMqRjWg84mEEw5ERCm8lBzkD1nQATSI5,False,0,False,yxucfhha29631,False,1695494797,1696325031
5,18700,27,0,55300,55300,11,0,0,0,False,7267601087472174126,False,False,False,0,MS4wLjABAAAAZSA7BZRImcAgnJ3-LsJNK-HDTDIpUZPbyK0p1s_Lxn3tUCaWF-lAZRfKE0FUJCB2,False,0,False,musicball11,False,1695494797,1696325031
29300,11400,210,0,875200,875200,524,0,3,0,False,6610619966864113669,False,False,False,0,MS4wLjABAAAAumb5QTbb4iMUZovHLUy3Oyyj_lrm8cXlQ2SXm0-1YLsqDLcBi6VJlRlk9pl9II6D,False,0,False,aly_suhdude,False,1695494797,1696325031
361,3400000,0,0,51200000,51200000,59,0,0,0,False,7233947603468633130,False,False,False,0,MS4wLjABAAAArPlF7Dp9oL6TswOT2bX1xAwWzAgNgZtEbywRkbd3-ApT51mU9HHm05ZdcdbVzeCt,False,0,False,khoaiart,False,1695494797,1696325031
292,40000,3,0,6946,6946,20,0,0,0,False,7193009395671385130,False,False,False,0,MS4wLjABAAAAJWMoqKkZCGK2x67WSoEekVNoUZceIi3C7SKapKsZSsVqE9sl_TQIgQQ0Lf-aING5,False,0,False,byluislorenzo,False,1695494797,1696325031
75500,5968,7178,0,9272,9272,269,0,0,0,False,6553106573714002944,False,False,False,0,MS4wLjABAAAAxIjwWzWz_E52gBqefZKhxXyvk-eEsEJIHgLnjZwgOLt0xjgb1VBww-qFoDraMw69,False,0,False,garden_asmrxx,False,1695494797,1696325031
21300,3938,9477,0,7896,7896,283,0,3,3,False,6802242007840736261,False,True,False,0,MS4wLjABAAAAjW6WLRGHISRjwpb9_YbKLlK5HzHMjMWBhqhkuF3ya0_YaCov7YpPkbACg8SSwgtP,False,3,False,honneybee47,False,1695494797,1696325031
17600,43100,1849,0,814400,814400,21,0,0,0,False,6770902266573751302,False,False,False,0,MS4wLjABAAAAAmd9ME8cyE_dTV93xcroVJ-MJu_oA2UcVqmIi1X_ux4MUGjarHTfj0Jprq9hE6C6,False,0,False,.marsanne,False,1695494797,1696325031
82,1800000,9,0,11700000,11700000,243,0,0,0,False,6579276949854666758,False,False,False,0,MS4wLjABAAAA1unu4Vm1hC_ujaHL2CpeL3Dk1xWavzaF0SX1BQ8B8SsNkkMWcLezgoXy8eA-WS_C,False,0,False,jeffdunham,True,1695494797,1696325031
71,184700,25,0,9800000,9800000,122,0,0,0,False,7158868022970827822,False,False,False,0,MS4wLjABAAAAV8lHWQDK_5ZXOvuWAcm1ff-2AdLyyzSQUSnyTTNCRtCuB3N2gu5jDbQ--KDD4fE8,False,0,False,goodboybodie,False,1695494797,1696325031
433,13800,219,0,718600,718600,154,0,0,0,False,7071752489988834310,False,False,False,0,MS4wLjABAAAAvOXT26FSHxgXsjcd9P2ccdJmQgNrhSmTxU7WwspgwvCEgleeu7gSmeLzvdEF5BG5,False,0,False,3dgeex,False,1695494797,1696325031
607,4281,2627,0,43400,43400,1307,0,3,0,False,7056790388603339782,False,False,False,0,MS4wLjABAAAApQiHLA07cLiH91ucRZjNBHB65poU7J4BV2RVgIAs6ramzmO-ciWMKGBnAFyrbSuu,False,0,False,irlmichaelaftoncosplay,False,1695494797,1696325031
77700,463000,5113,0,4800000,4800000,1682,0,3,0,False,6859083355888878598,False,False,False,0,MS4wLjABAAAA7DM8w4zC9sWO0ThRRzFZnwaZO8HfVBMjifJGAY0mCfdx_qJK8LNHmHWb-D55tusR,False,0,False,thelastmavrick2,False,1695494797,1696325031
2295,2600000,259,0,53300000,53300000,417,0,0,0,False,6995658237877961733,False,False,False,0,MS4wLjABAAAAKQQGv2T09FL9ZvOnb_UPDNw6B5LZSQeZ3RFpNZZIFU-uuE1s6DOGie-11Gx6Qi6N,False,0,False,patriotickenny,True,1695494797,1696325031
4,708700,4,0,28000000,28000000,574,0,0,0,False,7210451771529348138,False,False,False,0,MS4wLjABAAAAu8AHXAc7D8ExHagWuLe5B0cMMCU7LzNz6wwHqSZfLRlS8aW9mqwhxo9gx_3SghMm,False,0,False,firefighters.us,False,1695494797,1696325031
323,264,198,0,2194,2194,12,0,0,0,False,7176746803802260523,False,False,False,0,MS4wLjABAAAA2NKzjDMAJFLW34NPeV2SjkVW3RbJ1M7yr52IUPqKIrxnSBa61UhP7UhexuFniX-j,False,0,False,bluesakuracandy,False,1695494797,1696325031
1238,261500,186,0,3200000,3200000,713,0,0,0,False,7054448475584463874,False,False,False,0,MS4wLjABAAAAUoV6HSLz4rmHqWB6-VuGsGP14tUw3mTDUS-Iqu_F_4sx4w6h7bXK6TbL19g8OVWt,False,0,False,theloveguruu,False,1695494797,1696325031
28,48300,58,0,448000,448000,87,0,0,0,False,6950803118193280006,False,False,False,0,MS4wLjABAAAAK-NarJkUWcYmFKE2MyRwUE3e2MVF4ONTpEDG0X18VtWNKnrbPCf0wQvv_VfBJj7I,False,0,False,ghostbustersnews,False,1695494797,1696325031
7,5,10,0,0,0,0,0,0,0,False,7128063139628860462,False,False,False,0,MS4wLjABAAAAvlC2g7Zw_S79AI2XoM1fs0SLVYlW1W9yc6ZTmkkOPKmWowLnTuWPk8fLaKNVnRPP,False,0,False,miaerialimaging,False,1695494797,1696325031
8,532,1468,0,327,327,1,0,0,0,False,7025584491284644870,False,False,False,0,MS4wLjABAAAADA3Dj65gScFwh-7OeTgBypMgXHglQMofczp7oD2SRq4V1zJ99DhvsooT71tZf7vj,False,0,False,faithjoy079,False,1695494797,1696325031
11,47,17,0,0,0,0,0,0,0,False,6885434655581062149,False,False,False,0,MS4wLjABAAAAWHVYw9ZEShfA6t5p3OF8mqrWm5GIx0OvP-kmjOv9KBHGRFS2wCxKOSMSavFkJmJ7,False,0,False,nelsoncummings1,False,1695494797,1696325031
30,28400,1418,0,106100,106100,32,0,3,0,False,6827676936816378882,False,False,False,0,MS4wLjABAAAAD9mRxVCYpjYomFE2qDusSpo10qS7O6e814Kq_HYY6wk3BhyNACO3Bc6zEyQXGJ9m,False,0,False,led_display_chinafactory,False,1695494797,1696325031
17,43900,1,0,21600,21600,132,0,0,0,False,6966955370262791169,False,False,False,0,MS4wLjABAAAAO2_KuVnG_WOXAR4teXtpOW8WArEUh7DvGYWwxcP2EG78K2pXKzdvxXKsNlHF98Rl,False,0,False,supercent.official,True,1695494797,1696325031
36,69200,0,0,2000000,2000000,64,0,0,0,False,7257302151709705259,False,False,False,0,MS4wLjABAAAAdO2UZy5yjVwdOBse_LZtpaXBNv62QD8te4irWwkatkiIXFgkF8rdGw7RO0qx6Yjf,False,0,False,quickvidaddiction,False,1695494797,1696325031
14000,457600,638,0,2400000,2400000,1182,0,0,0,False,6780823948571919366,False,False,False,0,MS4wLjABAAAAoqDn26Bwy5YHR7_WYNXxbBUEy3ZUSW8jgQvJADaS5Z_3_J7bcmM-jes2jVLfyH9X,False,0,False,tekkballz,False,1695494797,1696325031
47300,18400,838,0,366100,366100,63,0,3,0,False,6687112226392622085,False,False,False,0,MS4wLjABAAAAZGNZSjhE0QYiNdeNTKjlT6xCk5LLcX9xpLvTUHRdYtIp6vhHJny3HGfMKcq5hnEo,False,0,False,micklee93,False,1695494797,1696325031
474,546600,0,0,13800000,13800000,61,0,0,0,False,6998674501437555717,False,False,False,0,MS4wLjABAAAAIcmXK62uLTM6Xjb3yreoHuCKJUwQwgmRpVNYBGJZhufXBBb20nGsNq8RA6sy2IdX,False,0,False,reb_3d,False,1695494797,1696325031
75,280700,1,0,9500000,9500000,52,0,0,0,False,7146756802474378267,False,True,False,0,MS4wLjABAAAAOo9Ob-dENK2WSr3FDYwH1Hdn9qXCycdfiwoiXqPiwvdLaGJT5FF8efnpgbDwJgPK,False,0,False,.lookhao5,False,1695494797,1696325031
18400,23500,715,0,1800000,1800000,57,0,0,0,False,5273714,False,False,False,0,MS4wLjABAAAA3DGLlO13pUubnQbWeJYecMOCd7kzDjGjdsFlSYDX39Q,False,0,False,aye.lill,False,1695494797,1696325031
210,99200,894,0,4200000,4200000,168,0,0,0,False,6951092851502400518,False,False,False,0,MS4wLjABAAAAAM4_BRsfNcMUKWzunZWxFcA6lHu1oPgzqqnL-q4lArCyyLRTC1Y7UmSPR6ux3NdE,False,0,False,festivexmastok,False,1694601928,1695494641
876,283900,20,0,2400000,2400000,2038,0,0,0,False,6857637515881759749,False,False,False,0,MS4wLjABAAAA-Wo1asJpN-EdbgOBGz4QwZX8QQ0EFpm60NkdMGisdowF21pLh8jdSchAXDhcInny,False,0,False,kos_grim_reaper,False,1694601928,1695494641
7849,2100000,219,0,42500000,42500000,757,0,3,0,False,7026597589714600966,False,False,False,0,MS4wLjABAAAAn4IKTY6ZNivYofz1ST51ZO-A2fGkiHs54WVE8wxRLY0YDw1Hw7euKNYXo5xzS4Xu,False,0,False,comedy.pranks,False,1694601928,1695494641
21,187500,306,0,5000000,5000000,62,0,0,0,False,7264819079994180641,False,False,False,0,MS4wLjABAAAAkeG7qJcahpv1yWxnKTbE4eyhF1O4vMLa1JAJtApJZUAbPaHsvhqActT7Bvn0Y4o9,False,0,False,ashfunny35,False,1694601928,1695494641
11300,46800,275,0,121300,121300,758,0,0,0,False,7025296961771930630,False,False,False,0,MS4wLjABAAAALrkySfDHQ4eR36ZsdgB4Uzi4fLALNMU5N4iKDT_G_AGbBc-SDGVuSl_B2lReTYxN,False,0,False,therealpaperengineer,False,1694601928,1695494641
177100,2917,788,0,7392,7392,80,0,0,0,False,6627284088573952006,False,False,False,0,MS4wLjABAAAA7OU5upwdnHrtBO7eRdO-DObs45xTEAXSv7dYVYCowWSFYfo69KIH1z025sHGsFk2,False,0,False,skullynne,False,1694601928,1695494641
186,1000000,42,0,11900000,11900000,297,0,0,0,False,6816490369921221637,False,False,False,0,MS4wLjABAAAAZh0PAw8_b3vstAT3BihyWRQq8zq-4W1X6013RNDWATSe9I9PbYr9DDZxiFoGSAH8,False,0,False,mariolopez,True,1694601928,1695494641
118900,208200,540,0,2400000,2400000,730,0,0,0,False,6607512789711192069,False,False,False,0,MS4wLjABAAAABqbMbcL5tuLKO1cpYWeC6aFF-dlxWdtFdCKcjTgsBZqqPQ7NHQZtisAsT8rvKtNd,False,0,False,mazerlazer_,False,1694601928,1695494641
50,104400,18,0,1400000,1400000,31,0,0,0,False,7260017298840224810,False,False,False,0,MS4wLjABAAAA3wFrpH6L4pRZ6iPnOe00_mM6shpEWzFhqkLAy_xwTiHKrTWv-SXrLQq5QO2X0Cmd,False,0,False,iron_claw_,False,1694601928,1695494641
999,24900,30,0,1600000,1600000,182,0,0,0,False,7055833920168690693,False,False,False,0,MS4wLjABAAAA8lN2NP7bMIonj-ojP9jxFeHd_ukKsI9WKC0eT_K1kP21SjzeNCC-SCs_vZR3tDY0,False,0,False,vegaslately_,False,1694601928,1695494641
8968,157100,454,0,6300000,6300000,2406,0,3,0,False,6754635369034564614,False,False,False,0,MS4wLjABAAAAKy6ITAQ0vZ6HaQX8i6ylDtGd9QXmmBs0ByXh_pn2vNo1GdX7han_JJC5Q7GsYiRJ,False,0,False,walruscarp,False,1694601928,1695494641
0,44400,653,0,0,0,0,0,0,0,False,7013622820836983814,False,False,False,0,MS4wLjABAAAAJf02aWur7IF4lqe3_fq5_C8g5SSO-kyWpCDGFeMrItRXpDj63Wl0g6Lf6hNF1UL0,False,0,False,popcornbattlle,False,1694601928,1695494641
105300,2848,5251,0,5025,5025,103,0,3,0,False,6745981661211689989,False,False,False,0,MS4wLjABAAAAC0z_ArUrcpa6tIVQe5Ik4Goa15sd6gilAyEb4uLZUop4bucAk9zey4zHlbx3-QzZ,False,0,False,arsenic.smam,False,1694601928,1695494641
14500,56400,4258,0,225200,225200,424,0,0,0,False,7006995770965558277,False,False,False,0,MS4wLjABAAAA3SDxWa6C5-k6bQ2hv0kqZ5qYY5uD5uJ_eOVf5I3uTwdE8fm3oNVlH8-fsAWMXbfe,False,0,False,chrisboomboomlodge,False,1694601928,1695494641
8483,1245,752,0,26100,26100,190,0,0,0,False,7195578716851373098,False,False,False,0,MS4wLjABAAAAfrbBZ8A0skWbQN2lyaQG3n7SgXsltExXRJjp7n_3n1_wxTp7ab2zpOvmQ8X_H7jg,False,0,False,bluebird_travel,False,1694601928,1695494641
0,81200,0,0,2,2,2,0,0,0,False,7262650785875280914,False,False,False,0,MS4wLjABAAAANbOqw1Hn7xE6toADx7gDKxN_m45hDNiX3zXFOOv30zJMgLssnaYI_lAqVPFz_n0i,False,0,False,bradaggfzpd,False,1694601928,1695494641
64000,3847,908,0,34100,34100,0,0,3,1,False,222709636519313408,False,False,False,0,7285845242165938987,MS4wLjABAAAA1AAJMjqbWP8J45P717GDUPvZa0cCM3JA2NJ2pWADFIvBwI1JeIgWB8oYimNd39tY,False,1,False,nvm_jesse,False,1694601928,1695494641
54400,140700,264,0,2400000,2400000,744,0,3,0,False,6970366898551899141,False,False,False,0,MS4wLjABAAAAPqEZOAg8OBjQ2I2NiHtHGm7jIIjJjfhufuSrZBqvLRFrqxNuKkWHKF7kV8f-cZh-,False,0,False,chrisnetzelofficial,False,1694601928,1695494641
3022,4600000,495,0,263700000,263700000,1020,0,0,0,False,6806748830974182405,False,False,False,0,MS4wLjABAAAAavI6ywkekFbI1ZeMjCUckbRrU23AIye8h44B-iJ2aObE_Ek_YiIk_yI_Odah38IM,False,0,False,thecordlefamily,False,1694601928,1695494641
88700,70800,1776,0,142400,142400,294,0,3,0,False,6732283185000465414,False,False,False,0,MS4wLjABAAAA_UUP_cQYrJ45bAN7vRA-kIo24WWIGvjq0xXOFU6qnQFQaMynR3ZUMC-oA8QEDHsj,False,0,False,twigbot_,False,1694601928,1695494641
86000,2678,9632,0,4907,4907,317,1,3,0,False,6953769939682149381,False,False,False,0,MS4wLjABAAAAvmFbuKBghOvA7K4PpMt4a7ol2ufgwk9R-yca3geRL0zSqwdiOdaPMdM8LJoW6E02,False,0,False,gutted.eyez,False,1694601928,1695494641
