diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
14,2939,15,0,20400,20400,30,0,0,0,False,7236366069748024325,False,False,False,0,MS4wLjABAAAAA_hDOP1pCbAt_Qlt3lSTJLPD1ypDQ0aZI8bv2RvGN4aI2LkVlxB3lAIsvVZYHl0Y,False,0,False,gammvert_amiens,False,1693944267,1696244495
1241,15800,354,0,105400,105400,51,0,3,0,False,96792573318504448,False,False,False,0,MS4wLjABAAAAE6P2zzHHSU6lf2txglkQPihxCw1bIggh9ZdpUFOniLfPKmUaQ2X_tGrtrmbPsXVm,False,0,False,nadjibplant,False,1693944267,1696244495
147,53300,1,0,611700,611700,111,0,0,0,False,7280586385831232554,False,False,False,0,MS4wLjABAAAAJNd55PCVFi-QPiGSDgfBNB2dIxXcR1H_zuhW3Qb_OI-Yl8k_z15jUQlsMM0DsVcg,False,0,False,michaelwelch898,False,1693944267,1696244495
952,5363,77,0,35500,35500,23,0,3,0,False,6896666159342339074,False,False,False,0,MS4wLjABAAAAd_V7QViHL0QYkhu4VD6BjkgqhPum6RnFq9SV504TPkAJrnkvzyViM_OwPJh2Afhv,False,0,False,zamuuel19,False,1693944267,1696244495
1082,288400,4,0,5900000,5900000,489,0,0,0,False,6998299575950509061,False,False,False,0,MS4wLjABAAAAoxSLvlnzDddt9CVVPlLkF9vukPLKYmeZO2ZhoUo9RFDT1_UJCPtoETjbrGphUilu,False,0,False,nathanzaryki628,False,1693944267,1696244495
48600,1800000,103,0,43300000,43300000,1348,0,0,0,False,6679019194639696902,False,False,False,0,MS4wLjABAAAAUAdnchWdtgPc6usvxUVr5cIKLs5TA2F66_FJD_xpUHE_5encZztsdfkugKXIE0ac,False,0,False,lorenzo.brock,False,1693944267,1696244495
2045,4067,1508,0,16800,16800,141,0,0,0,False,28035062,False,False,False,0,MS4wLjABAAAA2nt_oKhFKKesDMNXJxm-Bmt7ElI0LOD86B-6atVRMc8,False,0,False,iamcristianzapata,False,1693944267,1696244495
229,3082,421,0,733,733,11,0,0,0,False,6895232692917437441,False,False,False,0,MS4wLjABAAAAf4vcl8YPj3KvMT5fgd4q2IMYCBnaQN2McUQZYnnhy0W6mLRz7iiPuKO318O0wnP7,False,0,False,gamef666,False,1693944267,1696244495
219200,266700,4371,0,2000000,2000000,1550,0,0,0,False,6800135347382961157,False,False,False,0,MS4wLjABAAAAbcT9PHG5p5gae-743bCVuevXOonNN8t7BwbSWxUK2613sDPvVgIUDQ1YYz2abgA5,False,0,False,dan.foxes_,False,1693944267,1696244495
999,6600,752,0,11600,11600,123,0,0,0,False,7272526496399754246,False,False,False,0,MS4wLjABAAAAzbj_BzUsggCNDjW8WaZCy34FnuaiXjdYuCnwR1t5Fc_l3CfsgCt2i1IH7ylQm3cX,False,0,False,lipemarchiori1,False,1693944267,1696244495
1757,335800,124,0,5200000,5200000,271,0,0,0,False,6828995576954602502,False,False,False,0,MS4wLjABAAAA5deOFQ-TTMl7uZbOWF2rz5eYeWeBhaVR6CP07GDLVOuUkiGASaIZEzM-zGMfsRkY,False,0,False,melvinmyhre,False,1693944267,1696244495
581,28300,58,0,298600,298600,167,0,0,0,False,7232235324855763995,False,False,False,0,MS4wLjABAAAA_X8SvDCVTW4UwAmSnqTMbXfYeWLzOva-CWtgNq8SueloJ5ek8WAlwB11TaaD6PLF,False,0,False,xxx.4noah,False,1693944267,1696244495
411,125000,16,0,2500000,2500000,251,0,0,0,False,7152780005050713089,False,False,False,0,MS4wLjABAAAAhUMdo4SMvuRahRf07N-HftIMCSwoq-UZs3rowFSlIib8iMDxL31obYUx4QMTNYj4,False,0,False,joshyinjapan,False,1693944267,1696244495
48,64700,11,0,1200000,1200000,57,0,0,0,False,7266064515090088965,False,False,False,0,MS4wLjABAAAAffRgw8NNv6WyZAm16942zOnMRBCAJ3WwanxyfjdJQTkBymwDBGdr5771yrHAPsuS,False,0,False,trixpereirax,False,1693944267,1696244495
33,220,16,0,2310,2310,33,0,0,0,False,7256650932212188187,False,False,False,0,MS4wLjABAAAAYORQD9OTmBeP8gbPamGzdb6gdXlooc9sUHlj62TBuzI555odhM0jzWc5ASIrqMkV,False,0,False,histoires_pour_dodo,False,1693944267,1696244495
1771,35600,144,0,1500000,1500000,464,0,0,0,False,7046244443221984261,False,False,False,0,MS4wLjABAAAAzy9o4fKnqEy4yq5__IAeGgV_DevFTkVXZQydafAp4P7glMaIJAOcByNVyRzXYqcq,False,0,False,newalexterieur_,False,1693944267,1696244495
5604,280,1165,0,30,30,1,0,3,3,False,6757519580363392005,False,False,True,0,MS4wLjABAAAA1dugIrq-Syxi1h4H1iDEPy9vHOXHqlKIwLU9MNUas-HvuPKxJy5xXS2NJ8jbDvkh,True,3,False,brxvnt_x,False,1693944267,1696244495
9448,1286,1144,0,3074,3074,91,3,3,3,False,6922597753746981893,False,False,False,0,MS4wLjABAAAAazW4O9WS5t2-Sq2jjpVYvJ_r5Q46zpzIdY285lCpit3CbxCDTz2CXE5x79G8pAzr,False,3,False,andielismael090,False,1693944267,1696244495
21400,1298,3140,0,9548,9548,499,0,0,0,False,7066314583657202694,False,False,False,0,MS4wLjABAAAARjU0bXCp9xNzOsx0_YXeWv9cuepdRcR40sUSgUuRooxcEPxOnHVJGO_77BlUma7Y,False,0,False,breiderparra43,False,1693944267,1696244495
161300,500,979,0,0,0,0,0,3,3,False,6811330090975937538,False,False,False,0,MS4wLjABAAAAEQXG3WwOjdh4h5Fm44GVAQA4n9spuQ-x3jTYyW1XtufVDngEg6ghjmZ9Kg5xn_1o,False,3,False,yael_240,False,1693944267,1696244495
11800,1273,61,0,12100,12100,176,0,0,0,False,6817535975871300614,False,False,False,0,MS4wLjABAAAAdkYZsCwXgywSAx5VMaH9J58auetFJ5EqBh1KXr0-AWGTPGE9Ifdi0TL0YCP0x8YL,False,0,False,lufersilva,False,1693944267,1696244495
348,1000,86,0,4182,4182,1,0,0,0,False,7276159930145801249,False,False,False,0,MS4wLjABAAAA-LKNhZR3Pst92ll0P6t7djkSaoB9SID1U2k40eR_9C75HE6_hysuwe_7pCjFj4mN,False,0,False,jjoeel._gero,False,1693944267,1696244495
4222,44100,87,0,218300,218300,61,0,0,0,False,7093070027780260870,False,False,False,0,MS4wLjABAAAA28RLWEY7JBREPsyUS8h4EDV-LYa-TnEMb6_gWhUQAvgnEb3mN8DyM776uPO5iOIM,False,0,False,thetruthlaveriter,False,1693944267,1696244495
22400,45500,400,0,948600,948600,21,0,3,0,False,6824428583987495941,False,False,False,0,MS4wLjABAAAAuXyZomePtIEgx-cmhVuHWOqMUnnbXtIx-3l_QvGJSgjzDzgUCkmTigbop3TLBKpK,False,0,False,mei_raccoon.cos,False,1693944267,1696244495
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1693944267,1696244495
2018,125900,14,0,1500000,1500000,215,0,0,0,False,6987627611799405574,False,False,False,0,MS4wLjABAAAAFLDxDtPxEC4-877f6q9m-CIyNN4i9m8FZ0xuA-bTcDtdY9ma_OTYasgGrAoPbYM1,False,0,False,nico_condee,False,1693944267,1696244495
9633,418900,717,0,12500000,12500000,980,0,0,0,False,6562551738397622277,False,False,False,0,7285858649971378977,MS4wLjABAAAAg8IRNyukjzqe0mDXGQiWPGF8mzq5ngUxMOhBrom8GcD0-kzCviR0fjZQzXCh4IHu,False,0,False,soyferx,False,1693944267,1696244495
1101,135000,355,0,3800000,3800000,492,0,0,0,False,7260977340196602923,False,False,False,0,MS4wLjABAAAAwbAb1-PoDMEW_p87hrx7sYbdEquUycAvprAnNEHyh2drzEzQgug5jvyK1JONMUGY,False,0,False,dalton.ferguson,False,1693944267,1696244495
